ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
FL0010000,Alachua County Sheriff's Office,2319,FL,South Atlantic,South,Region III,ALACHUA,County,True,2022-02-01T00:00:00.000Z,29.643612,-82.2908
FL0010100,Gainesville Police Department,2320,FL,South Atlantic,South,Region III,ALACHUA,City,True,2021-01-01T00:00:00.000Z,29.67574,-82.357221
FL0010400,High Springs Police Department,2323,FL,South Atlantic,South,Region III,ALACHUA,City,False,,29.67574,-82.357221
FL0010600,University of Florida,2325,FL,South Atlantic,South,Region III,ALACHUA,University or College,True,2021-01-01T00:00:00.000Z,29.67574,-82.357221
FL0010800,Alachua Police Department,2327,FL,South Atlantic,South,Region III,ALACHUA,City,False,,29.67574,-82.357221
FL0012700,Santa Fe College,2331,FL,South Atlantic,South,Region III,ALACHUA,University or College,False,,29.680899,-82.43032
FL0012900,"Department of Corrections, Office of the Inspector General: Alachua County",23117,FL,South Atlantic,South,Region III,ALACHUA,Other State Agency,False,,,
FL0015000,Division of Alcoholic Beverages and Tobacco: Alachua County,2333,FL,South Atlantic,South,Region III,ALACHUA,Other State Agency,False,,30.423128,-84.28066
FL0018000,Florida Game Commission: Alachua County,2334,FL,South Atlantic,South,Region III,ALACHUA,Other State Agency,False,,29.722952,-82.417946
FL0019000,Highway Patrol: Alachua County,2335,FL,South Atlantic,South,Region III,ALACHUA,State Police,False,,29.67574,-82.357221
FL001A00X,"Department of Agriculture and Consumer Services, Office of Agricultural Law Enforcement: ",33418,FL,South Atlantic,South,Region III,ALACHUA,Other State Agency,False,,,
FL0020000,Baker County Sheriff's Office,2341,FL,South Atlantic,South,Region III,BAKER,County,True,2021-01-01T00:00:00.000Z,30.294596,-82.12483
FL002040X,"Department of Corrections, Office of the Inspector General: Baker County",2343,FL,South Atlantic,South,Region III,BAKER,Other State Agency,False,,30.426645,-84.249504
FL002500X,Division of Alcoholic Beverages and Tobacco: Baker County,2345,FL,South Atlantic,South,Region III,BAKER,Other State Agency,False,,30.423128,-84.28066
FL0028000,Florida Game Commission: Baker County,2346,FL,South Atlantic,South,Region III,BAKER,Other State Agency,False,,30.324442,-82.302284
FL0029000,Highway Patrol: Baker County,2347,FL,South Atlantic,South,Region III,BAKER,State Police,False,,30.324442,-82.302284
FL002A00X,"Department of Agriculture and Consumer Services, Office of Agricultural Law Enforcement:",33422,FL,South Atlantic,South,Region III,BAKER,Other State Agency,False,,,
FL0030000,Bay County Sheriff's Office,2353,FL,South Atlantic,South,Region III,BAY,County,False,,30.237563,-85.631348
FL0030100,Panama City Police Department,2354,FL,South Atlantic,South,Region III,BAY,City,False,,30.17504,-85.64405
FL0030400,Mexico Beach Police Department,2357,FL,South Atlantic,South,Region III,BAY,City,False,,30.237563,-85.631348
FL0030500,Springfield Police Department,2358,FL,South Atlantic,South,Region III,BAY,City,False,,30.237563,-85.631348
FL0030600,Panama City Beach Police Department,2359,FL,South Atlantic,South,Region III,BAY,City,False,,30.228601,-85.889694
FL0030700,Lynn Haven Police Department,2360,FL,South Atlantic,South,Region III,BAY,City,False,,30.237333,-85.64769
FL0031100,Florida State University: Panama City,2363,FL,South Atlantic,South,Region III,BAY,University or College,False,,30.439632,-84.29678
FL0031300,Northwest Florida Beaches International Airport,2364,FL,South Atlantic,South,Region III,BAY,Other,False,,30.20508,-85.68739
FL0031600,"Department of Corrections, Office of the Inspector General: Bay County",23286,FL,South Atlantic,South,Region III,BAY,Other State Agency,False,,30.426645,-84.249504
FL0032600,Parker Police Department,2365,FL,South Atlantic,South,Region III,BAY,City,False,,30.128723,-85.605316
FL0035000,Division of Alcoholic Beverages and Tobacco: Bay County,2367,FL,South Atlantic,South,Region III,BAY,Other State Agency,False,,30.423128,-84.28066
FL0038000,Florida Game Commission: Bay County,2368,FL,South Atlantic,South,Region III,BAY,Other State Agency,False,,30.275774,-85.60808
FL0039000,Highway Patrol: Bay County,2369,FL,South Atlantic,South,Region III,BAY,State Police,False,,30.24214,-85.57792
FL003A00X,"Department of Agriculture and Consumer Services, Office of Agricultural Law Enforcement: ",33424,FL,South Atlantic,South,Region III,BAY,Other State Agency,False,,,
FL0040000,Bradford County Sheriff's Office,2375,FL,South Atlantic,South,Region III,BRADFORD,County,False,,29.952386,-82.16729
FL0040100,Starke Police Department,2376,FL,South Atlantic,South,Region III,BRADFORD,City,False,,29.938774,-82.11314
FL0040300,Lawtey Police Department,2378,FL,South Atlantic,South,Region III,BRADFORD,City,False,,29.952386,-82.16729
FL0040500,"Department of Corrections, Office of the Inspector General: Bradford County",23041,FL,South Atlantic,South,Region III,BRADFORD,Other State Agency,False,,30.426645,-84.249504
FL004500X,Division of Alcoholic Beverages and Tobacco: Bradford County,2380,FL,South Atlantic,South,Region III,BRADFORD,Other State Agency,False,,30.423128,-84.28066
FL0048000,Florida Game Commission: Bradford County,2381,FL,South Atlantic,South,Region III,BRADFORD,Other State Agency,False,,29.952386,-82.16729
FL0049000,Highway Patrol: Bradford County,2382,FL,South Atlantic,South,Region III,BRADFORD,State Police,False,,29.967255,-82.10308
FL004A00X,"Department of Agriculture and Consumer Services, Office of Agricultural Law Enforcement: ",33426,FL,South Atlantic,South,Region III,BRADFORD,Other State Agency,False,,,
FL0050000,Brevard County Sheriff's Office,2388,FL,South Atlantic,South,Region III,BREVARD,County,False,,28.607767,-80.81862
FL0050200,Cocoa Police Department,2390,FL,South Atlantic,South,Region III,BREVARD,City,False,,28.355743,-80.74711
FL0050300,Cocoa Beach Police Department,2391,FL,South Atlantic,South,Region III,BREVARD,City,False,,28.318039,-80.61011
FL0050500,Indialantic Police Department,2393,FL,South Atlantic,South,Region III,BREVARD,City,False,,28.090782,-80.56948
FL0050600,Indian Harbour Beach Police Department,2394,FL,South Atlantic,South,Region III,BREVARD,City,False,,28.145796,-80.59706
FL0050700,Melbourne Police Department,2395,FL,South Atlantic,South,Region III,BREVARD,City,False,,28.298304,-80.700333
FL0050800,Melbourne Beach Police Department,2396,FL,South Atlantic,South,Region III,BREVARD,City,False,,28.068369,-80.56342
FL0050900,Rockledge Police Department,2397,FL,South Atlantic,South,Region III,BREVARD,City,False,,28.33072,-80.723785
