ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
IA0010000,Adair County Sheriff's Office,4274,IA,West North Central,Midwest,Region II,ADAIR,County,True,1992-01-01T00:00:00.000Z,41.328528,-94.478164
IA0020000,Adams County Sheriff's Office,4275,IA,West North Central,Midwest,Region II,ADAMS,County,True,1992-01-01T00:00:00.000Z,41.021656,-94.696906
IA0030000,Allamakee County Sheriff's Office,4276,IA,West North Central,Midwest,Region II,ALLAMAKEE,County,True,1995-10-01T00:00:00.000Z,43.274964,-91.382751
IA0030100,Waukon Police Department,4277,IA,West North Central,Midwest,Region II,ALLAMAKEE,City,True,2012-11-01T00:00:00.000Z,43.270214,-91.47768
IA0030400,Postville,26772,IA,West North Central,Midwest,Region II,"ALLAMAKEE, CLAYTON",City,True,2016-01-01T00:00:00.000Z,,
IA0030500,Lansing,26771,IA,West North Central,Midwest,Region II,ALLAMAKEE,City,True,2016-01-01T00:00:00.000Z,,
IA0040000,Appanoose County Sheriff's Office,4278,IA,West North Central,Midwest,Region II,APPANOOSE,County,True,1992-01-01T00:00:00.000Z,40.73496,-92.88444
IA0040100,Centerville Police Department,4279,IA,West North Central,Midwest,Region II,APPANOOSE,City,True,1992-01-01T00:00:00.000Z,40.744683,-92.870345
IA0050000,Audubon County Sheriff's Office,4280,IA,West North Central,Midwest,Region II,AUDUBON,County,False,1992-01-01T00:00:00.000Z,41.679178,-94.904312
IA0050100,Audubon Police Department,4281,IA,West North Central,Midwest,Region II,AUDUBON,City,True,1992-01-01T00:00:00.000Z,41.7217,-94.93159
IA0060000,Benton County Sheriff's Office,4282,IA,West North Central,Midwest,Region II,BENTON,County,True,1992-01-01T00:00:00.000Z,42.16869,-92.02407
IA0060100,Belle Plaine Police Department,4283,IA,West North Central,Midwest,Region II,BENTON,City,True,1992-01-01T00:00:00.000Z,41.892105,-92.26985
IA0060200,Vinton Police Department,4284,IA,West North Central,Midwest,Region II,BENTON,City,True,1992-01-01T00:00:00.000Z,42.168144,-92.02555
IA0070000,Black Hawk County Sheriff's Office,4285,IA,West North Central,Midwest,Region II,BLACK HAWK,County,True,1992-01-01T00:00:00.000Z,42.497097,-92.333565
IA0070100,Cedar Falls Police Department,4286,IA,West North Central,Midwest,Region II,BLACK HAWK,City,False,1992-01-01T00:00:00.000Z,42.53667,-92.4481
IA0070200,Evansdale Police Department,4287,IA,West North Central,Midwest,Region II,BLACK HAWK,City,True,1992-06-01T00:00:00.000Z,42.465996,-92.287605
IA0070300,Waterloo Police Department,4288,IA,West North Central,Midwest,Region II,BLACK HAWK,City,True,1991-10-01T00:00:00.000Z,42.499016,-92.33279
IA0070700,University of Northern Iowa,4289,IA,West North Central,Midwest,Region II,BLACK HAWK,University or College,True,1992-01-01T00:00:00.000Z,42.471533,-92.308011
IA0080000,Boone County Sheriff's Office,4290,IA,West North Central,Midwest,Region II,BOONE,County,False,1992-01-01T00:00:00.000Z,42.05968,-93.87797
IA0080100,Boone Police Department,4291,IA,West North Central,Midwest,Region II,BOONE,City,False,1992-01-01T00:00:00.000Z,42.038601,-93.939138
IA0080200,Ogden Police Department,4292,IA,West North Central,Midwest,Region II,BOONE,City,True,1998-01-01T00:00:00.000Z,42.03905,-94.0339
IA0090000,Bremer County Sheriff's Office,4294,IA,West North Central,Midwest,Region II,BREMER,County,True,1992-01-01T00:00:00.000Z,42.72686,-92.46567
IA0090200,Waverly Police Department,4295,IA,West North Central,Midwest,Region II,BREMER,City,True,1992-01-01T00:00:00.000Z,42.72686,-92.46567
IA0090600,Denver,33724,IA,West North Central,Midwest,Region II,BREMER,City,True,2021-01-01T00:00:00.000Z,,
IA0100000,Buchanan County Sheriff's Office,4296,IA,West North Central,Midwest,Region II,BUCHANAN,County,True,1992-05-01T00:00:00.000Z,42.469856,-91.88937
