ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
MA0010100,Barnstable Police Department,7415,MA,New England,Northeast,Region I,BARNSTABLE,City,True,2000-10-01T00:00:00.000Z,41.798819,-70.211083
MA0010200,Bourne Police Department,7416,MA,New England,Northeast,Region I,BARNSTABLE,City,True,1995-01-01T00:00:00.000Z,41.798819,-70.211083
MA0010300,Brewster Police Department,7417,MA,New England,Northeast,Region I,BARNSTABLE,City,True,1999-01-01T00:00:00.000Z,41.744106,-70.08096
MA0010400,Chatham Police Department,7418,MA,New England,Northeast,Region I,BARNSTABLE,City,True,2003-01-01T00:00:00.000Z,41.685635,-69.96251
MA0010500,Dennis Police Department,7419,MA,New England,Northeast,Region I,BARNSTABLE,City,True,1998-01-01T00:00:00.000Z,41.703323,-70.155136
MA0010600,Eastham Police Department,7420,MA,New England,Northeast,Region I,BARNSTABLE,City,True,1996-07-01T00:00:00.000Z,41.798819,-70.211083
MA0010700,Falmouth Police Department,7421,MA,New England,Northeast,Region I,BARNSTABLE,City,True,1999-01-01T00:00:00.000Z,41.553528,-70.602745
MA0010800,Harwich Police Department,7422,MA,New England,Northeast,Region I,BARNSTABLE,City,True,2001-01-01T00:00:00.000Z,41.798819,-70.211083
MA0010900,Mashpee Police Department,7423,MA,New England,Northeast,Region I,BARNSTABLE,City,True,1999-01-01T00:00:00.000Z,41.61825,-70.4906
MA0011000,Orleans Police Department,7424,MA,New England,Northeast,Region I,BARNSTABLE,City,True,2001-10-01T00:00:00.000Z,41.781925,-69.987465
MA0011100,Provincetown Police Department,7425,MA,New England,Northeast,Region I,BARNSTABLE,City,True,2003-01-01T00:00:00.000Z,42.050846,-70.19538
MA0011200,Sandwich Police Department,7426,MA,New England,Northeast,Region I,BARNSTABLE,City,True,1995-01-01T00:00:00.000Z,41.798819,-70.211083
MA0011300,Truro Police Department,7427,MA,New England,Northeast,Region I,BARNSTABLE,City,True,1995-01-01T00:00:00.000Z,41.798819,-70.211083
MA0011400,Wellfleet Police Department,7428,MA,New England,Northeast,Region I,BARNSTABLE,City,True,2008-01-01T00:00:00.000Z,41.943455,-70.02469
MA0011500,Yarmouth Police Department,7429,MA,New England,Northeast,Region I,BARNSTABLE,City,True,2004-01-01T00:00:00.000Z,41.798819,-70.211083
MA0011800,Cape Cod Community College,25337,MA,New England,Northeast,Region I,BARNSTABLE,University or College,True,2020-01-01T00:00:00.000Z,,
MA0020100,Adams Police Department,7434,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2000-01-01T00:00:00.000Z,42.622772,-73.12002
MA0020300,Becket Police Department,7435,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2019-01-01T00:00:00.000Z,42.27787,-73.05879
MA0020400,Cheshire Police Department,7436,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2015-05-01T00:00:00.000Z,42.56196,-73.16381
MA0020600,Dalton Police Department,7438,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2000-01-01T00:00:00.000Z,42.473263,-73.17021
MA0020700,Egremont Police Department,7439,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2021-01-01T00:00:00.000Z,42.375314,-73.213948
MA0020900,Great Barrington Police Department,7440,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2007-03-01T00:00:00.000Z,42.194534,-73.36223
MA0021100,Hinsdale Police Department,7441,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2020-02-01T00:00:00.000Z,42.375314,-73.213948
MA0021200,Lanesboro Police Department,7442,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2008-01-01T00:00:00.000Z,42.375314,-73.213948
MA0021300,Lee Police Department,7443,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2007-10-01T00:00:00.000Z,42.304893,-73.24903
MA0021400,Lenox Police Department,7444,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2007-03-01T00:00:00.000Z,42.356518,-73.284355
MA0021500,Monterey Police Department,7445,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2001-11-01T00:00:00.000Z,42.375314,-73.213948
MA0021800,New Marlborough,33750,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2021-01-01T00:00:00.000Z,,
MA0021900,North Adams Police Department,7446,MA,New England,Northeast,Region I,BERKSHIRE,City,True,1995-01-01T00:00:00.000Z,42.375314,-73.213948
MA0022000,Otis Police Department,7447,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2022-01-01T00:00:00.000Z,42.375314,-73.213948
MA0022200,Pittsfield Police Department,7449,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2005-01-01T00:00:00.000Z,42.449337,-73.25242
MA0022300,Richmond Police Department,7450,MA,New England,Northeast,Region I,BERKSHIRE,City,False,,42.3894,-73.36735
MA0022500,Savoy Police Department,7451,MA,New England,Northeast,Region I,BERKSHIRE,City,False,,42.565426,-73.02647
MA0022600,Sheffield Police Department,7452,MA,New England,Northeast,Region I,BERKSHIRE,City,False,2000-02-01T00:00:00.000Z,42.375314,-73.213948
MA0022700,Stockbridge Police Department,7453,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2000-01-01T00:00:00.000Z,42.334534,-73.36728
MA0023100,Williamstown Police Department,7455,MA,New England,Northeast,Region I,BERKSHIRE,City,True,2001-07-01T00:00:00.000Z,42.714375,-73.20893
MA0023500,Massachusetts College of Liberal Arts,7456,MA,New England,Northeast,Region I,BERKSHIRE,University or College,True,2009-02-01T00:00:00.000Z,42.690884,-73.10201
MA0030100,Acushnet Police Department,7462,MA,New England,Northeast,Region I,BRISTOL,City,True,1995-01-01T00:00:00.000Z,41.682827,-70.90995
MA0030200,Attleboro Police Department,7463,MA,New England,Northeast,Region I,BRISTOL,City,True,2004-01-01T00:00:00.000Z,41.94391,-71.281555
MA0030300,Berkley Police Department,7464,MA,New England,Northeast,Region I,BRISTOL,City,True,2007-01-01T00:00:00.000Z,41.84625,-71.08254
MA0030400,Dartmouth Police Department,7465,MA,New England,Northeast,Region I,BRISTOL,City,True,1995-01-01T00:00:00.000Z,41.746863,-71.090509
MA0030500,Dighton Police Department,7466,MA,New England,Northeast,Region I,BRISTOL,City,True,2017-02-01T00:00:00.000Z,41.746863,-71.090509
MA0030600,Easton Police Department,7467,MA,New England,Northeast,Region I,BRISTOL,City,True,1995-01-01T00:00:00.000Z,42.056736,-71.10664
MA0030700,Fairhaven Police Department,7468,MA,New England,Northeast,Region I,BRISTOL,City,True,1995-01-01T00:00:00.000Z,41.639618,-70.89312
MA0030800,Fall River Police Department,7469,MA,New England,Northeast,Region I,BRISTOL,City,True,2004-06-01T00:00:00.000Z,41.78334,-71.12577
MA0030900,Freetown Police Department,7470,MA,New England,Northeast,Region I,BRISTOL,City,True,1995-01-01T00:00:00.000Z,41.746863,-71.090509
MA0031000,Mansfield Police Department,7471,MA,New England,Northeast,Region I,BRISTOL,City,True,1996-05-01T00:00:00.000Z,41.746863,-71.090509
MA0031100,New Bedford Police Department,7472,MA,New England,Northeast,Region I,BRISTOL,City,True,2004-01-01T00:00:00.000Z,41.638344,-70.94959
MA0031200,North Attleboro Police Department,7473,MA,New England,Northeast,Region I,BRISTOL,City,True,2000-09-01T00:00:00.000Z,41.927773,-71.354576
MA0031300,Norton Police Department,7474,MA,New England,Northeast,Region I,BRISTOL,City,True,1996-01-01T00:00:00.000Z,41.96238,-71.19597
MA0031400,Raynham Police Department,7475,MA,New England,Northeast,Region I,BRISTOL,City,True,2005-10-01T00:00:00.000Z,41.92209,-71.05066
MA0031500,Rehoboth Police Department,7476,MA,New England,Northeast,Region I,BRISTOL,City,True,2001-06-01T00:00:00.000Z,41.863167,-71.23684
MA0031600,Seekonk Police Department,7477,MA,New England,Northeast,Region I,BRISTOL,City,True,1995-01-01T00:00:00.000Z,41.828766,-71.3186
MA0031700,Somerset Police Department,7478,MA,New England,Northeast,Region I,BRISTOL,City,True,1997-01-01T00:00:00.000Z,41.746863,-71.090509
MA0031800,Swansea Police Department,7479,MA,New England,Northeast,Region I,BRISTOL,City,True,1995-01-01T00:00:00.000Z,41.746483,-71.19428
MA0031900,Taunton Police Department,7480,MA,New England,Northeast,Region I,BRISTOL,City,True,2004-01-01T00:00:00.000Z,41.90118,-71.08913
MA0032000,Westport Police Department,7481,MA,New England,Northeast,Region I,BRISTOL,City,True,2000-05-01T00:00:00.000Z,41.578438,-71.0902
MA0032100,University of Massachusetts: Dartmouth,7482,MA,New England,Northeast,Region I,BRISTOL,University or College,True,2020-09-01T00:00:00.000Z,41.634468,-71.005165
MA003229E,Stonehill College,25578,MA,New England,Northeast,Region I,BRISTOL,University or College,True,2021-01-01T00:00:00.000Z,,
MA0032300,Bristol Community College,7483,MA,New England,Northeast,Region I,BRISTOL,University or College,True,2020-01-01T00:00:00.000Z,,
MA003269E,Wheaton College,25338,MA,New England,Northeast,Region I,BRISTOL,University or College,True,2019-01-01T00:00:00.000Z,,
MA003BA00,Massachusetts Bay Transportation Authority: Bristol County,7484,MA,New England,Northeast,Region I,BRISTOL,Other State Agency,False,,42.338226,-71.05713
MA0040100,Chilmark Police Department,7488,MA,New England,Northeast,Region I,DUKES,City,True,2008-01-01T00:00:00.000Z,41.380969,-70.701504
MA0040200,Edgartown Police Department,7489,MA,New England,Northeast,Region I,DUKES,City,True,2007-06-01T00:00:00.000Z,41.380969,-70.701504
MA0040300,Aquinnah Police Department,7490,MA,New England,Northeast,Region I,DUKES,City,True,2007-01-01T00:00:00.000Z,41.336143,-70.75497
MA0040500,Oak Bluffs Police Department,7491,MA,New England,Northeast,Region I,DUKES,City,True,2007-06-01T00:00:00.000Z,41.380969,-70.701504
MA0040600,Tisbury Police Department,7492,MA,New England,Northeast,Region I,DUKES,City,True,2007-06-01T00:00:00.000Z,41.380969,-70.701504
MA0040700,West Tisbury Police Department,7493,MA,New England,Northeast,Region I,DUKES,City,True,2007-06-01T00:00:00.000Z,41.380969,-70.701504
MA0050100,Amesbury Police Department,7498,MA,New England,Northeast,Region I,ESSEX,City,True,1995-01-01T00:00:00.000Z,42.856247,-70.933945
MA0050200,Andover Police Department,7499,MA,New England,Northeast,Region I,ESSEX,City,True,1995-01-01T00:00:00.000Z,42.655888,-71.14008
MA0050300,Beverly Police Department,7500,MA,New England,Northeast,Region I,ESSEX,City,True,2000-06-01T00:00:00.000Z,42.547817,-70.87892
MA0050400,Boxford Police Department,7501,MA,New England,Northeast,Region I,ESSEX,City,True,1995-01-01T00:00:00.000Z,42.691742,-71.0136
MA0050500,Danvers Police Department,7502,MA,New England,Northeast,Region I,ESSEX,City,True,1998-02-01T00:00:00.000Z,42.55642,-70.94153
MA0050600,Essex Police Department,7503,MA,New England,Northeast,Region I,ESSEX,City,True,2020-01-01T00:00:00.000Z,42.632225,-70.78238
MA0050700,Georgetown Police Department,7504,MA,New England,Northeast,Region I,ESSEX,City,True,2008-12-01T00:00:00.000Z,42.721397,-70.99251
MA0050800,Gloucester Police Department,7505,MA,New England,Northeast,Region I,ESSEX,City,True,2001-06-01T00:00:00.000Z,42.642711,-70.865107
MA0050900,Groveland Police Department,7506,MA,New England,Northeast,Region I,ESSEX,City,True,1997-01-01T00:00:00.000Z,42.642711,-70.865107
MA0051000,Hamilton Police Department,7508,MA,New England,Northeast,Region I,ESSEX,City,True,2002-01-01T00:00:00.000Z,42.642711,-70.865107
MA0051100,Haverhill Police Department,7509,MA,New England,Northeast,Region I,ESSEX,City,True,2004-07-01T00:00:00.000Z,42.727875,-71.011185
MA0051200,Ipswich Police Department,7510,MA,New England,Northeast,Region I,ESSEX,City,True,2001-01-01T00:00:00.000Z,42.67841,-70.83684
MA0051300,Lawrence Police Department,7511,MA,New England,Northeast,Region I,ESSEX,City,True,2020-01-01T00:00:00.000Z,42.708637,-71.165016
MA0051400,Lynn Police Department,7512,MA,New England,Northeast,Region I,ESSEX,City,True,2007-01-01T00:00:00.000Z,42.46463,-70.949905
MA0051500,Lynnfield Police Department,7513,MA,New England,Northeast,Region I,ESSEX,City,True,1997-01-01T00:00:00.000Z,42.538727,-71.047134
MA0051600,Manchester-by-the-Sea Police Department,7514,MA,New England,Northeast,Region I,ESSEX,City,True,2007-07-01T00:00:00.000Z,42.575256,-70.77225
MA0051700,Marblehead Police Department,7515,MA,New England,Northeast,Region I,ESSEX,City,True,1996-07-01T00:00:00.000Z,42.497223,-70.86018
MA0051800,Merrimac Police Department,7516,MA,New England,Northeast,Region I,ESSEX,City,True,2002-01-01T00:00:00.000Z,42.832764,-71.00361
MA0051900,Methuen Police Department,7517,MA,New England,Northeast,Region I,ESSEX,City,True,2002-01-01T00:00:00.000Z,42.729824,-71.19032
MA0052000,Middleton Police Department,7518,MA,New England,Northeast,Region I,ESSEX,City,True,1998-09-01T00:00:00.000Z,42.59823,-71.0202
MA0052100,Nahant Police Department,7519,MA,New England,Northeast,Region I,ESSEX,City,True,2000-01-01T00:00:00.000Z,42.642711,-70.865107
MA0052200,Newbury Police Department,7520,MA,New England,Northeast,Region I,ESSEX,City,True,2000-01-01T00:00:00.000Z,42.642711,-70.865107
MA0052300,Newburyport Police Department,7521,MA,New England,Northeast,Region I,ESSEX,City,True,1999-06-01T00:00:00.000Z,42.797325,-70.861664
MA0052400,North Andover Police Department,7522,MA,New England,Northeast,Region I,ESSEX,City,True,2000-05-01T00:00:00.000Z,42.69261,-71.1192
