ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
MS0010000,Adams County Sheriff's Office,10175,MS,East South Central,South,Region III,ADAMS,County,False,2012-08-01T00:00:00.000Z,31.559797,-91.40519
MS0010100,Natchez Police Department,10176,MS,East South Central,South,Region III,ADAMS,City,False,,31.558416,-91.372185
MS0020000,Alcorn County Sheriff's Office,10177,MS,East South Central,South,Region III,ALCORN,County,True,2020-01-01T00:00:00.000Z,34.886648,-88.581014
MS0020100,Corinth Police Department,10178,MS,East South Central,South,Region III,ALCORN,City,True,2020-01-01T00:00:00.000Z,34.886648,-88.581014
MS0030000,Amite County Sheriff's Office,10179,MS,East South Central,South,Region III,AMITE,County,True,2021-01-01T00:00:00.000Z,31.203933,-90.795542
MS0030100,Gloster Police Department,10180,MS,East South Central,South,Region III,AMITE,City,False,,31.203933,-90.795542
MS0040000,Attala County Sheriff's Office,10181,MS,East South Central,South,Region III,ATTALA,County,True,2020-07-01T00:00:00.000Z,33.05956,-89.590065
MS0040100,Kosciusko Police Department,10182,MS,East South Central,South,Region III,ATTALA,City,True,2019-01-01T00:00:00.000Z,33.09047,-89.588622
MS0050000,Benton County Sheriff's Office,10183,MS,East South Central,South,Region III,BENTON,County,False,,34.810773,-89.200029
MS0060000,Bolivar County Sheriff's Office,10184,MS,East South Central,South,Region III,BOLIVAR,County,True,2020-04-01T00:00:00.000Z,33.799278,-90.884476
MS0060100,Cleveland Police Department,10185,MS,East South Central,South,Region III,BOLIVAR,City,True,2019-01-01T00:00:00.000Z,33.799278,-90.884476
MS0060200,Mound Bayou Police Department,10186,MS,East South Central,South,Region III,BOLIVAR,City,False,,33.799278,-90.884476
MS0060300,Shelby Police Department,10187,MS,East South Central,South,Region III,BOLIVAR,City,False,,33.799278,-90.884476
MS0060400,Shaw Police Department,10188,MS,East South Central,South,Region III,"BOLIVAR, SUNFLOWER",City,False,,33.799278,-90.884476
MS0060500,Rosedale Police Department,10189,MS,East South Central,South,Region III,BOLIVAR,City,False,,33.799278,-90.884476
MS0070000,Calhoun County Sheriff's Office,10190,MS,East South Central,South,Region III,CALHOUN,County,True,2021-01-01T00:00:00.000Z,33.936634,-89.337114
MS0070100,Bruce Police Department,10191,MS,East South Central,South,Region III,CALHOUN,City,True,2020-04-01T00:00:00.000Z,33.936634,-89.337114
MS0070200,Calhoun City Police Department,10192,MS,East South Central,South,Region III,CALHOUN,City,True,2021-01-01T00:00:00.000Z,33.936634,-89.337114
MS0070300,Derma,32178,MS,East South Central,South,Region III,CALHOUN,City,True,2020-01-01T00:00:00.000Z,,
MS0070400,Vardaman,32177,MS,East South Central,South,Region III,CALHOUN,City,True,2020-01-01T00:00:00.000Z,,
MS0080000,Carroll County Sheriff's Office,10193,MS,East South Central,South,Region III,CARROLL,County,False,,33.440795,-89.918887
MS0080100,Vaiden Police Department,10194,MS,East South Central,South,Region III,CARROLL,City,False,,33.440795,-89.918887
MS0090000,Chickasaw County Sheriff's Office,10195,MS,East South Central,South,Region III,CHICKASAW,County,True,2020-07-01T00:00:00.000Z,33.920464,-89.023445
MS0090100,Houston Police Department,10196,MS,East South Central,South,Region III,CHICKASAW,City,False,,33.896675,-88.998764
MS0090200,Okolona Police Department,10197,MS,East South Central,South,Region III,CHICKASAW,City,False,,33.921654,-88.945808
MS0100000,Choctaw County Sheriff's Office,10198,MS,East South Central,South,Region III,CHOCTAW,County,True,2020-10-01T00:00:00.000Z,33.31367,-89.1848
MS0100100,Ackerman Police Department,10199,MS,East South Central,South,Region III,CHOCTAW,City,True,2020-09-01T00:00:00.000Z,33.345964,-89.251332
MS0110000,Claiborne County Sheriff's Office,10200,MS,East South Central,South,Region III,CLAIBORNE,County,True,2021-01-01T00:00:00.000Z,31.97281,-90.915424
MS0110100,Port Gibson Police Department,10201,MS,East South Central,South,Region III,CLAIBORNE,City,True,2021-01-01T00:00:00.000Z,31.97281,-90.915424
MS0120000,Clarke County Sheriff's Office,10202,MS,East South Central,South,Region III,CLARKE,County,False,,32.048448,-88.685964
MS0120100,Quitman Police Department,10203,MS,East South Central,South,Region III,CLARKE,City,True,2021-06-01T00:00:00.000Z,32.048448,-88.685964
MS0120300,Stonewall Police Department,10204,MS,East South Central,South,Region III,CLARKE,City,False,,32.048448,-88.685964
MS0130000,Clay County Sheriff's Office,10205,MS,East South Central,South,Region III,CLAY,County,True,2020-01-01T00:00:00.000Z,33.661733,-88.783326
MS0130100,West Point Police Department,10206,MS,East South Central,South,Region III,CLAY,City,True,2021-01-01T00:00:00.000Z,33.661733,-88.783326
MS0130200,East Mississippi Community College:,33803,MS,East South Central,South,Region III,CLAY,University or College,True,2022-01-01T00:00:00.000Z,,
MS0140000,Coahoma County Sheriff's Office,10207,MS,East South Central,South,Region III,COAHOMA,County,True,2021-01-01T00:00:00.000Z,34.22867,-90.603165
MS0140100,Clarksdale Police Department,10208,MS,East South Central,South,Region III,COAHOMA,City,False,,34.22867,-90.603165
MS0140300,Coahoma Community College,10209,MS,East South Central,South,Region III,COAHOMA,University or College,False,,34.22867,-90.603165
MS0150000,Copiah County Sheriff's Office,10210,MS,East South Central,South,Region III,COPIAH,County,False,,31.866915,-90.448758
MS0150100,Crystal Springs Police Department,10211,MS,East South Central,South,Region III,COPIAH,City,False,,31.866915,-90.448758
MS0150200,Hazlehurst Police Department,10212,MS,East South Central,South,Region III,COPIAH,City,False,,31.866915,-90.448758
MS0160000,Covington County Sheriff's Office,10213,MS,East South Central,South,Region III,COVINGTON,County,True,2022-01-01T00:00:00.000Z,31.633331,-89.548897
MS0160100,Collins Police Department,10214,MS,East South Central,South,Region III,COVINGTON,City,True,2020-01-01T00:00:00.000Z,31.633331,-89.548897
MS0160200,Mount Olive Police Department,10215,MS,East South Central,South,Region III,COVINGTON,City,False,,31.633331,-89.548897
MS0160300,Seminary,33489,MS,East South Central,South,Region III,COVINGTON,City,True,2021-01-01T00:00:00.000Z,,
MS0170000,Desoto County Sheriff's Office,10216,MS,East South Central,South,Region III,DESOTO,County,True,2018-10-01T00:00:00.000Z,34.821598,-89.99489
MS0170100,Southaven Police Department,10217,MS,East South Central,South,Region III,DESOTO,City,True,2019-01-01T00:00:00.000Z,34.874266,-89.99324
MS0170200,Olive Branch Police Department,10218,MS,East South Central,South,Region III,DESOTO,City,True,2019-01-01T00:00:00.000Z,34.874266,-89.99324
MS0170300,Hernando Police Department,10219,MS,East South Central,South,Region III,DESOTO,City,True,2018-10-01T00:00:00.000Z,34.82351,-89.99768
MS0170400,Horn Lake Police Department,10220,MS,East South Central,South,Region III,DESOTO,City,True,2018-01-01T00:00:00.000Z,34.96262,-90.04809
MS0170600,Walls,33017,MS,East South Central,South,Region III,DESOTO,City,True,2020-01-01T00:00:00.000Z,,
MS0170800,Northwest Mississippi Community College:,33294,MS,East South Central,South,Region III,DESOTO,University or College,True,2021-01-01T00:00:00.000Z,,
MS0180000,Forrest County Sheriff's Office,10221,MS,East South Central,South,Region III,FORREST,County,True,2020-03-01T00:00:00.000Z,31.18858,-89.259447
MS0180100,Hattiesburg Police Department,10222,MS,East South Central,South,Region III,"FORREST, LAMAR",City,True,2018-01-01T00:00:00.000Z,31.18858,-89.259447
MS0180200,Petal Police Department,10223,MS,East South Central,South,Region III,FORREST,City,True,2020-12-01T00:00:00.000Z,31.337318,-89.263794
MS0180500,Forrest General Hospital,33799,MS,East South Central,South,Region III,FORREST,Other,True,2022-01-01T00:00:00.000Z,,
MS0180700,Pearl River Community College:,33275,MS,East South Central,South,Region III,FORREST,University or College,True,2021-01-01T00:00:00.000Z,,
MS0190000,Franklin County Sheriff's Office,10224,MS,East South Central,South,Region III,FRANKLIN,County,False,,31.477798,-90.895884
MS0190400,Roxie Police Department,10226,MS,East South Central,South,Region III,FRANKLIN,City,False,,31.477798,-90.895884
MS0200000,George County Sheriff's Office,10227,MS,East South Central,South,Region III,GEORGE,County,True,2019-01-01T00:00:00.000Z,30.855431,-88.642268
MS0200100,Lucedale Police Department,10228,MS,East South Central,South,Region III,GEORGE,City,True,2020-01-01T00:00:00.000Z,30.925703,-88.58935
MS0210000,Greene County Sheriff's Office,10229,MS,East South Central,South,Region III,GREENE,County,True,2022-01-01T00:00:00.000Z,31.212845,-88.634811
MS0210100,Leakesville Police Department,10230,MS,East South Central,South,Region III,GREENE,City,False,,31.212845,-88.634811
MS0210200,McLain Police Department,10231,MS,East South Central,South,Region III,GREENE,City,False,,31.212845,-88.634811
MS0220000,Grenada County Sheriff's Office,10232,MS,East South Central,South,Region III,GRENADA,County,True,2020-01-01T00:00:00.000Z,33.785313,-89.803795
MS0220100,Grenada Police Department,10233,MS,East South Central,South,Region III,GRENADA,City,False,,33.78707,-89.80123
MS0220300,Holmes Community College:,33308,MS,East South Central,South,Region III,GRENADA,University or College,True,2020-01-01T00:00:00.000Z,,
MS0230000,Hancock County Sheriff's Office,10234,MS,East South Central,South,Region III,HANCOCK,County,True,2020-08-01T00:00:00.000Z,30.391472,-89.479964
MS0230200,Bay St. Louis Police Department,10235,MS,East South Central,South,Region III,HANCOCK,City,True,2019-06-01T00:00:00.000Z,30.316942,-89.34622
MS0230300,Waveland Police Department,10236,MS,East South Central,South,Region III,HANCOCK,City,True,2020-01-01T00:00:00.000Z,30.305695,-89.37913
MS0240000,Harrison County Sheriff's Office,10237,MS,East South Central,South,Region III,HARRISON,County,True,2015-01-01T00:00:00.000Z,30.372425,-89.09032
MS0240100,Biloxi Police Department,10238,MS,East South Central,South,Region III,HARRISON,City,True,2011-01-01T00:00:00.000Z,30.398106,-88.90185
MS0240200,Gulfport Police Department,10239,MS,East South Central,South,Region III,HARRISON,City,True,2008-01-01T00:00:00.000Z,30.369255,-89.08911
MS0240300,Long Beach Police Department,10240,MS,East South Central,South,Region III,HARRISON,City,True,2019-01-01T00:00:00.000Z,30.416536,-89.083376
MS0240400,Pass Christian Police Department,10241,MS,East South Central,South,Region III,HARRISON,City,True,2021-01-01T00:00:00.000Z,30.416536,-89.083376
MS0240500,Department of Marine Resources,25303,MS,East South Central,South,Region III,HARRISON,Other State Agency,False,,30.416536,-89.083376
MS0240800,D'Iberville Police Department,10242,MS,East South Central,South,Region III,HARRISON,City,True,2020-01-01T00:00:00.000Z,30.434103,-88.9
MS0250000,Hinds County Sheriff's Office,10243,MS,East South Central,South,Region III,HINDS,County,False,,32.267923,-90.4659
MS0250100,Jackson Police Department,10244,MS,East South Central,South,Region III,"HINDS, MADISON, RANKIN",City,False,,32.29755,-90.184235
MS0250200,Raymond Police Department,10245,MS,East South Central,South,Region III,HINDS,City,True,2020-08-01T00:00:00.000Z,32.267923,-90.4659
MS0250300,Clinton Police Department,10246,MS,East South Central,South,Region III,HINDS,City,True,2019-01-01T00:00:00.000Z,32.339264,-90.32945
MS0250400,Utica Police Department,10247,MS,East South Central,South,Region III,HINDS,City,False,,32.267923,-90.4659
MS0250600,Terry Police Department,10248,MS,East South Central,South,Region III,HINDS,City,False,,32.267923,-90.4659
MS0250700,Edwards Police Department,10249,MS,East South Central,South,Region III,HINDS,City,False,,32.267923,-90.4659
