ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
NV0010000,Churchill County Sheriff's Office,12880,NV,Mountain,West,Region IV,CHURCHILL,County,True,2020-11-01T00:00:00.000Z,39.525701,-118.270419
NV0010100,Fallon Police Department,12881,NV,Mountain,West,Region IV,CHURCHILL,City,True,2020-11-01T00:00:00.000Z,39.4748,-118.77769
NV0020100,Las Vegas Metropolitan Police Department Police Department,12883,NV,Mountain,West,Region IV,CLARK,City,True,2020-09-01T00:00:00.000Z,36.17203,-115.14022
NV0020200,North Las Vegas Police Department,12884,NV,Mountain,West,Region IV,CLARK,City,True,2019-11-01T00:00:00.000Z,36.214236,-115.013819
NV0020300,Henderson Police Department,12885,NV,Mountain,West,Region IV,CLARK,City,True,2020-08-01T00:00:00.000Z,36.03084,-114.98376
NV0020400,Boulder City Police Department,12886,NV,Mountain,West,Region IV,CLARK,City,True,2020-03-01T00:00:00.000Z,35.978218,-114.83407
NV002051C,City of Las Vegas Department of Public Safety,33134,NV,Mountain,West,Region IV,CLARK,Other,True,2021-01-01T00:00:00.000Z,,
NV0020800,Nevada Gaming Control Board:,33649,NV,Mountain,West,Region IV,CLARK,Other State Agency,True,2021-10-01T00:00:00.000Z,,
NV0020900,Mesquite Police Department,12888,NV,Mountain,West,Region IV,CLARK,City,True,2020-01-01T00:00:00.000Z,36.804005,-114.06781
NV0021000,University of Nevada: Las Vegas,12889,NV,Mountain,West,Region IV,CLARK,University or College,False,2020-08-01T00:00:00.000Z,36.107597,-115.1374
NV0021400,Clark County Fire Department,34184,NV,Mountain,West,Region IV,CLARK,Other,True,2022-08-01T00:00:00.000Z,,
NV0021500,Las Vegas Fire and Rescue Arson Bomb Unit,25359,NV,Mountain,West,Region IV,CLARK,Other,True,2021-01-01T00:00:00.000Z,36.214236,-115.013819
NV0021600,Clark County School District,12890,NV,Mountain,West,Region IV,CLARK,Other,False,,36.036304,-115.03425
NV0022000,Las Vegas Paiute Tribal,12891,NV,Mountain,West,Region IV,NOT SPECIFIED,Tribal,True,2021-01-01T00:00:00.000Z,36.185257,-115.13938
NV002300X,Secretary of State Securities Division Enforcement Section,25982,NV,Mountain,West,Region IV,CLARK,Other State Agency,False,2021-01-01T00:00:00.000Z,,
NV0029900,Highway Patrol: Southern Division,25887,NV,Mountain,West,Region IV,NOT SPECIFIED,State Police,True,2020-07-01T00:00:00.000Z,36.214236,-115.013819
NV002B81J,Las Vegas Municipal Court,34428,NV,Mountain,West,Region IV,CLARK,Other,False,,,
NV0030000,Douglas County Sheriff's Office,12892,NV,Mountain,West,Region IV,DOUGLAS,County,True,2020-12-01T00:00:00.000Z,38.905129,-119.609019
NV0031000,Washoe Tribal,12893,NV,Mountain,West,Region IV,NOT SPECIFIED,Tribal,False,,38.90504,-119.706215
NV0040000,Elko County Sheriff's Office,12894,NV,Mountain,West,Region IV,ELKO,County,True,2020-07-01T00:00:00.000Z,40.83335,-115.75857
NV0040100,Elko Police Department,12895,NV,Mountain,West,Region IV,ELKO,City,True,2021-01-01T00:00:00.000Z,40.841106,-115.75706
NV0040200,Carlin Police Department,12896,NV,Mountain,West,Region IV,ELKO,City,True,2020-10-01T00:00:00.000Z,41.141133,-115.351424
NV0040500,West Wendover Police Department,12898,NV,Mountain,West,Region IV,ELKO,City,True,2021-01-01T00:00:00.000Z,41.141133,-115.351424
NV0040700,Nevada Gaming Control Board:,33655,NV,Mountain,West,Region IV,ELKO,Other State Agency,True,2021-10-01T00:00:00.000Z,,
NV0049900,Highway Patrol: Northeastern Division,25888,NV,Mountain,West,Region IV,NOT SPECIFIED,State Police,True,2020-07-01T00:00:00.000Z,41.141133,-115.351424
NV0050000,Esmeralda County Sheriff's Office,12899,NV,Mountain,West,Region IV,ESMERALDA,County,False,,37.778966,-117.632382
NV0060000,Eureka County Sheriff's Office,12900,NV,Mountain,West,Region IV,EUREKA,County,True,2021-01-01T00:00:00.000Z,39.977788,-116.272208
NV0070000,Humboldt County Sheriff's Office,12901,NV,Mountain,West,Region IV,HUMBOLDT,County,True,2021-01-01T00:00:00.000Z,40.971798,-117.73327
NV0070100,Winnemucca Police Department,12902,NV,Mountain,West,Region IV,HUMBOLDT,City,True,2021-01-01T00:00:00.000Z,41.407914,-118.127591
NV0080000,Lander County Sheriff's Office,12903,NV,Mountain,West,Region IV,LANDER,County,True,2021-01-01T00:00:00.000Z,39.90021,-117.04724
NV0090000,Lincoln County Sheriff's Office,12904,NV,Mountain,West,Region IV,LINCOLN,County,False,,37.634605,-114.863037
NV0100000,Lyon County Sheriff's Office,12906,NV,Mountain,West,Region IV,LYON,County,True,2020-07-01T00:00:00.000Z,38.995132,-119.16177
NV0100100,Yerington Police Department,12907,NV,Mountain,West,Region IV,LYON,City,False,,38.995132,-119.16177
NV0100200,Yerington Paiute Tribal,12908,NV,Mountain,West,Region IV,NOT SPECIFIED,Tribal,False,,39.06985,-119.21024
NV0110000,Mineral County Sheriff's Office,12909,NV,Mountain,West,Region IV,MINERAL,County,True,2020-08-01T00:00:00.000Z,38.516647,-118.416279
