ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
OR0010000,Baker County Sheriff's Office,15356,OR,Pacific,West,Region IV,BAKER,County,True,2017-01-01T00:00:00.000Z,44.791683,-117.84842
OR0010100,Baker City Police Department,15357,OR,Pacific,West,Region IV,BAKER,City,True,2017-01-01T00:00:00.000Z,44.703427,-117.691933
OR001070X,Liquor Commission: Baker County,15358,OR,Pacific,West,Region IV,BAKER,Other State Agency,True,2014-01-01T00:00:00.000Z,,
OR001SP00,State Police: Baker County,15359,OR,Pacific,West,Region IV,BAKER,State Police,True,2014-02-01T00:00:00.000Z,44.703427,-117.691933
OR0020000,Benton County Sheriff's Office,15360,OR,Pacific,West,Region IV,BENTON,County,True,2006-01-01T00:00:00.000Z,44.493882,-123.424664
OR0020100,Corvallis Police Department,15361,OR,Pacific,West,Region IV,BENTON,City,True,2003-01-01T00:00:00.000Z,44.493882,-123.424664
OR0020200,Philomath Police Department,15362,OR,Pacific,West,Region IV,BENTON,City,True,2017-01-01T00:00:00.000Z,44.493882,-123.424664
OR0020400,Oregon State University,15364,OR,Pacific,West,Region IV,BENTON,University or College,True,2021-01-01T00:00:00.000Z,44.559406,-123.279564
OR002050X,Liquor Commission: Benton County,15365,OR,Pacific,West,Region IV,BENTON,Other State Agency,True,2014-01-01T00:00:00.000Z,,
OR002SP00,State Police: Benton County,15367,OR,Pacific,West,Region IV,BENTON,State Police,True,2014-01-01T00:00:00.000Z,44.493882,-123.424664
OR0030000,Clackamas County Sheriff's Office,15368,OR,Pacific,West,Region IV,CLACKAMAS,County,True,2016-01-01T00:00:00.000Z,45.32985,-122.600235
OR0030100,Canby Police Department,15369,OR,Pacific,West,Region IV,CLACKAMAS,City,True,2016-01-01T00:00:00.000Z,45.26283,-122.69416
OR0030300,Gladstone Police Department,15371,OR,Pacific,West,Region IV,CLACKAMAS,City,True,2015-01-01T00:00:00.000Z,45.380512,-122.59472
OR0030400,Lake Oswego Police Department,15372,OR,Pacific,West,Region IV,"CLACKAMAS, MULTNOMAH, WASHINGTON",City,True,2015-01-01T00:00:00.000Z,45.160493,-122.195127
OR0030500,Milwaukie Police Department,15373,OR,Pacific,West,Region IV,CLACKAMAS,City,True,2015-12-01T00:00:00.000Z,45.446583,-122.62958
OR0030600,Molalla Police Department,15374,OR,Pacific,West,Region IV,CLACKAMAS,City,True,2015-12-01T00:00:00.000Z,45.160493,-122.195127
OR0030700,Oregon City Police Department,15375,OR,Pacific,West,Region IV,CLACKAMAS,City,True,2015-09-01T00:00:00.000Z,45.160493,-122.195127
OR0030800,Sandy Police Department,15376,OR,Pacific,West,Region IV,CLACKAMAS,City,True,2015-01-01T00:00:00.000Z,45.39729,-122.26228
OR0030900,West Linn Police Department,15377,OR,Pacific,West,Region IV,CLACKAMAS,City,True,2015-11-01T00:00:00.000Z,45.361465,-122.60955
