ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
AK0010100,Anchorage Police Department,1,AK,Pacific,West,Region IV,ANCHORAGE,City,False,,61.17425,-149.284329
AK0010200,Fairbanks Police Department,2,AK,Pacific,West,Region IV,FAIRBANKS NORTH STAR,City,True,2021-01-01T00:00:00.000Z,64.83945,-147.71942
AK0010300,Juneau Police Department,3,AK,Pacific,West,Region IV,JUNEAU,City,True,2022-10-01T00:00:00.000Z,58.356556,-134.50731
AK0010400,Ketchikan Police Department,4,AK,Pacific,West,Region IV,KETCHIKAN GATEWAY,City,True,2021-01-01T00:00:00.000Z,55.449938,-131.106685
AK0010500,Kodiak Police Department,5,AK,Pacific,West,Region IV,KODIAK ISLAND,City,True,2021-01-01T00:00:00.000Z,57.8049,-152.37332
AK0010600,Nome Police Department,6,AK,Pacific,West,Region IV,NOME,City,True,2021-01-01T00:00:00.000Z,64.783686,-164.188912
AK0010700,Petersburg Police Department,7,AK,Pacific,West,Region IV,PETERSBURG,City,True,2021-01-01T00:00:00.000Z,55.415683,-132.875734
AK0010800,Seward Police Department,8,AK,Pacific,West,Region IV,KENAI PENINSULA,City,True,2021-01-01T00:00:00.000Z,60.366668,-152.322283
AK0010900,Sitka Police Department,9,AK,Pacific,West,Region IV,SITKA,City,True,2021-01-01T00:00:00.000Z,57.052124,-135.33418
AK0011000,Skagway Police Department,10,AK,Pacific,West,Region IV,SKAGWAY,City,True,2021-01-01T00:00:00.000Z,59.575097,-135.335418
AK0011100,Wrangell Police Department,11,AK,Pacific,West,Region IV,WRANGELL,City,True,2021-01-01T00:00:00.000Z,56.279121,-132.040325
AK0011200,Valdez Police Department,12,AK,Pacific,West,Region IV,VALDEZ-CORDOVA,City,True,2021-01-01T00:00:00.000Z,61.34984,-145.023141
AK0011300,Bethel Police Department,13,AK,Pacific,West,Region IV,BETHEL,City,True,2021-01-01T00:00:00.000Z,60.928916,-160.15335
AK0011400,Cordova Police Department,14,AK,Pacific,West,Region IV,VALDEZ-CORDOVA,City,True,2021-01-01T00:00:00.000Z,61.34984,-145.023141
AK0011600,Kotzebue Police Department,15,AK,Pacific,West,Region IV,NORTHWEST ARCTIC,City,True,2021-01-01T00:00:00.000Z,67.005066,-160.021086
AK0011700,Palmer Police Department,16,AK,Pacific,West,Region IV,MATANUSKA-SUSITNA,City,True,2021-01-01T00:00:00.000Z,61.602676,-149.11183
AK0011800,North Slope Borough Police Department,17,AK,Pacific,West,Region IV,NORTH SLOPE,City,True,2021-01-01T00:00:00.000Z,69.449343,-153.47283
AK0011900,Seldovia Police Department,18,AK,Pacific,West,Region IV,KENAI PENINSULA,City,False,,60.366668,-152.322283
