ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
AR0010000,Arkansas County Sheriff's Office,497,AR,West South Central,South,Region III,ARKANSAS,County,True,2003-01-01T00:00:00.000Z,34.500004,-91.55133
AR0010100,De Witt Police Department,498,AR,West South Central,South,Region III,ARKANSAS,City,True,2003-10-01T00:00:00.000Z,34.29578,-91.33483
AR0010200,Stuttgart Police Department,499,AR,West South Central,South,Region III,ARKANSAS,City,True,2004-01-01T00:00:00.000Z,34.498188,-91.55266
AR0010300,Gillett Police Department,500,AR,West South Central,South,Region III,ARKANSAS,City,True,2019-01-01T00:00:00.000Z,34.289573,-91.376547
AR0010500,St. Charles Police Department,25305,AR,West South Central,South,Region III,ARKANSAS,City,True,2014-02-01T00:00:00.000Z,34.289573,-91.376547
AR0020000,Ashley County Sheriff's Office,501,AR,West South Central,South,Region III,ASHLEY,County,True,2008-01-01T00:00:00.000Z,33.22701,-91.79664
AR0020100,Crossett Police Department,502,AR,West South Central,South,Region III,ASHLEY,City,True,2003-07-01T00:00:00.000Z,33.190835,-91.772267
AR0020200,Hamburg Police Department,503,AR,West South Central,South,Region III,ASHLEY,City,True,2003-01-01T00:00:00.000Z,33.190835,-91.772267
AR0030000,Baxter County Sheriff's Office,505,AR,West South Central,South,Region III,BAXTER,County,True,2002-10-01T00:00:00.000Z,36.28071,-92.330438
AR0030100,Mountain Home Police Department,506,AR,West South Central,South,Region III,BAXTER,City,True,2002-10-01T00:00:00.000Z,36.333,-92.38602
AR0030200,Cotter Police Department,507,AR,West South Central,South,Region III,BAXTER,City,True,2003-10-01T00:00:00.000Z,36.28071,-92.330438
AR0030300,Gassville Police Department,508,AR,West South Central,South,Region III,BAXTER,City,True,2003-01-01T00:00:00.000Z,36.28071,-92.330438
AR0030400,Lakeview Police Department,509,AR,West South Central,South,Region III,BAXTER,City,True,2003-01-01T00:00:00.000Z,36.28071,-92.330438
AR0030500,Norfork Police Department,25306,AR,West South Central,South,Region III,BAXTER,City,True,2014-02-01T00:00:00.000Z,36.28071,-92.330438
