ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
CA0010000,Alameda County Sheriff's Office,937,CA,Pacific,West,Region IV,ALAMEDA,County,True,2022-07-01T00:00:00.000Z,37.802,-122.26236
CA0010100,Alameda Police Department,938,CA,Pacific,West,Region IV,ALAMEDA,City,True,2021-11-01T00:00:00.000Z,37.766888,-122.24273
CA0010200,Albany Police Department,939,CA,Pacific,West,Region IV,ALAMEDA,City,True,2021-09-01T00:00:00.000Z,37.887703,-122.29825
CA0010300,Berkeley Police Department,940,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.870537,-122.27298
CA0010400,Emeryville Police Department,941,CA,Pacific,West,Region IV,ALAMEDA,City,True,2021-05-01T00:00:00.000Z,37.648134,-121.913291
CA0010500,Fremont Police Department,942,CA,Pacific,West,Region IV,ALAMEDA,City,True,2022-05-01T00:00:00.000Z,37.553017,-121.97069
CA0010600,Hayward Police Department,943,CA,Pacific,West,Region IV,ALAMEDA,City,True,2022-10-01T00:00:00.000Z,37.662106,-122.08672
CA0010700,Livermore Police Department,944,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.674633,-121.756935
CA0010800,Newark Police Department,945,CA,Pacific,West,Region IV,ALAMEDA,City,True,2021-10-01T00:00:00.000Z,37.536236,-122.02951
CA0010900,Oakland Police Department,946,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.79965,-122.27459
CA0011000,Piedmont Police Department,947,CA,Pacific,West,Region IV,ALAMEDA,City,True,2022-06-01T00:00:00.000Z,37.824814,-122.23214
CA0011100,Pleasanton Police Department,948,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.648134,-121.913291
CA0011200,San Leandro Police Department,949,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.648134,-121.913291
CA0011300,Union City Police Department,950,CA,Pacific,West,Region IV,ALAMEDA,City,True,2022-05-01T00:00:00.000Z,37.58882,-122.02747
CA0011400,East Bay Regional Parks: Alameda County,951,CA,Pacific,West,Region IV,ALAMEDA,Other,True,2022-04-01T00:00:00.000Z,37.71378,-122.10035
CA0011500,California State University: East Bay,952,CA,Pacific,West,Region IV,ALAMEDA,University or College,True,2021-12-01T00:00:00.000Z,37.658787,-122.062225
CA0011600,Union Pacific Railroad: Alameda County,953,CA,Pacific,West,Region IV,ALAMEDA,Other,False,,37.798763,-122.24971
CA0012100,San Francisco Bay Area Rapid Transit: Alameda County,954,CA,Pacific,West,Region IV,ALAMEDA,Other,False,,37.79742,-122.26664
CA001300X,Dublin Police Department,959,CA,Pacific,West,Region IV,ALAMEDA,City,False,2022-07-01T00:00:00.000Z,37.799427,-122.262505
CA0014100,California State Parks:,31874,CA,Pacific,West,Region IV,ALAMEDA,Other State Agency,True,2021-03-01T00:00:00.000Z,,
CA0019700,University of California: Berkeley,962,CA,Pacific,West,Region IV,ALAMEDA,University or College,True,2022-09-01T00:00:00.000Z,37.648134,-121.913291
CA0019916,Highway Patrol:,33936,CA,Pacific,West,Region IV,ALAMEDA,State Police,True,2021-11-01T00:00:00.000Z,,
CA0019945,Highway Patrol:,33946,CA,Pacific,West,Region IV,ALAMEDA,State Police,True,2021-11-01T00:00:00.000Z,,
CA0019947,Highway Patrol:,33994,CA,Pacific,West,Region IV,ALAMEDA,State Police,True,2021-11-01T00:00:00.000Z,,
CA0019970,Highway Patrol:,34004,CA,Pacific,West,Region IV,ALAMEDA,State Police,True,2021-11-01T00:00:00.000Z,,
CA0019975,Highway Patrol:,33870,CA,Pacific,West,Region IV,ALAMEDA,State Police,True,2021-11-01T00:00:00.000Z,,
CA0019990,Highway Patrol:,33912,CA,Pacific,West,Region IV,ALAMEDA,State Police,True,2021-11-01T00:00:00.000Z,,
CA0019991,Highway Patrol:,33972,CA,Pacific,West,Region IV,ALAMEDA,State Police,True,2021-11-01T00:00:00.000Z,,
CA0020000,Alpine County Sheriff's Office,965,CA,Pacific,West,Region IV,ALPINE,County,True,2022-08-01T00:00:00.000Z,38.61761,-119.798999
CA0030000,Amador County Sheriff's Office,967,CA,Pacific,West,Region IV,AMADOR,County,True,2022-07-01T00:00:00.000Z,38.352863,-120.7679
CA0030200,Ione Police Department,969,CA,Pacific,West,Region IV,AMADOR,City,True,2022-07-01T00:00:00.000Z,38.44355,-120.653856
CA0030300,Jackson Police Department,970,CA,Pacific,West,Region IV,AMADOR,City,True,2022-07-01T00:00:00.000Z,38.347904,-120.77274
CA0030500,Sutter Creek Police Department,972,CA,Pacific,West,Region IV,AMADOR,City,True,2022-07-01T00:00:00.000Z,38.391117,-120.80235
CA0030600,Union Pacific Railroad: Amador County,973,CA,Pacific,West,Region IV,AMADOR,Other,False,,37.798763,-122.24971
CA0039995,Highway Patrol:,33834,CA,Pacific,West,Region IV,AMADOR,State Police,True,2021-11-01T00:00:00.000Z,,
CA0040000,Butte County Sheriff's Office,975,CA,Pacific,West,Region IV,BUTTE,County,True,2022-05-01T00:00:00.000Z,39.665959,-121.601919
CA0040200,Chico Police Department,977,CA,Pacific,West,Region IV,BUTTE,City,False,,39.735462,-121.81528
CA0040300,Gridley Police Department,978,CA,Pacific,West,Region IV,BUTTE,City,True,2022-08-01T00:00:00.000Z,39.365505,-121.69721
CA0040400,Oroville Police Department,979,CA,Pacific,West,Region IV,BUTTE,City,True,2021-10-01T00:00:00.000Z,39.508167,-121.554825
CA0040500,Paradise Police Department,980,CA,Pacific,West,Region IV,BUTTE,City,True,2022-02-01T00:00:00.000Z,39.75336,-121.62395
CA0040600,Union Pacific Railroad: Butte County,981,CA,Pacific,West,Region IV,BUTTE,Other,False,,37.798763,-122.24971
CA0040700,Department of Parks and Recreation: Northern Buttes,982,CA,Pacific,West,Region IV,BUTTE,Other State Agency,True,2021-03-01T00:00:00.000Z,39.510296,-121.50341
CA0049700,California State University: Chico,985,CA,Pacific,West,Region IV,BUTTE,University or College,True,2022-05-01T00:00:00.000Z,39.665959,-121.601919
CA0049940,Highway Patrol:,34010,CA,Pacific,West,Region IV,AMADOR,State Police,True,2021-11-01T00:00:00.000Z,,
CA0049941,Highway Patrol:,33878,CA,Pacific,West,Region IV,AMADOR,State Police,True,2021-11-01T00:00:00.000Z,,
CA0050000,Calaveras County Sheriff's Office,988,CA,Pacific,West,Region IV,CALAVERAS,County,True,2021-12-01T00:00:00.000Z,38.19131,-120.66931
CA0050100,City of Angels Police Department,989,CA,Pacific,West,Region IV,CALAVERAS,City,False,,38.184618,-120.5594
CA0050200,Union Pacific Railroad: Calaveras County,990,CA,Pacific,West,Region IV,CALAVERAS,Other,False,,38.184618,-120.5594
CA0050300,Department of Parks and Recreation: Calaveras County,991,CA,Pacific,West,Region IV,CALAVERAS,Other State Agency,True,2021-02-01T00:00:00.000Z,38.184618,-120.5594
CA0059955,Highway Patrol:,34032,CA,Pacific,West,Region IV,CALAVERAS,State Police,True,2021-11-01T00:00:00.000Z,,
