ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
CO0010000,Adams County Sheriff's Office,1826,CO,Mountain,West,Region IV,ADAMS,County,True,1997-01-01T00:00:00.000Z,39.874325,-104.331872
CO0010100,Aurora Police Department,1827,CO,Mountain,West,Region IV,"ADAMS, ARAPAHOE, DOUGLAS",City,True,1985-01-01T00:00:00.000Z,39.70955,-104.81493
CO0010200,Brighton Police Department,1828,CO,Mountain,West,Region IV,"ADAMS, WELD",City,True,2004-09-01T00:00:00.000Z,39.874325,-104.331872
CO0010300,Commerce City Police Department,1829,CO,Mountain,West,Region IV,ADAMS,City,True,1997-01-01T00:00:00.000Z,39.874325,-104.331872
CO0010400,Thornton Police Department,1830,CO,Mountain,West,Region IV,ADAMS,City,True,2012-01-01T00:00:00.000Z,39.868996,-104.984215
CO0010500,Westminster Police Department,1831,CO,Mountain,West,Region IV,"ADAMS, JEFFERSON",City,True,1997-01-01T00:00:00.000Z,39.86312,-105.050415
CO0010600,Northglenn Police Department,1832,CO,Mountain,West,Region IV,"ADAMS, WELD",City,True,1997-01-01T00:00:00.000Z,39.9079,-104.98737
CO0010800,Federal Heights Police Department,1834,CO,Mountain,West,Region IV,ADAMS,City,True,1997-01-01T00:00:00.000Z,39.859097,-105.01396
CO0011100,University of Colorado: Denver,1835,CO,Mountain,West,Region IV,ADAMS,University or College,True,2002-01-01T00:00:00.000Z,39.644632,-104.331733
CO0020000,Alamosa County Sheriff's Office,1836,CO,Mountain,West,Region IV,ALAMOSA,County,True,1997-01-01T00:00:00.000Z,37.454723,-105.87713
CO0020100,Alamosa Police Department,1837,CO,Mountain,West,Region IV,ALAMOSA,City,True,2012-01-01T00:00:00.000Z,37.568442,-105.788041
CO0020200,Adams State University,1838,CO,Mountain,West,Region IV,ALAMOSA,University or College,True,1997-07-01T00:00:00.000Z,37.47158,-105.88075
CO0030000,Arapahoe County Sheriff's Office,1839,CO,Mountain,West,Region IV,ARAPAHOE,County,True,1997-01-01T00:00:00.000Z,39.578564,-104.84023
CO0030100,Englewood Police Department,1840,CO,Mountain,West,Region IV,ARAPAHOE,City,True,1992-01-01T00:00:00.000Z,39.644632,-104.331733
CO0030200,Littleton Police Department,1841,CO,Mountain,West,Region IV,"ARAPAHOE, DOUGLAS, JEFFERSON",City,True,2011-01-01T00:00:00.000Z,39.616898,-105.01454
CO0030300,Sheridan Police Department,1842,CO,Mountain,West,Region IV,ARAPAHOE,City,True,1997-01-01T00:00:00.000Z,39.642136,-105.02534
CO0030400,Glendale Police Department,1843,CO,Mountain,West,Region IV,ARAPAHOE,City,True,1997-01-01T00:00:00.000Z,39.6993,-104.936356
CO0030500,Cherry Hills Village Police Department,1844,CO,Mountain,West,Region IV,ARAPAHOE,City,True,1997-01-01T00:00:00.000Z,39.638012,-104.95837
CO0030600,Bow Mar Police Department,1845,CO,Mountain,West,Region IV,"ARAPAHOE, JEFFERSON",City,True,1997-01-01T00:00:00.000Z,39.619427,-105.04605
CO0030700,Greenwood Village Police Department,1846,CO,Mountain,West,Region IV,ARAPAHOE,City,True,1997-01-01T00:00:00.000Z,39.644632,-104.331733
CO0030800,Columbine Valley Police Department,1847,CO,Mountain,West,Region IV,ARAPAHOE,City,True,1997-01-01T00:00:00.000Z,39.606247,-105.035
CO0030900,Arapahoe Community College,1848,CO,Mountain,West,Region IV,ARAPAHOE,University or College,True,1997-01-01T00:00:00.000Z,39.61016,-105.02113
CO0031100,Centennial Police Department,1849,CO,Mountain,West,Region IV,ARAPAHOE,City,True,2002-01-01T00:00:00.000Z,39.644632,-104.331733
CO0040000,Archuleta County Sheriff's Office,1852,CO,Mountain,West,Region IV,ARCHULETA,County,True,1997-01-01T00:00:00.000Z,37.202395,-107.050863
CO0040100,Pagosa Springs Police Department,1853,CO,Mountain,West,Region IV,ARCHULETA,City,True,1997-01-01T00:00:00.000Z,37.202395,-107.050863
CO0050000,Baca County Sheriff's Office,1855,CO,Mountain,West,Region IV,BACA,County,True,1997-01-01T00:00:00.000Z,37.41247,-102.61426
CO0050100,Springfield Police Department,1856,CO,Mountain,West,Region IV,BACA,City,True,2003-01-01T00:00:00.000Z,37.406647,-102.61652
CO0050700,Walsh Police Department,1859,CO,Mountain,West,Region IV,BACA,City,False,2004-10-01T00:00:00.000Z,37.306678,-102.537765
CO0060000,Bent County Sheriff's Office,1860,CO,Mountain,West,Region IV,BENT,County,True,1997-01-01T00:00:00.000Z,37.931891,-103.077584
CO0070000,Boulder County Sheriff's Office,1862,CO,Mountain,West,Region IV,BOULDER,County,True,2015-01-01T00:00:00.000Z,40.013927,-105.28725
CO0070100,Boulder Police Department,1863,CO,Mountain,West,Region IV,BOULDER,City,True,2010-01-01T00:00:00.000Z,40.018864,-105.24995
CO0070300,Lafayette Police Department,1865,CO,Mountain,West,Region IV,BOULDER,City,True,2011-01-01T00:00:00.000Z,39.987686,-105.09051
CO0070400,Longmont Police Department,1866,CO,Mountain,West,Region IV,"BOULDER, WELD",City,True,1997-01-01T00:00:00.000Z,40.162106,-105.10189
CO0070500,University of Colorado: Boulder,1867,CO,Mountain,West,Region IV,BOULDER,University or College,True,1997-01-01T00:00:00.000Z,40.094838,-105.398376
CO0070600,Louisville Police Department,1868,CO,Mountain,West,Region IV,BOULDER,City,True,2012-01-01T00:00:00.000Z,39.977306,-105.13216
CO0070800,Nederland Police Department,1870,CO,Mountain,West,Region IV,BOULDER,City,True,2015-01-01T00:00:00.000Z,40.094838,-105.398376
CO0080000,Chaffee County Sheriff's Office,1871,CO,Mountain,West,Region IV,CHAFFEE,County,True,1997-01-01T00:00:00.000Z,38.738244,-106.316955
