ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
ID0010000,Ada County Sheriff's Office,4530,ID,Mountain,West,Region IV,ADA,County,True,1992-08-01T00:00:00.000Z,43.60671,-116.26885
ID0010100,Boise Police Department,4531,ID,Mountain,West,Region IV,ADA,City,True,1992-05-01T00:00:00.000Z,43.60671,-116.26885
ID001015A,Attorney General,29594,ID,Mountain,West,Region IV,NOT SPECIFIED,Other State Agency,True,2019-04-01T00:00:00.000Z,,
ID0010200,Garden City Police Department,4532,ID,Mountain,West,Region IV,ADA,City,True,1992-01-01T00:00:00.000Z,43.643784,-116.26528
ID0010300,Meridian Police Department,4533,ID,Mountain,West,Region IV,ADA,City,True,1992-01-01T00:00:00.000Z,43.451477,-116.244376
ID0020000,Adams County Sheriff's Office,4535,ID,Mountain,West,Region IV,ADAMS,County,True,1992-01-01T00:00:00.000Z,44.884583,-116.431873
ID0030000,Bannock County Sheriff's Office,4537,ID,Mountain,West,Region IV,BANNOCK,County,True,1992-01-01T00:00:00.000Z,42.692938,-112.228986
ID0030100,Chubbuck Police Department,4538,ID,Mountain,West,Region IV,BANNOCK,City,True,1992-01-01T00:00:00.000Z,42.692938,-112.228986
ID0030200,Pocatello Police Department,4539,ID,Mountain,West,Region IV,BANNOCK,City,True,1992-12-01T00:00:00.000Z,42.692938,-112.228986
ID0030300,Fort Hall Tribal,4540,ID,Mountain,West,Region IV,NOT SPECIFIED,Tribal,True,2021-01-01T00:00:00.000Z,43.216357,-112.399206
ID0040000,Bear Lake County Sheriff's Office,4542,ID,Mountain,West,Region IV,BEAR LAKE,County,True,1993-01-01T00:00:00.000Z,42.285833,-111.327445
ID0040100,Montpelier Police Department,4543,ID,Mountain,West,Region IV,BEAR LAKE,City,True,1992-08-01T00:00:00.000Z,42.285833,-111.327445
ID0050000,Benewah County Sheriff's Office,4544,ID,Mountain,West,Region IV,BENEWAH,County,True,1992-01-01T00:00:00.000Z,47.315243,-116.56676
ID0060000,Bingham County Sheriff's Office,4546,ID,Mountain,West,Region IV,BINGHAM,County,True,1992-01-01T00:00:00.000Z,43.194084,-112.34408
ID0060200,Blackfoot Police Department,4548,ID,Mountain,West,Region IV,BINGHAM,City,True,1992-01-01T00:00:00.000Z,43.216357,-112.399206
ID0060400,Shelley Police Department,4550,ID,Mountain,West,Region IV,BINGHAM,City,True,1992-01-01T00:00:00.000Z,43.381145,-112.12585
ID0070000,Blaine County Sheriff's Office,4551,ID,Mountain,West,Region IV,BLAINE,County,True,1992-01-01T00:00:00.000Z,43.394482,-113.95529
ID0070100,Ketchum Police Department,4552,ID,Mountain,West,Region IV,BLAINE,City,True,1992-01-01T00:00:00.000Z,43.394482,-113.95529
ID0070200,Sun Valley Police Department,4553,ID,Mountain,West,Region IV,BLAINE,City,True,1992-01-01T00:00:00.000Z,43.394482,-113.95529
ID0070300,Hailey Police Department,4554,ID,Mountain,West,Region IV,BLAINE,City,True,1992-03-01T00:00:00.000Z,43.51983,-114.31555
ID0070400,Bellevue Police Department,4555,ID,Mountain,West,Region IV,BLAINE,City,True,1992-03-01T00:00:00.000Z,43.394482,-113.95529
ID0080000,Boise County Sheriff's Office,4556,ID,Mountain,West,Region IV,BOISE,County,True,1993-01-01T00:00:00.000Z,43.987275,-115.71511
ID0080100,Idaho City Police Department,4557,ID,Mountain,West,Region IV,BOISE,City,False,1999-01-01T00:00:00.000Z,43.987275,-115.71511
ID0090000,Bonner County Sheriff's Office,4558,ID,Mountain,West,Region IV,BONNER,County,True,1992-01-01T00:00:00.000Z,48.307823,-116.55705
ID0090100,Priest River Police Department,4559,ID,Mountain,West,Region IV,BONNER,City,True,1992-01-01T00:00:00.000Z,48.312512,-116.59694
ID0090200,Sandpoint Police Department,4560,ID,Mountain,West,Region IV,BONNER,City,True,1993-01-01T00:00:00.000Z,48.272057,-116.56282
ID0090300,Ponderay Police Department,4561,ID,Mountain,West,Region IV,BONNER,City,True,1995-01-01T00:00:00.000Z,48.312512,-116.59694
ID0100000,Bonneville County Sheriff's Office,4562,ID,Mountain,West,Region IV,BONNEVILLE,County,True,1993-01-01T00:00:00.000Z,43.494877,-112.04055
ID0100200,Idaho Falls Police Department,4564,ID,Mountain,West,Region IV,BONNEVILLE,City,True,1993-01-01T00:00:00.000Z,43.395171,-111.621878
ID0110000,Boundary County Sheriff's Office,4566,ID,Mountain,West,Region IV,BOUNDARY,County,True,1992-01-01T00:00:00.000Z,48.773065,-116.524619
ID0110100,Bonners Ferry Police Department,4567,ID,Mountain,West,Region IV,BOUNDARY,City,True,1992-01-01T00:00:00.000Z,48.773065,-116.524619
ID0120000,Butte County Sheriff's Office,4568,ID,Mountain,West,Region IV,BUTTE,County,True,1992-01-01T00:00:00.000Z,43.6851,-113.177627
ID0130000,Camas County Sheriff's Office,4570,ID,Mountain,West,Region IV,CAMAS,County,True,2002-01-01T00:00:00.000Z,43.463396,-114.804427
ID0140000,Canyon County Sheriff's Office,4571,ID,Mountain,West,Region IV,CANYON,County,True,1992-01-01T00:00:00.000Z,43.66518,-116.68237
ID0140100,Caldwell Police Department,4572,ID,Mountain,West,Region IV,CANYON,City,True,1992-01-01T00:00:00.000Z,43.667896,-116.69103
ID0140200,Nampa Police Department,4573,ID,Mountain,West,Region IV,CANYON,City,True,1994-01-01T00:00:00.000Z,43.623051,-116.708527
ID0140300,Parma Police Department,4574,ID,Mountain,West,Region IV,CANYON,City,True,1993-01-01T00:00:00.000Z,43.623051,-116.708527
ID0140400,Wilder Police Department,4575,ID,Mountain,West,Region IV,CANYON,City,True,1992-01-01T00:00:00.000Z,43.623051,-116.708527
ID0140500,Middleton,26652,ID,Mountain,West,Region IV,CANYON,City,True,2017-01-01T00:00:00.000Z,,
ID0150000,Caribou County Sheriff's Office,4576,ID,Mountain,West,Region IV,CARIBOU,County,True,1992-01-01T00:00:00.000Z,42.65466,-111.5894
