ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
IL0010000,Adams County Sheriff's Office,4675,IL,East North Central,Midwest,Region II,ADAMS,County,True,2021-01-01T00:00:00.000Z,39.934517,-91.40799
IL0010100,Camp Point Police Department,4676,IL,East North Central,Midwest,Region II,ADAMS,City,False,,40.039932,-91.0664
IL0010300,Quincy Police Department,4677,IL,East North Central,Midwest,Region II,ADAMS,City,False,2021-01-01T00:00:00.000Z,39.931683,-91.40334
IL0010800,John Wood Community College,25699,IL,East North Central,Midwest,Region II,ADAMS,University or College,True,2021-03-01T00:00:00.000Z,39.986052,-91.194961
IL0020000,Alexander County Sheriff's Office,4680,IL,East North Central,Midwest,Region II,ALEXANDER,County,False,,37.004906,-89.175995
IL0020100,Cairo Police Department,4681,IL,East North Central,Midwest,Region II,ALEXANDER,City,False,,37.002796,-89.17247
IL0030000,Bond County Sheriff's Office,4682,IL,East North Central,Midwest,Region II,BOND,County,True,2022-01-01T00:00:00.000Z,38.8887,-89.412445
IL0030100,Greenville Police Department,4683,IL,East North Central,Midwest,Region II,BOND,City,True,2022-01-01T00:00:00.000Z,38.889313,-89.41342
IL0030200,Pocahontas,35490,IL,East North Central,Midwest,Region II,BOND,City,False,,,
IL0030300,Sorento Police Department,4684,IL,East North Central,Midwest,Region II,BOND,City,False,,38.885924,-89.436592
IL0030500,Pierron Police Department,23169,IL,East North Central,Midwest,Region II,"BOND, MADISON",City,False,,38.885924,-89.436592
IL0040000,Boone County Sheriff's Office,4685,IL,East North Central,Midwest,Region II,BOONE,County,True,2022-06-01T00:00:00.000Z,42.264786,-88.84539
IL0040100,Belvidere Police Department,4686,IL,East North Central,Midwest,Region II,BOONE,City,True,2022-06-01T00:00:00.000Z,42.318983,-88.824295
IL0050000,Brown County Sheriff's Office,4687,IL,East North Central,Midwest,Region II,BROWN,County,False,,39.98675,-90.76378
IL0050100,Mount Sterling Police Department,4688,IL,East North Central,Midwest,Region II,BROWN,City,False,,39.985912,-90.765884
IL0060000,Bureau County Sheriff's Office,4689,IL,East North Central,Midwest,Region II,BUREAU,County,True,2022-11-01T00:00:00.000Z,41.36806,-89.466446
IL0060100,Buda Police Department,4690,IL,East North Central,Midwest,Region II,BUREAU,City,False,,41.401304,-89.528377
IL0060200,De Pue Police Department,4691,IL,East North Central,Midwest,Region II,BUREAU,City,False,,41.401304,-89.528377
IL0060300,Ladd Police Department,25733,IL,East North Central,Midwest,Region II,BUREAU,City,False,,41.401304,-89.528377
IL0060400,Princeton Police Department,4692,IL,East North Central,Midwest,Region II,BUREAU,City,True,2021-01-01T00:00:00.000Z,41.384266,-89.45636
IL0060600,Spring Valley Police Department,4693,IL,East North Central,Midwest,Region II,BUREAU,City,True,2021-09-01T00:00:00.000Z,41.326485,-89.19818
IL0060700,Walnut Police Department,23275,IL,East North Central,Midwest,Region II,BUREAU,City,False,,41.401304,-89.528377
IL0061000,La Moille Police Department,4694,IL,East North Central,Midwest,Region II,BUREAU,City,False,,41.401304,-89.528377
IL0061400,Bureau Police Department,4695,IL,East North Central,Midwest,Region II,BUREAU,City,False,,41.401304,-89.528377
IL0061500,Neponset Police Department,4696,IL,East North Central,Midwest,Region II,BUREAU,City,False,,41.401304,-89.528377
IL0061600,Cherry,35226,IL,East North Central,Midwest,Region II,BUREAU,City,True,2022-01-01T00:00:00.000Z,,
IL0070000,Calhoun County Sheriff's Office,4697,IL,East North Central,Midwest,Region II,CALHOUN,County,True,2021-01-01T00:00:00.000Z,39.164262,-90.666295
IL0070100,Hardin Police Department,4698,IL,East North Central,Midwest,Region II,CALHOUN,City,False,,39.164262,-90.666295
IL0080000,Carroll County Sheriff's Office,4699,IL,East North Central,Midwest,Region II,CARROLL,County,False,,42.100468,-89.978806
IL0080100,Chadwick Police Department,4700,IL,East North Central,Midwest,Region II,CARROLL,City,False,,42.059084,-89.926485
IL0080200,Lanark Police Department,4701,IL,East North Central,Midwest,Region II,CARROLL,City,True,2022-01-01T00:00:00.000Z,42.102947,-89.83307
