ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
IN0010000,Adams County Sheriff's Office,5685,IN,East North Central,Midwest,Region II,ADAMS,County,False,,40.8274,-84.922035
IN0010100,Berne Police Department,5686,IN,East North Central,Midwest,Region II,ADAMS,City,False,,40.745733,-84.93613
IN0010200,Decatur Police Department,5687,IN,East North Central,Midwest,Region II,ADAMS,City,False,,40.834805,-84.92653
IN0020000,Allen County Sheriff's Office,5688,IN,East North Central,Midwest,Region II,ALLEN,County,True,2020-09-01T00:00:00.000Z,41.091855,-85.07223
IN0020100,Fort Wayne Police Department,5689,IN,East North Central,Midwest,Region II,ALLEN,City,True,2020-09-01T00:00:00.000Z,41.091855,-85.07223
IN0020200,New Haven Police Department,5690,IN,East North Central,Midwest,Region II,ALLEN,City,True,2020-09-01T00:00:00.000Z,41.07018,-85.01878
IN0020300,Purdue University:,33466,IN,East North Central,Midwest,Region II,ALLEN,University or College,True,2021-01-01T00:00:00.000Z,,
IN0021000,Woodburn,35754,IN,East North Central,Midwest,Region II,ALLEN,City,True,2020-10-01T00:00:00.000Z,,
IN002129E,Parkview Health,34731,IN,East North Central,Midwest,Region II,ALLEN,Other,True,2022-04-01T00:00:00.000Z,,
IN0030000,Bartholomew County Sheriff's Office,5691,IN,East North Central,Midwest,Region II,BARTHOLOMEW,County,True,2020-11-01T00:00:00.000Z,39.200375,-85.91906
IN0030100,Columbus Police Department,5692,IN,East North Central,Midwest,Region II,BARTHOLOMEW,City,False,2020-10-01T00:00:00.000Z,39.199764,-85.92089
IN0030700,Indiana University: ,33640,IN,East North Central,Midwest,Region II,BARTHOLOMEW,University or College,True,2021-02-01T00:00:00.000Z,,
IN0040000,Benton County Sheriff's Office,5693,IN,East North Central,Midwest,Region II,BENTON,County,False,,40.617615,-87.31641
IN0040100,Fowler Police Department,5694,IN,East North Central,Midwest,Region II,BENTON,City,False,,40.608253,-87.315479
IN0050000,Blackford County Sheriff's Office,5695,IN,East North Central,Midwest,Region II,BLACKFORD,County,True,2019-01-01T00:00:00.000Z,40.45038,-85.27664
IN0050100,Hartford City Police Department,5696,IN,East North Central,Midwest,Region II,BLACKFORD,City,True,2021-01-01T00:00:00.000Z,40.4564,-85.37011
IN0060000,Boone County Sheriff's Office,5697,IN,East North Central,Midwest,Region II,BOONE,County,True,2018-11-01T00:00:00.000Z,40.031673,-86.45087
IN0060100,Lebanon Police Department,5698,IN,East North Central,Midwest,Region II,BOONE,City,True,2019-06-01T00:00:00.000Z,40.047546,-86.46674
IN0060300,Zionsville Police Department,5699,IN,East North Central,Midwest,Region II,BOONE,City,True,2017-09-01T00:00:00.000Z,39.94826,-86.27286
IN0060500,Whitestown Police Department,5700,IN,East North Central,Midwest,Region II,BOONE,City,True,2017-07-01T00:00:00.000Z,39.949295,-86.36269
IN0070000,Brown County Sheriff's Office,5701,IN,East North Central,Midwest,Region II,BROWN,County,False,2020-10-01T00:00:00.000Z,39.192585,-86.23941
IN0080000,Carroll County Sheriff's Office,5702,IN,East North Central,Midwest,Region II,CARROLL,County,False,,40.58524,-86.67635
IN0080100,Delphi Police Department,5703,IN,East North Central,Midwest,Region II,CARROLL,City,False,,40.586514,-86.6728
IN0080400,Burlington,31456,IN,East North Central,Midwest,Region II,CARROLL,City,True,2019-10-01T00:00:00.000Z,,
IN0090000,Cass County Sheriff's Office,5704,IN,East North Central,Midwest,Region II,CASS,County,True,2021-01-01T00:00:00.000Z,40.753799,-86.355168
IN0090100,Logansport Police Department,5705,IN,East North Central,Midwest,Region II,CASS,City,True,2019-04-01T00:00:00.000Z,40.75449,-86.36293
IN0100000,Clark County Sheriff's Office,5706,IN,East North Central,Midwest,Region II,CLARK,County,True,2018-01-01T00:00:00.000Z,38.276726,-85.73727
IN0100100,Charlestown Police Department,5707,IN,East North Central,Midwest,Region II,CLARK,City,True,2020-01-01T00:00:00.000Z,38.442017,-85.66367
IN0100200,Clarksville Police Department,5708,IN,East North Central,Midwest,Region II,CLARK,City,True,2020-01-01T00:00:00.000Z,38.326065,-85.76038
