ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
KY0010000,Adair County Sheriff's Office,6500,KY,East South Central,South,Region III,ADAIR,County,True,2009-01-01T00:00:00.000Z,37.105559,-85.28138
KY0010100,Columbia Police Department,6501,KY,East South Central,South,Region III,ADAIR,City,True,2009-01-01T00:00:00.000Z,37.10318,-85.30553
KY0020000,Allen County Sheriff's Office,6504,KY,East South Central,South,Region III,ALLEN,County,True,2009-01-01T00:00:00.000Z,36.748547,-86.19544
KY0020100,Scottsville Police Department,6505,KY,East South Central,South,Region III,ALLEN,City,True,2009-01-01T00:00:00.000Z,36.75077,-86.192458
KY0030000,Anderson County Sheriff's Office,6507,KY,East South Central,South,Region III,ANDERSON,County,True,2009-01-01T00:00:00.000Z,38.035694,-84.89583
KY0030100,Lawrenceburg Police Department,6508,KY,East South Central,South,Region III,ANDERSON,City,True,2009-01-01T00:00:00.000Z,38.03742,-84.894905
KY0040000,Ballard County Sheriff's Office,6511,KY,East South Central,South,Region III,BALLARD,County,True,2009-01-01T00:00:00.000Z,37.05112,-89.009178
KY0040300,La Center Police Department,6514,KY,East South Central,South,Region III,BALLARD,City,True,2010-07-01T00:00:00.000Z,37.05112,-89.009178
KY0050000,Barren County Sheriff's Office,6516,KY,East South Central,South,Region III,BARREN,County,True,2009-01-01T00:00:00.000Z,36.995705,-85.91198
KY0050100,Glasgow Police Department,6517,KY,East South Central,South,Region III,BARREN,City,True,2009-01-01T00:00:00.000Z,36.963614,-85.92499
KY0050200,Cave City Police Department,6518,KY,East South Central,South,Region III,BARREN,City,True,2009-01-01T00:00:00.000Z,36.963614,-85.92499
KY0051100,Barren County Drug Task Force,6520,KY,East South Central,South,Region III,BARREN,Other,True,2009-01-01T00:00:00.000Z,36.99597,-85.91205
KY0060000,Bath County Sheriff's Office,6522,KY,East South Central,South,Region III,BATH,County,True,2014-01-01T00:00:00.000Z,38.152249,-83.737641
KY0060100,Owingsville Police Department,6523,KY,East South Central,South,Region III,BATH,City,True,2009-01-01T00:00:00.000Z,38.152249,-83.737641
KY0070000,Bell County Sheriff's Office,6525,KY,East South Central,South,Region III,BELL,County,True,2009-01-01T00:00:00.000Z,36.72268,-83.681046
KY0070100,Middlesboro Police Department,6526,KY,East South Central,South,Region III,BELL,City,True,2009-01-01T00:00:00.000Z,36.72268,-83.681046
KY0070200,Pineville Police Department,6527,KY,East South Central,South,Region III,BELL,City,True,2009-01-01T00:00:00.000Z,36.72268,-83.681046
KY0080000,Boone County Sheriff's Office,6529,KY,East South Central,South,Region III,BOONE,County,True,2009-01-01T00:00:00.000Z,38.974595,-84.731431
KY0080200,Florence Police Department,6531,KY,East South Central,South,Region III,BOONE,City,True,2009-01-01T00:00:00.000Z,38.996952,-84.6432
KY0080500,Cincinnati-Northern Kentucky International Airport,6533,KY,East South Central,South,Region III,BOONE,Other,True,2009-01-01T00:00:00.000Z,38.974595,-84.731431
KY0090000,Bourbon County Sheriff's Office,6535,KY,East South Central,South,Region III,BOURBON,County,True,2009-01-01T00:00:00.000Z,38.21276,-84.249535
KY0090100,Paris Police Department,6536,KY,East South Central,South,Region III,BOURBON,City,True,2009-01-01T00:00:00.000Z,38.21166,-84.2516
KY0090200,Millersburg Police Department,6537,KY,East South Central,South,Region III,"BOURBON, NICHOLAS",City,True,2010-04-01T00:00:00.000Z,38.202562,-84.20986
KY0090700,Bourbon County Constable District 7,31657,KY,East South Central,South,Region III,BOURBON,Other,True,2020-01-01T00:00:00.000Z,,
KY0090800,Bourbon County Schools,33018,KY,East South Central,South,Region III,BOURBON,Other,True,2020-11-01T00:00:00.000Z,,
KY0100000,Boyd County Sheriff's Office,6540,KY,East South Central,South,Region III,BOYD,County,True,2009-01-01T00:00:00.000Z,38.360004,-82.681406
KY0100100,Ashland Police Department,6541,KY,East South Central,South,Region III,BOYD,City,True,2001-05-01T00:00:00.000Z,38.360004,-82.681406
