ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
MD0010000,Allegany County Sheriff's Office,7891,MD,South Atlantic,South,Region III,ALLEGANY,County,True,2021-01-01T00:00:00.000Z,39.666405,-78.76458
MD0010200,Cumberland Police Department,7892,MD,South Atlantic,South,Region III,ALLEGANY,City,True,2021-01-01T00:00:00.000Z,39.612309,-78.703108
MD0010300,Frostburg Police Department,7893,MD,South Atlantic,South,Region III,ALLEGANY,City,True,2021-01-01T00:00:00.000Z,39.612309,-78.703108
MD0010500,Luke Police Department,7895,MD,South Atlantic,South,Region III,ALLEGANY,City,False,,39.612309,-78.703108
MD0010800,Frostburg State University,7898,MD,South Atlantic,South,Region III,ALLEGANY,University or College,True,2021-01-01T00:00:00.000Z,39.648335,-78.932556
MD0020000,Anne Arundel County Sheriff's Office,7901,MD,South Atlantic,South,Region III,ANNE ARUNDEL,County,False,,38.993374,-76.560511
MD0020100,Annapolis Police Department,7902,MD,South Atlantic,South,Region III,ANNE ARUNDEL,City,False,,38.993374,-76.560511
MD0020200,Anne Arundel County Police Department,7903,MD,South Atlantic,South,Region III,ANNE ARUNDEL,County,False,,38.993374,-76.560511
MD0020500,Natural Resources Police,7906,MD,South Atlantic,South,Region III,NOT SPECIFIED,Other State Agency,True,2021-01-01T00:00:00.000Z,38.982986,-76.50547
MD0020700,"General Services: Annapolis, Anne Arundel County",7908,MD,South Atlantic,South,Region III,ANNE ARUNDEL,Other State Agency,False,,38.981647,-76.49357
MD0021000,Comptroller of the Treasury Field Enforcement Division,7909,MD,South Atlantic,South,Region III,NOT SPECIFIED,Other State Agency,True,2021-01-01T00:00:00.000Z,39.300214,-76.610516
MD0022600,Alcohol Tobacco Commission,33782,MD,South Atlantic,South,Region III,NOT SPECIFIED,Other State Agency,True,2022-01-01T00:00:00.000Z,,
MD0023C00,Department of Public Safety and Correctional Services Internal Investigations Unit,7910,MD,South Atlantic,South,Region III,ANNE ARUNDEL,Other State Agency,True,2021-01-01T00:00:00.000Z,39.252264,-76.924406
MD0030000,Baltimore County,7911,MD,South Atlantic,South,Region III,BALTIMORE,County,False,2023-03-01T00:00:00.000Z,39.40001,-76.608505
