ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
ME0010000,Androscoggin County Sheriff's Office,8082,ME,New England,Northeast,Region I,ANDROSCOGGIN,County,True,2020-01-01T00:00:00.000Z,44.09757,-70.22608
ME0010100,Auburn Police Department,8083,ME,New England,Northeast,Region I,ANDROSCOGGIN,City,True,2007-04-01T00:00:00.000Z,44.097458,-70.22578
ME0010200,Lewiston Police Department,8084,ME,New England,Northeast,Region I,ANDROSCOGGIN,City,True,2007-01-01T00:00:00.000Z,44.093903,-70.2145
ME0010300,Livermore Falls Police Department,8085,ME,New England,Northeast,Region I,ANDROSCOGGIN,City,True,2021-01-01T00:00:00.000Z,44.472404,-70.18961
ME0010500,Lisbon Police Department,8086,ME,New England,Northeast,Region I,ANDROSCOGGIN,City,True,2007-04-01T00:00:00.000Z,44.167681,-70.207435
ME0010600,Mechanic Falls Police Department,8087,ME,New England,Northeast,Region I,ANDROSCOGGIN,City,True,2020-04-01T00:00:00.000Z,44.108704,-70.37864
ME0010700,Sabattus Police Department,8088,ME,New England,Northeast,Region I,ANDROSCOGGIN,City,True,2020-01-01T00:00:00.000Z,44.111225,-70.09108
ME0020000,Aroostook County Sheriff's Office,8092,ME,New England,Northeast,Region I,AROOSTOOK,County,True,2021-01-01T00:00:00.000Z,46.727057,-68.64941
ME0020100,Caribou Police Department,8093,ME,New England,Northeast,Region I,AROOSTOOK,City,True,2021-01-01T00:00:00.000Z,46.727057,-68.64941
ME0020200,Fort Fairfield Police Department,8094,ME,New England,Northeast,Region I,AROOSTOOK,City,True,2021-01-01T00:00:00.000Z,46.727057,-68.64941
ME0020300,Fort Kent Police Department,8095,ME,New England,Northeast,Region I,AROOSTOOK,City,True,2021-01-01T00:00:00.000Z,47.23024,-68.58822
ME0020400,Houlton Police Department,8096,ME,New England,Northeast,Region I,AROOSTOOK,City,True,2021-01-01T00:00:00.000Z,46.727057,-68.64941
ME0020500,Madawaska Police Department,8097,ME,New England,Northeast,Region I,AROOSTOOK,City,True,2020-12-01T00:00:00.000Z,47.35533,-68.322685
ME0020600,Presque Isle Police Department,8098,ME,New England,Northeast,Region I,AROOSTOOK,City,True,2021-01-01T00:00:00.000Z,46.688232,-68.007095
ME0020800,Ashland Police Department,8100,ME,New England,Northeast,Region I,AROOSTOOK,City,True,2021-01-01T00:00:00.000Z,46.727057,-68.64941
ME0021000,Limestone Police Department,8101,ME,New England,Northeast,Region I,AROOSTOOK,City,True,2021-01-01T00:00:00.000Z,46.727057,-68.64941
ME0021600,Washburn Police Department,8102,ME,New England,Northeast,Region I,AROOSTOOK,City,True,2021-01-01T00:00:00.000Z,46.79022,-68.15674
ME0030000,Cumberland County Sheriff's Office,8107,ME,New England,Northeast,Region I,CUMBERLAND,County,True,2019-06-01T00:00:00.000Z,43.652527,-70.28108
ME0030100,Brunswick Police Department,8108,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2019-12-01T00:00:00.000Z,43.9161,-69.96341
ME0030200,Cape Elizabeth Police Department,8109,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2021-01-01T00:00:00.000Z,43.594967,-70.22742
ME0030300,Falmouth Police Department,8110,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2020-07-01T00:00:00.000Z,43.808348,-70.330375
ME0030400,Gorham Police Department,8111,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2020-12-01T00:00:00.000Z,43.684464,-70.42726
ME0030500,Portland Police Department,8112,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2021-01-01T00:00:00.000Z,43.658966,-70.25237
ME0030600,South Portland Police Department,8113,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2005-01-01T00:00:00.000Z,43.63255,-70.257835
ME0030700,Scarborough Police Department,8114,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2005-01-01T00:00:00.000Z,43.808348,-70.330375
ME0030800,Westbrook Police Department,8115,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2018-07-01T00:00:00.000Z,43.679535,-70.35402
ME0030900,Bridgton Police Department,8116,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2021-01-01T00:00:00.000Z,44.055126,-70.70214
ME0031000,Cumberland Police Department,8117,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2020-06-01T00:00:00.000Z,43.78964,-70.24485
ME0031100,Freeport Police Department,8118,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2018-04-01T00:00:00.000Z,43.82247,-70.10967
ME0031400,Yarmouth Police Department,8120,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2020-01-01T00:00:00.000Z,43.801136,-70.188065
ME0031500,Windham Police Department,8121,ME,New England,Northeast,Region I,CUMBERLAND,City,True,2020-01-01T00:00:00.000Z,43.77567,-70.41768
ME0031800,University of Southern Maine,8122,ME,New England,Northeast,Region I,CUMBERLAND,University or College,True,2021-01-01T00:00:00.000Z,43.67961,-70.446945
ME0040000,Franklin County Sheriff's Office,8127,ME,New England,Northeast,Region I,FRANKLIN,County,True,2013-01-01T00:00:00.000Z,44.697308,-70.15806
ME0040100,Farmington Police Department,8128,ME,New England,Northeast,Region I,FRANKLIN,City,True,2013-01-01T00:00:00.000Z,44.6611,-70.14671
ME0040200,Jay Police Department,8129,ME,New England,Northeast,Region I,FRANKLIN,City,True,2021-01-01T00:00:00.000Z,44.50597,-70.21736
ME0040300,Wilton Police Department,8130,ME,New England,Northeast,Region I,FRANKLIN,City,True,2021-01-01T00:00:00.000Z,44.602333,-70.23972
ME0040400,Rangeley Police Department,8131,ME,New England,Northeast,Region I,FRANKLIN,City,True,2021-01-01T00:00:00.000Z,44.973012,-70.444727
ME0040600,University of Maine: Farmington,8132,ME,New England,Northeast,Region I,FRANKLIN,University or College,True,2020-01-01T00:00:00.000Z,44.973012,-70.444727
ME0040700,Carrabassett Valley Police Department,8133,ME,New England,Northeast,Region I,FRANKLIN,City,True,2004-08-01T00:00:00.000Z,44.973012,-70.444727
ME0050000,Hancock County Sheriff's Office,8137,ME,New England,Northeast,Region I,HANCOCK,County,True,2020-12-01T00:00:00.000Z,44.542797,-68.42509
ME0050100,Bar Harbor Police Department,8138,ME,New England,Northeast,Region I,HANCOCK,City,True,2021-01-01T00:00:00.000Z,44.564906,-68.370703
ME0050200,Ellsworth Police Department,8139,ME,New England,Northeast,Region I,HANCOCK,City,True,2020-12-01T00:00:00.000Z,44.564906,-68.370703
ME0050300,Bucksport Police Department,8140,ME,New England,Northeast,Region I,HANCOCK,City,True,2021-01-01T00:00:00.000Z,44.564906,-68.370703
ME0050800,Southwest Harbor Police Department,8143,ME,New England,Northeast,Region I,HANCOCK,City,True,2021-01-01T00:00:00.000Z,44.564906,-68.370703
ME0051300,Gouldsboro Police Department,8144,ME,New England,Northeast,Region I,HANCOCK,City,True,2021-01-01T00:00:00.000Z,44.564906,-68.370703
ME0051500,Winter Harbor Police Department,8146,ME,New England,Northeast,Region I,HANCOCK,City,True,2021-01-01T00:00:00.000Z,44.564906,-68.370703
ME0060000,Kennebec County Sheriff's Office,8150,ME,New England,Northeast,Region I,KENNEBEC,County,True,2006-04-01T00:00:00.000Z,44.417012,-69.765764
ME0060100,Augusta Police Department,8151,ME,New England,Northeast,Region I,KENNEBEC,City,True,2007-04-01T00:00:00.000Z,44.417012,-69.765764
ME0060200,Gardiner Police Department,8152,ME,New England,Northeast,Region I,KENNEBEC,City,True,2021-01-01T00:00:00.000Z,44.229275,-69.77185
ME0060300,Hallowell Police Department,8153,ME,New England,Northeast,Region I,KENNEBEC,City,True,2019-07-01T00:00:00.000Z,44.28727,-69.791374
ME0060400,Waterville Police Department,8154,ME,New England,Northeast,Region I,KENNEBEC,City,True,2004-08-01T00:00:00.000Z,44.54938,-69.628716
ME0060500,Oakland Police Department,8155,ME,New England,Northeast,Region I,KENNEBEC,City,True,2011-12-01T00:00:00.000Z,44.417012,-69.765764
ME0060600,Monmouth Police Department,8156,ME,New England,Northeast,Region I,KENNEBEC,City,True,2011-12-01T00:00:00.000Z,44.417012,-69.765764
ME0060700,Winslow Police Department,8157,ME,New England,Northeast,Region I,KENNEBEC,City,True,2004-07-01T00:00:00.000Z,44.550964,-69.623
ME0060800,Winthrop Police Department,8158,ME,New England,Northeast,Region I,KENNEBEC,City,True,2021-01-01T00:00:00.000Z,44.417012,-69.765764
