ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
MO0010000,Adair County Sheriff's Office,9478,MO,West North Central,Midwest,Region II,ADAIR,County,True,2020-12-01T00:00:00.000Z,40.193413,-92.58316
MO0010100,Kirksville Police Department,9479,MO,West North Central,Midwest,Region II,ADAIR,City,True,2020-01-01T00:00:00.000Z,40.19373,-92.583145
MO0010600,Truman State University,9480,MO,West North Central,Midwest,Region II,ADAIR,University or College,True,2019-09-01T00:00:00.000Z,40.190052,-92.583115
MO0020000,Andrew County Sheriff's Office,9481,MO,West North Central,Midwest,Region II,ANDREW,County,True,2021-01-01T00:00:00.000Z,39.94046,-94.82884
MO0020100,Savannah Police Department,9482,MO,West North Central,Midwest,Region II,ANDREW,City,True,2021-01-01T00:00:00.000Z,39.988863,-94.803551
MO0020500,Country Club Village Police Department,9483,MO,West North Central,Midwest,Region II,ANDREW,City,True,2021-01-01T00:00:00.000Z,39.82413,-94.836716
MO0030000,Atchison County Sheriff's Office,9484,MO,West North Central,Midwest,Region II,ATCHISON,County,True,2021-01-01T00:00:00.000Z,40.431846,-95.437555
MO0030200,Rock Port Police Department,9485,MO,West North Central,Midwest,Region II,ATCHISON,City,True,2021-01-01T00:00:00.000Z,40.410778,-95.514885
MO0030300,Tarkio Police Department,9486,MO,West North Central,Midwest,Region II,ATCHISON,City,True,2021-01-01T00:00:00.000Z,40.431846,-95.437555
MO0040000,Audrain County Sheriff's Office,9487,MO,West North Central,Midwest,Region II,AUDRAIN,County,True,2020-03-01T00:00:00.000Z,39.16743,-91.819756
MO0040100,Farber Police Department,9488,MO,West North Central,Midwest,Region II,AUDRAIN,City,True,2021-01-01T00:00:00.000Z,39.21448,-91.843415
MO0040200,Laddonia Police Department,25349,MO,West North Central,Midwest,Region II,AUDRAIN,City,False,,39.21448,-91.843415
MO0040300,Martinsburg Police Department,9489,MO,West North Central,Midwest,Region II,AUDRAIN,City,True,2022-03-01T00:00:00.000Z,39.21448,-91.843415
MO0040400,Mexico Police Department,9490,MO,West North Central,Midwest,Region II,AUDRAIN,City,True,2021-01-01T00:00:00.000Z,39.173847,-91.88146
MO0050000,Barry County Sheriff's Office,9492,MO,West North Central,Midwest,Region II,BARRY,County,True,2020-09-01T00:00:00.000Z,36.677483,-93.868126
MO0050100,Cassville Police Department,9493,MO,West North Central,Midwest,Region II,BARRY,City,True,2021-01-01T00:00:00.000Z,36.67954,-93.86871
MO0050200,Monett Police Department,9494,MO,West North Central,Midwest,Region II,"BARRY, LAWRENCE",City,True,2020-12-01T00:00:00.000Z,36.699378,-93.834326
MO0050300,Exeter Police Department,9495,MO,West North Central,Midwest,Region II,BARRY,City,True,2021-01-01T00:00:00.000Z,36.699378,-93.834326
MO0050400,Purdy Police Department,9496,MO,West North Central,Midwest,Region II,BARRY,City,False,2020-06-01T00:00:00.000Z,36.699378,-93.834326
MO0050500,Seligman Police Department,9497,MO,West North Central,Midwest,Region II,BARRY,City,True,2020-03-01T00:00:00.000Z,36.699378,-93.834326
MO0050700,Washburn Police Department,9498,MO,West North Central,Midwest,Region II,BARRY,City,True,2022-01-01T00:00:00.000Z,36.699378,-93.834326
MO0050800,Wheaton Police Department,9499,MO,West North Central,Midwest,Region II,BARRY,City,False,,36.699378,-93.834326
MO0051000,Butterfield Village Police Department,9500,MO,West North Central,Midwest,Region II,BARRY,City,False,,36.699378,-93.834326
MO0060000,Barton County Sheriff's Office,9501,MO,West North Central,Midwest,Region II,BARTON,County,True,2020-02-01T00:00:00.000Z,37.495087,-94.27903
MO0060100,Lamar Police Department,9502,MO,West North Central,Midwest,Region II,BARTON,City,True,2020-01-01T00:00:00.000Z,37.500799,-94.344089
MO0060900,Liberal Police Department,9504,MO,West North Central,Midwest,Region II,BARTON,City,False,,37.500799,-94.344089
MO0070000,Bates County Sheriff's Office,9505,MO,West North Central,Midwest,Region II,BATES,County,True,2021-01-01T00:00:00.000Z,38.257217,-94.339246
MO0070100,Adrian Police Department,9506,MO,West North Central,Midwest,Region II,BATES,City,True,2021-01-01T00:00:00.000Z,38.257217,-94.339246
MO0070200,Butler Police Department,9507,MO,West North Central,Midwest,Region II,BATES,City,True,2019-12-01T00:00:00.000Z,38.26006,-94.33547
MO0070400,Rich Hill Police Department,9508,MO,West North Central,Midwest,Region II,BATES,City,True,2021-01-01T00:00:00.000Z,38.257217,-94.339246
MO0080000,Benton County Sheriff's Office,9509,MO,West North Central,Midwest,Region II,BENTON,County,True,2017-10-01T00:00:00.000Z,38.301036,-93.287942
MO0080100,Cole Camp Police Department,9510,MO,West North Central,Midwest,Region II,BENTON,City,True,2021-01-01T00:00:00.000Z,38.301036,-93.287942
MO0080200,Lincoln Police Department,9511,MO,West North Central,Midwest,Region II,BENTON,City,True,2020-02-01T00:00:00.000Z,38.301036,-93.287942
MO0080300,Warsaw Police Department,9512,MO,West North Central,Midwest,Region II,BENTON,City,True,2021-01-01T00:00:00.000Z,38.301036,-93.287942
MO0090000,Bollinger County Sheriff's Office,9513,MO,West North Central,Midwest,Region II,BOLLINGER,County,True,2020-12-01T00:00:00.000Z,37.305595,-89.97046
MO0090200,Marble Hill Police Department,9514,MO,West North Central,Midwest,Region II,BOLLINGER,City,True,2021-01-01T00:00:00.000Z,37.318349,-90.024601
MO0100000,Boone County Sheriff's Office,9515,MO,West North Central,Midwest,Region II,BOONE,County,True,2020-01-01T00:00:00.000Z,39.004833,-92.304825
MO0100100,Centralia Police Department,9516,MO,West North Central,Midwest,Region II,BOONE,City,True,2019-10-01T00:00:00.000Z,39.21119,-92.13775
MO0100200,Columbia Police Department,9517,MO,West North Central,Midwest,Region II,BOONE,City,True,2019-10-01T00:00:00.000Z,38.989657,-92.310779
MO0100300,Sturgeon Police Department,9518,MO,West North Central,Midwest,Region II,BOONE,City,False,,38.989657,-92.310779
MO0100400,University of Missouri: Columbia,9519,MO,West North Central,Midwest,Region II,BOONE,University or College,True,2020-02-01T00:00:00.000Z,38.939278,-92.32371
MO0100500,Ashland Police Department,9520,MO,West North Central,Midwest,Region II,BOONE,City,True,2020-02-01T00:00:00.000Z,38.989657,-92.310779
MO0100600,Hallsville Police Department,9521,MO,West North Central,Midwest,Region II,BOONE,City,False,,38.989657,-92.310779
MO0101800,13th Judicial Court Marshal,33805,MO,West North Central,Midwest,Region II,BOONE,Other,True,2022-05-01T00:00:00.000Z,,
MO0110000,Buchanan County Sheriff's Office,9522,MO,West North Central,Midwest,Region II,BUCHANAN,County,True,2018-03-01T00:00:00.000Z,39.76904,-94.85424
MO0110100,St. Joseph Police Department,9523,MO,West North Central,Midwest,Region II,BUCHANAN,City,True,2018-02-01T00:00:00.000Z,39.76904,-94.85424
