ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
MT0010000,Beaverhead County Sheriff's Office,10407,MT,Mountain,West,Region IV,BEAVERHEAD,County,True,2000-07-01T00:00:00.000Z,45.215897,-112.63472
MT0010100,Dillon Police Department,10408,MT,Mountain,West,Region IV,BEAVERHEAD,City,True,2004-05-01T00:00:00.000Z,45.21792,-112.63559
MT0020000,Big Horn County Sheriff's Office,10409,MT,Mountain,West,Region IV,BIG HORN,County,True,2005-01-01T00:00:00.000Z,45.407869,-107.518163
MT0020400,Hardin,33719,MT,Mountain,West,Region IV,BIG HORN,City,True,2022-01-01T00:00:00.000Z,,
MT0030000,Blaine County Sheriff's Office,10411,MT,Mountain,West,Region IV,BLAINE,County,True,2005-01-01T00:00:00.000Z,48.428282,-108.967648
MT0030100,Chinook Police Department,10412,MT,Mountain,West,Region IV,BLAINE,City,True,2005-01-01T00:00:00.000Z,48.428282,-108.967648
MT0040000,Broadwater County Sheriff's Office,10414,MT,Mountain,West,Region IV,BROADWATER,County,True,2005-01-01T00:00:00.000Z,46.330928,-111.496597
MT0050000,Carbon County Sheriff's Office,10415,MT,Mountain,West,Region IV,CARBON,County,True,2005-01-01T00:00:00.000Z,45.224475,-109.028551
MT0050100,Red Lodge Police Department,10416,MT,Mountain,West,Region IV,CARBON,City,True,2005-01-01T00:00:00.000Z,45.224475,-109.028551
MT0050200,Bridger Police Department,10417,MT,Mountain,West,Region IV,CARBON,City,True,2007-11-01T00:00:00.000Z,45.224475,-109.028551
MT0060000,Carter County Sheriff's Office,10419,MT,Mountain,West,Region IV,CARTER,County,True,2005-08-01T00:00:00.000Z,45.516825,-104.515324
MT0070000,Cascade County Sheriff's Office,10421,MT,Mountain,West,Region IV,CASCADE,County,True,2004-01-01T00:00:00.000Z,47.316443,-111.350571
MT0070100,Great Falls Police Department,10422,MT,Mountain,West,Region IV,CASCADE,City,True,2004-01-01T00:00:00.000Z,47.316443,-111.350571
MT0080000,Chouteau County Sheriff's Office,10424,MT,Mountain,West,Region IV,CHOUTEAU,County,True,2005-01-01T00:00:00.000Z,47.886837,-110.436189
MT0080100,Fort Benton Police Department,10425,MT,Mountain,West,Region IV,CHOUTEAU,City,True,2004-06-01T00:00:00.000Z,47.886837,-110.436189
MT0090000,Custer County Sheriff's Office,10426,MT,Mountain,West,Region IV,CUSTER,County,True,2008-04-01T00:00:00.000Z,46.407646,-105.84556
MT0090100,Miles City Police Department,10427,MT,Mountain,West,Region IV,CUSTER,City,True,2008-01-01T00:00:00.000Z,46.40739,-105.83021
MT0100000,Daniels County Sheriff's Office,10428,MT,Mountain,West,Region IV,DANIELS,County,False,2008-07-01T00:00:00.000Z,48.794429,-105.541739
MT0110000,Dawson County Sheriff's Office,10430,MT,Mountain,West,Region IV,DAWSON,County,True,2004-12-01T00:00:00.000Z,47.13104,-104.686195
