ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
NC0010000,Alamance County Sheriff's Office,10873,NC,South Atlantic,South,Region III,ALAMANCE,County,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935
NC0010100,Burlington Police Department,10874,NC,South Atlantic,South,Region III,"ALAMANCE, GUILFORD",City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935
NC0010200,Elon Police Department,10875,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.097557,-79.50723
NC0010300,Graham Police Department,10876,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935
NC0010400,Mebane Police Department,10877,NC,South Atlantic,South,Region III,"ALAMANCE, ORANGE",City,True,2019-01-01T00:00:00.000Z,36.096394,-79.26827
NC0010500,Haw River Police Department,10878,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935
NC001069E,Elon University,10879,NC,South Atlantic,South,Region III,ALAMANCE,University or College,True,2019-01-01T00:00:00.000Z,,
NC0020000,Alexander County Sheriff's Office,10882,NC,South Atlantic,South,Region III,ALEXANDER,County,True,2019-01-01T00:00:00.000Z,35.920951,-81.177467
NC0020100,Taylorsville Police Department,10883,NC,South Atlantic,South,Region III,ALEXANDER,City,True,2019-01-01T00:00:00.000Z,35.926838,-81.17012
NC0030000,Alleghany County Sheriff's Office,10886,NC,South Atlantic,South,Region III,ALLEGHANY,County,True,2019-01-01T00:00:00.000Z,36.489356,-81.132299
NC0030100,Sparta Police Department,10887,NC,South Atlantic,South,Region III,ALLEGHANY,City,False,,36.489356,-81.132299
NC0030200,State Park Rangers: Stone Mountain,10888,NC,South Atlantic,South,Region III,ALLEGHANY,Other State Agency,True,2019-01-01T00:00:00.000Z,36.382168,-81.02073
NC0040000,Anson County Sheriff's Office,10891,NC,South Atlantic,South,Region III,ANSON,County,True,2019-01-01T00:00:00.000Z,34.974996,-80.109959
NC0040100,Wadesboro Police Department,10892,NC,South Atlantic,South,Region III,ANSON,City,True,2019-01-01T00:00:00.000Z,34.974996,-80.109959
NC0040200,Lilesville Police Department,10893,NC,South Atlantic,South,Region III,ANSON,City,False,,34.974996,-80.109959
NC0040300,Morven Police Department,10894,NC,South Atlantic,South,Region III,ANSON,City,False,,34.974996,-80.109959
NC0040400,Polkton Police Department,10895,NC,South Atlantic,South,Region III,ANSON,City,False,,35.006306,-80.203896
NC0050000,Ashe County Sheriff's Office,10899,NC,South Atlantic,South,Region III,ASHE,County,True,2019-01-01T00:00:00.000Z,36.420254,-81.45915
NC0050100,West Jefferson Police Department,10900,NC,South Atlantic,South,Region III,ASHE,City,True,2019-01-01T00:00:00.000Z,36.436305,-81.49877
NC0050200,Jefferson Police Department,10901,NC,South Atlantic,South,Region III,ASHE,City,True,2019-01-01T00:00:00.000Z,36.436305,-81.49877
NC0050300,State Park Rangers: New River-Mount Jefferson,10902,NC,South Atlantic,South,Region III,ASHE,Other State Agency,True,2019-01-01T00:00:00.000Z,36.436305,-81.49877
NC0060000,Avery County Sheriff's Office,10905,NC,South Atlantic,South,Region III,AVERY,County,True,2019-01-01T00:00:00.000Z,36.072894,-81.920363
NC0060100,Newland Police Department,10906,NC,South Atlantic,South,Region III,AVERY,City,True,2019-01-01T00:00:00.000Z,36.072894,-81.920363
NC0060200,Banner Elk Police Department,10907,NC,South Atlantic,South,Region III,AVERY,City,False,2019-01-01T00:00:00.000Z,36.072894,-81.920363
