ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
NH0010000,Belknap County Sheriff's Office,11829,NH,New England,Northeast,Region I,BELKNAP,County,True,2017-01-01T00:00:00.000Z,43.543556,-71.48343
NH001010X,State Police: Belknap County,11830,NH,New England,Northeast,Region I,BELKNAP,State Police,True,2003-01-01T00:00:00.000Z,43.21312,-71.51729
NH0010200,Alton Police Department,11831,NH,New England,Northeast,Region I,BELKNAP,City,True,2003-01-01T00:00:00.000Z,43.519109,-71.425366
NH0010400,Barnstead Police Department,11832,NH,New England,Northeast,Region I,BELKNAP,City,True,2002-07-01T00:00:00.000Z,43.33921,-71.2593
NH0010600,Belmont Police Department,11833,NH,New England,Northeast,Region I,BELKNAP,City,True,2003-01-01T00:00:00.000Z,43.519109,-71.425366
NH0010800,Center Harbor Police Department,11834,NH,New England,Northeast,Region I,BELKNAP,City,True,2008-12-01T00:00:00.000Z,43.519109,-71.425366
NH0011000,Gilford Police Department,11835,NH,New England,Northeast,Region I,BELKNAP,City,True,2003-01-01T00:00:00.000Z,43.55354,-71.40144
NH0011200,Gilmanton Police Department,11836,NH,New England,Northeast,Region I,BELKNAP,City,True,2003-01-01T00:00:00.000Z,43.519109,-71.425366
NH0011400,Laconia Police Department,11837,NH,New England,Northeast,Region I,BELKNAP,City,True,2002-01-01T00:00:00.000Z,43.519109,-71.425366
NH0011600,Meredith Police Department,11838,NH,New England,Northeast,Region I,BELKNAP,City,True,2002-06-01T00:00:00.000Z,43.519109,-71.425366
NH0011800,New Hampton Police Department,11839,NH,New England,Northeast,Region I,BELKNAP,City,True,2003-01-01T00:00:00.000Z,43.519109,-71.425366
NH0012000,Sanbornton Police Department,11840,NH,New England,Northeast,Region I,BELKNAP,City,True,2011-01-01T00:00:00.000Z,43.519109,-71.425366
NH0012200,Tilton Police Department,11841,NH,New England,Northeast,Region I,BELKNAP,City,True,2003-01-01T00:00:00.000Z,43.519109,-71.425366
NH0020000,Carroll County Sheriff's Office,11843,NH,New England,Northeast,Region I,CARROLL,County,True,2002-01-01T00:00:00.000Z,43.867567,-71.201665
NH002010X,State Police: Carroll County,11844,NH,New England,Northeast,Region I,CARROLL,State Police,True,2003-01-01T00:00:00.000Z,43.21312,-71.51729
NH0020400,Bartlett Police Department,11845,NH,New England,Northeast,Region I,CARROLL,City,True,2003-01-01T00:00:00.000Z,44.102505,-71.14928
NH0021000,Conway Police Department,11847,NH,New England,Northeast,Region I,CARROLL,City,True,2003-01-01T00:00:00.000Z,43.867567,-71.201665
NH0021400,Effingham Police Department,11848,NH,New England,Northeast,Region I,CARROLL,City,True,2010-01-01T00:00:00.000Z,43.867567,-71.201665
NH0021600,Freedom Police Department,11849,NH,New England,Northeast,Region I,CARROLL,City,True,2003-01-01T00:00:00.000Z,43.867567,-71.201665
NH0022000,Jackson Police Department,11850,NH,New England,Northeast,Region I,CARROLL,City,True,2010-09-01T00:00:00.000Z,43.867567,-71.201665
NH0022200,Madison Police Department,11851,NH,New England,Northeast,Region I,CARROLL,City,True,2002-06-01T00:00:00.000Z,43.867567,-71.201665
NH0022400,Moultonborough Police Department,11852,NH,New England,Northeast,Region I,CARROLL,City,True,2003-01-01T00:00:00.000Z,43.867567,-71.201665
NH0022600,Ossipee Police Department,11853,NH,New England,Northeast,Region I,CARROLL,City,True,2003-01-01T00:00:00.000Z,43.867567,-71.201665
NH0022800,Sandwich Police Department,11854,NH,New England,Northeast,Region I,CARROLL,City,True,2003-01-01T00:00:00.000Z,43.867567,-71.201665
NH0023000,Tamworth Police Department,11855,NH,New England,Northeast,Region I,CARROLL,City,True,2011-01-01T00:00:00.000Z,43.867567,-71.201665
NH0023200,Tuftonboro Police Department,11856,NH,New England,Northeast,Region I,CARROLL,City,True,2017-01-01T00:00:00.000Z,43.867567,-71.201665
NH0023400,Wakefield Police Department,11857,NH,New England,Northeast,Region I,CARROLL,City,True,2003-01-01T00:00:00.000Z,43.553402,-71.03213
NH0023600,Wolfeboro Police Department,11858,NH,New England,Northeast,Region I,CARROLL,City,True,2004-01-01T00:00:00.000Z,43.867567,-71.201665
NH0030000,Cheshire County Sheriff's Office,11860,NH,New England,Northeast,Region I,CHESHIRE,County,True,2002-05-01T00:00:00.000Z,42.934753,-72.27954
NH003010X,State Police: Cheshire County,11861,NH,New England,Northeast,Region I,CHESHIRE,State Police,True,2003-01-01T00:00:00.000Z,43.21312,-71.51729
NH0030200,Alstead Police Department,11862,NH,New England,Northeast,Region I,CHESHIRE,City,True,2004-01-01T00:00:00.000Z,42.925455,-72.248217
NH0030400,Chesterfield Police Department,11863,NH,New England,Northeast,Region I,CHESHIRE,City,True,2021-01-01T00:00:00.000Z,42.925455,-72.248217
NH0030600,Dublin Police Department,11864,NH,New England,Northeast,Region I,CHESHIRE,City,True,2003-01-01T00:00:00.000Z,42.925455,-72.248217
NH0030800,Fitzwilliam Police Department,11865,NH,New England,Northeast,Region I,CHESHIRE,City,True,2003-02-01T00:00:00.000Z,42.925455,-72.248217
NH0031200,Harrisville Police Department,11867,NH,New England,Northeast,Region I,CHESHIRE,City,True,2021-01-01T00:00:00.000Z,42.925455,-72.248217
NH0031400,Hinsdale Police Department,11868,NH,New England,Northeast,Region I,CHESHIRE,City,True,2002-04-01T00:00:00.000Z,42.925455,-72.248217
NH0031600,Jaffrey Police Department,11869,NH,New England,Northeast,Region I,CHESHIRE,City,True,2003-01-01T00:00:00.000Z,42.8149,-72.02377
NH0031800,Keene Police Department,11870,NH,New England,Northeast,Region I,CHESHIRE,City,True,2003-01-01T00:00:00.000Z,42.92329,-72.26388
NH0032000,Marlborough Police Department,11871,NH,New England,Northeast,Region I,CHESHIRE,City,True,2004-12-01T00:00:00.000Z,42.925455,-72.248217
NH0032800,Rindge Police Department,11875,NH,New England,Northeast,Region I,CHESHIRE,City,True,2003-01-01T00:00:00.000Z,42.743347,-72.00832
NH0033000,Roxbury Police Department,11876,NH,New England,Northeast,Region I,CHESHIRE,City,True,2021-01-01T00:00:00.000Z,42.930706,-72.2927
NH0033200,Stoddard Police Department,11877,NH,New England,Northeast,Region I,CHESHIRE,City,True,2021-01-01T00:00:00.000Z,42.925455,-72.248217
NH0033800,Swanzey Police Department,11880,NH,New England,Northeast,Region I,CHESHIRE,City,True,2021-01-01T00:00:00.000Z,42.925455,-72.248217
NH0034000,Troy Police Department,11881,NH,New England,Northeast,Region I,CHESHIRE,City,False,2003-01-01T00:00:00.000Z,42.827057,-72.18306
NH0034200,Walpole Police Department,11882,NH,New England,Northeast,Region I,CHESHIRE,City,True,2002-01-01T00:00:00.000Z,42.925455,-72.248217
NH0034600,Winchester Police Department,11884,NH,New England,Northeast,Region I,CHESHIRE,City,True,2004-01-01T00:00:00.000Z,42.772045,-72.38397
NH0040000,Coos County Sheriff's Office,11886,NH,New England,Northeast,Region I,COOS,County,False,,44.49118,-71.571556
NH004010X,State Police: Coos County,11887,NH,New England,Northeast,Region I,COOS,State Police,True,2004-01-01T00:00:00.000Z,43.21312,-71.51729
NH0040600,Berlin Police Department,11888,NH,New England,Northeast,Region I,COOS,City,True,2003-01-01T00:00:00.000Z,44.469833,-71.18588
NH0041000,Carroll Police Department,11889,NH,New England,Northeast,Region I,COOS,City,True,2003-01-01T00:00:00.000Z,44.652419,-71.289383
NH0041600,Colebrook Police Department,11890,NH,New England,Northeast,Region I,COOS,City,True,2002-01-01T00:00:00.000Z,44.652419,-71.289383
NH0043000,Gorham Police Department,11893,NH,New England,Northeast,Region I,COOS,City,True,2003-01-01T00:00:00.000Z,44.3878,-71.17585
NH0043800,Lancaster Police Department,11894,NH,New England,Northeast,Region I,COOS,City,True,2003-04-01T00:00:00.000Z,44.652419,-71.289383
NH0044800,Northumberland Police Department,11896,NH,New England,Northeast,Region I,COOS,City,True,2004-07-01T00:00:00.000Z,44.598858,-71.51225
NH0045200,Pittsburg,27591,NH,New England,Northeast,Region I,COOS,City,True,2015-01-01T00:00:00.000Z,,
NH0047000,Whitefield Police Department,11899,NH,New England,Northeast,Region I,COOS,City,True,2009-01-01T00:00:00.000Z,44.373123,-71.60993
NH0050000,Grafton County Sheriff's Office,11901,NH,New England,Northeast,Region I,GRAFTON,County,True,2016-02-01T00:00:00.000Z,44.115376,-72.0402
NH005010X,State Police: Grafton County,11902,NH,New England,Northeast,Region I,GRAFTON,State Police,True,2003-06-01T00:00:00.000Z,,
NH0050200,Alexandria Police Department,11903,NH,New England,Northeast,Region I,GRAFTON,City,True,2005-02-01T00:00:00.000Z,43.612637,-71.7953
NH0050400,Ashland Police Department,11904,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,43.926502,-71.842295
NH0050600,Bath,30596,NH,New England,Northeast,Region I,GRAFTON,City,True,2019-01-01T00:00:00.000Z,,
NH0051000,Bethlehem Police Department,11906,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,43.926502,-71.842295
NH0051200,Bridgewater Police Department,11907,NH,New England,Northeast,Region I,GRAFTON,City,True,2022-01-01T00:00:00.000Z,43.640514,-71.73553
NH0051400,Bristol Police Department,11908,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,43.926502,-71.842295
NH0051600,Campton Police Department,11909,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,43.926502,-71.842295
NH0051800,Canaan Police Department,11910,NH,New England,Northeast,Region I,GRAFTON,City,True,2011-01-01T00:00:00.000Z,43.926502,-71.842295
NH0052600,Enfield Police Department,11912,NH,New England,Northeast,Region I,GRAFTON,City,True,2002-09-01T00:00:00.000Z,43.926502,-71.842295
NH0052800,Franconia Police Department,11913,NH,New England,Northeast,Region I,GRAFTON,City,True,2002-09-01T00:00:00.000Z,43.926502,-71.842295
NH0053000,Grafton Police Department,11914,NH,New England,Northeast,Region I,GRAFTON,City,True,2019-01-01T00:00:00.000Z,43.926502,-71.842295
NH0053200,Groton,31376,NH,New England,Northeast,Region I,GRAFTON,City,True,2020-07-01T00:00:00.000Z,,
NH0053400,Hanover Police Department,11915,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,43.718887,-72.27353
NH0053600,Haverhill Police Department,11916,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-11-01T00:00:00.000Z,43.926502,-71.842295
NH0053800,Holderness Police Department,11917,NH,New England,Northeast,Region I,GRAFTON,City,True,2011-08-01T00:00:00.000Z,43.926502,-71.842295
NH0054000,Hebron Police Department,11918,NH,New England,Northeast,Region I,GRAFTON,City,True,2021-01-01T00:00:00.000Z,43.926502,-71.842295
NH0054400,Lebanon Police Department,11919,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,43.632645,-72.289085
NH0054600,Lincoln Police Department,11920,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,43.926502,-71.842295
NH0054800,Lisbon Police Department,11921,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,44.214584,-71.91132
NH0055000,Littleton Police Department,11922,NH,New England,Northeast,Region I,GRAFTON,City,True,2002-01-01T00:00:00.000Z,43.926502,-71.842295
NH0055600,Lyme Police Department,11923,NH,New England,Northeast,Region I,GRAFTON,City,True,2010-09-01T00:00:00.000Z,43.926502,-71.842295
NH0056000,Orange Police Department,11924,NH,New England,Northeast,Region I,GRAFTON,City,False,,43.926502,-71.842295
NH0056200,Orford Police Department,11925,NH,New England,Northeast,Region I,GRAFTON,City,True,2009-01-01T00:00:00.000Z,43.926502,-71.842295
NH0056400,Piermont,32854,NH,New England,Northeast,Region I,GRAFTON,City,True,2020-01-01T00:00:00.000Z,,
NH0056600,Plymouth Police Department,11926,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,43.733112,-71.67512
NH0056800,Rumney,33298,NH,New England,Northeast,Region I,GRAFTON,City,True,2021-01-01T00:00:00.000Z,,
NH0057000,Sugar Hill Police Department,11927,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,43.926502,-71.842295
NH0057200,Thornton Police Department,11928,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,43.917595,-71.689926
NH0057400,Warren Police Department,11929,NH,New England,Northeast,Region I,GRAFTON,City,True,2021-01-01T00:00:00.000Z,43.926502,-71.842295
NH0057600,Waterville Valley Police Department,11930,NH,New England,Northeast,Region I,GRAFTON,City,True,2003-01-01T00:00:00.000Z,43.926502,-71.842295
NH0057800,Wentworth,32855,NH,New England,Northeast,Region I,GRAFTON,City,True,2020-01-01T00:00:00.000Z,,
NH0058000,Woodstock Police Department,11931,NH,New England,Northeast,Region I,GRAFTON,City,True,2004-07-01T00:00:00.000Z,43.926502,-71.842295
NH0058100,Plymouth State University,29754,NH,New England,Northeast,Region I,GRAFTON,University or College,True,2018-02-01T00:00:00.000Z,,
NH0060000,Hillsborough  County Sheriff's Office,11933,NH,New England,Northeast,Region I,HILLSBOROUGH,County,True,2021-01-01T00:00:00.000Z,43.00987,-71.54077
NH006010X,State Police: Hillsborough County,11934,NH,New England,Northeast,Region I,HILLSBOROUGH,State Police,True,2003-01-01T00:00:00.000Z,43.21312,-71.51729
NH0060200,Amherst Police Department,11935,NH,New England,Northeast,Region I,HILLSBOROUGH,City,True,2003-01-01T00:00:00.000Z,42.911643,-71.723101
NH0060400,Antrim Police Department,11936,NH,New England,Northeast,Region I,HILLSBOROUGH,City,True,2002-03-01T00:00:00.000Z,42.911643,-71.723101
NH0060600,Bedford Police Department,11937,NH,New England,Northeast,Region I,HILLSBOROUGH,City,True,2003-01-01T00:00:00.000Z,42.956245,-71.50073
NH0060800,Bennington Police Department,11938,NH,New England,Northeast,Region I,HILLSBOROUGH,City,True,2003-01-01T00:00:00.000Z,42.911643,-71.723101
NH0061000,Brookline Police Department,11939,NH,New England,Northeast,Region I,HILLSBOROUGH,City,True,2015-01-01T00:00:00.000Z,42.911643,-71.723101
NH0061200,Deering Police Department,11940,NH,New England,Northeast,Region I,HILLSBOROUGH,City,True,2003-01-01T00:00:00.000Z,42.911643,-71.723101
