ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
NM0010000,Bernalillo County Sheriff's Office,12744,NM,Mountain,West,Region IV,BERNALILLO,County,True,2019-01-01T00:00:00.000Z,35.054002,-106.669064
NM0010100,Albuquerque Police Department,12745,NM,Mountain,West,Region IV,BERNALILLO,City,True,2018-01-01T00:00:00.000Z,35.089184,-106.65081
NM0010200,University of New Mexico,12746,NM,Mountain,West,Region IV,BERNALILLO,University or College,True,2020-09-01T00:00:00.000Z,35.054002,-106.669064
NM0020000,Catron County Sheriff's Office,12747,NM,Mountain,West,Region IV,CATRON,County,False,,33.901813,-108.392097
NM0030000,Chaves County Sheriff's Office,12748,NM,Mountain,West,Region IV,CHAVES,County,True,2021-01-01T00:00:00.000Z,33.361604,-104.469837
NM0030100,Roswell Police Department,12749,NM,Mountain,West,Region IV,CHAVES,City,True,2020-12-01T00:00:00.000Z,33.361604,-104.469837
NM0030200,Dexter Police Department,12750,NM,Mountain,West,Region IV,CHAVES,City,True,2021-01-01T00:00:00.000Z,33.361604,-104.469837
NM0030300,Hagerman,34430,NM,Mountain,West,Region IV,CHAVES,City,True,2022-01-01T00:00:00.000Z,,
NM0030400,New Mexico Military Institute,23249,NM,Mountain,West,Region IV,CHAVES,University or College,True,2021-02-01T00:00:00.000Z,33.408695,-104.52283
NM0030500,Lake Arthur,34432,NM,Mountain,West,Region IV,CHAVES,City,False,,,
NM0040000,Colfax County Sheriff's Office,12751,NM,Mountain,West,Region IV,COLFAX,County,False,2021-01-01T00:00:00.000Z,36.612962,-104.640126
NM0040100,Raton Police Department,12752,NM,Mountain,West,Region IV,COLFAX,City,True,2021-01-01T00:00:00.000Z,36.90456,-104.43978
NM0040200,Cimarron Police Department,12753,NM,Mountain,West,Region IV,COLFAX,City,True,2019-10-01T00:00:00.000Z,36.612962,-104.640126
NM0040300,Springer Police Department,12754,NM,Mountain,West,Region IV,COLFAX,City,True,2021-01-01T00:00:00.000Z,36.612962,-104.640126
NM0040500,Angel Fire Police Department,12755,NM,Mountain,West,Region IV,COLFAX,City,True,2020-09-01T00:00:00.000Z,36.612962,-104.640126
NM0050000,Curry County Sheriff's Office,12756,NM,Mountain,West,Region IV,CURRY,County,True,2021-01-01T00:00:00.000Z,34.572984,-103.346055
NM0050100,Clovis Police Department,12757,NM,Mountain,West,Region IV,CURRY,City,True,2021-01-01T00:00:00.000Z,34.572984,-103.346055
NM0050300,Texico Police Department,12759,NM,Mountain,West,Region IV,CURRY,City,False,,34.572984,-103.346055
NM0060000,De Baca County Sheriff's Office,12760,NM,Mountain,West,Region IV,DE BACA,County,True,2021-01-01T00:00:00.000Z,34.359269,-104.368692
NM0070000,Dona Ana County Sheriff's Office,12761,NM,Mountain,West,Region IV,DONA ANA,County,True,2019-01-01T00:00:00.000Z,32.350912,-106.832182
NM0070100,Las Cruces Police Department,12762,NM,Mountain,West,Region IV,DONA ANA,City,True,2018-01-01T00:00:00.000Z,32.316395,-106.77963
NM0070200,Anthony Police Department,23078,NM,Mountain,West,Region IV,DONA ANA,City,True,2021-06-01T00:00:00.000Z,32.350912,-106.832182
NM0070300,Hatch Police Department,12763,NM,Mountain,West,Region IV,DONA ANA,City,True,2022-05-01T00:00:00.000Z,32.350912,-106.832182
NM0070400,New Mexico State University,12764,NM,Mountain,West,Region IV,DONA ANA,University or College,True,2020-11-01T00:00:00.000Z,32.350912,-106.832182
NM0070500,Mesilla Police Department,12765,NM,Mountain,West,Region IV,DONA ANA,City,True,2021-01-01T00:00:00.000Z,32.350912,-106.832182
NM0070600,Sunland Park Police Department,12766,NM,Mountain,West,Region IV,DONA ANA,City,True,2019-01-01T00:00:00.000Z,31.795942,-106.555046
NM0080000,Eddy County Sheriff's Office,12767,NM,Mountain,West,Region IV,EDDY,County,True,2021-07-01T00:00:00.000Z,32.420414,-104.22896
