ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
OK0010000,Adair County Sheriff's Office,14933,OK,West South Central,South,Region III,ADAIR,County,True,2011-07-01T00:00:00.000Z,35.897613,-94.651378
OK0010100,Stilwell Police Department,14934,OK,West South Central,South,Region III,ADAIR,City,True,2008-01-01T00:00:00.000Z,35.815083,-94.63217
OK0010200,Westville Police Department,14935,OK,West South Central,South,Region III,ADAIR,City,True,2008-01-01T00:00:00.000Z,35.897613,-94.651378
OK0011000,Watts Police Department,14936,OK,West South Central,South,Region III,ADAIR,City,True,2016-02-01T00:00:00.000Z,35.897613,-94.651378
OK0020000,Alfalfa County Sheriff's Office,14937,OK,West South Central,South,Region III,ALFALFA,County,True,2008-01-01T00:00:00.000Z,36.75562,-98.35702
OK0020100,Cherokee Police Department,14938,OK,West South Central,South,Region III,ALFALFA,City,True,2008-01-01T00:00:00.000Z,36.729703,-98.323445
OK0030000,Atoka County Sheriff's Office,14941,OK,West South Central,South,Region III,ATOKA,County,True,2008-01-01T00:00:00.000Z,34.392469,-96.036558
OK0030100,Atoka Police Department,14942,OK,West South Central,South,Region III,ATOKA,City,True,2008-01-01T00:00:00.000Z,34.392469,-96.036558
OK0030200,Caney Police Department,14943,OK,West South Central,South,Region III,ATOKA,City,True,2008-01-01T00:00:00.000Z,34.392469,-96.036558
OK0030800,Stringtown Police Department,14944,OK,West South Central,South,Region III,ATOKA,City,True,2009-03-01T00:00:00.000Z,34.392469,-96.036558
OK0030900,Tushka Police Department,14945,OK,West South Central,South,Region III,ATOKA,City,True,2008-02-01T00:00:00.000Z,34.31879,-96.16563
OK0040000,Beaver County Sheriff's Office,14946,OK,West South Central,South,Region III,BEAVER,County,True,2011-11-01T00:00:00.000Z,36.748334,-100.483056
OK0040200,Beaver Police Department,14947,OK,West South Central,South,Region III,BEAVER,City,True,2011-01-01T00:00:00.000Z,36.748334,-100.483056
OK0050000,Beckham County Sheriff's Office,14948,OK,West South Central,South,Region III,BECKHAM,County,True,2011-05-01T00:00:00.000Z,35.273945,-99.671638
OK0050100,Elk City Police Department,14949,OK,West South Central,South,Region III,BECKHAM,City,True,2011-06-01T00:00:00.000Z,35.273945,-99.671638
OK0050200,Erick Police Department,14950,OK,West South Central,South,Region III,BECKHAM,City,True,2017-01-01T00:00:00.000Z,35.273945,-99.671638
OK0050300,Sayre Police Department,14951,OK,West South Central,South,Region III,BECKHAM,City,True,2011-12-01T00:00:00.000Z,35.273945,-99.671638
OK0060000,Blaine County Sheriff's Office,14952,OK,West South Central,South,Region III,BLAINE,County,True,2008-01-01T00:00:00.000Z,35.845524,-98.41065
OK0060100,Watonga Police Department,14953,OK,West South Central,South,Region III,BLAINE,City,True,2008-01-01T00:00:00.000Z,35.877782,-98.428934
OK0060200,Canton Police Department,14954,OK,West South Central,South,Region III,BLAINE,City,True,2013-01-01T00:00:00.000Z,35.877782,-98.428934
OK0060500,Geary Police Department,14955,OK,West South Central,South,Region III,"BLAINE, CANADIAN",City,True,2008-01-01T00:00:00.000Z,35.877782,-98.428934
OK0061000,Okeene Police Department,14957,OK,West South Central,South,Region III,BLAINE,City,True,2019-10-01T00:00:00.000Z,35.877782,-98.428934
OK0070000,Bryan County Sheriff's Office,14958,OK,West South Central,South,Region III,BRYAN,County,True,2008-01-01T00:00:00.000Z,33.99279,-96.37948
OK0070100,Durant Police Department,14959,OK,West South Central,South,Region III,BRYAN,City,True,2021-01-01T00:00:00.000Z,33.990627,-96.38139
OK0070200,Achille Police Department,14960,OK,West South Central,South,Region III,BRYAN,City,True,2008-01-01T00:00:00.000Z,33.964004,-96.264137
OK0070500,Bennington,27732,OK,West South Central,South,Region III,BRYAN,City,True,2018-01-01T00:00:00.000Z,,
OK0070700,Bokchito Police Department,14961,OK,West South Central,South,Region III,BRYAN,City,True,2018-04-01T00:00:00.000Z,33.901524,-96.224754
OK0070900,Caddo Police Department,14962,OK,West South Central,South,Region III,BRYAN,City,True,2008-01-01T00:00:00.000Z,33.964004,-96.264137
OK0071000,Calera Police Department,14963,OK,West South Central,South,Region III,BRYAN,City,True,2017-11-01T00:00:00.000Z,33.933758,-96.42846
