ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
SC0010000,Abbeville County Sheriff's Office,17442,SC,South Atlantic,South,Region III,ABBEVILLE,County,True,1991-01-01T00:00:00.000Z,34.213809,-82.46046
SC0010100,Abbeville Police Department,17443,SC,South Atlantic,South,Region III,ABBEVILLE,City,True,1991-01-01T00:00:00.000Z,34.178154,-82.37939
SC0010200,Calhoun Falls Police Department,17444,SC,South Atlantic,South,Region III,ABBEVILLE,City,True,1991-01-01T00:00:00.000Z,34.213809,-82.46046
SC0010400,Due West Police Department,17446,SC,South Atlantic,South,Region III,ABBEVILLE,City,True,1991-01-01T00:00:00.000Z,34.213809,-82.46046
SC0012600,State Transport Police: Abbeville County,17447,SC,South Atlantic,South,Region III,ABBEVILLE,Other State Agency,True,2010-08-01T00:00:00.000Z,34.213809,-82.46046
SC001990X,Department of Health and Environmental Control Drug Control:,35236,SC,South Atlantic,South,Region III,ABBEVILLE,Other State Agency,False,2023-01-01T00:00:00.000Z,,
SC0019E00,Erskine College,17448,SC,South Atlantic,South,Region III,ABBEVILLE,University or College,True,1996-01-01T00:00:00.000Z,34.213809,-82.46046
SC001FC00,Forestry Commission: Abbeville County,17450,SC,South Atlantic,South,Region III,ABBEVILLE,Other State Agency,True,1997-01-01T00:00:00.000Z,34.213809,-82.46046
SC001NR00,Department of Natural Resources: Abbeville County,17451,SC,South Atlantic,South,Region III,ABBEVILLE,Other State Agency,True,1999-02-01T00:00:00.000Z,33.99802,-81.033936
SC001SP00,Highway Patrol: Abbeville County,17452,SC,South Atlantic,South,Region III,ABBEVILLE,State Police,True,1991-01-01T00:00:00.000Z,34.213809,-82.46046
SC0020000,Aiken County Sheriff's Office,17453,SC,South Atlantic,South,Region III,AIKEN,County,True,1991-01-01T00:00:00.000Z,33.566933,-81.71162
SC0020100,Aiken Police Department,17454,SC,South Atlantic,South,Region III,AIKEN,City,True,1991-01-01T00:00:00.000Z,33.550013,-81.632983
SC0020300,North Augusta Police Department,17456,SC,South Atlantic,South,Region III,"AIKEN, EDGEFIELD",City,True,1991-01-01T00:00:00.000Z,33.550013,-81.632983
SC0020400,Burnettown Police Department,17457,SC,South Atlantic,South,Region III,AIKEN,City,True,1991-01-01T00:00:00.000Z,33.550013,-81.632983
SC0020500,Jackson Police Department,17458,SC,South Atlantic,South,Region III,AIKEN,City,True,1991-01-01T00:00:00.000Z,33.550013,-81.632983
SC0020600,New Ellenton Police Department,17459,SC,South Atlantic,South,Region III,AIKEN,City,True,1991-01-01T00:00:00.000Z,33.550013,-81.632983
SC0020700,Salley Police Department,17460,SC,South Atlantic,South,Region III,AIKEN,City,True,1992-11-01T00:00:00.000Z,33.550013,-81.632983
SC0020800,Wagener Police Department,17461,SC,South Atlantic,South,Region III,AIKEN,City,True,1991-01-01T00:00:00.000Z,33.550013,-81.632983
SC0021000,United States Department of Energy Savannah River Plant,17463,SC,South Atlantic,South,Region III,AIKEN,Other State Agency,True,1991-01-01T00:00:00.000Z,33.550013,-81.632983
SC0021400,Perry Police Department,17465,SC,South Atlantic,South,Region III,AIKEN,City,False,1994-01-01T00:00:00.000Z,33.550013,-81.632983
SC0021500,University of South Carolina: Aiken,17466,SC,South Atlantic,South,Region III,AIKEN,University or College,True,1991-01-01T00:00:00.000Z,33.587147,-81.75601
SC0022600,State Transport Police: Aiken County,17467,SC,South Atlantic,South,Region III,AIKEN,Other State Agency,True,2003-01-01T00:00:00.000Z,33.550013,-81.632983
SC002990X,Department of Health and Environmental Control Drug Control:,34935,SC,South Atlantic,South,Region III,AIKEN,Other State Agency,True,2021-02-01T00:00:00.000Z,,
SC002FC00,Forestry Commission: Aiken County,17469,SC,South Atlantic,South,Region III,AIKEN,Other State Agency,True,2004-01-01T00:00:00.000Z,33.550013,-81.632983
SC002NR00,Department of Natural Resources: Aiken County,17470,SC,South Atlantic,South,Region III,AIKEN,Other State Agency,True,1999-03-01T00:00:00.000Z,33.99802,-81.033936
SC002SP00,Highway Patrol: Aiken County,17471,SC,South Atlantic,South,Region III,AIKEN,State Police,True,1991-01-01T00:00:00.000Z,33.550013,-81.632983
SC0030000,Allendale County Sheriff's Office,17472,SC,South Atlantic,South,Region III,ALLENDALE,County,True,1991-01-01T00:00:00.000Z,32.979784,-81.363421
SC0030100,Allendale Police Department,17473,SC,South Atlantic,South,Region III,ALLENDALE,City,True,1991-01-01T00:00:00.000Z,32.979784,-81.363421
SC0030200,Fairfax Police Department,17474,SC,South Atlantic,South,Region III,ALLENDALE,City,False,1991-01-01T00:00:00.000Z,32.979784,-81.363421
SC0032600,State Transport Police: Allendale County,17475,SC,South Atlantic,South,Region III,ALLENDALE,Other State Agency,True,2004-01-01T00:00:00.000Z,32.979784,-81.363421
SC003FC00,Forestry Commission: Allendale County,17477,SC,South Atlantic,South,Region III,ALLENDALE,Other State Agency,True,2004-01-01T00:00:00.000Z,32.979784,-81.363421
SC003NR00,Department of Natural Resources: Allendale County,17478,SC,South Atlantic,South,Region III,ALLENDALE,Other State Agency,True,1999-06-01T00:00:00.000Z,33.99802,-81.033936
SC003SP00,Highway Patrol: Allendale County,17479,SC,South Atlantic,South,Region III,ALLENDALE,State Police,True,1991-01-01T00:00:00.000Z,32.979784,-81.363421
SC0040000,Anderson County Sheriff's Office,17480,SC,South Atlantic,South,Region III,ANDERSON,County,True,1991-01-01T00:00:00.000Z,34.519549,-82.638086
SC0040100,Anderson Police Department,17481,SC,South Atlantic,South,Region III,ANDERSON,City,True,1991-01-01T00:00:00.000Z,34.501434,-82.64977
SC0040200,Belton Police Department,17482,SC,South Atlantic,South,Region III,ANDERSON,City,True,1991-01-01T00:00:00.000Z,34.519549,-82.638086
SC0040300,Honea Path Police Department,17483,SC,South Atlantic,South,Region III,"ABBEVILLE, ANDERSON",City,True,1991-01-01T00:00:00.000Z,34.519549,-82.638086
SC0040400,Pendleton Police Department,17484,SC,South Atlantic,South,Region III,ANDERSON,City,True,1991-01-01T00:00:00.000Z,34.519549,-82.638086
SC0040500,Williamston Police Department,17485,SC,South Atlantic,South,Region III,ANDERSON,City,True,1991-01-01T00:00:00.000Z,34.519549,-82.638086
SC0040600,Iva Police Department,17486,SC,South Atlantic,South,Region III,ANDERSON,City,True,1991-01-01T00:00:00.000Z,34.519549,-82.638086
SC0041000,West Pelzer Police Department,17490,SC,South Atlantic,South,Region III,ANDERSON,City,True,1991-01-01T00:00:00.000Z,34.645065,-82.467926
SC0041100,Tri-County Technical College,25792,SC,South Atlantic,South,Region III,ANDERSON,University or College,True,2015-05-01T00:00:00.000Z,34.519549,-82.638086
SC0042600,State Transport Police: Anderson County,17491,SC,South Atlantic,South,Region III,ANDERSON,Other State Agency,True,2003-01-01T00:00:00.000Z,34.519549,-82.638086
SC004990X,Department of Health and Environmental Control Drug Control:,35232,SC,South Atlantic,South,Region III,ANDERSON,Other State Agency,False,2023-01-01T00:00:00.000Z,,
