ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
SD0010000,Aurora County Sheriff's Office,17986,SD,West North Central,Midwest,Region II,AURORA,County,True,1999-10-01T00:00:00.000Z,43.724719,-98.577587
SD0020000,Beadle County Sheriff's Office,17987,SD,West North Central,Midwest,Region II,BEADLE,County,True,1999-10-01T00:00:00.000Z,44.418265,-98.279422
SD0020100,Huron Police Department,17988,SD,West North Central,Midwest,Region II,BEADLE,City,True,1999-05-01T00:00:00.000Z,44.418265,-98.279422
SD0030000,Bennett County Sheriff's Office,17989,SD,West North Central,Midwest,Region II,BENNETT,County,True,2003-01-01T00:00:00.000Z,43.187018,-101.677434
SD0030100,Martin Police Department,17990,SD,West North Central,Midwest,Region II,BENNETT,City,True,2003-11-01T00:00:00.000Z,43.187018,-101.677434
SD0040000,Bon Homme County Sheriff's Office,17991,SD,West North Central,Midwest,Region II,BON HOMME,County,True,1999-01-01T00:00:00.000Z,42.986031,-97.885613
SD0040100,Scotland Police Department,17992,SD,West North Central,Midwest,Region II,BON HOMME,City,False,2003-01-01T00:00:00.000Z,42.986031,-97.885613
SD0040200,Springfield Police Department,17993,SD,West North Central,Midwest,Region II,BON HOMME,City,False,2003-12-01T00:00:00.000Z,42.986031,-97.885613
SD0040300,Tyndall Police Department,17994,SD,West North Central,Midwest,Region II,BON HOMME,City,False,2003-01-01T00:00:00.000Z,42.986031,-97.885613
SD0040400,Avon Police Department,17995,SD,West North Central,Midwest,Region II,BON HOMME,City,False,2003-01-01T00:00:00.000Z,43.00797,-98.08464
SD0050000,Brookings County Sheriff's Office,17996,SD,West North Central,Midwest,Region II,BROOKINGS,County,True,1999-05-01T00:00:00.000Z,44.302963,-96.793625
SD0050100,Brookings Police Department,17997,SD,West North Central,Midwest,Region II,BROOKINGS,City,True,1999-06-01T00:00:00.000Z,44.308067,-96.80033
SD005UN00,South Dakota State University,17999,SD,West North Central,Midwest,Region II,BROOKINGS,University or College,True,2001-01-01T00:00:00.000Z,44.376675,-96.797797
SD0060000,Brown County Sheriff's Office,18000,SD,West North Central,Midwest,Region II,BROWN,County,True,1998-08-01T00:00:00.000Z,45.464905,-98.48596
SD0060100,Aberdeen Police Department,18001,SD,West North Central,Midwest,Region II,BROWN,City,True,2002-08-01T00:00:00.000Z,45.589254,-98.352175
SD0060200,Groton Police Department,18002,SD,West North Central,Midwest,Region II,BROWN,City,False,2000-01-01T00:00:00.000Z,45.589254,-98.352175
SD0070000,Brule County Sheriff's Office,18003,SD,West North Central,Midwest,Region II,BRULE,County,True,2004-01-01T00:00:00.000Z,43.812977,-99.33027
SD0070100,Chamberlain Police Department,18004,SD,West North Central,Midwest,Region II,BRULE,City,True,2004-05-01T00:00:00.000Z,43.72988,-99.092941
SD0070200,Kimball Police Department,18005,SD,West North Central,Midwest,Region II,BRULE,City,True,2009-10-01T00:00:00.000Z,43.72988,-99.092941
SD0080000,Buffalo County Sheriff's Office,18006,SD,West North Central,Midwest,Region II,BUFFALO,County,False,2004-01-01T00:00:00.000Z,44.044306,-99.203998
SD0080100,Crow Creek Tribal,18007,SD,West North Central,Midwest,Region II,NOT SPECIFIED,Tribal,True,2021-01-01T00:00:00.000Z,44.044306,-99.203998
SD0090000,Butte County Sheriff's Office,18008,SD,West North Central,Midwest,Region II,BUTTE,County,True,1999-03-01T00:00:00.000Z,44.669285,-103.85351
SD0090100,Belle Fourche Police Department,18009,SD,West North Central,Midwest,Region II,BUTTE,City,True,1999-12-01T00:00:00.000Z,44.666737,-103.84928
SD0100000,Campbell County Sheriff's Office,18011,SD,West North Central,Midwest,Region II,CAMPBELL,County,True,1999-08-01T00:00:00.000Z,45.782241,-100.027951
