ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
TN0010000,Anderson County Sheriff's Office,18170,TN,East South Central,South,Region III,ANDERSON,County,True,1997-05-01T00:00:00.000Z,36.099857,-84.133644
TN0010100,Clinton Police Department,18171,TN,East South Central,South,Region III,ANDERSON,City,True,1997-11-01T00:00:00.000Z,36.099937,-84.13391
TN0010200,Rocky Top Police Department,18172,TN,East South Central,South,Region III,"ANDERSON, CAMPBELL",City,True,1997-10-01T00:00:00.000Z,36.116731,-84.195418
TN0010300,Oak Ridge Police Department,18173,TN,East South Central,South,Region III,"ANDERSON, ROANE",City,True,1997-08-01T00:00:00.000Z,36.116731,-84.195418
TN0010400,Norris Police Department,18174,TN,East South Central,South,Region III,ANDERSON,City,True,1999-04-01T00:00:00.000Z,36.116731,-84.195418
TN0010600,7th Judicial District Crime Task Force,18176,TN,East South Central,South,Region III,ANDERSON,Other,True,2013-01-01T00:00:00.000Z,,
TN0020000,Bedford County Sheriff's Office,18178,TN,East South Central,South,Region III,BEDFORD,County,True,1999-06-01T00:00:00.000Z,35.485344,-86.46293
TN0020100,Shelbyville Police Department,18179,TN,East South Central,South,Region III,BEDFORD,City,True,1999-02-01T00:00:00.000Z,35.485355,-86.463066
TN0020200,Wartrace Police Department,18180,TN,East South Central,South,Region III,BEDFORD,City,False,2001-01-01T00:00:00.000Z,35.51366,-86.458294
TN0030000,Benton County Sheriff's Office,18182,TN,East South Central,South,Region III,BENTON,County,True,1999-03-01T00:00:00.000Z,36.069253,-88.071212
TN0030100,Camden Police Department,18183,TN,East South Central,South,Region III,BENTON,City,True,1999-06-01T00:00:00.000Z,36.069253,-88.071212
TN0030200,Big Sandy Police Department,18184,TN,East South Central,South,Region III,BENTON,City,True,2000-09-01T00:00:00.000Z,36.069253,-88.071212
TN0040000,Bledsoe County Sheriff's Office,18186,TN,East South Central,South,Region III,BLEDSOE,County,True,1998-01-01T00:00:00.000Z,35.593668,-85.205979
TN0040100,Pikeville Police Department,18187,TN,East South Central,South,Region III,BLEDSOE,City,True,2000-08-01T00:00:00.000Z,35.593668,-85.205979
TN0050000,Blount County Sheriff's Office,18189,TN,East South Central,South,Region III,BLOUNT,County,True,1998-01-01T00:00:00.000Z,35.75494,-83.95834
TN0050100,Alcoa Police Department,18190,TN,East South Central,South,Region III,BLOUNT,City,True,1998-01-01T00:00:00.000Z,35.688185,-83.922973
TN0050200,Maryville Police Department,18191,TN,East South Central,South,Region III,BLOUNT,City,True,1998-01-01T00:00:00.000Z,35.688185,-83.922973
TN0050500,Townsend Police Department,18194,TN,East South Central,South,Region III,BLOUNT,City,True,1999-07-01T00:00:00.000Z,35.688185,-83.922973
TN0050600,Drug Task Force: 5th Judicial District,18195,TN,East South Central,South,Region III,BLOUNT,Other,True,1998-08-01T00:00:00.000Z,35.688185,-83.922973
TN0050700,Knoxville Metropolitan Airport,18196,TN,East South Central,South,Region III,BLOUNT,Other,True,1998-06-01T00:00:00.000Z,35.992726,-83.937721
TN0060000,Bradley County Sheriff's Office,18198,TN,East South Central,South,Region III,BRADLEY,County,True,1997-12-01T00:00:00.000Z,35.153914,-84.859414
TN0060100,Cleveland Police Department,18199,TN,East South Central,South,Region III,BRADLEY,City,True,1999-03-01T00:00:00.000Z,35.159904,-84.87444
TN0060200,Charleston Police Department,18200,TN,East South Central,South,Region III,BRADLEY,City,True,1999-06-01T00:00:00.000Z,35.153914,-84.859414
TN0060300,Drug Task Force: 10th Judicial District,18201,TN,East South Central,South,Region III,BRADLEY,Other,True,1999-03-01T00:00:00.000Z,35.153914,-84.859414
