ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
TX0000000,Department of Public Safety,18751,TX,West South Central,South,Region III,NOT SPECIFIED,State Police,False,,30.239513,-97.69127
TX0010000,Anderson County Sheriff's Office,18752,TX,West South Central,South,Region III,ANDERSON,County,False,,31.765324,-95.61932
TX0010100,Palestine Police Department,18753,TX,West South Central,South,Region III,ANDERSON,City,True,2017-02-01T00:00:00.000Z,31.763123,-95.63455
TX0010300,Frankston Police Department,18754,TX,West South Central,South,Region III,"ANDERSON, HENDERSON",City,True,2016-10-01T00:00:00.000Z,31.841266,-95.661744
TX0020000,Andrews County Sheriff's Office,18756,TX,West South Central,South,Region III,ANDREWS,County,True,2021-01-01T00:00:00.000Z,32.312258,-102.640206
TX0020100,Andrews Police Department,18757,TX,West South Central,South,Region III,ANDREWS,City,True,2019-05-01T00:00:00.000Z,32.312258,-102.640206
TX0030000,Angelina County Sheriff's Office,18758,TX,West South Central,South,Region III,ANGELINA,County,True,2021-11-01T00:00:00.000Z,31.251951,-94.611056
TX0030100,Diboll Police Department,18759,TX,West South Central,South,Region III,ANGELINA,City,True,2019-03-01T00:00:00.000Z,31.251951,-94.611056
TX0030200,Huntington Police Department,18760,TX,West South Central,South,Region III,ANGELINA,City,True,2018-10-01T00:00:00.000Z,31.251951,-94.611056
TX0030400,Lufkin Police Department,18761,TX,West South Central,South,Region III,ANGELINA,City,True,2019-09-01T00:00:00.000Z,31.251951,-94.611056
TX0030600,Angelina College,28315,TX,West South Central,South,Region III,ANGELINA,University or College,False,,,
TX0031100,Zavalla Police Department,18762,TX,West South Central,South,Region III,ANGELINA,City,True,2021-01-01T00:00:00.000Z,31.251951,-94.611056
TX0031300,Hudson Police Department,18763,TX,West South Central,South,Region III,ANGELINA,City,False,,31.32794,-94.78142
TX0031400,Independent School District:,34138,TX,West South Central,South,Region III,ANGELINA,Other,True,2022-05-01T00:00:00.000Z,,
TX0031500,Independent School District:,34147,TX,West South Central,South,Region III,ANGELINA,Other,True,2022-01-01T00:00:00.000Z,,
TX0031700,Independent School District:,31994,TX,West South Central,South,Region III,ANGELINA,Other,True,2020-01-01T00:00:00.000Z,,
TX0032000,Independent School District:,33372,TX,West South Central,South,Region III,ANGELINA,Other,True,2021-05-01T00:00:00.000Z,,
TX0040000,Aransas County Sheriff's Office,18764,TX,West South Central,South,Region III,ARANSAS,County,True,2021-01-01T00:00:00.000Z,28.025509,-97.0525
TX0040100,Aransas Pass Police Department,18765,TX,West South Central,South,Region III,"ARANSAS, NUECES, SAN PATRICIO",City,True,2019-05-01T00:00:00.000Z,28.011786,-97.517162
TX0040200,Rockport Police Department,18766,TX,West South Central,South,Region III,ARANSAS,City,True,2019-12-01T00:00:00.000Z,28.025465,-97.054306
TX0041000,Fulton Police Department,23309,TX,West South Central,South,Region III,ARANSAS,City,False,,,
TX0050000,Archer County Sheriff's Office,18767,TX,West South Central,South,Region III,ARCHER,County,False,,33.616305,-98.687267
TX0050100,Archer City Police Department,18768,TX,West South Central,South,Region III,ARCHER,City,True,2018-07-01T00:00:00.000Z,33.616305,-98.687267
TX0050200,Holliday Police Department,18769,TX,West South Central,South,Region III,ARCHER,City,False,,33.616305,-98.687267
TX0060000,Armstrong County Sheriff's Office,18770,TX,West South Central,South,Region III,ARMSTRONG,County,True,2019-07-01T00:00:00.000Z,34.964179,-101.356636
TX0070000,Atascosa County Sheriff's Office,18771,TX,West South Central,South,Region III,ATASCOSA,County,True,2019-02-01T00:00:00.000Z,28.917286,-98.54416
TX0070100,Lytle Police Department,18772,TX,West South Central,South,Region III,"ATASCOSA, BEXAR, MEDINA",City,True,2018-01-01T00:00:00.000Z,28.891397,-98.535381
TX0070200,Pleasanton Police Department,18773,TX,West South Central,South,Region III,ATASCOSA,City,True,2019-08-01T00:00:00.000Z,28.891397,-98.535381
TX0070300,Poteet Police Department,18774,TX,West South Central,South,Region III,ATASCOSA,City,True,2021-01-01T00:00:00.000Z,28.891397,-98.535381
TX0070400,Jourdanton Police Department,18775,TX,West South Central,South,Region III,ATASCOSA,City,True,2021-01-01T00:00:00.000Z,28.919533,-98.54251
TX0071300,Independent School District:,29495,TX,West South Central,South,Region III,ATASCOSA,Other,True,2019-10-01T00:00:00.000Z,,
TX0071600,Charlotte ,34590,TX,West South Central,South,Region III,ATASCOSA,City,True,2022-05-01T00:00:00.000Z,,
TX0080000,Austin County Sheriff's Office,18776,TX,West South Central,South,Region III,AUSTIN,County,True,2021-02-01T00:00:00.000Z,29.957651,-96.26287
TX0080100,Bellville Police Department,18777,TX,West South Central,South,Region III,AUSTIN,City,True,2017-03-01T00:00:00.000Z,29.949772,-96.25513
TX0080200,Sealy Police Department,18778,TX,West South Central,South,Region III,AUSTIN,City,True,2018-07-01T00:00:00.000Z,29.891901,-96.27017
TX0080700,Wallis Police Department,18779,TX,West South Central,South,Region III,AUSTIN,City,True,2019-01-01T00:00:00.000Z,29.891901,-96.27017
TX0080900,Independent School District: Sealy,23142,TX,West South Central,South,Region III,AUSTIN,Other,True,2021-02-01T00:00:00.000Z,29.772886,-96.15974
TX0090000,Bailey County Sheriff's Office,18781,TX,West South Central,South,Region III,BAILEY,County,True,2019-04-01T00:00:00.000Z,34.224266,-102.72718
TX0090100,Muleshoe Police Department,18782,TX,West South Central,South,Region III,BAILEY,City,True,2018-05-01T00:00:00.000Z,34.22386,-102.72415
TX0100000,Bandera County Sheriff's Office,18783,TX,West South Central,South,Region III,BANDERA,County,True,2019-01-01T00:00:00.000Z,29.755681,-99.26059
TX0110000,Bastrop County Sheriff's Office,18784,TX,West South Central,South,Region III,BASTROP,County,True,2021-03-01T00:00:00.000Z,30.102219,-97.30746
TX0110100,Bastrop Police Department,18785,TX,West South Central,South,Region III,BASTROP,City,True,2019-08-01T00:00:00.000Z,30.100691,-97.310614
TX0110200,Elgin Police Department,18786,TX,West South Central,South,Region III,"BASTROP, TRAVIS",City,True,2018-01-01T00:00:00.000Z,30.347258,-97.37147
TX0110300,Smithville Police Department,18787,TX,West South Central,South,Region III,BASTROP,City,True,2019-06-01T00:00:00.000Z,30.009336,-97.159164
TX0110800,Independent School District:,26265,TX,West South Central,South,Region III,BASTROP,Other,True,2021-03-01T00:00:00.000Z,,
TX0120000,Baylor County Sheriff's Office,18788,TX,West South Central,South,Region III,BAYLOR,County,True,2021-01-01T00:00:00.000Z,33.587948,-99.261635
