ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
VT0010000,Addison County Sheriff's Office,20498,VT,New England,Northeast,Region I,ADDISON,County,True,2004-01-01T00:00:00.000Z,44.031248,-73.141581
VT0010100,Bristol Police Department,20499,VT,New England,Northeast,Region I,ADDISON,City,True,2005-11-01T00:00:00.000Z,44.133076,-73.07871
VT0010200,Middlebury Police Department,20500,VT,New England,Northeast,Region I,ADDISON,City,True,2006-01-01T00:00:00.000Z,44.018673,-73.17117
VT0010300,Vergennes Police Department,20501,VT,New England,Northeast,Region I,ADDISON,City,True,2004-01-01T00:00:00.000Z,44.031248,-73.141581
VT0020000,Bennington County Sheriff's Office,20502,VT,New England,Northeast,Region I,BENNINGTON,County,True,2001-01-01T00:00:00.000Z,43.035325,-73.11146
VT0020100,Bennington Police Department,20503,VT,New England,Northeast,Region I,BENNINGTON,City,True,1998-01-01T00:00:00.000Z,43.035325,-73.11146
VT0020400,Manchester Police Department,20505,VT,New England,Northeast,Region I,BENNINGTON,City,True,1998-01-01T00:00:00.000Z,43.178684,-73.04883
VT0020800,Winhall Police Department,20507,VT,New England,Northeast,Region I,BENNINGTON,City,True,2001-01-01T00:00:00.000Z,43.035325,-73.11146
VT0030000,Caledonia County Sheriff's Office,20508,VT,New England,Northeast,Region I,CALEDONIA,County,True,2004-01-01T00:00:00.000Z,44.468791,-72.112168
VT0030100,Hardwick Police Department,20509,VT,New England,Northeast,Region I,CALEDONIA,City,True,2001-01-01T00:00:00.000Z,44.468791,-72.112168
VT0030200,Lyndonville Police Department,20510,VT,New England,Northeast,Region I,CALEDONIA,City,True,2005-08-01T00:00:00.000Z,44.468791,-72.112168
VT0030300,St. Johnsbury Police Department,20511,VT,New England,Northeast,Region I,CALEDONIA,City,True,1995-04-01T00:00:00.000Z,44.41893,-72.02098
VT0040000,Chittenden County Sheriff's Office,20512,VT,New England,Northeast,Region I,CHITTENDEN,County,True,2004-07-01T00:00:00.000Z,44.463329,-73.069484
VT0040100,Burlington Police Department,20513,VT,New England,Northeast,Region I,CHITTENDEN,City,True,2003-01-01T00:00:00.000Z,44.48222,-73.22062
VT0040200,Essex Police Department,20514,VT,New England,Northeast,Region I,CHITTENDEN,City,True,1998-01-01T00:00:00.000Z,44.493866,-73.10552
VT0040300,South Burlington Police Department,20515,VT,New England,Northeast,Region I,CHITTENDEN,City,True,1998-01-01T00:00:00.000Z,44.455273,-73.13991
VT0040400,Winooski Police Department,20516,VT,New England,Northeast,Region I,CHITTENDEN,City,True,2001-01-01T00:00:00.000Z,44.4914,-73.187935
VT0040500,Colchester Police Department,20517,VT,New England,Northeast,Region I,CHITTENDEN,City,True,1994-01-01T00:00:00.000Z,44.463329,-73.069484
VT0040600,Milton Police Department,20518,VT,New England,Northeast,Region I,CHITTENDEN,City,True,1993-09-01T00:00:00.000Z,44.619205,-73.12278
VT0040700,Shelburne Police Department,20519,VT,New England,Northeast,Region I,CHITTENDEN,City,True,2001-01-01T00:00:00.000Z,44.463329,-73.069484
VT0040800,Richmond Police Department,20520,VT,New England,Northeast,Region I,CHITTENDEN,City,True,1999-01-01T00:00:00.000Z,44.463329,-73.069484
VT0041000,Williston Police Department,20521,VT,New England,Northeast,Region I,CHITTENDEN,City,True,1998-01-01T00:00:00.000Z,44.43714,-73.06659
VT0041100,University of Vermont,20522,VT,New England,Northeast,Region I,CHITTENDEN,University or College,True,1994-01-01T00:00:00.000Z,44.463329,-73.069484
VT0041200,Hinesburg Police Department,20523,VT,New England,Northeast,Region I,CHITTENDEN,City,True,2004-01-01T00:00:00.000Z,44.463329,-73.069484
VT0041300,Chittenden Unit for Special Investigations,25840,VT,New England,Northeast,Region I,CHITTENDEN,Other,True,2016-02-01T00:00:00.000Z,44.463329,-73.069484
VT0050000,Essex County Sheriff's Office,20524,VT,New England,Northeast,Region I,ESSEX,County,True,2011-01-01T00:00:00.000Z,44.565365,-71.56149
VT0060000,Franklin County Sheriff's Office,20527,VT,New England,Northeast,Region I,FRANKLIN,County,True,2003-01-01T00:00:00.000Z,44.858964,-72.909402
VT0060100,St. Albans Police Department,20528,VT,New England,Northeast,Region I,FRANKLIN,City,True,1998-01-01T00:00:00.000Z,44.858964,-72.909402
VT0060300,Swanton Police Department,20530,VT,New England,Northeast,Region I,FRANKLIN,City,True,2004-01-01T00:00:00.000Z,44.921528,-73.11119
VT0070000,Grand Isle County Sheriff's Office,20532,VT,New England,Northeast,Region I,GRAND ISLE,County,True,2004-01-01T00:00:00.000Z,44.801788,-73.300758
VT0080000,Lamoille County Sheriff's Office,20533,VT,New England,Northeast,Region I,LAMOILLE,County,True,1998-01-01T00:00:00.000Z,44.603504,-72.638355
VT0080100,Morristown Police Department,20534,VT,New England,Northeast,Region I,LAMOILLE,City,True,1998-01-01T00:00:00.000Z,44.603504,-72.638355
VT0080200,Stowe Police Department,20535,VT,New England,Northeast,Region I,LAMOILLE,City,True,1998-01-01T00:00:00.000Z,44.603504,-72.638355
VT0090000,Orange County Sheriff's Office,20536,VT,New England,Northeast,Region I,ORANGE,County,True,2003-01-01T00:00:00.000Z,43.99209,-72.42766
VT0090200,Bradford Police Department,20538,VT,New England,Northeast,Region I,ORANGE,City,True,2005-12-01T00:00:00.000Z,44.003392,-72.369687
VT0090300,Fairlee Police Department,25998,VT,New England,Northeast,Region I,ORANGE,City,True,2017-02-01T00:00:00.000Z,44.003392,-72.369687
VT0090400,Thetford Police Department,20539,VT,New England,Northeast,Region I,ORANGE,City,True,2001-01-01T00:00:00.000Z,44.003392,-72.369687
VT0100000,Orleans County Sheriff's Office,20540,VT,New England,Northeast,Region I,ORLEANS,County,True,2001-08-01T00:00:00.000Z,44.935,-72.21162
VT0100100,Newport Police Department,20541,VT,New England,Northeast,Region I,ORLEANS,City,True,1998-01-01T00:00:00.000Z,44.934982,-72.21176
VT0110000,Rutland County Sheriff's Office,20542,VT,New England,Northeast,Region I,RUTLAND,County,True,1998-01-01T00:00:00.000Z,43.580844,-73.038196
VT0110100,Brandon Police Department,20543,VT,New England,Northeast,Region I,RUTLAND,City,True,1998-01-01T00:00:00.000Z,43.7997,-73.08917
VT0110200,Rutland Police Department,20544,VT,New England,Northeast,Region I,RUTLAND,City,True,1993-12-01T00:00:00.000Z,43.605415,-72.97736
VT0110300,Castleton Police Department,20545,VT,New England,Northeast,Region I,RUTLAND,City,True,1999-01-01T00:00:00.000Z,43.580844,-73.038196
