ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
WA0010000,Adams County Sheriff's Office,20593,WA,Pacific,West,Region IV,ADAMS,County,True,2010-10-01T00:00:00.000Z,47.12731,-118.38182
WA0010100,Othello Police Department,20594,WA,Pacific,West,Region IV,ADAMS,City,True,2010-08-01T00:00:00.000Z,46.826157,-119.16781
WA0010200,Ritzville Police Department,20595,WA,Pacific,West,Region IV,ADAMS,City,True,2011-06-01T00:00:00.000Z,47.12628,-118.38172
WA0020000,Asotin County Sheriff's Office,20596,WA,Pacific,West,Region IV,ASOTIN,County,True,2008-05-01T00:00:00.000Z,46.181861,-117.227781
WA0020100,Clarkston Police Department,20597,WA,Pacific,West,Region IV,ASOTIN,City,True,2008-04-01T00:00:00.000Z,46.181861,-117.227781
WA0020200,Asotin Police Department,20598,WA,Pacific,West,Region IV,ASOTIN,City,True,2012-01-01T00:00:00.000Z,46.181861,-117.227781
WA0030000,Benton County Sheriff's Office,20599,WA,Pacific,West,Region IV,BENTON,County,True,2011-01-01T00:00:00.000Z,46.22202,-119.220474
WA0030100,Kennewick Police Department,20600,WA,Pacific,West,Region IV,BENTON,City,True,2011-01-01T00:00:00.000Z,46.20264,-119.120224
WA0030200,Richland Police Department,20601,WA,Pacific,West,Region IV,BENTON,City,True,2011-01-01T00:00:00.000Z,46.278522,-119.27373
WA0030300,Prosser Police Department,20602,WA,Pacific,West,Region IV,BENTON,City,True,2012-06-01T00:00:00.000Z,46.206696,-119.7692
WA0030500,West Richland Police Department,20604,WA,Pacific,West,Region IV,BENTON,City,True,2011-09-01T00:00:00.000Z,46.296875,-119.33727
WA0040000,Chelan County Sheriff's Office,20605,WA,Pacific,West,Region IV,CHELAN,County,True,2010-11-01T00:00:00.000Z,47.42257,-120.3168
WA0040400,Wenatchee Police Department,20607,WA,Pacific,West,Region IV,CHELAN,City,True,2012-06-01T00:00:00.000Z,47.860831,-120.618822
WA0050000,Clallam County Sheriff's Office,20608,WA,Pacific,West,Region IV,CLALLAM,County,True,2011-01-01T00:00:00.000Z,48.114964,-123.432274
WA0050100,Port Angeles Police Department,20609,WA,Pacific,West,Region IV,CLALLAM,City,True,2011-01-01T00:00:00.000Z,48.113876,-123.432556
WA0050200,Forks Police Department,20610,WA,Pacific,West,Region IV,CLALLAM,City,False,2010-04-01T00:00:00.000Z,48.110903,-123.88986
WA0050300,Sequim Police Department,20611,WA,Pacific,West,Region IV,CLALLAM,City,True,2011-01-01T00:00:00.000Z,48.110903,-123.88986
WA0050500,Hoh Tribal,23119,WA,Pacific,West,Region IV,NOT SPECIFIED,Tribal,True,2021-01-01T00:00:00.000Z,48.023865,-122.76447
WA0060000,Clark County Sheriff's Office,20613,WA,Pacific,West,Region IV,CLARK,County,True,2012-01-01T00:00:00.000Z,45.771674,-122.485903
WA0060100,Battle Ground Police Department,20614,WA,Pacific,West,Region IV,CLARK,City,True,2011-04-01T00:00:00.000Z,45.780037,-122.54341
WA0060200,Camas Police Department,20615,WA,Pacific,West,Region IV,CLARK,City,True,2012-01-01T00:00:00.000Z,45.58757,-122.38522
WA0060300,Vancouver Police Department,20616,WA,Pacific,West,Region IV,CLARK,City,True,2012-01-01T00:00:00.000Z,45.771674,-122.485903
WA0060400,Washougal Police Department,20617,WA,Pacific,West,Region IV,CLARK,City,True,2012-01-01T00:00:00.000Z,45.577847,-122.357635
WA0060500,Ridgefield Police Department,20618,WA,Pacific,West,Region IV,CLARK,City,True,2009-08-01T00:00:00.000Z,45.771674,-122.485903
WA0060600,La Center Police Department,20619,WA,Pacific,West,Region IV,CLARK,City,True,2009-09-01T00:00:00.000Z,45.771674,-122.485903
WA0061000,Washington State University: Vancouver,20620,WA,Pacific,West,Region IV,CLARK,University or College,True,2009-09-01T00:00:00.000Z,45.725372,-122.63149
WA0070000,Columbia County Sheriff's Office,20621,WA,Pacific,West,Region IV,COLUMBIA,County,True,2012-01-01T00:00:00.000Z,46.32079,-117.97825
WA0080000,Cowlitz County Sheriff's Office,20623,WA,Pacific,West,Region IV,COWLITZ,County,True,2010-05-01T00:00:00.000Z,46.143826,-122.916916
WA0080100,Kelso Police Department,20624,WA,Pacific,West,Region IV,COWLITZ,City,True,2011-06-01T00:00:00.000Z,46.143547,-122.91182
