ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
WV0010000,Barbour County Sheriff's Office,21333,WV,South Atlantic,South,Region III,BARBOUR,County,True,1999-01-01T00:00:00.000Z,39.151608,-80.03847
WV0010100,Belington Police Department,21334,WV,South Atlantic,South,Region III,BARBOUR,City,False,1999-03-01T00:00:00.000Z,39.139725,-79.996947
WV0010200,Philippi Police Department,21335,WV,South Atlantic,South,Region III,BARBOUR,City,True,1999-01-01T00:00:00.000Z,39.139725,-79.996947
WV0010300,Department of Natural Resources: Barbour County,21336,WV,South Atlantic,South,Region III,BARBOUR,Other State Agency,True,2002-01-01T00:00:00.000Z,39.139725,-79.996947
WV0010600,State Fire Marshal: Barbour County,21337,WV,South Atlantic,South,Region III,BARBOUR,Other State Agency,False,2004-05-01T00:00:00.000Z,38.34613,-81.63015
WV0020000,Berkeley County Sheriff's Office,21339,WV,South Atlantic,South,Region III,BERKELEY,County,True,1999-12-01T00:00:00.000Z,39.45025,-77.96581
WV0020100,Martinsburg Police Department,21340,WV,South Atlantic,South,Region III,BERKELEY,City,True,1999-01-01T00:00:00.000Z,39.459187,-77.963066
WV0020200,Department of Natural Resources: Berkeley County,21341,WV,South Atlantic,South,Region III,BERKELEY,Other State Agency,True,2000-04-01T00:00:00.000Z,39.448053,-78.037807
WV0020300,State Fire Marshal: Berkeley County,21342,WV,South Atlantic,South,Region III,BERKELEY,Other State Agency,True,2006-06-01T00:00:00.000Z,38.34613,-81.63015
WV0020600,Eastern Panhandle Drug and Violent Crime Task Force,21343,WV,South Atlantic,South,Region III,BERKELEY,Other,False,2003-01-01T00:00:00.000Z,39.448053,-78.037807
WV0030000,Boone County Sheriff's Office,21345,WV,South Atlantic,South,Region III,BOONE,County,True,1998-08-01T00:00:00.000Z,38.06635,-81.819725
WV0030100,Madison Police Department,21346,WV,South Atlantic,South,Region III,BOONE,City,True,2000-01-01T00:00:00.000Z,38.059093,-81.820404
WV0030200,Whitesville Police Department,21347,WV,South Atlantic,South,Region III,BOONE,City,False,1999-02-01T00:00:00.000Z,38.022838,-81.713314
WV0030300,Department of Natural Resources: Boone County,21348,WV,South Atlantic,South,Region III,BOONE,Other State Agency,False,2002-01-01T00:00:00.000Z,37.756214,-81.215546
WV0030500,Danville Police Department,21349,WV,South Atlantic,South,Region III,BOONE,City,False,1999-01-01T00:00:00.000Z,38.022838,-81.713314
WV0030600,Sylvester Police Department,21350,WV,South Atlantic,South,Region III,BOONE,City,False,2005-05-01T00:00:00.000Z,38.022838,-81.713314
WV0030700,State Fire Marshal: Boone County,21351,WV,South Atlantic,South,Region III,BOONE,Other State Agency,False,2002-01-01T00:00:00.000Z,38.34613,-81.63015
WV0040000,Braxton County Sheriff's Office,21353,WV,South Atlantic,South,Region III,BRAXTON,County,True,1999-02-01T00:00:00.000Z,38.699302,-80.731649
WV0040100,Gassaway Police Department,21354,WV,South Atlantic,South,Region III,BRAXTON,City,False,1999-04-01T00:00:00.000Z,38.699302,-80.731649
WV0040200,Sutton Police Department,21355,WV,South Atlantic,South,Region III,BRAXTON,City,False,1998-12-01T00:00:00.000Z,38.699302,-80.731649
WV0040300,Burnsville Police Department,21356,WV,South Atlantic,South,Region III,BRAXTON,City,False,1999-02-01T00:00:00.000Z,38.699302,-80.731649
WV0040400,Department of Natural Resources: Braxton County,21357,WV,South Atlantic,South,Region III,BRAXTON,Other State Agency,False,2002-01-01T00:00:00.000Z,38.699302,-80.731649
WV0040700,State Fire Marshal: Braxton County,21358,WV,South Atlantic,South,Region III,BRAXTON,Other State Agency,False,2002-01-01T00:00:00.000Z,38.699302,-80.731649
WV0050000,Brooke County Sheriff's Office,21360,WV,South Atlantic,South,Region III,BROOKE,County,True,1999-02-01T00:00:00.000Z,40.269424,-80.61393
WV0050100,Follansbee Police Department,21361,WV,South Atlantic,South,Region III,BROOKE,City,True,1999-01-01T00:00:00.000Z,40.272645,-80.578691
WV0050200,Wellsburg Police Department,21362,WV,South Atlantic,South,Region III,BROOKE,City,True,2001-01-01T00:00:00.000Z,40.272645,-80.578691
WV0050300,Department of Natural Resources: Brooke County,21363,WV,South Atlantic,South,Region III,BROOKE,Other State Agency,True,2002-01-01T00:00:00.000Z,40.272645,-80.578691
WV0050500,Bethany Police Department,21364,WV,South Atlantic,South,Region III,BROOKE,City,False,1999-03-01T00:00:00.000Z,40.272645,-80.578691
WV0050700,State Fire Marshal: Brooke County,21365,WV,South Atlantic,South,Region III,BROOKE,Other State Agency,False,2002-01-01T00:00:00.000Z,38.34613,-81.63015
WV0050800,Beech Bottom Police Department,23232,WV,South Atlantic,South,Region III,BROOKE,City,False,2013-07-01T00:00:00.000Z,40.272645,-80.578691
WV0050900,Windsor Heights,26180,WV,South Atlantic,South,Region III,BROOKE,City,False,,40.272645,-80.578691
WV0060000,Cabell County Sheriff's Office,21367,WV,South Atlantic,South,Region III,CABELL,County,True,2000-01-01T00:00:00.000Z,38.419578,-82.243397
WV0060100,Barboursville Police Department,21368,WV,South Atlantic,South,Region III,CABELL,City,True,1998-11-01T00:00:00.000Z,38.419578,-82.243397
WV0060200,Huntington Police Department,21369,WV,South Atlantic,South,Region III,"CABELL, WAYNE",City,True,2000-01-01T00:00:00.000Z,38.419578,-82.243397
WV0060300,Milton Police Department,21370,WV,South Atlantic,South,Region III,CABELL,City,False,1999-01-01T00:00:00.000Z,38.43637,-82.1328
WV0060400,Marshall University,21371,WV,South Atlantic,South,Region III,CABELL,University or College,True,1998-10-01T00:00:00.000Z,38.422318,-82.426544
WV0060500,Department of Natural Resources: Cabell County,21372,WV,South Atlantic,South,Region III,CABELL,Other State Agency,False,2002-01-01T00:00:00.000Z,38.444405,-81.831314
WV0060800,State Fire Marshal: Cabell County,21373,WV,South Atlantic,South,Region III,CABELL,Other State Agency,False,2002-01-01T00:00:00.000Z,38.34613,-81.63015
WV0061000,Huntington Drug and Violent Crime Task Force,21374,WV,South Atlantic,South,Region III,CABELL,Other,False,2003-01-01T00:00:00.000Z,38.419578,-82.243397
WV0070000,Calhoun County Sheriff's Office,21376,WV,South Atlantic,South,Region III,CALHOUN,County,True,1999-03-01T00:00:00.000Z,38.844159,-81.115478
WV0070100,Grantsville Police Department,21377,WV,South Atlantic,South,Region III,CALHOUN,City,False,1999-01-01T00:00:00.000Z,38.844159,-81.115478
WV0070200,Department of Natural Resources: Calhoun County,21378,WV,South Atlantic,South,Region III,CALHOUN,Other State Agency,False,2002-01-01T00:00:00.000Z,38.444405,-81.831314
WV0070300,State Fire Marshal: Calhoun County,21379,WV,South Atlantic,South,Region III,CALHOUN,Other State Agency,False,2003-01-01T00:00:00.000Z,38.34613,-81.63015
WV0080000,Clay County Sheriff's Office,21381,WV,South Atlantic,South,Region III,CLAY,County,False,1998-11-01T00:00:00.000Z,38.459826,-81.081866
WV0080200,Department of Natural Resources: Clay County,21383,WV,South Atlantic,South,Region III,CLAY,Other State Agency,False,2002-01-01T00:00:00.000Z,38.459826,-81.081866
WV0080300,State Fire Marshal: Clay County,21384,WV,South Atlantic,South,Region III,CLAY,Other State Agency,False,2002-01-01T00:00:00.000Z,38.34613,-81.63015
WV0090000,Doddridge County Sheriff's Office,21386,WV,South Atlantic,South,Region III,DODDRIDGE,County,True,1999-01-01T00:00:00.000Z,39.263482,-80.701147
WV0090100,West Union Police Department,21387,WV,South Atlantic,South,Region III,DODDRIDGE,City,True,1998-12-01T00:00:00.000Z,39.263482,-80.701147
WV0090200,Department of Natural Resources: Doddridge County,21388,WV,South Atlantic,South,Region III,DODDRIDGE,Other State Agency,False,2009-10-01T00:00:00.000Z,39.282536,-81.549706
WV0090300,State Fire Marshal: Doddridge County,21389,WV,South Atlantic,South,Region III,DODDRIDGE,Other State Agency,False,2005-01-01T00:00:00.000Z,38.34613,-81.63015
WV0100000,Fayette County Sheriff's Office,21391,WV,South Atlantic,South,Region III,FAYETTE,County,True,1999-01-01T00:00:00.000Z,38.030933,-81.086051
WV0100100,Ansted Police Department,21392,WV,South Atlantic,South,Region III,FAYETTE,City,True,1999-01-01T00:00:00.000Z,38.030933,-81.086051
WV0100200,Fayetteville Police Department,21393,WV,South Atlantic,South,Region III,FAYETTE,City,True,2001-01-01T00:00:00.000Z,38.030933,-81.086051
WV0100300,Montgomery Police Department,21394,WV,South Atlantic,South,Region III,"FAYETTE, KANAWHA",City,False,1998-12-01T00:00:00.000Z,38.180664,-81.32927
WV0100400,Mount Hope Police Department,21395,WV,South Atlantic,South,Region III,FAYETTE,City,True,2000-01-01T00:00:00.000Z,38.030933,-81.086051
WV0100500,Oak Hill Police Department,21396,WV,South Atlantic,South,Region III,FAYETTE,City,True,1999-01-01T00:00:00.000Z,38.030933,-81.086051
WV0101000,Department of Natural Resources: Fayette County,21401,WV,South Atlantic,South,Region III,FAYETTE,Other State Agency,False,2002-01-01T00:00:00.000Z,37.756214,-81.215546
WV0101100,Gauley Bridge Police Department,21402,WV,South Atlantic,South,Region III,FAYETTE,City,False,1999-09-01T00:00:00.000Z,38.030933,-81.086051
WV0101500,State Fire Marshal: Fayette County,21403,WV,South Atlantic,South,Region III,FAYETTE,Other State Agency,False,2002-01-01T00:00:00.000Z,38.030933,-81.086051
WV0110000,Gilmer County Sheriff's Office,21405,WV,South Atlantic,South,Region III,GILMER,County,False,1998-12-01T00:00:00.000Z,38.93437,-80.83701
WV0110100,Glenville Police Department,21406,WV,South Atlantic,South,Region III,GILMER,City,False,1999-01-01T00:00:00.000Z,38.933693,-80.837036
WV0110200,Glenville State College,21407,WV,South Atlantic,South,Region III,GILMER,University or College,False,1999-01-01T00:00:00.000Z,38.915865,-80.849409
WV0110300,Department of Natural Resources: Gilmer County,21408,WV,South Atlantic,South,Region III,GILMER,Other State Agency,False,2002-01-01T00:00:00.000Z,38.915865,-80.849409
WV0110600,State Fire Marshal: Gilmer County,21409,WV,South Atlantic,South,Region III,GILMER,Other State Agency,False,2003-01-01T00:00:00.000Z,38.34613,-81.63015
WV0120000,Grant County Sheriff's Office,21411,WV,South Atlantic,South,Region III,GRANT,County,True,1999-02-01T00:00:00.000Z,39.105988,-79.195064
WV0120100,Petersburg Police Department,21412,WV,South Atlantic,South,Region III,GRANT,City,True,1999-03-01T00:00:00.000Z,39.105988,-79.195064
WV0120200,Department of Natural Resources: Grant County,21413,WV,South Atlantic,South,Region III,GRANT,Other State Agency,True,2002-01-01T00:00:00.000Z,39.105988,-79.195064
WV0120300,Bayard Police Department,21414,WV,South Atlantic,South,Region III,GRANT,City,False,2001-01-01T00:00:00.000Z,39.105988,-79.195064
WV0120400,State Fire Marshal: Grant County,21415,WV,South Atlantic,South,Region III,GRANT,Other State Agency,False,2003-01-01T00:00:00.000Z,39.105988,-79.195064
WV0120500,Potomac Highlands Drug and Violent Crime Task Force,21416,WV,South Atlantic,South,Region III,GRANT,Other,False,2007-07-01T00:00:00.000Z,39.105988,-79.195064
WV0130000,Greenbrier County Sheriff's Office,21418,WV,South Atlantic,South,Region III,GREENBRIER,County,False,1998-03-01T00:00:00.000Z,37.924418,-80.45059
WV0130100,Lewisburg Police Department,21419,WV,South Atlantic,South,Region III,GREENBRIER,City,True,1999-01-01T00:00:00.000Z,37.924418,-80.45059
WV0130200,Rainelle Police Department,21420,WV,South Atlantic,South,Region III,GREENBRIER,City,False,1999-03-01T00:00:00.000Z,37.924418,-80.45059
WV0130300,Ronceverte Police Department,21421,WV,South Atlantic,South,Region III,GREENBRIER,City,False,1999-01-01T00:00:00.000Z,37.924418,-80.45059
WV0130400,White Sulphur Springs Police Department,21422,WV,South Atlantic,South,Region III,GREENBRIER,City,True,1998-12-01T00:00:00.000Z,37.924418,-80.45059
WV0130600,Department of Natural Resources: Greenbrier County,21424,WV,South Atlantic,South,Region III,GREENBRIER,Other State Agency,False,2002-01-01T00:00:00.000Z,37.756214,-81.215546
WV0130700,Rupert Police Department,21425,WV,South Atlantic,South,Region III,GREENBRIER,City,False,2018-10-01T00:00:00.000Z,37.924418,-80.45059
WV0131000,State Fire Marshal: Greenbrier County,21426,WV,South Atlantic,South,Region III,GREENBRIER,Other State Agency,False,2003-01-01T00:00:00.000Z,37.924418,-80.45059
WV0131100,Greenbrier County Drug and Violent Crime Task Force,21427,WV,South Atlantic,South,Region III,GREENBRIER,Other,False,2004-01-01T00:00:00.000Z,37.924418,-80.45059
WV0140000,Hampshire County Sheriff's Office,21429,WV,South Atlantic,South,Region III,HAMPSHIRE,County,True,1998-11-01T00:00:00.000Z,39.341347,-78.756805
WV0140100,Romney Police Department,21430,WV,South Atlantic,South,Region III,HAMPSHIRE,City,True,1999-02-01T00:00:00.000Z,39.34002,-78.752266
WV0140200,Department of Natural Resources: Hampshire County,21431,WV,South Atlantic,South,Region III,HAMPSHIRE,Other State Agency,True,2002-01-01T00:00:00.000Z,39.312139,-78.611989
WV0140500,Capon Bridge Police Department,21432,WV,South Atlantic,South,Region III,HAMPSHIRE,City,False,1998-11-01T00:00:00.000Z,39.312139,-78.611989
WV0140600,State Fire Marshal: Hampshire County,21433,WV,South Atlantic,South,Region III,HAMPSHIRE,Other State Agency,True,2002-01-01T00:00:00.000Z,38.34613,-81.63015
WV0150000,Hancock County Sheriff's Office,21435,WV,South Atlantic,South,Region III,HANCOCK,County,True,2003-01-01T00:00:00.000Z,40.516958,-80.570164
WV0150100,Chester Police Department,21436,WV,South Atlantic,South,Region III,HANCOCK,City,True,2003-01-01T00:00:00.000Z,40.516958,-80.570164
WV0150200,Weirton Police Department,21437,WV,South Atlantic,South,Region III,"BROOKE, HANCOCK",City,True,1998-12-01T00:00:00.000Z,40.4022,-80.58772
WV0150300,New Cumberland Police Department,21438,WV,South Atlantic,South,Region III,HANCOCK,City,False,1999-12-01T00:00:00.000Z,40.516958,-80.570164
WV0150400,Department of Natural Resources: Hancock County,21439,WV,South Atlantic,South,Region III,HANCOCK,Other State Agency,True,2002-01-01T00:00:00.000Z,40.516958,-80.570164
WV0150500,State Fire Marshal: Hancock County,21440,WV,South Atlantic,South,Region III,HANCOCK,Other State Agency,False,2002-01-01T00:00:00.000Z,38.34613,-81.63015
WV0150700,Hancock/Brooke/Weirton Drug Task Force,21441,WV,South Atlantic,South,Region III,HANCOCK,Other,True,2003-01-01T00:00:00.000Z,40.516958,-80.570164
WV0160000,Hardy County Sheriff's Office,21443,WV,South Atlantic,South,Region III,HARDY,County,True,1999-01-01T00:00:00.000Z,39.010818,-78.843641
WV0160100,Moorefield Police Department,21444,WV,South Atlantic,South,Region III,HARDY,City,True,1998-08-01T00:00:00.000Z,39.062195,-78.968025
WV0160300,Department of Natural Resources: Hardy County,21446,WV,South Atlantic,South,Region III,HARDY,Other State Agency,True,2002-01-01T00:00:00.000Z,39.010818,-78.843641
WV0160600,State Fire Marshal: Hardy County,21447,WV,South Atlantic,South,Region III,HARDY,Other State Agency,False,2002-01-01T00:00:00.000Z,38.34613,-81.63015
WV0170000,Harrison County Sheriff's Office,21449,WV,South Atlantic,South,Region III,HARRISON,County,True,1998-07-01T00:00:00.000Z,39.263905,-80.326675
WV0170100,Bridgeport Police Department,21450,WV,South Atlantic,South,Region III,HARRISON,City,True,1998-10-01T00:00:00.000Z,39.280823,-80.25987
WV0170200,Clarksburg Police Department,21451,WV,South Atlantic,South,Region III,HARRISON,City,True,1998-07-01T00:00:00.000Z,39.27901,-80.338196
WV0170300,Salem Police Department,21452,WV,South Atlantic,South,Region III,HARRISON,City,False,1999-02-01T00:00:00.000Z,39.279182,-80.386498
WV0170400,Shinnston Police Department,21453,WV,South Atlantic,South,Region III,HARRISON,City,False,1998-12-01T00:00:00.000Z,39.396294,-80.301025
WV0170500,Stonewood Police Department,21454,WV,South Atlantic,South,Region III,HARRISON,City,False,2002-01-01T00:00:00.000Z,39.251194,-80.31329
WV0170600,Anmoore Police Department,21455,WV,South Atlantic,South,Region III,HARRISON,City,False,1999-01-01T00:00:00.000Z,39.279182,-80.386498
WV0170700,Nutter Fort Police Department,21456,WV,South Atlantic,South,Region III,HARRISON,City,False,1998-08-01T00:00:00.000Z,39.258904,-80.323166
WV0170800,Lumberport Police Department,21457,WV,South Atlantic,South,Region III,HARRISON,City,False,1999-01-01T00:00:00.000Z,39.279182,-80.386498
WV0171100,Department of Natural Resources: Harrison County,21460,WV,South Atlantic,South,Region III,HARRISON,Other State Agency,True,2002-01-01T00:00:00.000Z,39.279182,-80.386498
WV0171200,State Fire Marshal: Harrison County,21461,WV,South Atlantic,South,Region III,HARRISON,Other State Agency,False,2002-01-01T00:00:00.000Z,38.34613,-81.63015
WV0171400,Harrison County Drug and Violent Crime Task Force,21462,WV,South Atlantic,South,Region III,HARRISON,Other,False,2003-01-01T00:00:00.000Z,39.263905,-80.326675
WV0180000,Jackson County Sheriff's Office,21464,WV,South Atlantic,South,Region III,JACKSON,County,True,1999-01-01T00:00:00.000Z,38.834234,-81.677717
WV0180100,Ravenswood Police Department,21465,WV,South Atlantic,South,Region III,JACKSON,City,True,1999-01-01T00:00:00.000Z,38.95125,-81.76154
WV0180200,Ripley Police Department,21466,WV,South Atlantic,South,Region III,JACKSON,City,True,1998-11-01T00:00:00.000Z,38.834234,-81.677717
WV0180300,Department of Natural Resources: Jackson County,21467,WV,South Atlantic,South,Region III,JACKSON,Other State Agency,False,2002-01-01T00:00:00.000Z,38.834234,-81.677717
WV0180500,State Fire Marshal: Jackson County,21468,WV,South Atlantic,South,Region III,JACKSON,Other State Agency,False,2002-01-01T00:00:00.000Z,38.34613,-81.63015
WV0190000,Jefferson County Sheriff's Office,21470,WV,South Atlantic,South,Region III,JEFFERSON,County,True,1999-12-01T00:00:00.000Z,39.307398,-77.86322
WV0190100,Charles Town Police Department,21471,WV,South Atlantic,South,Region III,JEFFERSON,City,True,2000-01-01T00:00:00.000Z,39.307398,-77.86322
