ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
WY0010000,Albany County Sheriff's Office,21857,WY,Mountain,West,Region IV,ALBANY,County,True,2021-01-01T00:00:00.000Z,41.31085,-105.59061
WY0010100,Laramie Police Department,21858,WY,Mountain,West,Region IV,ALBANY,City,True,2018-01-01T00:00:00.000Z,41.665514,-105.721883
WY0010200,University of Wyoming,21859,WY,Mountain,West,Region IV,ALBANY,University or College,True,2021-01-01T00:00:00.000Z,41.665514,-105.721883
WY0020000,Big Horn County Sheriff's Office,21860,WY,Mountain,West,Region IV,BIG HORN,County,False,,44.525654,-107.99332
WY0020100,Basin Police Department,21861,WY,Mountain,West,Region IV,BIG HORN,City,False,,44.525654,-107.99332
WY0020200,Lovell Police Department,21862,WY,Mountain,West,Region IV,BIG HORN,City,False,,44.836075,-108.38599
WY0020300,Greybull Police Department,21863,WY,Mountain,West,Region IV,BIG HORN,City,False,,44.525654,-107.99332
WY0030000,Campbell County Sheriff's Office,21864,WY,Mountain,West,Region IV,CAMPBELL,County,True,2021-01-01T00:00:00.000Z,44.27725,-105.5098
WY0030100,Gillette Police Department,21865,WY,Mountain,West,Region IV,CAMPBELL,City,True,2020-10-01T00:00:00.000Z,44.192361,-105.516978
WY0040000,Carbon County Sheriff's Office,21866,WY,Mountain,West,Region IV,CARBON,County,False,,41.70359,-106.933153
WY0040100,Rawlins Police Department,21867,WY,Mountain,West,Region IV,CARBON,City,False,,41.70359,-106.933153
WY0040200,Saratoga Police Department,21868,WY,Mountain,West,Region IV,CARBON,City,False,,41.70359,-106.933153
WY0040300,Medicine Bow Police Department,21869,WY,Mountain,West,Region IV,CARBON,City,True,2021-01-01T00:00:00.000Z,41.70359,-106.933153
WY0040500,Hanna Police Department,21870,WY,Mountain,West,Region IV,CARBON,City,True,2022-01-01T00:00:00.000Z,41.70359,-106.933153
WY0050000,Converse County Sheriff's Office,21873,WY,Mountain,West,Region IV,CONVERSE,County,True,2020-09-01T00:00:00.000Z,42.759663,-105.38123
WY0050100,Douglas Police Department,21874,WY,Mountain,West,Region IV,CONVERSE,City,True,2020-11-01T00:00:00.000Z,42.972839,-105.507367
WY0050200,Glenrock Police Department,21875,WY,Mountain,West,Region IV,CONVERSE,City,True,2020-11-01T00:00:00.000Z,42.972839,-105.507367
WY0060000,Crook County Sheriff's Office,21876,WY,Mountain,West,Region IV,CROOK,County,True,2020-12-01T00:00:00.000Z,44.589266,-104.567298
WY0060200,Hulett Police Department,21878,WY,Mountain,West,Region IV,CROOK,City,False,,44.589266,-104.567298
WY0060300,Moorcroft Police Department,21879,WY,Mountain,West,Region IV,CROOK,City,True,2021-01-01T00:00:00.000Z,44.589266,-104.567298
