ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
AL0010000,Jefferson County Sheriff's Office,49,AL,East South Central,South,Region III,JEFFERSON,County,True,2021-01-01T00:00:00.000Z,33.553444,-86.896536
AL0010100,Bessemer Police Department,50,AL,East South Central,South,Region III,JEFFERSON,City,True,2006-01-01T00:00:00.000Z,33.396152,-86.95345
AL0010200,Birmingham Police Department,51,AL,East South Central,South,Region III,"JEFFERSON, SHELBY",City,True,2021-02-01T00:00:00.000Z,33.553444,-86.896536
AL0010300,Mountain Brook Police Department,52,AL,East South Central,South,Region III,JEFFERSON,City,True,2021-01-01T00:00:00.000Z,33.50124,-86.75607
AL0010400,Fairfield Police Department,53,AL,East South Central,South,Region III,JEFFERSON,City,False,,33.553444,-86.896536
AL0010500,Gardendale Police Department,54,AL,East South Central,South,Region III,JEFFERSON,City,True,2021-01-01T00:00:00.000Z,33.553444,-86.896536
AL0010600,Leeds Police Department,55,AL,East South Central,South,Region III,"JEFFERSON, SHELBY, ST CLAIR",City,True,2006-01-01T00:00:00.000Z,33.553444,-86.896536
AL0010700,Midfield Police Department,56,AL,East South Central,South,Region III,JEFFERSON,City,True,2020-01-01T00:00:00.000Z,33.553444,-86.896536
AL0010800,Tarrant Police Department,57,AL,East South Central,South,Region III,JEFFERSON,City,True,2021-02-01T00:00:00.000Z,33.585728,-86.775024
AL0010900,Vestavia Hills Police Department,58,AL,East South Central,South,Region III,"JEFFERSON, SHELBY",City,True,2021-01-01T00:00:00.000Z,33.553444,-86.896536
AL0011000,Homewood Police Department,59,AL,East South Central,South,Region III,JEFFERSON,City,True,2012-01-01T00:00:00.000Z,33.479603,-86.791016
AL0011100,Fultondale Police Department,60,AL,East South Central,South,Region III,JEFFERSON,City,True,2006-01-01T00:00:00.000Z,33.553444,-86.896536
AL0011200,Hoover Police Department,61,AL,East South Central,South,Region III,"JEFFERSON, SHELBY",City,True,2006-01-01T00:00:00.000Z,33.38795,-86.80636
AL0011300,Irondale Police Department,62,AL,East South Central,South,Region III,JEFFERSON,City,True,2009-05-01T00:00:00.000Z,33.538326,-86.70705
AL0011400,Pleasant Grove Police Department,63,AL,East South Central,South,Region III,JEFFERSON,City,True,2011-01-01T00:00:00.000Z,33.49046,-86.9703
AL0011600,Graysville Police Department,65,AL,East South Central,South,Region III,JEFFERSON,City,False,2021-01-01T00:00:00.000Z,33.553444,-86.896536
AL0011800,Brighton Police Department,67,AL,East South Central,South,Region III,JEFFERSON,City,False,,33.42912,-86.94988
AL0011900,Hueytown Police Department,68,AL,East South Central,South,Region III,JEFFERSON,City,True,2012-02-01T00:00:00.000Z,33.553444,-86.896536
AL0012000,Lipscomb Police Department,69,AL,East South Central,South,Region III,JEFFERSON,City,True,2020-01-01T00:00:00.000Z,33.553444,-86.896536
AL0012100,Trussville Police Department,70,AL,East South Central,South,Region III,"JEFFERSON, ST CLAIR",City,True,2013-05-01T00:00:00.000Z,33.553444,-86.896536
AL0012200,Adamsville Police Department,71,AL,East South Central,South,Region III,JEFFERSON,City,True,2020-01-01T00:00:00.000Z,33.553444,-86.896536
AL0012300,Warrior Police Department,72,AL,East South Central,South,Region III,JEFFERSON,City,True,2021-01-01T00:00:00.000Z,33.553444,-86.896536
AL0012400,University of Alabama: Birmingham,73,AL,East South Central,South,Region III,JEFFERSON,University or College,True,2010-04-01T00:00:00.000Z,33.49646,-86.80456
AL0012500,Trafford Police Department,74,AL,East South Central,South,Region III,JEFFERSON,City,True,2020-12-01T00:00:00.000Z,33.553444,-86.896536
AL0012600,Morris Police Department,75,AL,East South Central,South,Region III,JEFFERSON,City,True,2021-01-01T00:00:00.000Z,33.553444,-86.896536
AL0012700,Brookside Police Department,76,AL,East South Central,South,Region III,JEFFERSON,City,True,2021-01-01T00:00:00.000Z,33.553444,-86.896536
AL0012900,Kimberly Police Department,78,AL,East South Central,South,Region III,JEFFERSON,City,True,2021-01-01T00:00:00.000Z,33.553444,-86.896536
AL0013200,Tannehill Ironworks Historic State Park,23270,AL,East South Central,South,Region III,JEFFERSON,Other State Agency,False,,33.553444,-86.896536
AL0013400,Jefferson State Community College,23202,AL,East South Central,South,Region III,JEFFERSON,University or College,True,2020-01-01T00:00:00.000Z,33.64871,-86.7103
AL001359E,Norfolk Southern Railway,80,AL,East South Central,South,Region III,JEFFERSON,Other,False,,,
AL0014000,Lawson State Community College,26230,AL,East South Central,South,Region III,JEFFERSON,University or College,True,2020-01-01T00:00:00.000Z,33.553444,-86.896536
AL001419E,Samford University,23196,AL,East South Central,South,Region III,JEFFERSON,University or College,True,2021-04-01T00:00:00.000Z,,
AL0014500,Trussville Fire Department Fire and Explosion Investigation Unit,23194,AL,East South Central,South,Region III,JEFFERSON,Other,False,,33.6301,-86.59608
AL0020000,Mobile County Sheriff's Office,81,AL,East South Central,South,Region III,MOBILE,County,True,2021-01-01T00:00:00.000Z,30.684572,-88.196568
AL0020100,Mobile Police Department,82,AL,East South Central,South,Region III,MOBILE,City,True,2021-01-01T00:00:00.000Z,30.673004,-88.09793
AL0020200,Prichard Police Department,83,AL,East South Central,South,Region III,MOBILE,City,True,2020-01-01T00:00:00.000Z,30.730814,-88.0808
AL0020300,Chickasaw Police Department,84,AL,East South Central,South,Region III,MOBILE,City,True,2020-01-01T00:00:00.000Z,30.684572,-88.196568
AL0020400,Citronelle Police Department,85,AL,East South Central,South,Region III,MOBILE,City,True,2021-01-01T00:00:00.000Z,31.089754,-88.22756
AL0020500,Saraland Police Department,86,AL,East South Central,South,Region III,MOBILE,City,True,2021-01-01T00:00:00.000Z,30.80567,-88.071266
AL0020600,Bayou La Batre Police Department,87,AL,East South Central,South,Region III,MOBILE,City,True,2020-01-01T00:00:00.000Z,30.684572,-88.196568
AL0020700,Satsuma Police Department,88,AL,East South Central,South,Region III,MOBILE,City,True,2020-01-01T00:00:00.000Z,30.684572,-88.196568
AL0020800,Mount Vernon Police Department,89,AL,East South Central,South,Region III,MOBILE,City,True,2020-09-01T00:00:00.000Z,30.684572,-88.196568
AL0021200,Creola Police Department,91,AL,East South Central,South,Region III,MOBILE,City,True,2021-01-01T00:00:00.000Z,30.684572,-88.196568
AL0021300,Mobile Regional Airport,25304,AL,East South Central,South,Region III,MOBILE,Other,True,2021-02-01T00:00:00.000Z,30.684572,-88.196568
AL0021400,University of South Alabama,92,AL,East South Central,South,Region III,MOBILE,University or College,True,2020-09-01T00:00:00.000Z,30.69486,-88.17397
AL0021500,Dauphin Island Police Department,93,AL,East South Central,South,Region III,MOBILE,City,True,2020-01-01T00:00:00.000Z,30.684572,-88.196568
AL0021700,Bishop State Community College,23089,AL,East South Central,South,Region III,MOBILE,University or College,True,2022-06-01T00:00:00.000Z,30.69399,-88.056145
AL0022200,Semmes,34186,AL,East South Central,South,Region III,MOBILE,City,True,2022-01-01T00:00:00.000Z,,
AL0030000,Montgomery County Sheriff's Office,94,AL,East South Central,South,Region III,MONTGOMERY,County,True,2021-06-01T00:00:00.000Z,32.20365,-86.203831
AL0030100,Montgomery Police Department,95,AL,East South Central,South,Region III,MONTGOMERY,City,False,,32.20365,-86.203831
AL0030500,Alabama Department of Mental Health,98,AL,East South Central,South,Region III,MONTGOMERY,Other State Agency,True,2021-01-01T00:00:00.000Z,32.20365,-86.203831
AL0030600,Alabama State University,99,AL,East South Central,South,Region III,MONTGOMERY,University or College,True,2022-01-01T00:00:00.000Z,32.20365,-86.203831
AL0030700,Auburn University: Montgomery,100,AL,East South Central,South,Region III,MONTGOMERY,University or College,True,2020-01-01T00:00:00.000Z,32.20365,-86.203831
AL0030800,Alabama Public Service Commission Enforcement Division,101,AL,East South Central,South,Region III,MONTGOMERY,Other State Agency,False,,32.20365,-86.203831
AL0031400,State Fire Marshal,23191,AL,East South Central,South,Region III,MONTGOMERY,Other State Agency,False,,32.20365,-86.203831
AL0031600,Montgomery Airport ,34151,AL,East South Central,South,Region III,MONTGOMERY,Other,True,2022-01-01T00:00:00.000Z,,
AL0032500,"Department of Conservation, Montgomery",22499,AL,East South Central,South,Region III,MONTGOMERY,Other State Agency,True,2020-12-01T00:00:00.000Z,,
AL0032900,Faulkner University,34155,AL,East South Central,South,Region III,MONTGOMERY,University or College,True,2022-08-01T00:00:00.000Z,,
AL0033100,Alabama Drug Enforcement Task Force,33663,AL,East South Central,South,Region III,NOT SPECIFIED,Other State Agency,True,2021-03-01T00:00:00.000Z,,
AL0033200,Department of Corrections Investigations and Intelligence Division,28416,AL,East South Central,South,Region III,MONTGOMERY,Other State Agency,True,2021-01-01T00:00:00.000Z,,
AL0040000,Autauga County Sheriff's Office,106,AL,East South Central,South,Region III,AUTAUGA,County,True,2021-01-01T00:00:00.000Z,32.4632,-86.47712
AL0040100,Prattville Police Department,107,AL,East South Central,South,Region III,"AUTAUGA, ELMORE",City,True,2021-05-01T00:00:00.000Z,32.459705,-86.47263
AL0040200,Autaugaville Police Department,108,AL,East South Central,South,Region III,AUTAUGA,City,True,2021-01-01T00:00:00.000Z,32.536382,-86.64449
AL0050000,Baldwin County Sheriff's Office,109,AL,East South Central,South,Region III,BALDWIN,County,True,2022-06-01T00:00:00.000Z,30.884958,-87.775055
AL0050100,Bay Minette Police Department,110,AL,East South Central,South,Region III,BALDWIN,City,True,2010-06-01T00:00:00.000Z,30.659218,-87.746067
AL0050200,Fairhope Police Department,111,AL,East South Central,South,Region III,BALDWIN,City,True,2015-11-01T00:00:00.000Z,30.659218,-87.746067
AL0050300,Foley Police Department,112,AL,East South Central,South,Region III,BALDWIN,City,True,2013-01-01T00:00:00.000Z,30.659218,-87.746067
AL0050400,Gulf Shores Police Department,113,AL,East South Central,South,Region III,BALDWIN,City,True,2021-02-01T00:00:00.000Z,30.659218,-87.746067
AL0050500,Robertsdale Police Department,114,AL,East South Central,South,Region III,BALDWIN,City,True,2021-01-01T00:00:00.000Z,30.659218,-87.746067
AL0050600,Loxley Police Department,115,AL,East South Central,South,Region III,BALDWIN,City,False,,30.659218,-87.746067
AL0050700,Silverhill Police Department,116,AL,East South Central,South,Region III,BALDWIN,City,True,2020-01-01T00:00:00.000Z,30.659218,-87.746067
AL0050800,Daphne Police Department,117,AL,East South Central,South,Region III,BALDWIN,City,True,2007-11-01T00:00:00.000Z,30.599625,-87.898056
AL0050900,Summerdale Police Department,118,AL,East South Central,South,Region III,BALDWIN,City,True,2019-01-01T00:00:00.000Z,30.659218,-87.746067
AL0051000,Elberta Police Department,119,AL,East South Central,South,Region III,BALDWIN,City,True,2020-01-01T00:00:00.000Z,30.659218,-87.746067
AL0051100,Faulkner State Community College,120,AL,East South Central,South,Region III,BALDWIN,University or College,True,2020-01-01T00:00:00.000Z,30.659218,-87.746067
AL0051200,Orange Beach Police Department,121,AL,East South Central,South,Region III,BALDWIN,City,True,2021-01-01T00:00:00.000Z,30.659218,-87.746067
AL0051300,Spanish Fort Police Department,122,AL,East South Central,South,Region III,BALDWIN,City,True,2013-08-01T00:00:00.000Z,30.659218,-87.746067
AL0060000,Barbour County Sheriff's Office,123,AL,East South Central,South,Region III,BARBOUR,County,True,2020-01-01T00:00:00.000Z,31.886034,-85.4849
AL0060100,Eufaula Police Department,124,AL,East South Central,South,Region III,BARBOUR,City,True,2021-01-01T00:00:00.000Z,31.870253,-85.405104
AL0060200,Clayton Police Department,125,AL,East South Central,South,Region III,BARBOUR,City,True,2020-01-01T00:00:00.000Z,31.870253,-85.405104
AL0060300,Clio Police Department,126,AL,East South Central,South,Region III,BARBOUR,City,True,2022-12-01T00:00:00.000Z,31.870253,-85.405104
AL0060400,Louisville Police Department,127,AL,East South Central,South,Region III,BARBOUR,City,True,2021-05-01T00:00:00.000Z,31.870253,-85.405104
AL0060700,Baker Hill Police Department,128,AL,East South Central,South,Region III,BARBOUR,City,True,2022-07-01T00:00:00.000Z,31.870253,-85.405104
AL0070000,Bibb County Sheriff's Office,129,AL,East South Central,South,Region III,BIBB,County,True,2021-01-01T00:00:00.000Z,32.939995,-87.11683
AL0070100,Centreville Police Department,130,AL,East South Central,South,Region III,BIBB,City,True,2020-01-01T00:00:00.000Z,33.015893,-87.127148
AL0070200,Brent Police Department,131,AL,East South Central,South,Region III,BIBB,City,True,2020-01-01T00:00:00.000Z,33.015893,-87.127148
AL0070300,West Blocton Police Department,132,AL,East South Central,South,Region III,BIBB,City,True,2020-01-01T00:00:00.000Z,33.015893,-87.127148
AL0070400,Woodstock Police Department,133,AL,East South Central,South,Region III,"BIBB, TUSCALOOSA",City,True,2020-01-01T00:00:00.000Z,33.015893,-87.127148
AL0080000,Blount County Sheriff's Office,134,AL,East South Central,South,Region III,BLOUNT,County,True,2006-01-01T00:00:00.000Z,33.929085,-86.4896
AL0080100,Oneonta Police Department,135,AL,East South Central,South,Region III,BLOUNT,City,True,2020-01-01T00:00:00.000Z,33.943935,-86.47508
