ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
AZ0010000,Apache County Sheriff's Office,801,AZ,Mountain,West,Region IV,APACHE,County,False,,35.385084,-109.490172
AZ0010100,Eagar Police Department,802,AZ,Mountain,West,Region IV,APACHE,City,True,2019-01-01T00:00:00.000Z,35.385084,-109.490172
AZ0010300,St. Johns Police Department,803,AZ,Mountain,West,Region IV,APACHE,City,False,,35.385084,-109.490172
AZ0010500,Springerville Police Department,804,AZ,Mountain,West,Region IV,APACHE,City,True,2021-01-01T00:00:00.000Z,34.118523,-109.29155
AZ0018900,Navajo Nation,805,AZ,Mountain,West,Region IV,NOT SPECIFIED,Tribal,True,2021-01-01T00:00:00.000Z,35.385084,-109.490172
AZ0020000,Cochise County Sheriff's Office,806,AZ,Mountain,West,Region IV,COCHISE,County,True,2021-01-01T00:00:00.000Z,31.840129,-109.775163
AZ0020100,Benson Police Department,807,AZ,Mountain,West,Region IV,COCHISE,City,False,,31.840129,-109.775163
AZ0020300,Bisbee Police Department,808,AZ,Mountain,West,Region IV,COCHISE,City,True,2020-12-01T00:00:00.000Z,31.840129,-109.775163
AZ0020500,Douglas Police Department,809,AZ,Mountain,West,Region IV,COCHISE,City,True,2021-01-01T00:00:00.000Z,31.840129,-109.775163
AZ0020700,Huachuca City Police Department,810,AZ,Mountain,West,Region IV,COCHISE,City,True,2011-01-01T00:00:00.000Z,31.631521,-110.33541
AZ0020900,Sierra Vista Police Department,811,AZ,Mountain,West,Region IV,COCHISE,City,True,2020-12-01T00:00:00.000Z,31.56594,-110.27322
AZ0021100,Tombstone Police Department,812,AZ,Mountain,West,Region IV,COCHISE,City,True,2020-01-01T00:00:00.000Z,31.840129,-109.775163
AZ0021300,Willcox Police Department,813,AZ,Mountain,West,Region IV,COCHISE,City,True,2021-01-01T00:00:00.000Z,32.26314,-109.82966
AZ0030000,Coconino County Sheriff's Office,814,AZ,Mountain,West,Region IV,COCONINO,County,True,2021-01-01T00:00:00.000Z,35.188972,-111.64146
AZ0030100,Flagstaff Police Department,815,AZ,Mountain,West,Region IV,COCONINO,City,True,2020-11-01T00:00:00.000Z,35.188972,-111.64146
AZ0030300,Fredonia Police Department,816,AZ,Mountain,West,Region IV,COCONINO,City,True,2020-01-01T00:00:00.000Z,35.829692,-111.773728
AZ0030700,Williams Police Department,817,AZ,Mountain,West,Region IV,COCONINO,City,True,2021-01-01T00:00:00.000Z,35.252357,-112.18281
AZ0030800,Page Police Department,818,AZ,Mountain,West,Region IV,COCONINO,City,True,2021-01-01T00:00:00.000Z,35.829692,-111.773728
AZ0039700,Northern Arizona University,820,AZ,Mountain,West,Region IV,COCONINO,University or College,True,2021-01-01T00:00:00.000Z,35.829692,-111.773728
AZ0040000,Gila County Sheriff's Office,821,AZ,Mountain,West,Region IV,GILA,County,False,,33.789618,-110.81187
AZ0040100,Globe Police Department,822,AZ,Mountain,West,Region IV,GILA,City,False,,33.395485,-110.788
AZ0040300,Hayden Police Department,823,AZ,Mountain,West,Region IV,GILA,City,False,,33.789618,-110.81187
AZ0040500,Miami Police Department,824,AZ,Mountain,West,Region IV,GILA,City,False,,33.398,-110.873184
AZ0040600,Payson Police Department,825,AZ,Mountain,West,Region IV,GILA,City,True,2020-01-01T00:00:00.000Z,34.242653,-111.322914
AZ0048900,San Carlos Apache,827,AZ,Mountain,West,Region IV,NOT SPECIFIED,Tribal,True,2021-01-01T00:00:00.000Z,33.789618,-110.81187
AZ0050000,Graham County Sheriff's Office,828,AZ,Mountain,West,Region IV,GRAHAM,County,False,,32.931828,-109.87831
AZ0050100,Pima Police Department,829,AZ,Mountain,West,Region IV,GRAHAM,City,False,,32.931828,-109.87831
AZ0050300,Safford Police Department,830,AZ,Mountain,West,Region IV,GRAHAM,City,False,,32.834446,-109.71882
AZ0050500,Thatcher Police Department,831,AZ,Mountain,West,Region IV,GRAHAM,City,False,,32.931828,-109.87831
AZ0060000,Greenlee County Sheriff's Office,833,AZ,Mountain,West,Region IV,GREENLEE,County,True,2021-01-01T00:00:00.000Z,33.238872,-109.242323
AZ0060100,Clifton Police Department,834,AZ,Mountain,West,Region IV,GREENLEE,City,False,,33.238872,-109.242323
AZ0070000,Maricopa County Sheriff's Office,836,AZ,Mountain,West,Region IV,MARICOPA,County,False,,33.446075,-112.07512
AZ0070100,Avondale Police Department,837,AZ,Mountain,West,Region IV,MARICOPA,City,True,2021-01-01T00:00:00.000Z,33.346541,-112.495534
AZ0070300,Buckeye Police Department,838,AZ,Mountain,West,Region IV,MARICOPA,City,True,2021-01-01T00:00:00.000Z,33.375275,-112.573135
AZ0070500,Chandler Police Department,839,AZ,Mountain,West,Region IV,MARICOPA,City,True,2021-01-01T00:00:00.000Z,33.300625,-111.8382
AZ0070700,El Mirage Police Department,840,AZ,Mountain,West,Region IV,MARICOPA,City,True,2021-01-01T00:00:00.000Z,33.346541,-112.495534
AZ0071100,Gilbert Police Department,842,AZ,Mountain,West,Region IV,MARICOPA,City,True,2008-11-01T00:00:00.000Z,33.330627,-111.78834
AZ0071300,Glendale Police Department,843,AZ,Mountain,West,Region IV,MARICOPA,City,True,2022-07-01T00:00:00.000Z,33.536736,-112.18246
AZ0071500,Goodyear Police Department,844,AZ,Mountain,West,Region IV,MARICOPA,City,True,2021-01-01T00:00:00.000Z,33.490746,-112.362495
AZ0071700,Mesa Police Department,845,AZ,Mountain,West,Region IV,MARICOPA,City,True,2020-01-01T00:00:00.000Z,33.41802,-111.83668
AZ0071900,Paradise Valley Police Department,846,AZ,Mountain,West,Region IV,MARICOPA,City,True,2021-01-01T00:00:00.000Z,33.531094,-111.94291
AZ0071F00,Queen Creek,33703,AZ,Mountain,West,Region IV,"MARICOPA, PINAL",City,True,2022-01-01T00:00:00.000Z,,
AZ0072100,Peoria Police Department,847,AZ,Mountain,West,Region IV,MARICOPA,City,True,2021-01-01T00:00:00.000Z,33.346541,-112.495534
AZ0072300,Phoenix Police Department,848,AZ,Mountain,West,Region IV,MARICOPA,City,False,,33.44825,-112.0817
AZ0072500,Scottsdale Police Department,849,AZ,Mountain,West,Region IV,MARICOPA,City,True,2021-01-01T00:00:00.000Z,33.5695,-111.88542
AZ0072700,Surprise Police Department,850,AZ,Mountain,West,Region IV,MARICOPA,City,True,2020-01-01T00:00:00.000Z,33.346541,-112.495534
AZ0072900,Tempe Police Department,851,AZ,Mountain,West,Region IV,MARICOPA,City,True,2022-01-01T00:00:00.000Z,33.346541,-112.495534
AZ0073100,Tolleson Police Department,852,AZ,Mountain,West,Region IV,MARICOPA,City,True,2021-01-01T00:00:00.000Z,33.450283,-112.26505
AZ0073300,Wickenburg Police Department,853,AZ,Mountain,West,Region IV,"MARICOPA, YAVAPAI",City,False,,33.969975,-112.731514
AZ0076200,Maricopa Community College,33695,AZ,Mountain,West,Region IV,MARICOPA,University or College,True,2012-05-01T00:00:00.000Z,,
AZ0078900,Salt River Tribal,859,AZ,Mountain,West,Region IV,NOT SPECIFIED,Tribal,False,2021-01-01T00:00:00.000Z,33.487743,-111.86525
AZ0079700,Arizona State University: Main Campus,860,AZ,Mountain,West,Region IV,MARICOPA,University or College,True,2022-01-01T00:00:00.000Z,33.346541,-112.495534
AZ007990X,Litchfield Park,33337,AZ,Mountain,West,Region IV,MARICOPA,City,True,2021-07-01T00:00:00.000Z,,
AZ007B300,Fort McDowell Tribal,25590,AZ,Mountain,West,Region IV,NOT SPECIFIED,Tribal,True,2021-01-01T00:00:00.000Z,33.346541,-112.495534
AZ0080000,Mohave County Sheriff's Office,861,AZ,Mountain,West,Region IV,MOHAVE,County,True,2020-10-01T00:00:00.000Z,35.717705,-113.749689
AZ0080100,Kingman Police Department,862,AZ,Mountain,West,Region IV,MOHAVE,City,True,2022-01-01T00:00:00.000Z,35.190815,-114.053375
AZ0080300,Fort Mojave Tribal,863,AZ,Mountain,West,Region IV,NOT SPECIFIED,Tribal,False,2021-01-01T00:00:00.000Z,35.717705,-113.749689
AZ0080400,Lake Havasu City Police Department,864,AZ,Mountain,West,Region IV,MOHAVE,City,True,2020-01-01T00:00:00.000Z,34.47879,-114.31841
AZ0080500,Bullhead City Police Department,865,AZ,Mountain,West,Region IV,MOHAVE,City,True,2022-07-01T00:00:00.000Z,35.717705,-113.749689
AZ0080600,Colorado City Police Department,866,AZ,Mountain,West,Region IV,MOHAVE,City,True,2022-06-01T00:00:00.000Z,35.717705,-113.749689
