ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
CT0000200,Ansonia Police Department,2120,CT,New England,Northeast,Region I,NEW HAVEN,City,True,2001-03-01T00:00:00.000Z,41.33309,-73.07276
CT0000400,Avon Police Department,2121,CT,New England,Northeast,Region I,HARTFORD,City,True,2010-02-01T00:00:00.000Z,41.806053,-72.732916
CT0000700,Berlin Police Department,2123,CT,New England,Northeast,Region I,HARTFORD,City,True,2000-02-01T00:00:00.000Z,41.62753,-72.770615
CT0000900,Bethel Police Department,2124,CT,New England,Northeast,Region I,FAIRFIELD,City,True,1998-08-01T00:00:00.000Z,41.227399,-73.366523
CT0001100,Bloomfield Police Department,2125,CT,New England,Northeast,Region I,HARTFORD,City,True,2005-10-01T00:00:00.000Z,41.806053,-72.732916
CT0001400,Branford Police Department,2126,CT,New England,Northeast,Region I,NEW HAVEN,City,True,1998-01-01T00:00:00.000Z,41.280483,-72.81397
CT0001500,Bridgeport Police Department,2127,CT,New England,Northeast,Region I,FAIRFIELD,City,True,2018-06-01T00:00:00.000Z,41.227399,-73.366523
CT0001700,Bristol Police Department,2128,CT,New England,Northeast,Region I,HARTFORD,City,True,2011-01-01T00:00:00.000Z,41.670544,-72.94299
CT0001800,Brookfield Police Department,2129,CT,New England,Northeast,Region I,FAIRFIELD,City,True,2006-08-01T00:00:00.000Z,41.467785,-73.40296
CT0002300,Canton Police Department,2130,CT,New England,Northeast,Region I,HARTFORD,City,True,2006-11-01T00:00:00.000Z,41.82199,-72.92377
CT0002500,Cheshire Police Department,2131,CT,New England,Northeast,Region I,NEW HAVEN,City,True,1998-04-01T00:00:00.000Z,41.51123,-72.89918
CT0002700,Clinton Police Department,2132,CT,New England,Northeast,Region I,MIDDLESEX,City,True,2001-12-01T00:00:00.000Z,41.278084,-72.523766
CT0003200,Coventry Police Department,2133,CT,New England,Northeast,Region I,TOLLAND,City,True,2003-04-01T00:00:00.000Z,41.780262,-72.312584
CT0003300,Cromwell Police Department,2134,CT,New England,Northeast,Region I,MIDDLESEX,City,True,1999-12-01T00:00:00.000Z,41.595985,-72.6463
CT0003400,Danbury Police Department,2135,CT,New England,Northeast,Region I,FAIRFIELD,City,True,2014-04-01T00:00:00.000Z,41.40037,-73.45838
CT0003500,Darien Police Department,2136,CT,New England,Northeast,Region I,FAIRFIELD,City,True,2001-06-01T00:00:00.000Z,41.227399,-73.366523
CT0003700,Derby Police Department,2137,CT,New England,Northeast,Region I,NEW HAVEN,City,True,1999-06-01T00:00:00.000Z,41.323452,-73.086716
CT0004200,East Hampton Police Department,2138,CT,New England,Northeast,Region I,MIDDLESEX,City,True,2012-05-01T00:00:00.000Z,41.58303,-72.504326
CT0004300,East Hartford Police Department,2139,CT,New England,Northeast,Region I,HARTFORD,City,True,1999-12-01T00:00:00.000Z,41.78032,-72.611305
CT0004400,East Haven Police Department,2140,CT,New England,Northeast,Region I,NEW HAVEN,City,True,1998-01-01T00:00:00.000Z,41.29254,-72.86689
CT0004500,East Lyme Police Department,2141,CT,New England,Northeast,Region I,NEW LONDON,City,True,2017-07-01T00:00:00.000Z,41.472651,-72.108633
CT0004600,Easton Police Department,2142,CT,New England,Northeast,Region I,FAIRFIELD,City,True,1999-07-01T00:00:00.000Z,41.227399,-73.366523
CT0004700,East Windsor Police Department,2143,CT,New England,Northeast,Region I,HARTFORD,City,True,1998-01-01T00:00:00.000Z,41.806053,-72.732916
CT0004900,Enfield Police Department,2144,CT,New England,Northeast,Region I,HARTFORD,City,True,2019-01-01T00:00:00.000Z,41.99931,-72.59431
CT0005100,Fairfield Police Department,2145,CT,New England,Northeast,Region I,FAIRFIELD,City,True,2000-01-01T00:00:00.000Z,41.139725,-73.25669
CT0005200,Farmington Police Department,2146,CT,New England,Northeast,Region I,HARTFORD,City,True,2002-07-01T00:00:00.000Z,41.748455,-72.86829
CT0005400,Glastonbury Police Department,2147,CT,New England,Northeast,Region I,HARTFORD,City,True,2000-01-01T00:00:00.000Z,41.806053,-72.732916
