ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
DE0010100,Dover Police Department,2247,DE,South Atlantic,South,Region III,KENT,City,True,2001-01-01T00:00:00.000Z,39.097088,-75.502982
DE0010200,Harrington Police Department,2248,DE,South Atlantic,South,Region III,KENT,City,True,2001-01-01T00:00:00.000Z,38.924095,-75.57957
DE0010300,Smyrna Police Department,2249,DE,South Atlantic,South,Region III,"KENT, NEW CASTLE",City,True,2001-01-01T00:00:00.000Z,39.300205,-75.61435
DE0010400,Camden Police Department,2250,DE,South Atlantic,South,Region III,KENT,City,True,2001-01-01T00:00:00.000Z,39.11345,-75.54225
DE0010600,Clayton Police Department,2252,DE,South Atlantic,South,Region III,KENT,City,True,2001-01-01T00:00:00.000Z,39.097088,-75.502982
DE0010700,Felton Police Department,2253,DE,South Atlantic,South,Region III,KENT,City,True,2001-01-01T00:00:00.000Z,39.01094,-75.57476
DE0010800,Frederica Police Department,2254,DE,South Atlantic,South,Region III,KENT,City,True,2002-11-01T00:00:00.000Z,39.097088,-75.502982
DE0010900,Kenton Police Department,23150,DE,South Atlantic,South,Region III,KENT,City,True,2012-05-01T00:00:00.000Z,39.097088,-75.502982
DE0011700,Environmental Control,2260,DE,South Atlantic,South,Region III,KENT,Other State Agency,True,2001-01-01T00:00:00.000Z,39.164383,-75.51842
DE0011800,State Capitol Police,2261,DE,South Atlantic,South,Region III,KENT,Other State Agency,True,2001-01-01T00:00:00.000Z,39.097088,-75.502982
DE0011900,Dover Fire Marshal,25427,DE,South Atlantic,South,Region III,KENT,Other,True,2013-01-01T00:00:00.000Z,,
DE0012000,State Fire Marshal,2262,DE,South Atlantic,South,Region III,KENT,Other State Agency,True,2001-01-01T00:00:00.000Z,39.168213,-75.588066
DE0012200,Fish and Wildlife,25316,DE,South Atlantic,South,Region III,KENT,Other State Agency,True,2013-03-01T00:00:00.000Z,39.097088,-75.502982
DE0012300,Park Rangers,2264,DE,South Atlantic,South,Region III,KENT,Other State Agency,True,2001-01-01T00:00:00.000Z,39.097088,-75.502982
DE0012600,Cheswold Police Department,2265,DE,South Atlantic,South,Region III,KENT,City,True,2001-01-01T00:00:00.000Z,39.097088,-75.502982
DE001300X,Attorney General: Kent County,2266,DE,South Atlantic,South,Region III,KENT,Other State Agency,True,2001-02-01T00:00:00.000Z,39.154705,-75.52337
DE0013100,Wyoming Police Department,2267,DE,South Atlantic,South,Region III,KENT,City,True,2001-01-01T00:00:00.000Z,39.118744,-75.55912
DE0013200,Delaware State University,2268,DE,South Atlantic,South,Region III,KENT,University or College,True,2004-08-01T00:00:00.000Z,39.097088,-75.502982
DE0013300,Viola Police Department,25317,DE,South Atlantic,South,Region III,KENT,City,True,2013-07-01T00:00:00.000Z,,
DE001500X,Animal Welfare:,25872,DE,South Atlantic,South,Region III,KENT,Other State Agency,True,2015-09-01T00:00:00.000Z,,
