ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
GA0010000,Appling County Sheriff's Office,3468,GA,South Atlantic,South,Region III,APPLING,County,False,2019-10-01T00:00:00.000Z,31.782509,-82.35828
GA0010100,Baxley Police Department,3469,GA,South Atlantic,South,Region III,APPLING,City,True,2018-12-01T00:00:00.000Z,31.739712,-82.290103
GA0010300,Graham,26899,GA,South Atlantic,South,Region III,APPLING,City,False,,,
GA0010400,Appling County Board of Education,25323,GA,South Atlantic,South,Region III,APPLING,Other,False,,,
GA0020000,Atkinson County Sheriff's Office,3471,GA,South Atlantic,South,Region III,ATKINSON,County,True,2019-10-01T00:00:00.000Z,31.296677,-82.878067
GA0020100,Pearson Police Department,3472,GA,South Atlantic,South,Region III,ATKINSON,City,False,,31.296677,-82.878067
GA0020200,Willacoochee Police Department,3473,GA,South Atlantic,South,Region III,ATKINSON,City,False,,31.340805,-83.04818
GA0030000,Bacon County Sheriff's Office,3474,GA,South Atlantic,South,Region III,BACON,County,False,,31.563327,-82.387859
GA0030100,Alma Police Department,3475,GA,South Atlantic,South,Region III,BACON,City,True,2018-11-01T00:00:00.000Z,31.563327,-82.387859
GA0040000,Baker County Sheriff's Office,3476,GA,South Atlantic,South,Region III,BAKER,County,False,,31.31958,-84.454881
GA0040100,Newton Police Department,3477,GA,South Atlantic,South,Region III,BAKER,City,True,2021-01-01T00:00:00.000Z,31.31958,-84.454881
GA0050000,Baldwin County Sheriff's Office,3478,GA,South Atlantic,South,Region III,BALDWIN,County,True,2019-10-01T00:00:00.000Z,33.059504,-83.255452
GA0050100,Milledgeville Police Department,3479,GA,South Atlantic,South,Region III,BALDWIN,City,True,2019-02-01T00:00:00.000Z,33.082405,-83.228714
GA0050300,Georgia College and State University,3481,GA,South Atlantic,South,Region III,BALDWIN,University or College,True,2019-09-01T00:00:00.000Z,33.059504,-83.255452
GA0050400,Georgia Military College,3482,GA,South Atlantic,South,Region III,BALDWIN,University or College,True,2020-02-01T00:00:00.000Z,33.08015,-83.22491
GA0060000,Banks County Sheriff's Office,3483,GA,South Atlantic,South,Region III,BANKS,County,True,2019-09-01T00:00:00.000Z,34.351922,-83.498441
GA0070000,Barrow County Sheriff's Office,3484,GA,South Atlantic,South,Region III,BARROW,County,True,2018-01-01T00:00:00.000Z,33.992009,-83.712303
GA0070100,Winder Police Department,3485,GA,South Atlantic,South,Region III,BARROW,City,True,2019-11-01T00:00:00.000Z,33.993984,-83.71819
GA0070200,Auburn Police Department,3486,GA,South Atlantic,South,Region III,"BARROW, GWINNETT",City,False,,33.992009,-83.712303
GA0070300,Statham Police Department,3487,GA,South Atlantic,South,Region III,BARROW,City,False,,33.992009,-83.712303
GA0080000,Bartow County Sheriff's Office,3488,GA,South Atlantic,South,Region III,BARTOW,County,True,2020-01-01T00:00:00.000Z,34.240917,-84.838188
GA0080100,Cartersville Police Department,3489,GA,South Atlantic,South,Region III,BARTOW,City,True,2018-12-01T00:00:00.000Z,34.240917,-84.838188
GA0080200,Adairsville Police Department,3490,GA,South Atlantic,South,Region III,BARTOW,City,True,2018-11-01T00:00:00.000Z,34.368633,-84.93449
GA0080300,Kingston Police Department,3491,GA,South Atlantic,South,Region III,BARTOW,City,True,2019-08-01T00:00:00.000Z,34.240917,-84.838188
GA0080500,White Police Department,3492,GA,South Atlantic,South,Region III,BARTOW,City,True,2022-09-01T00:00:00.000Z,34.240917,-84.838188
GA0080600,Emerson Police Department,3493,GA,South Atlantic,South,Region III,BARTOW,City,True,2019-01-01T00:00:00.000Z,34.240917,-84.838188
GA0080700,Euharlee Police Department,3494,GA,South Atlantic,South,Region III,BARTOW,City,True,2020-02-01T00:00:00.000Z,34.240917,-84.838188
GA0081000,Chattahoochee Technical College,25324,GA,South Atlantic,South,Region III,BARTOW,University or College,False,2019-10-01T00:00:00.000Z,,
GA0081100,Georgia Highlands College,33408,GA,South Atlantic,South,Region III,BARTOW,University or College,True,2020-01-01T00:00:00.000Z,,
GA0090000,Ben Hill County Sheriff's Office,3495,GA,South Atlantic,South,Region III,BEN HILL,County,True,2019-06-01T00:00:00.000Z,31.740775,-83.14719
GA0090100,Fitzgerald Police Department,3496,GA,South Atlantic,South,Region III,BEN HILL,City,True,2019-10-01T00:00:00.000Z,31.740775,-83.14719
GA0100000,Berrien County Sheriff's Office,3497,GA,South Atlantic,South,Region III,BERRIEN,County,True,2019-10-01T00:00:00.000Z,31.191711,-83.27352
GA0100100,Nashville Police Department,3498,GA,South Atlantic,South,Region III,BERRIEN,City,True,2019-02-01T00:00:00.000Z,31.274308,-83.231906
GA0100200,Alapaha Police Department,3499,GA,South Atlantic,South,Region III,BERRIEN,City,True,2018-12-01T00:00:00.000Z,31.274308,-83.231906
GA0100300,Ray City Police Department,3500,GA,South Atlantic,South,Region III,BERRIEN,City,False,,31.274308,-83.231906
GA0100400,Enigma Police Department,3501,GA,South Atlantic,South,Region III,BERRIEN,City,True,2020-11-01T00:00:00.000Z,31.07462,-83.20011
GA0110000,Bibb County Sheriff's Office,3502,GA,South Atlantic,South,Region III,BIBB,County,True,2019-02-01T00:00:00.000Z,32.831833,-83.64161
GA0110200,Georgia Forestry Commission,3504,GA,South Atlantic,South,Region III,BIBB,Other State Agency,True,2019-09-01T00:00:00.000Z,32.808844,-83.694193
GA0110400,Bibb County Board of Education,3506,GA,South Atlantic,South,Region III,BIBB,Other,True,2019-10-01T00:00:00.000Z,32.841473,-83.660034
GA011099E,Mercer University,3507,GA,South Atlantic,South,Region III,BIBB,University or College,True,2018-12-01T00:00:00.000Z,32.82903,-83.648766
GA0120000,Bleckley County Sheriff's Office,3510,GA,South Atlantic,South,Region III,BLECKLEY,County,True,2019-09-01T00:00:00.000Z,32.435403,-83.331717
GA0120100,Cochran Police Department,3511,GA,South Atlantic,South,Region III,BLECKLEY,City,True,2019-06-01T00:00:00.000Z,32.386444,-83.35458
GA0120200,Middle Georgia State University,3512,GA,South Atlantic,South,Region III,BLECKLEY,University or College,True,2019-01-01T00:00:00.000Z,32.435403,-83.331717
GA0130000,Brantley County Sheriff's Office,3513,GA,South Atlantic,South,Region III,BRANTLEY,County,True,2019-10-01T00:00:00.000Z,31.197334,-81.982978
GA0130100,Nahunta Police Department,3514,GA,South Atlantic,South,Region III,BRANTLEY,City,False,2019-10-01T00:00:00.000Z,31.197334,-81.982978
GA0130200,Hoboken Police Department,3515,GA,South Atlantic,South,Region III,BRANTLEY,City,True,2020-01-01T00:00:00.000Z,31.197334,-81.982978
GA0140000,Brooks County Sheriff's Office,3516,GA,South Atlantic,South,Region III,BROOKS,County,True,2019-10-01T00:00:00.000Z,30.822934,-83.581905
GA0140100,Quitman Police Department,3517,GA,South Atlantic,South,Region III,BROOKS,City,True,2022-01-01T00:00:00.000Z,30.7866,-83.5581
GA0140200,Morven Police Department,3518,GA,South Atlantic,South,Region III,BROOKS,City,False,,30.822934,-83.581905
GA0150000,Bryan County Sheriff's Office,3519,GA,South Atlantic,South,Region III,BRYAN,County,True,2019-10-01T00:00:00.000Z,32.017969,-81.438543
GA0150100,Pembroke Police Department,3520,GA,South Atlantic,South,Region III,BRYAN,City,True,2019-10-01T00:00:00.000Z,32.017969,-81.438543
GA0150200,Richmond Hill Police Department,3521,GA,South Atlantic,South,Region III,BRYAN,City,True,2019-10-01T00:00:00.000Z,32.017969,-81.438543
GA0160000,Bulloch County Sheriff's Office,3522,GA,South Atlantic,South,Region III,BULLOCH,County,True,2018-12-01T00:00:00.000Z,32.467293,-81.76302
GA0160100,Statesboro Police Department,3523,GA,South Atlantic,South,Region III,BULLOCH,City,True,2019-11-01T00:00:00.000Z,32.445255,-81.7862
GA0160200,Brooklet Police Department,3524,GA,South Atlantic,South,Region III,BULLOCH,City,True,2019-12-01T00:00:00.000Z,32.393408,-81.74381
GA0160300,Portal Police Department,3525,GA,South Atlantic,South,Region III,BULLOCH,City,False,,32.393408,-81.74381
GA0160400,Georgia Southern University,3526,GA,South Atlantic,South,Region III,BULLOCH,University or College,True,2019-09-01T00:00:00.000Z,32.393408,-81.74381
GA0170000,Burke  County Sheriff's Office,3528,GA,South Atlantic,South,Region III,BURKE,County,True,2019-09-01T00:00:00.000Z,33.050819,-82.011571
GA0170100,Waynesboro Police Department,3529,GA,South Atlantic,South,Region III,BURKE,City,True,2019-09-01T00:00:00.000Z,33.091118,-82.015236
GA0170200,Midville Police Department,3530,GA,South Atlantic,South,Region III,BURKE,City,False,2019-08-01T00:00:00.000Z,33.050819,-82.011571
GA0170300,Sardis Police Department,3531,GA,South Atlantic,South,Region III,BURKE,City,True,2020-01-01T00:00:00.000Z,33.050819,-82.011571
GA0180000,Butts County Sheriff's Office,3533,GA,South Atlantic,South,Region III,BUTTS,County,True,2019-10-01T00:00:00.000Z,33.296364,-83.94759
GA0180100,Jackson Police Department,3534,GA,South Atlantic,South,Region III,BUTTS,City,True,2019-10-01T00:00:00.000Z,33.290355,-83.958221
GA0190000,Calhoun County Sheriff's Office,3537,GA,South Atlantic,South,Region III,CALHOUN,County,False,,31.521279,-84.62629
GA0190100,Arlington Police Department,3538,GA,South Atlantic,South,Region III,"CALHOUN, EARLY",City,False,,31.521279,-84.62629
GA0190200,Edison Police Department,3539,GA,South Atlantic,South,Region III,CALHOUN,City,True,2019-10-01T00:00:00.000Z,31.521279,-84.62629
GA0190300,Leary Police Department,3540,GA,South Atlantic,South,Region III,CALHOUN,City,True,2022-01-01T00:00:00.000Z,31.521279,-84.62629
GA0200000,Camden County Sheriff's Office,3541,GA,South Atlantic,South,Region III,CAMDEN,County,True,2021-12-01T00:00:00.000Z,30.913347,-81.642001
GA0200100,Kingsland Police Department,3542,GA,South Atlantic,South,Region III,CAMDEN,City,True,2019-09-01T00:00:00.000Z,30.913347,-81.642001
GA0200200,St. Marys Police Department,3543,GA,South Atlantic,South,Region III,CAMDEN,City,True,2022-05-01T00:00:00.000Z,30.753582,-81.52441
GA0210000,Candler County Sheriff's Office,3545,GA,South Atlantic,South,Region III,CANDLER,County,True,2019-06-01T00:00:00.000Z,32.403997,-82.07131
GA0210100,Metter Police Department,3546,GA,South Atlantic,South,Region III,CANDLER,City,True,2019-05-01T00:00:00.000Z,32.403997,-82.07131
GA0220000,Carroll County Sheriff's Office,3548,GA,South Atlantic,South,Region III,CARROLL,County,True,2018-01-01T00:00:00.000Z,33.56817,-85.03639
GA0220100,Carrollton Police Department,3549,GA,South Atlantic,South,Region III,CARROLL,City,True,2020-11-01T00:00:00.000Z,33.582237,-85.080527
GA0220200,Villa Rica Police Department,3550,GA,South Atlantic,South,Region III,"CARROLL, DOUGLAS",City,True,2019-04-01T00:00:00.000Z,33.582237,-85.080527
GA0220300,Bowdon Police Department,3551,GA,South Atlantic,South,Region III,CARROLL,City,True,2019-01-01T00:00:00.000Z,33.538067,-85.252075
GA0220400,Temple Police Department,3552,GA,South Atlantic,South,Region III,"CARROLL, HARALSON",City,True,2019-06-01T00:00:00.000Z,33.582237,-85.080527
GA0220500,Whitesburg Police Department,3553,GA,South Atlantic,South,Region III,CARROLL,City,True,2021-01-01T00:00:00.000Z,33.49634,-84.91557
GA0220600,University of West Georgia,3554,GA,South Atlantic,South,Region III,CARROLL,University or College,True,2019-10-01T00:00:00.000Z,33.571545,-85.094604
GA0220700,Mount Zion Police Department,3555,GA,South Atlantic,South,Region III,CARROLL,City,True,2019-10-01T00:00:00.000Z,33.582237,-85.080527
