ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
KS0010000,Allen County Sheriff's Office,6060,KS,West North Central,Midwest,Region II,ALLEN,County,True,2000-01-01T00:00:00.000Z,37.884228,-95.300945
KS0010100,Humboldt Police Department,6061,KS,West North Central,Midwest,Region II,ALLEN,City,True,2000-01-01T00:00:00.000Z,37.8112,-95.43778
KS0010200,Iola Police Department,6062,KS,West North Central,Midwest,Region II,ALLEN,City,True,2000-01-01T00:00:00.000Z,37.884228,-95.300945
KS0010300,Moran Police Department,6063,KS,West North Central,Midwest,Region II,ALLEN,City,False,2000-04-01T00:00:00.000Z,37.884228,-95.300945
KS0010400,La Harpe Police Department,6064,KS,West North Central,Midwest,Region II,ALLEN,City,True,2004-05-01T00:00:00.000Z,37.884228,-95.300945
KS0020000,Anderson County Sheriff's Office,6065,KS,West North Central,Midwest,Region II,ANDERSON,County,True,2000-01-01T00:00:00.000Z,38.27986,-95.241455
KS0020100,Garnett Police Department,6066,KS,West North Central,Midwest,Region II,ANDERSON,City,True,2000-01-01T00:00:00.000Z,38.215114,-95.292046
KS0020200,Colony Police Department,6067,KS,West North Central,Midwest,Region II,ANDERSON,City,False,2005-01-01T00:00:00.000Z,38.215114,-95.292046
KS0030000,Atchison County Sheriff's Office,6070,KS,West North Central,Midwest,Region II,ATCHISON,County,True,2000-01-01T00:00:00.000Z,39.56617,-95.11933
KS0030100,Atchison Police Department,6071,KS,West North Central,Midwest,Region II,ATCHISON,City,True,2000-01-01T00:00:00.000Z,39.563007,-95.1193
KS0040000,Barber County Sheriff's Office,6072,KS,West North Central,Midwest,Region II,BARBER,County,True,2000-01-01T00:00:00.000Z,37.279503,-98.57847
KS0040100,Kiowa Police Department,6073,KS,West North Central,Midwest,Region II,BARBER,City,False,2000-01-01T00:00:00.000Z,37.01696,-98.47919
KS0040200,Medicine Lodge Police Department,6074,KS,West North Central,Midwest,Region II,BARBER,City,True,2000-01-01T00:00:00.000Z,37.281826,-98.57957
KS0050000,Barton County Sheriff's Office,6075,KS,West North Central,Midwest,Region II,BARTON,County,True,2000-01-01T00:00:00.000Z,38.36569,-98.76374
KS0050100,Ellinwood Police Department,6076,KS,West North Central,Midwest,Region II,BARTON,City,True,2000-01-01T00:00:00.000Z,38.354626,-98.58336
KS0050200,Great Bend Police Department,6077,KS,West North Central,Midwest,Region II,BARTON,City,True,2000-01-01T00:00:00.000Z,38.36352,-98.76655
KS0050300,Hoisington Police Department,6078,KS,West North Central,Midwest,Region II,BARTON,City,True,2000-01-01T00:00:00.000Z,38.481239,-98.767837
