ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
LA0010000,Acadia Parish Sheriff's Office,7136,LA,West South Central,South,Region III,ACADIA,County,True,2006-09-01T00:00:00.000Z,30.291497,-92.411037
LA0010100,Crowley Police Department,7137,LA,West South Central,South,Region III,ACADIA,City,False,2021-01-01T00:00:00.000Z,30.291497,-92.411037
LA0010200,Rayne Police Department,7138,LA,West South Central,South,Region III,ACADIA,City,True,2020-09-01T00:00:00.000Z,30.291497,-92.411037
LA0010300,Church Point Police Department,7139,LA,West South Central,South,Region III,ACADIA,City,True,2020-04-01T00:00:00.000Z,30.405752,-92.21725
LA0020000,Allen Parish Sheriff's Office,7142,LA,West South Central,South,Region III,ALLEN,County,True,2021-09-01T00:00:00.000Z,30.652744,-92.819605
LA0020100,Kinder Police Department,7143,LA,West South Central,South,Region III,ALLEN,City,False,,30.652744,-92.819605
LA0020200,Oakdale Police Department,7144,LA,West South Central,South,Region III,ALLEN,City,False,,30.817131,-92.66221
LA0020300,Oberlin Police Department,7145,LA,West South Central,South,Region III,ALLEN,City,False,,30.652744,-92.819605
LA0030000,Ascension Parish Sheriff's Office,7146,LA,West South Central,South,Region III,ASCENSION,County,True,2003-01-01T00:00:00.000Z,30.202946,-90.910023
LA0030200,Gonzales Police Department,7148,LA,West South Central,South,Region III,ASCENSION,City,True,2011-01-01T00:00:00.000Z,30.232754,-90.91382
LA0040000,Assumption Parish Sheriff's Office,7150,LA,West South Central,South,Region III,ASSUMPTION,County,False,,29.899884,-91.050528
LA0050000,Avoyelles Parish Sheriff's Office,7152,LA,West South Central,South,Region III,AVOYELLES,County,False,,31.115696,-92.06695
LA0050100,Bunkie Police Department,7153,LA,West South Central,South,Region III,AVOYELLES,City,False,,31.085094,-91.993797
LA0050200,Marksville Police Department,7154,LA,West South Central,South,Region III,AVOYELLES,City,True,2020-12-01T00:00:00.000Z,31.12787,-92.065575
LA0050300,Simmesport Police Department,7155,LA,West South Central,South,Region III,AVOYELLES,City,False,,31.085094,-91.993797
LA0050400,Cottonport Police Department,7156,LA,West South Central,South,Region III,AVOYELLES,City,False,,30.985495,-92.05285
LA0050600,Moreauville Police Department,7157,LA,West South Central,South,Region III,AVOYELLES,City,False,,31.085094,-91.993797
LA0050800,Evergreen,32894,LA,West South Central,South,Region III,AVOYELLES,City,True,2020-03-01T00:00:00.000Z,,
LA0060000,Beauregard Parish Sheriff's Office,7158,LA,West South Central,South,Region III,BEAUREGARD,County,True,2021-01-01T00:00:00.000Z,30.645018,-93.340253
LA0060100,De Ridder Police Department,7159,LA,West South Central,South,Region III,"BEAUREGARD, VERNON",City,True,2021-01-01T00:00:00.000Z,30.845575,-93.28573
LA0060200,Merryville Police Department,7160,LA,West South Central,South,Region III,BEAUREGARD,City,False,,30.645018,-93.340253
LA0070000,Bienville Parish Sheriff's Office,7161,LA,West South Central,South,Region III,BIENVILLE,County,True,2020-01-01T00:00:00.000Z,32.340952,-93.041151
LA0070900,Ringgold Police Department,25839,LA,West South Central,South,Region III,BIENVILLE,City,False,,32.340952,-93.041151
LA0080000,Bossier Parish Sheriff's Office,7165,LA,West South Central,South,Region III,BOSSIER,County,True,2004-01-01T00:00:00.000Z,32.696225,-93.618086
LA0080100,Bossier City Police Department,7166,LA,West South Central,South,Region III,BOSSIER,City,True,2019-10-01T00:00:00.000Z,32.696225,-93.618086
LA0080200,Benton,29014,LA,West South Central,South,Region III,BOSSIER,City,False,2019-06-01T00:00:00.000Z,,
LA0080300,Plain Dealing,32974,LA,West South Central,South,Region III,BOSSIER,City,True,2020-11-01T00:00:00.000Z,,
LA0080400,Haughton Police Department,7167,LA,West South Central,South,Region III,BOSSIER,City,True,2022-01-01T00:00:00.000Z,32.696225,-93.618086
