ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
MI0100100,State Police: Alcona County,8286,MI,East North Central,Midwest,Region II,ALCONA,State Police,True,1998-01-01T00:00:00.000Z,44.682535,-82.83408
MI0110100,Alcona County Sheriff's Office,8287,MI,East North Central,Midwest,Region II,ALCONA,County,True,1995-12-01T00:00:00.000Z,44.65648,-83.296844
MI0200200,State Police: Alger County,8290,MI,East North Central,Midwest,Region II,ALGER,State Police,True,1998-01-01T00:00:00.000Z,47.080077,-86.564108
MI0210200,Alger County Sheriff's Office,8291,MI,East North Central,Midwest,Region II,ALGER,County,True,1995-01-01T00:00:00.000Z,46.40748,-86.65891
MI0260200,Munising Police Department,8292,MI,East North Central,Midwest,Region II,ALGER,City,True,1996-01-01T00:00:00.000Z,46.411613,-86.65509
MI0300300,State Police: Allegan County,8293,MI,East North Central,Midwest,Region II,ALLEGAN,State Police,True,1998-01-01T00:00:00.000Z,42.53733,-85.84351
MI0310300,Allegan County Sheriff's Office,8294,MI,East North Central,Midwest,Region II,ALLEGAN,County,True,1995-01-01T00:00:00.000Z,42.527992,-85.8526
MI0321000,Allegan Police Department,8295,MI,East North Central,Midwest,Region II,ALLEGAN,City,True,1997-01-01T00:00:00.000Z,42.530594,-85.85138
MI0335300,Saugatuck-Douglas Police Department,8296,MI,East North Central,Midwest,Region II,ALLEGAN,City,True,1995-01-01T00:00:00.000Z,42.595787,-86.634745
MI0339200,Fennville Police Department,8297,MI,East North Central,Midwest,Region II,ALLEGAN,City,True,2013-01-01T00:00:00.000Z,42.595787,-86.634745
MI0364100,Otsego Police Department,8300,MI,East North Central,Midwest,Region II,ALLEGAN,City,True,1995-01-01T00:00:00.000Z,42.46142,-85.69609
MI0367000,Plainwell Police Department,8301,MI,East North Central,Midwest,Region II,ALLEGAN,City,True,1995-01-01T00:00:00.000Z,42.44314,-85.64188
MI0381100,Wayland Police Department,8303,MI,East North Central,Midwest,Region II,ALLEGAN,City,True,1995-01-01T00:00:00.000Z,42.67384,-85.64427
MI0400400,State Police: Alpena County,8305,MI,East North Central,Midwest,Region II,ALPENA,State Police,True,1998-01-01T00:00:00.000Z,44.894954,-83.426574
MI0410400,Alpena County Sheriff's Office,8306,MI,East North Central,Midwest,Region II,ALPENA,County,True,1995-01-01T00:00:00.000Z,45.079895,-83.44955
MI0421500,Alpena Police Department,8307,MI,East North Central,Midwest,Region II,ALPENA,City,True,1996-01-01T00:00:00.000Z,45.066185,-83.438034
MI0500500,State Police: Antrim County,8308,MI,East North Central,Midwest,Region II,ANTRIM,State Police,True,1998-01-01T00:00:00.000Z,45.005455,-85.175639
MI0510500,Antrim County Sheriff's Office,8309,MI,East North Central,Midwest,Region II,ANTRIM,County,True,2002-01-01T00:00:00.000Z,45.005455,-85.175639
MI0524500,Bellaire Police Department,8310,MI,East North Central,Midwest,Region II,ANTRIM,City,False,1998-01-01T00:00:00.000Z,45.005455,-85.175639
MI0530400,Central Lake Police Department,8311,MI,East North Central,Midwest,Region II,ANTRIM,City,False,2003-08-01T00:00:00.000Z,45.005455,-85.175639
MI0537500,Elk Rapids Police Department,8312,MI,East North Central,Midwest,Region II,ANTRIM,City,False,1995-01-01T00:00:00.000Z,45.005455,-85.175639
MI0554800,Mancelona Police Department,8314,MI,East North Central,Midwest,Region II,ANTRIM,City,False,1995-01-01T00:00:00.000Z,45.005455,-85.175639
MI0600600,State Police: Arenac County,8315,MI,East North Central,Midwest,Region II,ARENAC,State Police,True,1998-01-01T00:00:00.000Z,43.432793,-83.93655
MI0610600,Arenac County Sheriff's Office,8316,MI,East North Central,Midwest,Region II,ARENAC,County,True,1995-01-01T00:00:00.000Z,44.03687,-83.740675
