ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
MN0010000,Aitkin County Sheriff's Office,9105,MN,West North Central,Midwest,Region II,AITKIN,County,True,2019-02-01T00:00:00.000Z,46.53333,-93.71042
MN0010100,Aitkin Police Department,25710,MN,West North Central,Midwest,Region II,AITKIN,City,True,2019-02-01T00:00:00.000Z,46.602446,-93.41976
MN0010200,McGregor,26898,MN,West North Central,Midwest,Region II,AITKIN,City,True,2019-02-01T00:00:00.000Z,,
MN0010400,Hill City Police Department,25751,MN,West North Central,Midwest,Region II,AITKIN,City,True,2019-02-01T00:00:00.000Z,46.602446,-93.41976
MN0020000,Anoka County Sheriff's Office,9106,MN,West North Central,Midwest,Region II,ANOKA,County,True,2019-08-01T00:00:00.000Z,45.197933,-93.38671
MN0020100,Anoka Police Department,9107,MN,West North Central,Midwest,Region II,ANOKA,City,True,2019-08-01T00:00:00.000Z,45.201435,-93.387505
MN0020200,Blaine Police Department,9108,MN,West North Central,Midwest,Region II,ANOKA,City,True,2019-08-01T00:00:00.000Z,45.27411,-93.242723
MN0020300,Centennial Lakes Police Department,9109,MN,West North Central,Midwest,Region II,ANOKA,City,True,2019-08-01T00:00:00.000Z,45.15294,-93.141136
MN0020400,Columbia Heights Police Department,9110,MN,West North Central,Midwest,Region II,ANOKA,City,True,2019-08-01T00:00:00.000Z,45.042786,-93.24918
MN0020500,Coon Rapids Police Department,9111,MN,West North Central,Midwest,Region II,ANOKA,City,True,2019-08-01T00:00:00.000Z,45.172855,-93.30436
MN0020600,Fridley Police Department,9112,MN,West North Central,Midwest,Region II,ANOKA,City,True,2019-08-01T00:00:00.000Z,45.084957,-93.26341
MN0020700,Lino Lakes Police Department,9113,MN,West North Central,Midwest,Region II,ANOKA,City,True,2019-08-01T00:00:00.000Z,45.27411,-93.242723
MN0020800,Spring Lake Park Police Department,9114,MN,West North Central,Midwest,Region II,"ANOKA, RAMSEY",City,True,2019-08-01T00:00:00.000Z,45.11503,-93.23802
MN0021300,Ramsey Police Department,9119,MN,West North Central,Midwest,Region II,ANOKA,City,True,2019-08-01T00:00:00.000Z,45.27411,-93.242723
MN0021500,St. Francis Police Department,9121,MN,West North Central,Midwest,Region II,ANOKA,City,True,2019-08-01T00:00:00.000Z,45.27411,-93.242723
MN0030000,Becker County Sheriff's Office,9122,MN,West North Central,Midwest,Region II,BECKER,County,True,2017-02-01T00:00:00.000Z,46.937629,-95.741757
MN0030100,Detroit Lakes Police Department,9123,MN,West North Central,Midwest,Region II,BECKER,City,True,2017-02-01T00:00:00.000Z,46.817265,-95.84501
MN0030200,Frazee,27394,MN,West North Central,Midwest,Region II,BECKER,City,True,2017-03-01T00:00:00.000Z,,
MN0030300,Audubon,27393,MN,West North Central,Midwest,Region II,BECKER,City,False,2017-04-01T00:00:00.000Z,,
MN0030400,Lake Park,27374,MN,West North Central,Midwest,Region II,BECKER,City,True,2017-02-01T00:00:00.000Z,,
MN0030600,White Earth Tribal,9460,MN,West North Central,Midwest,Region II,NOT SPECIFIED,Tribal,True,2017-02-01T00:00:00.000Z,,
