ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
ND0010000,Adams County Sheriff's Office,11696,ND,West North Central,Midwest,Region II,ADAMS,County,True,1991-01-01T00:00:00.000Z,46.096815,-102.533198
ND0020000,Barnes County Sheriff's Office,11697,ND,West North Central,Midwest,Region II,BARNES,County,True,1991-01-01T00:00:00.000Z,46.94255,-98.070195
ND0020100,Valley City Police Department,11698,ND,West North Central,Midwest,Region II,BARNES,City,True,1998-04-01T00:00:00.000Z,46.924454,-98.00153
ND0030000,Benson County Sheriff's Office,11699,ND,West North Central,Midwest,Region II,BENSON,County,True,2009-11-01T00:00:00.000Z,48.071743,-99.351152
ND0040000,Billings County Sheriff's Office,11700,ND,West North Central,Midwest,Region II,BILLINGS,County,True,2009-10-01T00:00:00.000Z,47.009283,-103.364924
ND0040100,Medora Police Department,11701,ND,West North Central,Midwest,Region II,BILLINGS,City,True,2010-01-01T00:00:00.000Z,47.009283,-103.364924
ND0050000,Bottineau County Sheriff's Office,11702,ND,West North Central,Midwest,Region II,BOTTINEAU,County,True,1991-01-01T00:00:00.000Z,48.794412,-100.831257
ND0060000,Bowman County Sheriff's Office,11705,ND,West North Central,Midwest,Region II,BOWMAN,County,True,1992-02-01T00:00:00.000Z,46.183228,-103.396614
ND0060100,Bowman Police Department,11706,ND,West North Central,Midwest,Region II,BOWMAN,City,True,1991-01-01T00:00:00.000Z,46.110144,-103.505943
ND0070000,Burke County Sheriff's Office,11707,ND,West North Central,Midwest,Region II,BURKE,County,True,1991-01-01T00:00:00.000Z,48.786453,-102.520087
ND0070500,Powers Lake Police Department,11708,ND,West North Central,Midwest,Region II,BURKE,City,True,1996-01-01T00:00:00.000Z,48.786453,-102.520087
ND0080000,Burleigh County Sheriff's Office,11709,ND,West North Central,Midwest,Region II,BURLEIGH,County,True,1992-06-01T00:00:00.000Z,46.971843,-100.462001
ND0080100,Bismarck Police Department,11710,ND,West North Central,Midwest,Region II,BURLEIGH,City,True,2004-01-01T00:00:00.000Z,46.80085,-100.778694
ND0080300,Lincoln Police Department,11711,ND,West North Central,Midwest,Region II,BURLEIGH,City,True,2003-01-01T00:00:00.000Z,46.764328,-100.69424
ND0080500,Bismarck State College,25835,ND,West North Central,Midwest,Region II,BURLEIGH,University or College,True,2015-12-01T00:00:00.000Z,46.971843,-100.462001
ND0090000,Cass County Sheriff's Office,11712,ND,West North Central,Midwest,Region II,CASS,County,True,1991-01-01T00:00:00.000Z,46.927003,-97.252375
ND0090200,Fargo Police Department,11714,ND,West North Central,Midwest,Region II,CASS,City,True,1991-01-01T00:00:00.000Z,46.927003,-97.252375
ND0090300,West Fargo Police Department,11715,ND,West North Central,Midwest,Region II,CASS,City,True,1991-08-01T00:00:00.000Z,46.872604,-96.88475
