ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
NB0010000,Adams County Sheriff's Office,10543,NE,West North Central,Midwest,Region II,ADAMS,County,True,2002-01-01T00:00:00.000Z,40.520632,-98.500044
NB0010100,Hastings Police Department,10544,NE,West North Central,Midwest,Region II,ADAMS,City,True,2002-07-01T00:00:00.000Z,40.520632,-98.500044
NB0020000,Antelope County Sheriff's Office,10545,NE,West North Central,Midwest,Region II,ANTELOPE,County,False,2019-03-01T00:00:00.000Z,42.183225,-98.058037
NB0020100,Neligh Police Department,10546,NE,West North Central,Midwest,Region II,ANTELOPE,City,False,2019-03-01T00:00:00.000Z,42.183225,-98.058037
NB0030000,Arthur County Sheriff's Office,10548,NE,West North Central,Midwest,Region II,ARTHUR,County,True,2021-01-01T00:00:00.000Z,41.571944,-101.695898
NB0040000,Banner County Sheriff's Office,10549,NE,West North Central,Midwest,Region II,BANNER,County,True,2021-01-01T00:00:00.000Z,41.53975,-103.726263
NB0050000,Blaine County Sheriff's Office,10550,NE,West North Central,Midwest,Region II,BLAINE,County,False,2019-01-01T00:00:00.000Z,41.92523,-99.990771
NB0060000,Boone County Sheriff's Office,10551,NE,West North Central,Midwest,Region II,BOONE,County,True,2003-03-01T00:00:00.000Z,41.7054,-98.066794
NB0060100,Albion Police Department,10552,NE,West North Central,Midwest,Region II,BOONE,City,True,2020-05-01T00:00:00.000Z,41.7054,-98.066794
NB0060200,St. Edward Police Department,10553,NE,West North Central,Midwest,Region II,BOONE,City,True,2022-01-01T00:00:00.000Z,41.7054,-98.066794
NB0070000,Box Butte County Sheriff's Office,10556,NE,West North Central,Midwest,Region II,BOX BUTTE,County,True,2021-01-01T00:00:00.000Z,42.215665,-103.087821
NB0070100,Alliance Police Department,10557,NE,West North Central,Midwest,Region II,BOX BUTTE,City,True,2013-01-01T00:00:00.000Z,42.215665,-103.087821
NB0080000,Boyd County Sheriff's Office,10558,NE,West North Central,Midwest,Region II,BOYD,County,True,2021-01-01T00:00:00.000Z,42.894448,-98.773022
NB0090000,Brown County Sheriff's Office,10560,NE,West North Central,Midwest,Region II,BROWN,County,True,2021-01-01T00:00:00.000Z,42.34939,-99.923176
NB0100000,Buffalo County Sheriff's Office,10562,NE,West North Central,Midwest,Region II,BUFFALO,County,True,1998-01-01T00:00:00.000Z,40.855226,-99.074983
NB0100100,Kearney Police Department,10563,NE,West North Central,Midwest,Region II,BUFFALO,City,True,1998-01-01T00:00:00.000Z,40.855226,-99.074983
NB0100300,Ravenna Police Department,10565,NE,West North Central,Midwest,Region II,BUFFALO,City,True,2019-01-01T00:00:00.000Z,40.855226,-99.074983
NB0100600,University of Nebraska: Kearney,25753,NE,West North Central,Midwest,Region II,BUFFALO,University or College,True,2014-10-01T00:00:00.000Z,40.855226,-99.074983
NB0110000,Burt County Sheriff's Office,10568,NE,West North Central,Midwest,Region II,BURT,County,True,2019-04-01T00:00:00.000Z,41.854179,-96.337746
NB0110100,Lyons Police Department,10569,NE,West North Central,Midwest,Region II,BURT,City,False,,41.854179,-96.337746
NB0110200,Oakland Police Department,10570,NE,West North Central,Midwest,Region II,BURT,City,False,2021-01-01T00:00:00.000Z,41.854179,-96.337746
NB0110300,Tekamah Police Department,10571,NE,West North Central,Midwest,Region II,BURT,City,True,2019-05-01T00:00:00.000Z,41.854179,-96.337746
NB0110400,Decatur,22430,NE,West North Central,Midwest,Region II,BURT,City,False,2021-01-01T00:00:00.000Z,41.854179,-96.337746
NB0120000,Butler County Sheriff's Office,10572,NE,West North Central,Midwest,Region II,BUTLER,County,True,2012-07-01T00:00:00.000Z,41.226072,-97.132039
NB0130000,Cass County Sheriff's Office,10574,NE,West North Central,Midwest,Region II,CASS,County,True,2004-05-01T00:00:00.000Z,40.909878,-96.140609
NB0130100,Plattsmouth Police Department,10575,NE,West North Central,Midwest,Region II,CASS,City,True,1998-01-01T00:00:00.000Z,40.909878,-96.140609
NB0140000,Cedar County Sheriff's Office,10578,NE,West North Central,Midwest,Region II,CEDAR,County,True,2020-08-01T00:00:00.000Z,42.604511,-97.256824
NB0140200,Randolph Police Department,10580,NE,West North Central,Midwest,Region II,CEDAR,City,False,2021-01-01T00:00:00.000Z,42.604511,-97.256824
NB0140300,Laurel Police Department,10581,NE,West North Central,Midwest,Region II,CEDAR,City,True,2021-01-01T00:00:00.000Z,42.604511,-97.256824
NB0150000,Chase County Sheriff's Office,10583,NE,West North Central,Midwest,Region II,CHASE,County,True,2019-01-01T00:00:00.000Z,40.53039,-101.694192
NB0150100,Imperial Police Department,10584,NE,West North Central,Midwest,Region II,CHASE,City,True,2017-11-01T00:00:00.000Z,40.53039,-101.694192
NB0160000,Cherry County Sheriff's Office,10586,NE,West North Central,Midwest,Region II,CHERRY,County,True,2021-01-01T00:00:00.000Z,42.566619,-101.070416
NB0160100,Valentine Police Department,10587,NE,West North Central,Midwest,Region II,CHERRY,City,True,2007-01-01T00:00:00.000Z,42.566619,-101.070416
NB0170000,Cheyenne County Sheriff's Office,10588,NE,West North Central,Midwest,Region II,CHEYENNE,County,True,2014-01-01T00:00:00.000Z,41.214236,-103.011929
NB0170100,Sidney Police Department,10589,NE,West North Central,Midwest,Region II,CHEYENNE,City,True,2012-08-01T00:00:00.000Z,41.214236,-103.011929
NB0180000,Clay County Sheriff's Office,10590,NE,West North Central,Midwest,Region II,CLAY,County,True,2014-12-01T00:00:00.000Z,40.523669,-98.05105
NB0180100,Harvard Police Department,10591,NE,West North Central,Midwest,Region II,CLAY,City,True,2017-04-01T00:00:00.000Z,40.523669,-98.05105
NB0180200,Sutton Police Department,10592,NE,West North Central,Midwest,Region II,CLAY,City,False,2021-01-01T00:00:00.000Z,40.523669,-98.05105
NB0190000,Colfax County Sheriff's Office,10593,NE,West North Central,Midwest,Region II,COLFAX,County,True,2015-12-01T00:00:00.000Z,41.574675,-97.089455
NB0190100,Schuyler Police Department,10594,NE,West North Central,Midwest,Region II,COLFAX,City,True,2001-11-01T00:00:00.000Z,41.574675,-97.089455
NB0200000,Cuming County Sheriff's Office,10595,NE,West North Central,Midwest,Region II,CUMING,County,True,2018-07-01T00:00:00.000Z,41.915865,-96.788517
NB0200100,West Point Police Department,10596,NE,West North Central,Midwest,Region II,CUMING,City,True,2003-07-01T00:00:00.000Z,41.915865,-96.788517
NB0200200,Wisner Police Department,10597,NE,West North Central,Midwest,Region II,CUMING,City,True,2021-01-01T00:00:00.000Z,41.915865,-96.788517
NB0210000,Custer County Sheriff's Office,10599,NE,West North Central,Midwest,Region II,CUSTER,County,True,2002-01-01T00:00:00.000Z,41.393893,-99.726866
NB0210100,Broken Bow Police Department,10600,NE,West North Central,Midwest,Region II,CUSTER,City,True,2002-01-01T00:00:00.000Z,41.393893,-99.726866
NB0220000,Dakota County Sheriff's Office,10601,NE,West North Central,Midwest,Region II,DAKOTA,County,True,2021-01-01T00:00:00.000Z,42.390456,-96.562549
NB0220100,South Sioux City Police Department,10602,NE,West North Central,Midwest,Region II,DAKOTA,City,True,2015-10-01T00:00:00.000Z,42.390456,-96.562549
NB0220300,Emerson Police Department,10604,NE,West North Central,Midwest,Region II,"DAKOTA, DIXON, THURSTON",City,True,2004-06-01T00:00:00.000Z,42.48528,-96.855862
NB0230000,Dawes County Sheriff's Office,10605,NE,West North Central,Midwest,Region II,DAWES,County,True,2021-01-01T00:00:00.000Z,42.711214,-103.134872
NB0230100,Chadron Police Department,10606,NE,West North Central,Midwest,Region II,DAWES,City,True,2002-01-01T00:00:00.000Z,42.711214,-103.134872
NB0240000,Dawson County Sheriff's Office,10608,NE,West North Central,Midwest,Region II,DAWSON,County,True,2013-10-01T00:00:00.000Z,40.867378,-99.815154
NB0240100,Cozad Police Department,10609,NE,West North Central,Midwest,Region II,DAWSON,City,True,2013-09-01T00:00:00.000Z,40.867378,-99.815154
NB0240200,Gothenburg Police Department,10610,NE,West North Central,Midwest,Region II,DAWSON,City,True,2004-01-01T00:00:00.000Z,40.867378,-99.815154
NB0240300,Lexington Police Department,10611,NE,West North Central,Midwest,Region II,DAWSON,City,True,2013-09-01T00:00:00.000Z,40.867378,-99.815154
NB0250000,Deuel County Sheriff's Office,10612,NE,West North Central,Midwest,Region II,DEUEL,County,True,2013-07-01T00:00:00.000Z,41.111903,-102.332609
NB0260000,Dixon County Sheriff's Office,10614,NE,West North Central,Midwest,Region II,DIXON,County,True,2003-01-01T00:00:00.000Z,42.48528,-96.855862
NB0270000,Dodge County Sheriff's Office,10615,NE,West North Central,Midwest,Region II,DODGE,County,True,2020-11-01T00:00:00.000Z,41.577008,-96.645853
NB0270100,Fremont Police Department,10616,NE,West North Central,Midwest,Region II,DODGE,City,True,2004-09-01T00:00:00.000Z,41.577008,-96.645853
NB0270300,Scribner Police Department,10617,NE,West North Central,Midwest,Region II,DODGE,City,False,2021-01-01T00:00:00.000Z,41.577008,-96.645853
NB0280000,Douglas County Sheriff's Office,10618,NE,West North Central,Midwest,Region II,DOUGLAS,County,True,2018-04-01T00:00:00.000Z,41.297091,-96.154066
NB0280200,Omaha Police Department,10620,NE,West North Central,Midwest,Region II,DOUGLAS,City,False,,41.297091,-96.154066
NB0280400,Ralston Police Department,10622,NE,West North Central,Midwest,Region II,DOUGLAS,City,True,2002-04-01T00:00:00.000Z,41.297091,-96.154066
NB0280500,Valley Police Department,10623,NE,West North Central,Midwest,Region II,DOUGLAS,City,True,2018-07-01T00:00:00.000Z,41.297091,-96.154066
NB0280600,Boys Town Police Department,10624,NE,West North Central,Midwest,Region II,DOUGLAS,City,True,2020-02-01T00:00:00.000Z,41.297091,-96.154066
NB0280700,Bennington Police Department,10625,NE,West North Central,Midwest,Region II,DOUGLAS,City,True,2020-01-01T00:00:00.000Z,41.297091,-96.154066
NB0280800,Waterloo Police Department,10626,NE,West North Central,Midwest,Region II,DOUGLAS,City,True,2004-06-01T00:00:00.000Z,41.297091,-96.154066
NB0280900,University of Nebraska:,32856,NE,West North Central,Midwest,Region II,DOUGLAS,University or College,True,2021-01-01T00:00:00.000Z,,
NB028119E,Union Pacific Railroad Police Department,22710,NE,West North Central,Midwest,Region II,DOUGLAS,Other,True,2022-01-01T00:00:00.000Z,,
NB0282400,Metropolitan Community College: Douglas County,10627,NE,West North Central,Midwest,Region II,DOUGLAS,University or College,True,2019-01-01T00:00:00.000Z,41.297091,-96.154066
NB0290000,Dundy County Sheriff's Office,10628,NE,West North Central,Midwest,Region II,DUNDY,County,True,2021-01-01T00:00:00.000Z,40.180165,-101.681133
NB0300000,Fillmore County Sheriff's Office,10630,NE,West North Central,Midwest,Region II,FILLMORE,County,True,2018-01-01T00:00:00.000Z,40.52504,-97.596705
NB0310000,Franklin County Sheriff's Office,10632,NE,West North Central,Midwest,Region II,FRANKLIN,County,True,2021-01-01T00:00:00.000Z,40.183203,-98.96208
NB0310100,Franklin,33687,NE,West North Central,Midwest,Region II,FRANKLIN,City,True,2021-01-01T00:00:00.000Z,,
NB0320000,Frontier County Sheriff's Office,10633,NE,West North Central,Midwest,Region II,FRONTIER,County,False,2002-01-01T00:00:00.000Z,40.530947,-100.406683
NB0330000,Furnas County Sheriff's Office,10635,NE,West North Central,Midwest,Region II,FURNAS,County,True,2014-03-01T00:00:00.000Z,40.191865,-99.909663
NB0340000,Gage County Sheriff's Office,10639,NE,West North Central,Midwest,Region II,GAGE,County,True,1998-01-01T00:00:00.000Z,40.255234,-96.683453
NB0340100,Beatrice Police Department,10640,NE,West North Central,Midwest,Region II,GAGE,City,True,1998-01-01T00:00:00.000Z,40.255234,-96.683453
NB0340200,Wymore Police Department,10641,NE,West North Central,Midwest,Region II,GAGE,City,True,2001-05-01T00:00:00.000Z,40.255234,-96.683453
NB0350000,Garden County Sheriff's Office,10642,NE,West North Central,Midwest,Region II,GARDEN,County,False,2011-07-01T00:00:00.000Z,41.659381,-102.328229
NB0360000,Garfield County Sheriff's Office,10644,NE,West North Central,Midwest,Region II,GARFIELD,County,True,2015-06-01T00:00:00.000Z,41.905571,-98.922998
NB0360100,Burwell Police Department,10645,NE,West North Central,Midwest,Region II,GARFIELD,City,True,2018-07-01T00:00:00.000Z,41.905571,-98.922998
NB0370000,Gosper County Sheriff's Office,10646,NE,West North Central,Midwest,Region II,GOSPER,County,True,2013-10-01T00:00:00.000Z,40.509838,-99.824078
NB0380000,Grant County Sheriff's Office,10647,NE,West North Central,Midwest,Region II,GRANT,County,True,2021-01-01T00:00:00.000Z,41.915867,-101.756875
NB0390000,Greeley County Sheriff's Office,10648,NE,West North Central,Midwest,Region II,GREELEY,County,True,2018-07-01T00:00:00.000Z,41.5676,-98.530566
NB0390100,Scotia,33685,NE,West North Central,Midwest,Region II,GREELEY,City,True,2021-01-01T00:00:00.000Z,,
NB0400000,Hall County Sheriff's Office,10649,NE,West North Central,Midwest,Region II,HALL,County,True,2006-01-01T00:00:00.000Z,40.866023,-98.498004
NB0400100,Grand Island Police Department,10650,NE,West North Central,Midwest,Region II,HALL,City,True,2016-01-01T00:00:00.000Z,40.866023,-98.498004
NB0410000,Hamilton County Sheriff's Office,10652,NE,West North Central,Midwest,Region II,HAMILTON,County,True,2002-10-01T00:00:00.000Z,40.877145,-98.021943
NB0410100,Aurora Police Department,10653,NE,West North Central,Midwest,Region II,HAMILTON,City,True,2005-05-01T00:00:00.000Z,40.877145,-98.021943
NB0420000,Harlan County Sheriff's Office,10654,NE,West North Central,Midwest,Region II,HARLAN,County,True,2001-01-01T00:00:00.000Z,40.178766,-99.403418
NB0430000,Hayes County Sheriff's Office,10656,NE,West North Central,Midwest,Region II,HAYES,County,False,2019-05-01T00:00:00.000Z,40.535786,-101.05558
NB0440000,Hitchcock County Sheriff's Office,10657,NE,West North Central,Midwest,Region II,HITCHCOCK,County,True,2019-02-01T00:00:00.000Z,40.176896,-101.044217
NB0450000,Holt County Sheriff's Office,10658,NE,West North Central,Midwest,Region II,HOLT,County,True,2019-01-01T00:00:00.000Z,42.459287,-98.784766
NB0450100,O'Neill Police Department,10659,NE,West North Central,Midwest,Region II,HOLT,City,True,2019-04-01T00:00:00.000Z,42.459287,-98.784766
NB0460000,Hooker County Sheriff's Office,10661,NE,West North Central,Midwest,Region II,HOOKER,County,True,2019-01-01T00:00:00.000Z,41.9187,-101.11681
NB0470000,Howard County Sheriff's Office,10662,NE,West North Central,Midwest,Region II,HOWARD,County,True,2018-01-01T00:00:00.000Z,41.216851,-98.513342
NB0470100,St. Paul Police Department,10663,NE,West North Central,Midwest,Region II,HOWARD,City,True,2003-12-01T00:00:00.000Z,41.216851,-98.513342
NB0480000,Jefferson County Sheriff's Office,10664,NE,West North Central,Midwest,Region II,JEFFERSON,County,True,2001-01-01T00:00:00.000Z,40.175736,-97.143103
NB0490000,Johnson County Sheriff's Office,10666,NE,West North Central,Midwest,Region II,JOHNSON,County,True,2010-01-01T00:00:00.000Z,40.395457,-96.268562
NB0500000,Kearney County Sheriff's Office,10668,NE,West North Central,Midwest,Region II,KEARNEY,County,True,2002-01-01T00:00:00.000Z,40.506269,-98.948461
NB0500100,Minden Police Department,10669,NE,West North Central,Midwest,Region II,KEARNEY,City,True,2002-01-01T00:00:00.000Z,40.506269,-98.948461
NB0510000,Keith County Sheriff's Office,10670,NE,West North Central,Midwest,Region II,KEITH,County,True,2003-09-01T00:00:00.000Z,41.194413,-101.644486
NB0510100,Ogallala Police Department,10671,NE,West North Central,Midwest,Region II,KEITH,City,True,2003-04-01T00:00:00.000Z,41.194413,-101.644486
NB0520000,Keya Paha County Sheriff's Office,10672,NE,West North Central,Midwest,Region II,KEYA PAHA,County,True,2021-01-01T00:00:00.000Z,42.87548,-99.718351
NB0530000,Kimball County Sheriff's Office,10673,NE,West North Central,Midwest,Region II,KIMBALL,County,True,2021-01-01T00:00:00.000Z,41.199274,-103.703153
NB0530100,Kimball Police Department,10674,NE,West North Central,Midwest,Region II,KIMBALL,City,True,2020-01-01T00:00:00.000Z,41.199274,-103.703153
