ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
NJ0010000,Atlantic County Sheriff's Office,12083,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,County,True,2021-01-01T00:00:00.000Z,39.469354,-74.633758
NJ0010100,Absecon Police Department,12084,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,True,2021-01-01T00:00:00.000Z,39.432816,-74.50694
NJ0010200,Atlantic City Police Department,12085,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,True,2021-06-01T00:00:00.000Z,39.35547,-74.44455
NJ0010300,Brigantine Police Department,12086,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,True,2021-01-01T00:00:00.000Z,39.40182,-74.373
NJ0010400,Buena Police Department,12087,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,False,,39.469354,-74.633758
NJ0010700,Egg Harbor City Police Department,12088,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,True,2021-11-01T00:00:00.000Z,39.53562,-74.6435
NJ0010800,Egg Harbor Township Police Department,12089,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,True,2021-06-01T00:00:00.000Z,39.361202,-74.58162
NJ0011100,Galloway Township Police Department,12090,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,True,2021-05-01T00:00:00.000Z,39.469354,-74.633758
NJ0011200,"Hamilton Township, Atlantic County Police Department",12091,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,True,2021-12-01T00:00:00.000Z,39.46348,-74.72269
NJ0011300,Hammonton Police Department,12092,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,False,,39.63631,-74.80069
NJ0011400,Linwood Police Department,12093,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,False,,39.35344,-74.57406
NJ0011500,Longport Police Department,12094,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,False,,39.469354,-74.633758
NJ0011600,Margate City Police Department,12095,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,False,,39.469354,-74.633758
NJ0011700,Mullica Township Police Department,12096,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,True,2021-01-01T00:00:00.000Z,39.469354,-74.633758
NJ0011800,Northfield Police Department,12097,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,False,,39.366985,-74.54935
NJ0011900,Pleasantville Police Department,12098,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,False,,39.469354,-74.633758
NJ0012100,Somers Point Police Department,12099,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,True,2021-01-01T00:00:00.000Z,39.469354,-74.633758
NJ0012200,Ventnor City Police Department,12100,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,City,True,2021-06-01T00:00:00.000Z,39.33784,-74.47907
NJ0012400,Stockton University,12101,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,University or College,True,2021-02-01T00:00:00.000Z,39.469354,-74.633758
NJ0018900,Prosecutor: Atlantic County,12102,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,Other,False,,39.469354,-74.633758
NJ001SP00,State Police: Atlantic County,12104,NJ,Middle Atlantic,Northeast,Region I,ATLANTIC,State Police,False,,39.57778,-74.871025
NJ0020000,Bergen County Sheriff's Office,12105,NJ,Middle Atlantic,Northeast,Region I,BERGEN,County,False,,40.87844,-74.04463
NJ0020100,Allendale Police Department,12106,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2022-02-01T00:00:00.000Z,41.027573,-74.125175
NJ0020200,Alpine Police Department,12107,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2022-01-01T00:00:00.000Z,40.959648,-74.07486
NJ0020300,Bergenfield Police Department,12108,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,False,,40.934464,-73.99526
NJ0020400,Bogota Police Department,12109,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2022-05-01T00:00:00.000Z,40.878845,-74.030464
NJ0020500,Carlstadt Police Department,12110,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2021-04-01T00:00:00.000Z,40.84115,-74.09472
NJ0020600,Cliffside Park Police Department,12111,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,False,,40.821335,-73.98795
NJ0020700,Closter Police Department,12112,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2021-01-01T00:00:00.000Z,40.971157,-73.95951
NJ0020800,Cresskill Police Department,12113,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2021-01-01T00:00:00.000Z,40.941456,-73.959854
NJ0020900,Demarest Police Department,12114,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,False,,40.955627,-73.96486
NJ0021000,Dumont Police Department,12115,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2021-01-01T00:00:00.000Z,40.959648,-74.07486
NJ0021100,Elmwood Park Police Department,12116,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2021-01-01T00:00:00.000Z,40.900894,-74.12382
NJ0021200,East Rutherford Police Department,12117,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,False,,40.835724,-74.101036
NJ0021300,Edgewater Police Department,12118,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2021-01-01T00:00:00.000Z,40.826324,-73.97387
NJ0021400,Emerson Police Department,12119,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2021-01-01T00:00:00.000Z,40.959648,-74.07486
NJ0021500,Englewood Police Department,12120,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2021-01-01T00:00:00.000Z,40.959648,-74.07486
NJ0021600,Englewood Cliffs Police Department,12121,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2021-01-01T00:00:00.000Z,40.87886,-73.95019
NJ0021700,Fair Lawn Police Department,12122,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,False,,40.935867,-74.13274
NJ0021800,Fairview Police Department,12123,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,False,,40.81177,-73.99978
NJ0021900,Fort Lee Police Department,12124,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2021-02-01T00:00:00.000Z,40.84407,-73.98105
NJ0022000,Franklin Lakes Police Department,12125,NJ,Middle Atlantic,Northeast,Region I,BERGEN,City,True,2021-01-01T00:00:00.000Z,41.01939,-74.19872
