ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
NY0010000,Albany County Sheriff's Office,12938,NY,Middle Atlantic,Northeast,Region I,ALBANY,County,False,,42.639824,-73.96267
NY0010100,Albany Police Department,12939,NY,Middle Atlantic,Northeast,Region I,ALBANY,City,True,2020-11-01T00:00:00.000Z,42.588272,-73.974015
NY0010200,Cohoes Police Department,12940,NY,Middle Atlantic,Northeast,Region I,ALBANY,City,False,,42.774536,-73.700066
NY0010300,Watervliet Police Department,12941,NY,Middle Atlantic,Northeast,Region I,ALBANY,City,False,,42.725674,-73.69997
NY0012000,Green Island Village Police Department,12942,NY,Middle Atlantic,Northeast,Region I,ALBANY,City,False,,42.74209,-73.69237
NY0012100,Altamont Village Police Department,12943,NY,Middle Atlantic,Northeast,Region I,ALBANY,City,False,,42.588272,-73.974015
NY0012500,Menands Village Police Department,12945,NY,Middle Atlantic,Northeast,Region I,ALBANY,City,False,,42.690357,-73.725815
NY0015100,Bethlehem Town Police Department,12946,NY,Middle Atlantic,Northeast,Region I,ALBANY,City,True,2021-01-01T00:00:00.000Z,42.588272,-73.974015
NY0015200,Guilderland Town Police Department,12947,NY,Middle Atlantic,Northeast,Region I,ALBANY,City,False,,42.588272,-73.974015
NY0015300,Colonie Town Police Department,12948,NY,Middle Atlantic,Northeast,Region I,ALBANY,City,True,2021-01-01T00:00:00.000Z,42.588272,-73.974015
NY0015500,State Park:,29175,NY,Middle Atlantic,Northeast,Region I,NOT SPECIFIED,Other State Agency,False,,,
NY0015800,Coeymans Town Police Department,12950,NY,Middle Atlantic,Northeast,Region I,ALBANY,City,False,,42.46919,-73.80931
NY0020000,Allegany County Sheriff's Office,12951,NY,Middle Atlantic,Northeast,Region I,ALLEGANY,County,False,,42.247871,-78.026115
NY0022000,Alfred Village Police Department,12952,NY,Middle Atlantic,Northeast,Region I,ALLEGANY,City,False,,42.253975,-77.79123
NY0022100,Amity Town and Belmont Village Police Department,12964,NY,Middle Atlantic,Northeast,Region I,ALLEGANY,City,False,,42.247871,-78.026115
NY0022200,Andover Village Police Department,12953,NY,Middle Atlantic,Northeast,Region I,ALLEGANY,City,False,,42.247871,-78.026115
NY0022300,Angelica Village  Police Department,12954,NY,Middle Atlantic,Northeast,Region I,ALLEGANY,City,False,,42.247871,-78.026115
NY0022400,Bolivar Village Police Department,12955,NY,Middle Atlantic,Northeast,Region I,ALLEGANY,City,False,,42.067944,-78.1674
NY0022600,Cuba Town Police Department,12957,NY,Middle Atlantic,Northeast,Region I,ALLEGANY,City,False,,42.21543,-78.28183
NY0022800,Wellsville Village Police Department,12959,NY,Middle Atlantic,Northeast,Region I,ALLEGANY,City,False,,42.11885,-77.94299
NY0025000,Friendship Town Police Department,12963,NY,Middle Atlantic,Northeast,Region I,ALLEGANY,City,False,,42.247871,-78.026115
NY0027000,Independence Town Police Department,12966,NY,Middle Atlantic,Northeast,Region I,ALLEGANY,City,False,,42.03696,-77.76822
NY0030000,Broome County Sheriff's Office,12968,NY,Middle Atlantic,Northeast,Region I,BROOME,County,True,2020-01-01T00:00:00.000Z,42.132046,-75.914276
NY0030100,Binghamton Police Department,12969,NY,Middle Atlantic,Northeast,Region I,BROOME,City,True,2019-01-01T00:00:00.000Z,42.097076,-75.911995
NY0030200,Endicott Village Police Department,12970,NY,Middle Atlantic,Northeast,Region I,BROOME,City,True,2019-01-01T00:00:00.000Z,42.161977,-75.830283
NY0030300,Johnson City Village Police Department,12971,NY,Middle Atlantic,Northeast,Region I,BROOME,City,True,2019-01-01T00:00:00.000Z,42.115253,-75.95462
NY0032000,Port Dickinson Village Police Department,12973,NY,Middle Atlantic,Northeast,Region I,BROOME,City,False,,42.138203,-75.89554
NY0036400,Vestal Town Police Department,12976,NY,Middle Atlantic,Northeast,Region I,BROOME,City,True,2019-01-01T00:00:00.000Z,42.161977,-75.830283
NY0040000,Cattaraugus County Sheriff's Office,12978,NY,Middle Atlantic,Northeast,Region I,CATTARAUGUS,County,True,2020-12-01T00:00:00.000Z,42.25149,-78.80058
NY0040100,Olean Police Department,12979,NY,Middle Atlantic,Northeast,Region I,CATTARAUGUS,City,True,2021-01-01T00:00:00.000Z,42.077515,-78.42975
NY0042000,Allegany Village Police Department,12980,NY,Middle Atlantic,Northeast,Region I,CATTARAUGUS,City,False,,42.239169,-78.662421
NY0042300,Ellicottville Police Department,12981,NY,Middle Atlantic,Northeast,Region I,CATTARAUGUS,City,False,,42.239169,-78.662421
NY0042400,Franklinville Village Police Department,12982,NY,Middle Atlantic,Northeast,Region I,CATTARAUGUS,City,False,,42.239169,-78.662421
NY0042600,Cattaraugus Village Police Department,12984,NY,Middle Atlantic,Northeast,Region I,CATTARAUGUS,City,False,,42.329826,-78.86864
NY0042800,Portville Village Police Department,12985,NY,Middle Atlantic,Northeast,Region I,CATTARAUGUS,City,False,,42.239169,-78.662421
NY0043300,Salamanca Police Department,12988,NY,Middle Atlantic,Northeast,Region I,CATTARAUGUS,City,False,,42.239169,-78.662421
NY0049000,State Park: Allegany Region,12991,NY,Middle Atlantic,Northeast,Region I,NOT SPECIFIED,Other State Agency,False,,42.239169,-78.662421
