ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
OH0010000,Adams County Sheriff's Office,14059,OH,East North Central,Midwest,Region II,ADAMS,County,True,2001-12-01T00:00:00.000Z,38.794876,-83.5464
OH0010200,Peebles Police Department,14061,OH,East North Central,Midwest,Region II,ADAMS,City,True,2006-01-01T00:00:00.000Z,38.94633,-83.40028
OH0010300,West Union Police Department,14062,OH,East North Central,Midwest,Region II,ADAMS,City,True,2004-06-01T00:00:00.000Z,38.79621,-83.53463
OH0010600,Seaman Police Department,14063,OH,East North Central,Midwest,Region II,ADAMS,City,True,2004-01-01T00:00:00.000Z,38.841681,-83.474173
OH0010700,Winchester Police Department,14064,OH,East North Central,Midwest,Region II,ADAMS,City,True,2004-01-01T00:00:00.000Z,38.841681,-83.474173
OH0020000,Allen County Sheriff's Office,14065,OH,East North Central,Midwest,Region II,ALLEN,County,True,2020-12-01T00:00:00.000Z,40.771627,-84.106103
OH0020100,Bluffton Police Department,14066,OH,East North Central,Midwest,Region II,"ALLEN, HANCOCK",City,True,2021-01-01T00:00:00.000Z,40.894417,-83.89051
OH0020200,Delphos Police Department,14067,OH,East North Central,Midwest,Region II,"ALLEN, VAN WERT",City,True,2020-11-01T00:00:00.000Z,40.84372,-84.33937
OH0020400,Lima Police Department,14069,OH,East North Central,Midwest,Region II,ALLEN,City,True,2021-01-01T00:00:00.000Z,40.740036,-84.10386
OH0020500,Spencerville Police Department,14070,OH,East North Central,Midwest,Region II,ALLEN,City,True,2006-02-01T00:00:00.000Z,40.707386,-84.354164
OH0020700,Elida Police Department,14071,OH,East North Central,Midwest,Region II,ALLEN,City,True,2005-09-01T00:00:00.000Z,40.771627,-84.106103
OH0021100,Shawnee Township Police Department,14073,OH,East North Central,Midwest,Region II,ALLEN,City,True,2012-02-01T00:00:00.000Z,40.705822,-84.148994
OH0021300,American Township Police Department,14075,OH,East North Central,Midwest,Region II,ALLEN,City,True,2008-01-01T00:00:00.000Z,40.771627,-84.106103
OH0021400,"Perry Township Police Department, Allen County",14076,OH,East North Central,Midwest,Region II,ALLEN,City,False,2008-03-01T00:00:00.000Z,40.687794,-84.0593
OH0021600,Marion Township Police Department,14077,OH,East North Central,Midwest,Region II,ALLEN,City,False,2006-06-01T00:00:00.000Z,40.771627,-84.106103
OH0021700,Johnny Appleseed Metropolitan Park District,14078,OH,East North Central,Midwest,Region II,ALLEN,Other,False,2004-06-01T00:00:00.000Z,40.758274,-84.057755
OH0021800,Lima Park Services Ranger Division,14079,OH,East North Central,Midwest,Region II,ALLEN,Other,False,2008-07-01T00:00:00.000Z,40.731655,-84.119194
OH0030000,Ashland County Sheriff's Office,14080,OH,East North Central,Midwest,Region II,ASHLAND,County,True,2003-03-01T00:00:00.000Z,40.86411,-82.290855
OH0030100,Ashland Police Department,14081,OH,East North Central,Midwest,Region II,ASHLAND,City,True,2001-01-01T00:00:00.000Z,40.864094,-82.29079
OH0030200,Loudonville Police Department,14082,OH,East North Central,Midwest,Region II,"ASHLAND, HOLMES",City,True,2004-12-01T00:00:00.000Z,40.636623,-82.23503
OH0030300,Perrysville Police Department,14083,OH,East North Central,Midwest,Region II,ASHLAND,City,False,2006-07-01T00:00:00.000Z,40.843274,-82.270121
OH0030800,Mifflin Police Department,14084,OH,East North Central,Midwest,Region II,ASHLAND,City,False,2007-03-01T00:00:00.000Z,40.77408,-82.363625
OH0040000,Ashtabula County Sheriff's Office,14085,OH,East North Central,Midwest,Region II,ASHTABULA,County,True,2011-02-01T00:00:00.000Z,41.738342,-80.77025
OH0040100,Ashtabula Police Department,14086,OH,East North Central,Midwest,Region II,ASHTABULA,City,False,2002-01-01T00:00:00.000Z,41.8673,-80.78022
OH0040200,Conneaut Police Department,14087,OH,East North Central,Midwest,Region II,ASHTABULA,City,True,2015-07-01T00:00:00.000Z,41.94252,-80.55722
OH0040300,Geneva Police Department,14088,OH,East North Central,Midwest,Region II,ASHTABULA,City,False,,41.80646,-80.945984
OH0040400,Andover Police Department,14089,OH,East North Central,Midwest,Region II,ASHTABULA,City,True,2010-09-01T00:00:00.000Z,41.906644,-80.745641
OH0040500,Geneva-on-the-Lake Police Department,14090,OH,East North Central,Midwest,Region II,ASHTABULA,City,False,2000-01-01T00:00:00.000Z,41.859863,-80.94971
OH0040600,Jefferson Police Department,14091,OH,East North Central,Midwest,Region II,ASHTABULA,City,True,2006-01-01T00:00:00.000Z,41.73832,-80.764946
OH0040700,North Kingsville Police Department,14092,OH,East North Central,Midwest,Region II,ASHTABULA,City,False,2013-08-01T00:00:00.000Z,41.906644,-80.745641
OH0040800,Orwell Police Department,14093,OH,East North Central,Midwest,Region II,ASHTABULA,City,False,2005-12-01T00:00:00.000Z,41.906644,-80.745641
OH0041000,Roaming Shores Village Police Department,14094,OH,East North Central,Midwest,Region II,ASHTABULA,City,True,2005-10-01T00:00:00.000Z,41.906644,-80.745641
OH0041400,Ashtabula County Metroparks Ranger Division,35622,OH,East North Central,Midwest,Region II,ASHTABULA,Other,True,2022-12-01T00:00:00.000Z,,
OH0050000,Athens County Sheriff's Office,14095,OH,East North Central,Midwest,Region II,ATHENS,County,True,2003-01-01T00:00:00.000Z,39.329216,-82.10181
OH0050100,Athens Police Department,14096,OH,East North Central,Midwest,Region II,ATHENS,City,True,2003-01-01T00:00:00.000Z,39.329594,-82.099754
OH0050200,Glouster Police Department,14097,OH,East North Central,Midwest,Region II,ATHENS,City,True,2009-01-01T00:00:00.000Z,39.502773,-82.0834
OH0050300,Nelsonville Police Department,14098,OH,East North Central,Midwest,Region II,ATHENS,City,True,2005-04-01T00:00:00.000Z,39.333848,-82.046008
OH0050400,Albany Police Department,14099,OH,East North Central,Midwest,Region II,ATHENS,City,True,2005-03-01T00:00:00.000Z,39.333848,-82.046008
OH0050600,Buchtel Police Department,14100,OH,East North Central,Midwest,Region II,"ATHENS, HOCKING",City,False,2007-03-01T00:00:00.000Z,39.333848,-82.046008
OH0050800,Jacksonville Police Department,14102,OH,East North Central,Midwest,Region II,ATHENS,City,False,2010-01-01T00:00:00.000Z,39.333848,-82.046008
OH0051000,Ohio University,14103,OH,East North Central,Midwest,Region II,ATHENS,University or College,True,2020-01-01T00:00:00.000Z,39.333848,-82.046008
OH0051100,Hocking College,14104,OH,East North Central,Midwest,Region II,ATHENS,University or College,True,2000-01-01T00:00:00.000Z,39.442284,-82.22203
OH0051200,Coolville Police Department,14105,OH,East North Central,Midwest,Region II,ATHENS,City,False,2007-01-01T00:00:00.000Z,39.333848,-82.046008
OH0060000,Auglaize County Sheriff's Office,14106,OH,East North Central,Midwest,Region II,AUGLAIZE,County,True,2001-12-01T00:00:00.000Z,40.561309,-84.224018
OH0060100,St. Marys Police Department,14107,OH,East North Central,Midwest,Region II,AUGLAIZE,City,True,2015-03-01T00:00:00.000Z,40.545612,-84.39172
OH0060200,Wapakoneta Police Department,14108,OH,East North Central,Midwest,Region II,AUGLAIZE,City,True,2003-11-01T00:00:00.000Z,40.561309,-84.224018
OH0060400,Cridersville Police Department,14110,OH,East North Central,Midwest,Region II,AUGLAIZE,City,False,2005-09-01T00:00:00.000Z,40.65425,-84.144135
OH0060500,Minster Police Department,14111,OH,East North Central,Midwest,Region II,AUGLAIZE,City,True,2004-10-01T00:00:00.000Z,40.561309,-84.224018
OH0060600,New Bremen Police Department,14112,OH,East North Central,Midwest,Region II,AUGLAIZE,City,True,2004-07-01T00:00:00.000Z,40.561309,-84.224018
OH0060700,New Knoxville Police Department,14113,OH,East North Central,Midwest,Region II,AUGLAIZE,City,True,2007-02-01T00:00:00.000Z,40.49437,-84.31665
OH0060900,Waynesfield Police Department,14115,OH,East North Central,Midwest,Region II,AUGLAIZE,City,False,2011-11-01T00:00:00.000Z,40.561309,-84.224018
OH0070000,Belmont County Sheriff's Office,14116,OH,East North Central,Midwest,Region II,BELMONT,County,True,1998-01-01T00:00:00.000Z,40.017682,-80.967727
OH0070100,Barnesville Police Department,14117,OH,East North Central,Midwest,Region II,BELMONT,City,True,1999-01-01T00:00:00.000Z,39.98777,-81.17519
OH0070200,Bellaire Police Department,14118,OH,East North Central,Midwest,Region II,BELMONT,City,True,2006-01-01T00:00:00.000Z,40.017682,-80.967727
OH0070300,Bridgeport Police Department,14119,OH,East North Central,Midwest,Region II,BELMONT,City,True,1998-04-01T00:00:00.000Z,40.072205,-80.74221
OH0070400,Martins Ferry Police Department,14120,OH,East North Central,Midwest,Region II,BELMONT,City,True,2007-11-01T00:00:00.000Z,40.096546,-80.72477
OH0070500,Powhatan Point Police Department,14121,OH,East North Central,Midwest,Region II,BELMONT,City,True,1999-01-01T00:00:00.000Z,39.863495,-80.80608
OH0070600,Shadyside Police Department,14122,OH,East North Central,Midwest,Region II,BELMONT,City,True,2006-04-01T00:00:00.000Z,39.971863,-80.74807
OH0070700,St. Clairsville Police Department,14123,OH,East North Central,Midwest,Region II,BELMONT,City,True,2005-01-01T00:00:00.000Z,40.081646,-80.901245
OH0071100,Flushing Police Department,14124,OH,East North Central,Midwest,Region II,BELMONT,City,True,2005-09-01T00:00:00.000Z,40.017682,-80.967727
OH0071600,Bethesda Police Department,14126,OH,East North Central,Midwest,Region II,BELMONT,City,False,1999-10-01T00:00:00.000Z,40.017682,-80.967727
OH0071800,Richland Township Police Department,14127,OH,East North Central,Midwest,Region II,BELMONT,City,True,2001-03-01T00:00:00.000Z,40.017682,-80.967727
OH0071900,Belmont County Major Crimes Unit,33401,OH,East North Central,Midwest,Region II,BELMONT,Other,True,2021-03-01T00:00:00.000Z,,
OH0080000,Brown County Sheriff's Office,14128,OH,East North Central,Midwest,Region II,BROWN,County,False,2001-06-01T00:00:00.000Z,38.875282,-83.90146
OH0080100,Aberdeen Police Department,14129,OH,East North Central,Midwest,Region II,BROWN,City,False,1999-01-01T00:00:00.000Z,38.931377,-83.866772
OH0080200,Georgetown Police Department,14130,OH,East North Central,Midwest,Region II,BROWN,City,True,2004-06-01T00:00:00.000Z,38.8646,-83.90439
OH0080300,Ripley Police Department,25603,OH,East North Central,Midwest,Region II,BROWN,City,False,2015-06-01T00:00:00.000Z,38.931377,-83.866772
OH0080400,Fayetteville Police Department,14131,OH,East North Central,Midwest,Region II,BROWN,City,False,,38.931377,-83.866772
OH0080600,Higginsport Police Department,14132,OH,East North Central,Midwest,Region II,BROWN,City,False,2006-05-01T00:00:00.000Z,38.931377,-83.866772
OH0080700,Mount Orab Police Department,14133,OH,East North Central,Midwest,Region II,BROWN,City,True,2002-06-01T00:00:00.000Z,38.931377,-83.866772
OH0080800,Russellville Police Department,14134,OH,East North Central,Midwest,Region II,BROWN,City,False,2004-03-01T00:00:00.000Z,38.931377,-83.866772
OH0080900,Sardinia Police Department,14135,OH,East North Central,Midwest,Region II,BROWN,City,True,2005-01-01T00:00:00.000Z,38.931377,-83.866772
OH008130X,Lake Waynoka Rangers,14136,OH,East North Central,Midwest,Region II,BROWN,Other,False,2011-03-01T00:00:00.000Z,38.92572,-83.7843
