ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
PA0010000,Adams County Sheriff's Office,15651,PA,Middle Atlantic,Northeast,Region I,ADAMS,County,False,,39.869471,-77.21773
PA0010100,Gettysburg Police Department,15652,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,False,,39.82856,-77.22967
PA0010200,Littlestown Police Department,15653,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,False,,39.74472,-77.08819
PA0010300,"Conewago Township Police Department, Adams County",15654,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,False,,39.820812,-77.024734
PA0010400,McSherrystown Police Department,15655,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,False,,39.803707,-77.0196
PA0010500,"Cumberland Township Police Department, Adams County",15656,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,False,,39.824284,-77.26153
PA0010800,East Berlin Police Department,15659,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,False,,39.940853,-76.97856
PA0011200,"Liberty Township Police Department, Adams County",15661,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,True,2020-01-01T00:00:00.000Z,,
PA0011300,Reading Township Police Department,25296,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,False,,39.869471,-77.21773
PA0011500,Biglerville Police Department,15662,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,True,2013-05-01T00:00:00.000Z,39.9297,-77.24541
PA0011600,Bonneauville Police Department,23237,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,False,2023-01-01T00:00:00.000Z,39.83099,-77.2258
PA0011800,Eastern Adams Regional Police Department,15663,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,False,,39.869471,-77.21773
PA0012100,Bendersville Police Department,15664,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,False,2014-02-01T00:00:00.000Z,39.869471,-77.21773
PA0012300,Carroll Valley Police Department,15666,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,True,2013-03-01T00:00:00.000Z,39.761406,-77.38079
PA0012400,Latimore Township Police Department,15667,PA,Middle Atlantic,Northeast,Region I,ADAMS,City,False,,39.869471,-77.21773
