ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
RI0010100,Barrington Police Department,17381,RI,New England,Northeast,Region I,BRISTOL,City,True,2004-03-01T00:00:00.000Z,41.70411,-71.285956
RI0010200,Bristol Police Department,17382,RI,New England,Northeast,Region I,BRISTOL,City,True,2004-03-01T00:00:00.000Z,41.70411,-71.285956
RI0010300,Warren Police Department,17383,RI,New England,Northeast,Region I,BRISTOL,City,True,2004-07-01T00:00:00.000Z,41.729374,-71.28225
RI0020100,Coventry Police Department,17385,RI,New England,Northeast,Region I,KENT,City,True,2004-03-01T00:00:00.000Z,41.690586,-71.56231
RI0020200,East Greenwich Police Department,17386,RI,New England,Northeast,Region I,KENT,City,True,2005-01-01T00:00:00.000Z,41.66131,-71.4511
RI0020300,Warwick Police Department,17387,RI,New England,Northeast,Region I,KENT,City,True,2004-07-01T00:00:00.000Z,41.701786,-71.45817
RI0020400,West Warwick Police Department,17388,RI,New England,Northeast,Region I,KENT,City,True,2004-02-01T00:00:00.000Z,41.706417,-71.52319
RI0020500,West Greenwich Police Department,17389,RI,New England,Northeast,Region I,KENT,City,True,2004-10-01T00:00:00.000Z,41.67775,-71.576314
RI0020600,T.F. Green Airport,17390,RI,New England,Northeast,Region I,KENT,Other,True,2008-01-01T00:00:00.000Z,41.72868,-71.4379
RI0030100,Jamestown Police Department,17392,RI,New England,Northeast,Region I,NEWPORT,City,True,2005-01-01T00:00:00.000Z,41.506054,-71.364555
RI0030200,Middletown Police Department,17393,RI,New England,Northeast,Region I,NEWPORT,City,True,2004-07-01T00:00:00.000Z,41.502732,-71.284063
RI0030300,Newport Police Department,17394,RI,New England,Northeast,Region I,NEWPORT,City,True,2003-03-01T00:00:00.000Z,41.492676,-71.31076
RI0030400,Portsmouth Police Department,17395,RI,New England,Northeast,Region I,NEWPORT,City,True,2004-03-01T00:00:00.000Z,41.592037,-71.25347
RI0030500,Tiverton Police Department,17396,RI,New England,Northeast,Region I,NEWPORT,City,True,2004-07-01T00:00:00.000Z,41.64079,-71.185715
