ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
UT0010000,Beaver County Sheriff's Office,19872,UT,Mountain,West,Region IV,BEAVER,County,True,2020-07-01T00:00:00.000Z,38.357535,-113.238948
UT0020000,Box Elder County Sheriff's Office,19876,UT,Mountain,West,Region IV,BOX ELDER,County,True,2019-06-01T00:00:00.000Z,41.476021,-113.052922
UT0020100,Brigham City Police Department,19877,UT,Mountain,West,Region IV,BOX ELDER,City,True,2019-05-01T00:00:00.000Z,41.51066,-112.01571
UT0020700,Mantua Police Department,19880,UT,Mountain,West,Region IV,BOX ELDER,City,True,2019-06-01T00:00:00.000Z,41.503468,-111.94297
UT0020800,Willard Police Department,19881,UT,Mountain,West,Region IV,BOX ELDER,City,True,2019-06-01T00:00:00.000Z,41.476021,-113.052922
UT0021200,Perry Police Department,19882,UT,Mountain,West,Region IV,BOX ELDER,City,True,2019-07-01T00:00:00.000Z,41.455368,-112.04454
UT0021700,Tremonton Garland,30254,UT,Mountain,West,Region IV,BOX ELDER,City,True,2020-02-01T00:00:00.000Z,,
UT0030000,Cache County Sheriff's Office,19883,UT,Mountain,West,Region IV,CACHE,County,True,2020-10-01T00:00:00.000Z,41.734225,-111.744581
UT0030100,Logan Police Department,19884,UT,Mountain,West,Region IV,CACHE,City,True,1993-01-01T00:00:00.000Z,41.68679,-111.82526
UT0031000,North Park Police Department,19887,UT,Mountain,West,Region IV,CACHE,City,True,2021-01-01T00:00:00.000Z,41.734225,-111.744581
UT0031400,Smithfield Police Department,19888,UT,Mountain,West,Region IV,CACHE,City,True,2021-02-01T00:00:00.000Z,41.734225,-111.744581
UT0031600,Utah State University: Logan,19890,UT,Mountain,West,Region IV,CACHE,University or College,True,2005-02-01T00:00:00.000Z,41.734225,-111.744581
UT0032000,Cache-Rich Drug Task Force,19891,UT,Mountain,West,Region IV,NOT SPECIFIED,Other,True,2000-02-01T00:00:00.000Z,41.68679,-111.82526
UT0040000,Carbon County Sheriff's Office,19892,UT,Mountain,West,Region IV,CARBON,County,True,1993-05-01T00:00:00.000Z,39.599594,-110.815056
UT0040100,Price Police Department,19893,UT,Mountain,West,Region IV,CARBON,City,True,1993-01-01T00:00:00.000Z,39.61533,-110.79992
UT0040300,Helper Police Department,19894,UT,Mountain,West,Region IV,CARBON,City,True,1998-11-01T00:00:00.000Z,39.673264,-110.588435
UT0040700,Wellington Police Department,19895,UT,Mountain,West,Region IV,CARBON,City,True,1993-11-01T00:00:00.000Z,39.673264,-110.588435
UT0040900,East Carbon Police Department,19896,UT,Mountain,West,Region IV,CARBON,City,True,2022-10-01T00:00:00.000Z,39.673264,-110.588435
UT0041300,Utah State University: Eastern,19897,UT,Mountain,West,Region IV,CARBON,University or College,False,2021-01-01T00:00:00.000Z,39.606674,-110.80366
UT0050000,Daggett County Sheriff's Office,19898,UT,Mountain,West,Region IV,DAGGETT,County,True,2017-04-01T00:00:00.000Z,40.890099,-109.505785
UT0060000,Davis County Sheriff's Office,19899,UT,Mountain,West,Region IV,DAVIS,County,True,1998-01-01T00:00:00.000Z,41.037045,-112.202123
UT0060100,Bountiful Police Department,19900,UT,Mountain,West,Region IV,DAVIS,City,True,2003-11-01T00:00:00.000Z,40.881683,-111.880646
UT0060200,Clearfield Police Department,19901,UT,Mountain,West,Region IV,DAVIS,City,True,1997-01-01T00:00:00.000Z,41.115345,-112.02599
UT0060300,Layton Police Department,19902,UT,Mountain,West,Region IV,DAVIS,City,True,1993-05-01T00:00:00.000Z,41.06627,-111.95716
UT0060400,Centerville Police Department,19903,UT,Mountain,West,Region IV,DAVIS,City,True,1993-01-01T00:00:00.000Z,41.037045,-112.202123
UT0060500,Farmington Police Department,19904,UT,Mountain,West,Region IV,DAVIS,City,False,1995-06-01T00:00:00.000Z,41.037045,-112.202123
UT0060600,Kaysville Police Department,19905,UT,Mountain,West,Region IV,DAVIS,City,True,1993-07-01T00:00:00.000Z,41.0332,-111.93719
UT0060700,North Salt Lake Police Department,19906,UT,Mountain,West,Region IV,DAVIS,City,True,1995-01-01T00:00:00.000Z,41.037045,-112.202123
UT0060800,Sunset Police Department,19907,UT,Mountain,West,Region IV,DAVIS,City,True,1993-12-01T00:00:00.000Z,41.1326,-112.02992
UT0060900,West Bountiful Police Department,19908,UT,Mountain,West,Region IV,DAVIS,City,True,2006-06-01T00:00:00.000Z,40.89568,-111.90205
UT0061000,Woods Cross Police Department,19909,UT,Mountain,West,Region IV,DAVIS,City,True,1992-06-01T00:00:00.000Z,40.874252,-111.90201
UT0061100,Clinton Police Department,19910,UT,Mountain,West,Region IV,DAVIS,City,True,2000-01-01T00:00:00.000Z,41.14598,-112.054855
UT0061200,Syracuse Police Department,19911,UT,Mountain,West,Region IV,DAVIS,City,True,1998-07-01T00:00:00.000Z,41.088444,-112.06458
UT0061400,Davis Metropolitan Narcotics Strike Force,19913,UT,Mountain,West,Region IV,DAVIS,Other,True,2006-01-01T00:00:00.000Z,41.037045,-112.202123
UT0070000,Duchesne County Sheriff's Office,19914,UT,Mountain,West,Region IV,DUCHESNE,County,True,1998-01-01T00:00:00.000Z,40.289649,-110.42983
UT0070200,Roosevelt Police Department,19916,UT,Mountain,West,Region IV,DUCHESNE,City,True,1993-06-01T00:00:00.000Z,40.289649,-110.42983
UT0080000,Emery County Sheriff's Office,19917,UT,Mountain,West,Region IV,EMERY,County,False,2012-01-01T00:00:00.000Z,39.009025,-110.7211
UT0090000,Garfield County Sheriff's Office,19918,UT,Mountain,West,Region IV,GARFIELD,County,True,2021-01-01T00:00:00.000Z,37.831674,-111.450898
