ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
VA0010000,Accomack County Sheriff's Office,20042,VA,South Atlantic,South,Region III,ACCOMACK,County,True,1997-06-01T00:00:00.000Z,37.765944,-75.757807
VA0010100,Chincoteague Police Department,20043,VA,South Atlantic,South,Region III,ACCOMACK,City,True,1996-10-01T00:00:00.000Z,37.765944,-75.757807
VA0010200,Onancock Police Department,20044,VA,South Atlantic,South,Region III,ACCOMACK,City,True,1999-01-01T00:00:00.000Z,37.713074,-75.74851
VA0010300,Parksley Police Department,20045,VA,South Atlantic,South,Region III,ACCOMACK,City,True,2007-08-01T00:00:00.000Z,37.765944,-75.757807
VA0010500,Onley Police Department,20046,VA,South Atlantic,South,Region III,ACCOMACK,City,True,1998-08-01T00:00:00.000Z,37.765944,-75.757807
VA001SP00,State Police: Accomack County,20048,VA,South Atlantic,South,Region III,ACCOMACK,State Police,True,1994-01-01T00:00:00.000Z,37.765944,-75.757807
VA0020100,University of Virginia,20050,VA,South Atlantic,South,Region III,ALBEMARLE,University or College,True,1997-05-01T00:00:00.000Z,38.04681,-78.52244
VA0020300,Albemarle County Police Department,20051,VA,South Atlantic,South,Region III,ALBEMARLE,County,True,1997-05-01T00:00:00.000Z,38.024184,-78.553506
VA002SP00,State Police: Albemarle County,20052,VA,South Atlantic,South,Region III,ALBEMARLE,State Police,True,1994-01-01T00:00:00.000Z,38.024184,-78.553506
VA0030000,Alleghany County Sheriff's Office,20053,VA,South Atlantic,South,Region III,ALLEGHANY,County,True,1997-01-01T00:00:00.000Z,37.792618,-79.99534
VA003SP00,State Police: Alleghany County,20055,VA,South Atlantic,South,Region III,ALLEGHANY,State Police,True,1994-01-01T00:00:00.000Z,37.81733,-79.80464
VA0040000,Amelia County Sheriff's Office,20056,VA,South Atlantic,South,Region III,AMELIA,County,True,1996-07-01T00:00:00.000Z,37.331927,-77.977462
VA004SP00,State Police: Amelia County,20057,VA,South Atlantic,South,Region III,AMELIA,State Police,True,1994-01-01T00:00:00.000Z,37.331927,-77.977462
VA0050000,Amherst County Sheriff's Office,20058,VA,South Atlantic,South,Region III,AMHERST,County,True,1996-12-01T00:00:00.000Z,37.630362,-79.147848
VA0050100,Amherst Police Department,20059,VA,South Atlantic,South,Region III,AMHERST,City,True,1996-08-01T00:00:00.000Z,37.630362,-79.147848
VA005SP00,State Police: Amherst County,20061,VA,South Atlantic,South,Region III,AMHERST,State Police,True,1994-01-01T00:00:00.000Z,37.630362,-79.147848
VA0060000,Appomattox County Sheriff's Office,20062,VA,South Atlantic,South,Region III,APPOMATTOX,County,True,1998-03-01T00:00:00.000Z,37.370725,-78.81094
VA006SP00,State Police: Appomattox County,20064,VA,South Atlantic,South,Region III,APPOMATTOX,State Police,True,1994-01-01T00:00:00.000Z,37.370725,-78.81094
VA0070100,Arlington County Police Department,20065,VA,South Atlantic,South,Region III,ARLINGTON,County,True,2000-01-01T00:00:00.000Z,38.889954,-77.08372
VA007SP00,State Police: Arlington County,20067,VA,South Atlantic,South,Region III,ARLINGTON,State Police,True,1994-01-01T00:00:00.000Z,38.86854,-77.065315
VA0080000,Augusta County Sheriff's Office,20068,VA,South Atlantic,South,Region III,AUGUSTA,County,True,1995-01-01T00:00:00.000Z,38.167807,-79.146682
VA008SP00,State Police: Augusta County,20069,VA,South Atlantic,South,Region III,AUGUSTA,State Police,True,1994-01-01T00:00:00.000Z,38.167807,-79.146682
VA0090000,Bath County Sheriff's Office,20070,VA,South Atlantic,South,Region III,BATH,County,True,1998-01-01T00:00:00.000Z,38.068988,-79.732898
VA009SP00,State Police: Bath County,20072,VA,South Atlantic,South,Region III,BATH,State Police,True,1994-01-01T00:00:00.000Z,37.81733,-79.80464
VA0100000,Bedford County Sheriff's Office,20073,VA,South Atlantic,South,Region III,BEDFORD,County,True,1997-06-01T00:00:00.000Z,37.311317,-79.50447
VA0100100,Bedford Police Department,20074,VA,South Atlantic,South,Region III,BEDFORD,City,True,1995-12-01T00:00:00.000Z,37.33405,-79.522026
VA010SP00,State Police: Bedford County,20076,VA,South Atlantic,South,Region III,BEDFORD,State Police,True,1994-01-01T00:00:00.000Z,37.312408,-79.527947
VA0110000,Bland County Sheriff's Office,20077,VA,South Atlantic,South,Region III,BLAND,County,True,1996-06-01T00:00:00.000Z,37.130612,-81.125853
VA011SP00,State Police: Bland County,20078,VA,South Atlantic,South,Region III,BLAND,State Police,True,1994-01-01T00:00:00.000Z,37.130612,-81.125853
VA0120000,Botetourt County Sheriff's Office,20079,VA,South Atlantic,South,Region III,BOTETOURT,County,True,1997-09-01T00:00:00.000Z,37.553005,-79.804564
VA012SP00,State Police: Botetourt County,20081,VA,South Atlantic,South,Region III,BOTETOURT,State Police,True,1994-01-01T00:00:00.000Z,37.686653,-79.49071
VA0130000,Brunswick County Sheriff's Office,20082,VA,South Atlantic,South,Region III,BRUNSWICK,County,True,1999-01-01T00:00:00.000Z,36.764531,-77.860916
VA0130100,Lawrenceville Police Department,20083,VA,South Atlantic,South,Region III,BRUNSWICK,City,True,1996-08-01T00:00:00.000Z,36.75952,-77.847145
VA013SP00,State Police: Brunswick County,20084,VA,South Atlantic,South,Region III,BRUNSWICK,State Police,True,1994-01-01T00:00:00.000Z,36.741623,-77.507034
VA0140000,Buchanan County Sheriff's Office,20085,VA,South Atlantic,South,Region III,BUCHANAN,County,True,1996-11-01T00:00:00.000Z,37.26812,-82.038151
VA0140100,Grundy Police Department,20086,VA,South Atlantic,South,Region III,BUCHANAN,City,True,1996-11-01T00:00:00.000Z,37.26812,-82.038151
VA014SP00,State Police: Buchanan County,20087,VA,South Atlantic,South,Region III,BUCHANAN,State Police,True,1994-01-01T00:00:00.000Z,37.26812,-82.038151
VA0150000,Buckingham County Sheriff's Office,20088,VA,South Atlantic,South,Region III,BUCKINGHAM,County,True,1999-11-01T00:00:00.000Z,37.573928,-78.529169
VA015SP00,State Police: Buckingham County,20089,VA,South Atlantic,South,Region III,BUCKINGHAM,State Police,True,1994-01-01T00:00:00.000Z,37.573928,-78.529169
VA0160000,Campbell County Sheriff's Office,20090,VA,South Atlantic,South,Region III,CAMPBELL,County,True,1997-06-01T00:00:00.000Z,37.210151,-79.095428
VA0160100,Altavista Police Department,20091,VA,South Atlantic,South,Region III,CAMPBELL,City,True,1997-02-01T00:00:00.000Z,37.210151,-79.095428
VA0160200,Brookneal Police Department,20092,VA,South Atlantic,South,Region III,CAMPBELL,City,True,1998-05-01T00:00:00.000Z,37.210151,-79.095428
VA016SP00,State Police: Campbell County,20093,VA,South Atlantic,South,Region III,CAMPBELL,State Police,True,1994-01-01T00:00:00.000Z,37.210151,-79.095428
VA0170000,Caroline County Sheriff's Office,20094,VA,South Atlantic,South,Region III,CAROLINE,County,True,1999-04-01T00:00:00.000Z,38.030319,-77.352348
VA0170100,Bowling Green Police Department,20095,VA,South Atlantic,South,Region III,CAROLINE,City,True,2007-01-01T00:00:00.000Z,38.030319,-77.352348
VA017SP00,State Police: Caroline County,20096,VA,South Atlantic,South,Region III,CAROLINE,State Police,True,1994-01-01T00:00:00.000Z,38.030319,-77.352348
VA0180000,Carroll County Sheriff's Office,20097,VA,South Atlantic,South,Region III,CARROLL,County,True,1995-11-01T00:00:00.000Z,36.731951,-80.727838
VA0180100,Hillsville Police Department,20098,VA,South Atlantic,South,Region III,CARROLL,City,True,2003-01-01T00:00:00.000Z,36.731951,-80.727838
VA018SP00,State Police: Carroll County,20099,VA,South Atlantic,South,Region III,CARROLL,State Police,True,1994-01-01T00:00:00.000Z,36.731951,-80.727838
VA0190000,Charles City County Sheriff's Office,20100,VA,South Atlantic,South,Region III,CHARLES CITY,County,True,2001-06-01T00:00:00.000Z,37.361054,-77.05417
VA019SP00,State Police: Charles City County,20101,VA,South Atlantic,South,Region III,CHARLES CITY,State Police,True,1994-01-01T00:00:00.000Z,37.361054,-77.05417
VA0200000,Charlotte County Sheriff's Office,20102,VA,South Atlantic,South,Region III,CHARLOTTE,County,True,1998-05-01T00:00:00.000Z,37.052235,-78.63804
VA020SP00,State Police: Charlotte County,20103,VA,South Atlantic,South,Region III,CHARLOTTE,State Police,True,1994-01-01T00:00:00.000Z,37.014091,-78.661424
VA0210100,Chesterfield County Police Department,20105,VA,South Atlantic,South,Region III,CHESTERFIELD,County,True,1999-01-01T00:00:00.000Z,37.378434,-77.585847
VA021SP00,State Police: Chesterfield County,20106,VA,South Atlantic,South,Region III,CHESTERFIELD,State Police,True,1994-01-01T00:00:00.000Z,37.510227,-77.7662
VA0220000,Clarke County Sheriff's Office,20107,VA,South Atlantic,South,Region III,CLARKE,County,True,1998-04-01T00:00:00.000Z,39.115864,-77.991226
VA0220100,Berryville Police Department,20108,VA,South Atlantic,South,Region III,CLARKE,City,True,1995-01-01T00:00:00.000Z,39.150543,-77.98041
VA022SP00,State Police: Clarke County,20109,VA,South Atlantic,South,Region III,CLARKE,State Police,True,1994-01-01T00:00:00.000Z,39.124973,-78.19413
VA0230000,Craig County Sheriff's Office,20110,VA,South Atlantic,South,Region III,CRAIG,County,True,1998-06-01T00:00:00.000Z,37.473129,-80.231734
VA023SP00,State Police: Craig County,20111,VA,South Atlantic,South,Region III,CRAIG,State Police,True,1994-01-01T00:00:00.000Z,37.473129,-80.231734
VA0240000,Culpeper County Sheriff's Office,20112,VA,South Atlantic,South,Region III,CULPEPER,County,True,2001-06-01T00:00:00.000Z,38.48593,-77.956476
VA0240100,Culpeper Police Department,20113,VA,South Atlantic,South,Region III,CULPEPER,City,True,2001-04-01T00:00:00.000Z,38.4783,-77.98682
VA024SP00,State Police: Culpeper County,20114,VA,South Atlantic,South,Region III,CULPEPER,State Police,True,1994-01-01T00:00:00.000Z,38.494274,-77.926315
VA0250000,Cumberland County Sheriff's Office,20115,VA,South Atlantic,South,Region III,CUMBERLAND,County,True,1996-12-01T00:00:00.000Z,37.520189,-78.252836
VA025SP00,State Police: Cumberland County,20116,VA,South Atlantic,South,Region III,CUMBERLAND,State Police,True,1994-01-01T00:00:00.000Z,37.520189,-78.252836
VA0260000,Dickenson County Sheriff's Office,20117,VA,South Atlantic,South,Region III,DICKENSON,County,True,1996-11-01T00:00:00.000Z,37.137081,-82.349208
VA0260100,Clintwood Police Department,20118,VA,South Atlantic,South,Region III,DICKENSON,City,True,1996-11-01T00:00:00.000Z,37.137081,-82.349208
VA0260200,Haysi Police Department,20119,VA,South Atlantic,South,Region III,DICKENSON,City,True,1996-11-01T00:00:00.000Z,37.137081,-82.349208
VA0260300,Clinchco Police Department,20120,VA,South Atlantic,South,Region III,DICKENSON,City,False,1998-01-01T00:00:00.000Z,37.137081,-82.349208
VA026SP00,State Police: Dickenson County,20121,VA,South Atlantic,South,Region III,DICKENSON,State Police,True,1994-01-01T00:00:00.000Z,37.137081,-82.349208
VA0270000,Dinwiddie County Sheriff's Office,20122,VA,South Atlantic,South,Region III,DINWIDDIE,County,True,1997-08-01T00:00:00.000Z,37.073498,-77.635492
VA027SP00,State Police: Dinwiddie County,20124,VA,South Atlantic,South,Region III,DINWIDDIE,State Police,True,1994-01-01T00:00:00.000Z,37.073498,-77.635492
VA0280000,Essex County Sheriff's Office,20125,VA,South Atlantic,South,Region III,ESSEX,County,True,1998-01-01T00:00:00.000Z,37.93948,-76.941871
VA0280200,Tappahannock Police Department,20126,VA,South Atlantic,South,Region III,ESSEX,City,True,1996-08-01T00:00:00.000Z,37.93948,-76.941871
VA028SP00,State Police: Essex County,20127,VA,South Atlantic,South,Region III,ESSEX,State Police,True,1994-01-01T00:00:00.000Z,37.93948,-76.941871
VA0290100,Fairfax County Police Department,20129,VA,South Atlantic,South,Region III,FAIRFAX,County,True,2000-01-01T00:00:00.000Z,38.84565,-77.311455
VA0290200,Herndon Police Department,20130,VA,South Atlantic,South,Region III,FAIRFAX,City,True,1999-01-01T00:00:00.000Z,38.960934,-77.372475
VA0290300,Vienna Police Department,20131,VA,South Atlantic,South,Region III,FAIRFAX,City,True,2000-01-01T00:00:00.000Z,38.89998,-77.26316
VA0290400,George Mason University,20132,VA,South Atlantic,South,Region III,FAIRFAX,University or College,True,1996-10-01T00:00:00.000Z,38.835526,-77.30668
