ori,agency_name,agency_id,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
WI0010000,Adams County Sheriff's Office,20902,WI,East North Central,Midwest,Region II,ADAMS,County,True,2020-09-01T00:00:00.000Z,43.973763,-89.767223
WI0010100,Adams Police Department,20903,WI,East North Central,Midwest,Region II,ADAMS,City,True,2013-12-01T00:00:00.000Z,43.973763,-89.767223
WI0010200,Rome Town Police Department,20904,WI,East North Central,Midwest,Region II,ADAMS,City,True,2013-01-01T00:00:00.000Z,44.22072,-89.809204
WI0020000,Ashland County Sheriff's Office,20905,WI,East North Central,Midwest,Region II,ASHLAND,County,True,2021-01-01T00:00:00.000Z,46.588776,-90.87849
WI0020100,Ashland Police Department,20906,WI,East North Central,Midwest,Region II,"ASHLAND, BAYFIELD",City,True,2021-01-01T00:00:00.000Z,46.59425,-90.87695
WI0030000,Barron County Sheriff's Office,20907,WI,East North Central,Midwest,Region II,BARRON,County,True,2006-09-01T00:00:00.000Z,45.437192,-91.852892
WI0030100,Rice Lake Police Department,20908,WI,East North Central,Midwest,Region II,BARRON,City,True,2006-05-01T00:00:00.000Z,45.500988,-91.73607
WI0030200,Barron Police Department,20909,WI,East North Central,Midwest,Region II,BARRON,City,True,2019-01-01T00:00:00.000Z,45.437192,-91.852892
WI0030300,Chetek Police Department,20910,WI,East North Central,Midwest,Region II,BARRON,City,True,2019-01-01T00:00:00.000Z,45.437192,-91.852892
WI0030400,Cumberland Police Department,20911,WI,East North Central,Midwest,Region II,BARRON,City,False,,45.53492,-92.02147
WI0040000,Bayfield County Sheriff's Office,20912,WI,East North Central,Midwest,Region II,BAYFIELD,County,False,,46.634199,-91.177282
WI0040100,Washburn Police Department,20913,WI,East North Central,Midwest,Region II,BAYFIELD,City,False,,46.634199,-91.177282
WI0040200,Bayfield Police Department,20914,WI,East North Central,Midwest,Region II,BAYFIELD,City,False,,46.634199,-91.177282
WI0040400,Iron River Police Department,20915,WI,East North Central,Midwest,Region II,BAYFIELD,City,False,,46.634199,-91.177282
WI0050000,Brown County Sheriff's Office,20916,WI,East North Central,Midwest,Region II,BROWN,County,True,2016-01-01T00:00:00.000Z,44.473961,-87.995926
WI0050100,De Pere Police Department,20917,WI,East North Central,Midwest,Region II,BROWN,City,True,2015-01-01T00:00:00.000Z,44.473961,-87.995926
WI0050200,Green Bay Police Department,20918,WI,East North Central,Midwest,Region II,BROWN,City,True,2010-01-01T00:00:00.000Z,44.511395,-88.01636
WI0050300,Pulaski Police Department,20919,WI,East North Central,Midwest,Region II,"BROWN, SHAWANO",City,False,,44.473961,-87.995926
WI0050700,University of Wisconsin: Green Bay,20922,WI,East North Central,Midwest,Region II,BROWN,University or College,False,,44.473961,-87.995926
WI0050800,Ashwaubenon Police Department,20923,WI,East North Central,Midwest,Region II,BROWN,City,True,2014-01-01T00:00:00.000Z,44.473961,-87.995926
