Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
3,61,0,12,0,194,15,0,286,0,4,27,2,0,0,62,80,1,5,1,0,0,2,1,4,34,1,0,47,0,0,1960
58,1158,0,247,0,860,428,0,1646,0,27,146,14,0,0,401,464,2,68,13,74,20,27,9,47,211,34,0,206,0,44,1961
56,944,0,220,0,724,542,0,2410,0,44,134,28,0,0,510,587,3,89,9,121,26,13,22,43,257,25,0,182,0,71,1963
50,714,16,241,196,895,767,5,3522,8,37,118,45,0,0,566,702,3,165,14,37,25,9,20,44,288,25,0,267,110,93,1964
134,790,34,363,219,956,721,7,4304,15,46,141,51,0,0,807,1177,1,160,15,78,17,19,29,51,311,20,0,407,153,74,1965
81,1195,11,315,344,766,784,14,4661,16,50,138,58,0,0,1030,1375,10,214,12,121,51,20,31,37,280,33,0,265,132,109,1966
72,1149,10,308,228,613,859,57,4887,10,42,133,85,0,0,779,1204,1,215,10,150,53,12,28,38,297,36,2,219,173,92,1967
139,1835,16,426,348,710,904,147,5314,9,40,134,31,0,0,1339,1277,4,190,27,155,55,6,29,40,314,47,0,162,165,131,1968
134,1726,14,541,427,794,1007,195,6064,23,60,129,48,0,0,1317,1558,12,287,18,125,61,25,86,61,461,56,1,184,211,187,1969
218,1553,19,481,503,790,1805,421,7098,30,75,143,48,0,0,1474,1349,9,214,29,55,70,39,70,70,493,86,1,210,222,219,1970
365,2049,18,590,555,1129,2297,546,6270,18,75,163,76,0,0,1908,889,10,307,37,170,54,50,109,94,637,82,29,141,224,253,1971
297,2261,15,630,328,1280,1689,760,5906,18,48,108,152,0,0,2157,891,16,252,24,60,116,25,74,61,734,62,0,76,286,232,1972
338,1941,47,1172,564,1132,2113,1495,695,13,53,180,60,0,0,2584,1064,14,376,22,72,163,37,130,71,646,99,0,69,595,245,1973
459,2516,41,825,423,1324,2157,1571,1579,32,74,170,82,0,0,2232,1086,18,411,35,86,242,56,102,133,1030,149,14,34,409,394,1974
543,3132,37,912,545,1596,3244,1497,728,64,63,219,84,0,0,2669,1693,10,466,40,49,377,64,156,146,1368,127,2,23,486,540,1975
484,2694,21,973,512,1651,3216,824,72,59,65,196,84,0,0,2993,1459,15,439,38,60,303,53,151,156,1072,149,11,57,508,480,1976
442,3439,44,1123,602,1582,3669,761,270,59,72,178,86,0,0,2946,1968,15,396,33,39,175,61,123,185,1023,133,5,20,496,382,1977
440,3281,40,948,535,1586,3280,862,616,55,95,285,20,0,0,3133,2112,18,392,35,33,123,69,97,199,1120,176,1,6,589,474,1978
420,2905,57,908,458,1115,2974,725,586,38,46,380,3,0,0,2551,2389,7,392,28,37,55,82,134,162,989,110,4,3,576,375,1979
641,1211,30,798,380,1194,2231,479,181,17,61,275,9,0,0,2608,2221,5,248,22,14,59,72,83,114,733,34,0,18,636,253,1980
