Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
607,3387,0,748,0,3525,2985,0,11599,0,230,376,821,0,0,1279,3327,17,91,74,385,19,52,100,194,1643,109,393,738,0,469,1960
1314,8287,0,1857,0,6568,6606,0,31570,0,435,1138,2082,0,0,3518,4778,47,284,199,918,225,100,271,294,3173,164,2943,1045,0,1317,1961
787,7273,0,1181,0,5528,6058,0,25030,0,229,475,1585,0,0,3020,3861,38,382,93,497,122,69,165,145,2215,142,2094,743,0,1108,1962
846,8717,0,1229,0,4609,5729,0,22413,0,484,700,1923,0,0,2808,3353,39,411,134,303,92,61,176,117,2150,201,1351,489,0,1202,1963
794,4841,19,1084,15,3687,5255,50,19678,33,341,221,1023,0,0,2830,3212,12,328,92,230,95,43,191,96,1839,122,1087,242,314,874,1964
775,5399,21,1451,37,4505,5660,57,23442,88,306,638,1708,0,0,3085,3477,22,730,161,956,209,86,218,231,2488,119,1235,541,537,1071,1965
776,4869,22,1352,24,3956,5914,68,21242,56,260,533,1000,0,0,3706,3405,29,391,135,432,191,79,210,302,2337,93,880,426,835,912,1966
982,5342,58,1801,23,3772,6283,106,22432,37,352,520,801,0,0,3769,4093,24,480,150,274,235,86,220,399,1750,122,719,434,650,972,1967
1056,6135,54,2434,46,4333,6560,31,19205,62,392,598,448,0,0,4696,3254,39,374,141,334,263,79,250,368,2443,158,766,515,819,1108,1968
1198,6200,36,1569,110,4001,6837,78,20663,189,363,360,379,0,0,3459,2935,14,362,156,212,169,105,243,404,2085,174,588,298,618,975,1969
989,8377,40,2111,122,5184,7920,287,22442,69,400,952,354,0,0,4975,3799,23,504,128,158,140,104,272,430,2883,220,1047,345,763,1393,1970
1354,9658,64,2316,103,5326,10864,1082,26522,107,435,998,359,0,0,5457,4404,29,509,230,500,134,146,432,580,3889,447,605,419,769,1671,1971
1229,6792,36,1672,106,3543,10099,1574,22720,48,369,540,303,0,0,4004,2837,19,386,127,447,123,124,363,448,1975,370,631,221,378,1416,1972
1289,11496,135,3522,48,5759,13672,3507,25260,70,499,1026,322,0,0,7893,3993,32,623,205,610,195,167,633,330,3782,653,911,211,1273,1811,1973
2431,14978,85,3829,84,6695,18311,4620,29346,107,517,1380,314,0,0,8028,6258,33,618,328,499,135,225,767,301,4333,998,1338,98,1081,2377,1974
3768,22582,162,5367,188,8441,23975,6769,31247,184,957,2947,515,0,0,10135,10549,48,829,384,1419,119,269,1315,351,5489,2059,1139,95,1633,3070,1975
4790,28822,234,6279,119,12991,34926,10292,43367,240,1862,4586,591,0,0,14377,13872,43,1029,493,1988,263,373,1606,694,7754,1980,491,196,1999,3871,1976
4528,31220,242,5958,113,12143,35803,10709,42798,174,1496,5667,369,0,0,13865,14604,53,990,483,2597,322,372,1422,733,8725,1961,422,167,1850,3664,1977
4545,33199,268,6025,119,12984,35014,8780,37871,293,1279,8674,340,0,0,14030,13556,54,1215,461,2783,274,375,1332,826,8895,2077,360,202,2177,4019,1978
6497,28357,193,5628,79,13050,33053,7488,34217,254,1261,12528,457,0,0,13478,10956,53,1067,445,2943,312,381,1391,529,6877,2206,276,153,2576,3829,1979
5039,32222,275,6400,134,12195,33137,9796,36273,146,1511,18879,401,0,0,14932,11223,36,911,474,2908,827,505,1584,623,8058,2798,416,122,2162,4510,1980
8672,31816,202,6398,80,10112,29954,9293,32639,62,4100,16473,318,0,0,16790,8959,38,822,439,2562,414,413,1653,909,4609,2345,91,254,1518,3619,1981
10735,31007,179,5769,38,11004,28043,8581,33839,34,5011,15786,375,0,0,17319,8511,39,1011,368,2256,497,441,1265,1048,3508,2291,37,256,1799,3669,1982
10101,33065,166,5032,22,10158,29858,6782,30779,221,4165,15453,401,0,0,17131,7697,41,776,344,2292,563,437,1138,1132,3067,2219,35,117,1875,2550,1983
10818,33341,192,4347,31,9870,29714,7231,29678,185,3201,15785,306,0,0,16760,7357,43,793,333,1899,381,461,998,1057,3109,1968,7,137,1978,2320,1984
3446,36026,196,4615,53,9570,26787,7352,26078,324,1546,16527,296,0,0,18172,7040,56,798,342,1247,540,451,975,1023,12173,2001,7,67,2367,2270,1985
4189,35034,168,4187,40,9374,29342,6845,24969,378,1420,15443,245,0,0,17469,7758,57,817,340,969,293,510,1106,971,13026,2052,2,53,2537,2120,1986
3569,33582,157,4189,27,8611,27540,7587,23284,48,1348,14931,202,0,0,17755,9289,52,983,354,1049,324,512,1087,851,12997,2172,2,144,2713,1839,1987
4435,36891,40,4289,20,8880,25312,9384,22754,9,1581,14324,161,0,0,17417,11105,40,1025,334,862,139,623,1136,734,12689,2099,0,131,2534,2115,1988
7674,50527,43,4906,90,11735,27878,13822,24319,15,1912,20024,225,0,0,20045,13009,33,1387,395,783,134,563,1727,741,13697,2683,0,404,3150,2695,1989
3730,35382,90,2950,41,7837,20366,7583,20534,14,1262,11451,102,0,0,14662,10411,15,945,314,606,132,362,1008,480,12429,1909,0,240,2192,1769,1990
6324,32441,113,3631,79,6066,17571,5924,17377,26,1114,11030,79,0,0,15973,6921,24,1225,395,512,103,369,1417,344,15858,1983,0,189,3060,1682,1991
8682,38394,129,3873,60,5482,19799,8771,16641,39,1511,14482,142,0,0,17828,8551,34,1452,429,893,184,545,2141,437,22616,2421,0,103,3549,2278,1992
8353,40685,151,3952,160,5300,19886,133,15840,22,1592,12979,97,0,0,17939,9168,33,1641,450,1057,405,644,1951,522,25440,2149,0,210,3605,2668,1993
9575,54725,134,4205,151,6046,19088,6,15259,27,2013,12087,130,0,0,20358,9436,27,1726,484,1113,245,509,2130,417,25753,2317,20,288,3293,2929,1994
7864,55920,122,3677,297,5452,18685,11479,13567,48,1972,12691,146,0,0,18429,9107,32,1584,426,1167,140,467,2407,429,26219,2282,1,414,3097,2611,1995
8080,62040,149,3845,262,5183,18919,14647,12477,30,2044,13006,119,0,0,20472,7986,27,1586,402,1160,263,456,2042,409,30344,2347,0,412,3220,2381,1996
7060,68418,122,3816,264,5118,20316,15069,13098,41,2028,12533,101,0,0,20017,8610,29,1468,466,1087,286,444,2127,449,30887,2324,1,357,2942,2350,1997
6020,74649,130,3573,207,5349,20724,16744,13008,34,2093,13154,111,0,0,18231,9082,31,1468,375,1142,272,444,1782,435,30709,2434,0,356,2914,2152,1998
5741,71540,95,3142,186,4632,19746,16028,11756,47,2044,12917,91,0,0,16745,8893,24,1373,313,1322,187,373,1654,457,29836,2308,1,242,2706,1742,1999
4016,45442,109,2458,159,3060,13703,12292,7295,38,1652,10607,51,0,0,11762,6259,20,902,317,1292,138,364,1154,299,21645,1479,1,184,1896,1262,2000
3614,59388,89,2717,91,3692,13161,12932,8139,32,1967,11366,110,0,0,13580,6044,31,1061,306,1464,90,323,1430,349,23918,1881,0,162,2143,1340,2001
4351,72113,107,2849,132,3808,13869,14100,9715,27,2028,11392,95,0,0,14691,6503,25,1242,300,1390,187,370,1709,395,27883,2157,0,324,2396,1364,2002
4232,79847,114,3059,52,4129,14340,16133,9845,17,2394,10974,110,0,0,15621,6909,23,1306,311,1506,135,386,1563,433,28388,2380,1,199,2596,1334,2003
3926,78939,121,3498,59,4834,13582,18315,9474,20,2490,10432,54,0,0,15773,6529,25,1173,280,1143,173,457,1405,396,28536,2200,2,317,2550,1215,2004
3389,68569,95,2932,76,4675,11621,15704,8562,10,2001,8060,49,0,0,13377,4895,28,1051,284,981,124,359,1325,455,24141,1901,2,297,2179,1148,2005
2971,62179,95,2843,30,3966,10536,14814,8152,34,1650,6955,82,0,0,11213,5032,26,924,309,792,188,280,1439,463,21463,1971,0,266,1791,1113,2006
3807,77383,107,3379,55,5014,12857,17308,10584,61,1892,7818,57,0,0,16258,6073,27,1068,336,1054,182,319,1763,604,25034,2255,1,421,2033,1467,2007
4019,87077,141,4275,37,5028,15900,17817,11735,155,1898,9082,60,0,0,20001,6286,25,1109,328,1150,264,378,2123,614,27815,2412,0,313,2373,1590,2008
3990,85017,142,4578,27,4531,15319,17067,9804,169,1827,8626,120,0,0,20571,5359,29,965,337,1037,300,379,1828,609,27221,2152,0,278,2254,1511,2009
2678,70047,108,2183,96,3192,13191,8212,6140,163,1178,6370,47,0,0,12691,3697,11,658,176,1022,74,230,688,412,17457,1496,0,97,1878,1084,2010
4,425,0,17,0,30,287,299,193,16,4,9,0,0,0,509,6,0,5,0,1,0,0,11,0,234,20,0,0,10,20,2011
7,321,0,24,0,17,286,306,135,20,6,22,0,0,0,462,8,0,3,1,0,0,1,14,4,243,18,0,0,4,16,2012
10,312,1,11,0,21,259,324,132,17,7,15,0,0,0,670,16,0,2,2,1,4,2,12,0,233,30,0,4,6,27,2013
707,12402,30,601,0,497,2254,427,1675,57,172,848,0,0,0,3390,699,0,156,31,147,0,61,147,69,3940,329,0,13,275,249,2014
4346,64046,115,3317,0,2416,8836,10289,7769,284,1290,4555,0,0,0,17457,1984,7,789,309,992,11,389,1210,520,19954,2106,0,148,1629,1510,2015
4887,73292,115,3302,0,2346,8660,10813,7621,206,1438,3934,0,0,0,15578,2628,13,957,358,1060,1,407,1347,741,19419,2164,0,67,1696,1780,2016
4804,80304,132,3468,0,2305,8065,11985,6933,190,1277,3471,0,0,0,15572,2216,8,1069,345,885,103,375,1221,630,18170,2690,0,57,1531,2104,2017
4649,84007,131,3183,0,2184,7878,12027,6475,181,1154,3140,0,0,0,15965,1754,13,1134,321,597,101,393,1210,660,17302,2592,0,60,1430,2264,2018
4500,88575,106,2691,0,2140,7073,10279,6134,170,1055,2881,0,0,0,15226,1775,5,1045,388,526,106,372,1053,563,17488,2324,0,33,1378,1478,2019
1759,29717,39,1001,0,685,3043,4059,2576,32,346,861,0,0,0,4937,710,2,350,180,156,50,99,321,216,6984,934,0,9,492,569,2020
1593,39461,42,978,0,2257,2220,10656,0,15,279,655,13,7,0,4261,4861,0,441,164,174,51,113,287,73,5652,1012,0,2,984,1671,2021
2877,60792,78,1456,0,2477,6296,17132,0,33,498,1210,9,9,0,8269,6227,0,601,266,307,47,219,428,88,9683,1467,0,0,1480,1917,2022
