Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
131,1136,0,443,0,835,2867,0,9140,0,158,200,372,0,0,648,286,21,115,44,127,39,23,96,118,364,35,1037,181,0,250,1960
132,1155,0,426,0,841,2252,0,7744,0,101,281,256,0,0,939,423,8,149,29,172,39,39,68,138,396,43,842,303,0,196,1961
295,2145,0,720,0,1412,4134,0,16328,0,260,658,713,0,0,1473,830,24,150,41,238,71,25,92,281,1160,69,1351,496,0,497,1962
342,2303,0,616,0,1615,3736,0,14907,0,255,960,321,0,0,1347,814,25,175,43,282,39,11,85,235,1010,75,1276,523,0,420,1963
304,1878,7,769,351,1170,4373,21,14165,341,105,109,518,0,0,1348,850,26,249,43,139,26,29,111,167,885,57,1367,601,73,508,1964
337,2066,8,574,319,1427,3902,44,13727,301,147,95,671,0,0,1576,1118,28,205,35,162,45,27,135,128,902,71,979,587,68,476,1965
447,2169,15,712,310,1697,4566,58,15556,190,206,473,500,0,0,1560,1345,23,190,33,285,68,44,149,224,1033,72,706,735,110,572,1966
511,2648,32,888,378,2156,5230,48,17563,178,290,576,554,0,0,1919,1565,22,272,72,274,39,56,163,224,1244,103,1016,710,199,726,1967
602,3105,29,1040,505,1987,5832,71,16619,112,278,372,604,0,0,2056,2206,15,251,47,268,43,69,184,143,1472,162,1250,441,205,801,1968
564,3107,31,1139,605,1914,7848,215,15679,67,328,652,525,0,0,2114,2515,25,246,96,257,47,91,263,137,1463,302,943,379,201,795,1969
569,3093,31,1328,485,1960,9482,308,19080,16,374,688,657,0,0,2534,2387,21,236,79,310,57,128,184,156,1713,332,1080,340,275,952,1970
703,3757,24,1305,452,1879,10138,586,20140,26,440,785,624,0,0,2318,2450,20,254,95,245,52,99,255,150,1550,311,927,286,318,947,1971
