Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
440,3686,0,1230,0,1423,5709,0,19214,0,543,189,151,0,0,1931,1989,12,686,51,241,128,79,239,578,565,47,55,2212,0,365,1960
297,3065,0,1548,0,1808,6279,0,23511,0,424,171,98,0,0,2746,2478,15,747,45,275,114,70,220,697,596,65,83,2445,0,408,1961
754,5561,0,2151,0,3693,7386,0,31255,0,435,578,202,0,0,4627,3381,23,1017,71,444,110,93,319,949,784,111,107,3094,0,433,1962
541,5531,0,2315,0,1724,6392,0,31907,0,292,349,75,0,0,4812,3313,13,1171,43,166,119,108,298,742,842,94,53,2869,0,422,1963
908,8726,168,2817,2950,2392,8110,176,37395,75,346,566,113,0,0,7628,4730,22,1481,84,426,125,191,439,961,1255,180,1690,3862,2327,609,1964
866,7285,177,2554,2209,2036,6832,214,38958,52,289,555,125,0,0,7490,5409,22,1377,78,248,147,157,378,804,1153,141,65,3482,2215,584,1965
880,6412,175,2851,1893,1946,4990,238,33799,39,312,340,29,0,0,8411,4391,16,1414,70,190,143,177,359,789,1016,153,18,2523,2031,595,1966
951,5804,180,3258,2426,2331,4813,544,33730,50,287,411,46,0,0,8628,4028,12,1546,85,200,138,185,431,617,989,203,6,3271,2130,630,1967
1026,5948,220,3269,2588,2322,5395,1581,33390,83,289,307,20,0,0,8537,3495,29,1467,77,189,162,175,556,598,1130,250,27,2776,1943,862,1968
1227,6677,159,3104,2331,2354,6164,2381,31121,120,304,347,16,0,0,8854,3711,24,1320,71,195,224,158,544,787,1110,214,7,2671,1616,983,1969
1594,7952,164,3705,2646,2632,7472,3555,31055,110,353,443,55,0,0,9374,4068,32,1420,114,201,184,233,679,688,1137,402,24,2809,1433,1050,1970
2047,7840,155,3740,2630,3331,9733,3858,32749,135,357,569,41,0,0,10848,4169,32,1331,95,350,221,260,848,869,1076,767,17,2401,1490,1098,1971
1965,9038,206,4039,2247,3733,13053,6349,34306,140,351,598,71,0,0,11694,3943,47,1583,96,250,288,288,941,698,1192,719,17,1505,1768,1251,1972
2536,10615,578,8537,4935,5400,14097,10494,25673,154,383,670,71,0,0,21610,4515,58,2762,174,289,381,345,1446,816,1944,1355,24,1604,3993,1697,1973
2497,11347,324,6822,2379,7734,21500,8637,528,182,404,817,72,0,0,15640,4163,70,1658,157,404,864,268,1405,852,1850,1342,272,1062,2224,1690,1974
2621,13464,365,7277,1539,8892,23027,9222,419,272,440,1050,46,0,0,14467,6316,59,1538,150,557,873,353,1324,755,2786,1385,0,903,2394,1726,1975
2678,13208,229,6981,1673,10278,25181,10698,270,259,461,1087,45,0,0,15325,6868,44,1546,158,428,942,355,1039,753,2992,1252,0,564,2351,1673,1976
2944,14751,273,6660,1567,10680,25550,9999,557,280,417,1253,72,0,0,16093,6718,65,1702,171,286,902,308,1124,868,3655,1203,0,516,2392,1900,1977
3090,15550,280,6228,1584,10384,26795,7601,41,200,419,1161,44,0,0,16293,6071,71,1662,168,195,1104,344,1284,1312,4166,1080,0,515,2769,1801,1978
3820,16681,297,5999,1744,9469,21987,5155,15,224,506,970,31,0,0,17413,6261,35,1592,160,182,1239,389,1345,1465,4365,761,0,497,3306,1583,1979
4120,19348,347,6521,1788,10192,24383,6410,0,225,508,1092,42,0,0,19952,7257,35,1608,192,223,1299,420,1545,1918,5124,932,0,391,3542,1579,1980
4000,22405,357,7309,1580,10185,25830,8176,0,203,543,1176,107,0,0,22441,9913,41,1501,154,325,1484,356,1444,2114,5758,943,0,309,3550,1693,1981
4297,25335,661,7810,1191,9089,25546,8824,0,202,760,841,175,0,0,24260,11662,42,1206,152,359,1595,297,1393,2158,5381,844,0,363,3905,1605,1982
4481,27519,550,6961,1255,9937,24249,9091,0,175,757,905,27,0,0,25095,13578,26,1221,179,380,2288,327,1186,2318,6192,969,0,723,4345,1603,1983
4383,23330,508,6841,2305,10742,19525,9202,0,146,593,864,75,0,0,26318,15730,34,1244,179,567,2120,321,1046,2786,8276,796,0,1450,4296,1560,1984
