Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
9707,77951,0,30824,0,18460,32752,0,298114,0,7218,2629,10739,0,0,33881,14338,170,13971,850,5857,5267,1708,10132,9755,11850,966,3395,27393,0,4021,1960
10820,86702,0,32902,0,21923,36973,0,294618,0,7343,2732,10041,0,0,37424,15821,236,15076,806,6148,4208,1985,11223,10474,13004,1173,3530,28454,0,4332,1961
11286,89320,0,33654,0,23059,39808,0,280930,0,7036,2882,9259,0,0,43397,16101,247,16565,857,6836,3441,2153,10721,11053,14190,1356,3076,22532,0,4750,1962
10458,87925,0,32466,0,24651,39173,0,262104,0,6807,3038,9151,0,0,46249,16042,281,16912,738,6507,3884,1901,9648,10775,14635,1444,3472,24469,0,5118,1963
12002,62152,749,37179,19785,27188,46148,10340,253972,414,6769,2561,6975,0,0,56973,19506,270,21305,796,6703,4525,1575,10195,12213,18356,1822,5218,21615,10216,5085,1964
10788,64064,860,37723,22376,23639,48792,11913,244909,308,6566,2637,7443,0,0,55917,19352,189,19050,888,7274,3379,1434,9511,10756,16514,1793,1417,12214,10634,4389,1965
13577,73521,1360,41161,25714,26111,57670,19301,258254,289,7147,2828,7985,0,0,64734,20721,249,22482,1002,7287,5526,1943,10348,12490,19953,2669,3853,6714,14028,5440,1966
15264,83375,1283,47866,24566,27806,67892,37558,259051,367,7840,3038,8472,0,0,72069,16995,284,23601,1031,6777,6639,1947,12792,11506,21471,3146,5369,6411,14778,6429,1967
16299,82077,1458,51928,27422,23575,73555,57718,202753,497,7729,2520,3684,0,0,67297,14598,292,26210,1245,5424,4915,1962,14371,9251,21197,4064,1551,5873,13431,7054,1968
20555,95156,1446,54318,26218,30280,84968,76120,240050,496,9178,2346,4632,0,0,74526,15230,298,30173,1476,5919,6693,2584,16119,10708,24642,5584,7338,5975,13524,9271,1969
20482,94756,1505,53735,25458,29464,100878,95168,212692,351,8685,2208,6783,0,0,74901,13985,269,27457,1336,5087,6229,2392,14717,10158,23701,6779,7446,5568,13266,8402,1970
