Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
301,9854,0,1813,0,3123,2526,0,21157,0,255,842,144,0,0,2968,643,33,1119,51,310,235,124,298,692,1481,98,3744,1050,0,398,1960
363,10439,0,2069,0,3929,2674,0,21442,0,320,877,140,0,0,3223,584,29,1025,64,454,309,75,305,747,1483,70,3743,1562,0,486,1961
567,10774,0,2443,0,3775,3275,0,22460,0,339,1384,144,0,0,4015,612,32,1272,96,550,380,138,620,986,1873,53,1273,1512,0,613,1962
537,11487,0,2384,0,3977,2912,0,25862,0,338,1065,75,0,0,4459,675,22,1321,112,617,331,144,552,1284,1471,48,978,2035,0,608,1963
634,10682,73,2603,287,4698,3695,472,24844,106,398,1003,215,0,0,5701,972,22,1338,94,631,323,181,536,998,1632,81,809,1828,1341,622,1964
682,9281,75,2671,488,4979,3424,327,24945,49,385,998,75,0,0,6276,815,26,1199,72,524,312,147,444,808,1666,77,902,1671,1429,611,1965
688,8397,85,2741,908,5600,3016,311,22174,32,300,924,235,0,0,7122,1217,12,1623,80,397,233,126,410,796,1669,90,1041,1209,1690,604,1966
800,10029,130,2670,1336,4966,2670,803,21165,22,318,869,197,0,0,7461,1300,24,1532,80,294,247,151,494,667,1733,137,1108,936,1822,651,1967
982,10194,112,2983,1284,5168,2561,1337,20834,18,318,921,117,0,0,7532,1548,26,2126,99,167,255,193,594,627,2134,142,1539,1203,1575,914,1968
1157,9825,186,3104,1513,5170,2418,1941,22051,17,383,925,337,0,0,8318,1636,45,1915,113,206,344,159,653,572,2275,99,1556,919,1676,1011,1969
1467,10593,110,3515,1892,4832,4569,3673,21599,15,382,944,302,0,0,10084,1663,34,1945,105,231,341,226,834,659,2194,122,930,555,1637,1120,1970
1549,12256,154,4514,1628,4992,8088,6275,25277,16,425,1445,319,0,0,14222,1711,35,2051,133,180,326,259,1010,724,3005,190,616,524,2055,1578,1971
1393,14813,273,4713,1889,6705,8686,7435,20574,15,376,1318,197,0,0,15039,1589,39,2481,170,245,349,315,989,807,3295,193,757,387,2010,1564,1972
2159,23864,386,8159,3743,8213,13498,12161,19985,18,596,2309,49,0,0,24279,3271,35,4467,228,129,351,429,1711,993,4566,375,489,461,4198,1902,1973
2241,24087,264,6722,1819,9008,14330,10474,7814,35,745,1950,104,0,0,20545,2319,27,2762,163,316,437,386,1588,834,4601,305,444,380,3502,1625,1974
2419,23680,330,7526,1901,8921,14278,7718,1639,53,775,2735,127,0,0,24807,2677,45,2394,167,378,657,373,1712,948,5946,354,306,343,3492,1695,1975
2322,22277,364,6362,1618,9582,14500,6251,1318,35,700,1504,69,0,0,22330,2672,33,1934,159,188,680,306,1195,880,6204,485,319,349,3477,1681,1976
2886,24894,362,6670,1622,11724,15858,5065,813,53,659,1314,86,0,0,23341,2690,59,2253,178,334,978,305,1106,857,6852,452,92,286,3796,1865,1977
3113,30322,287,6563,1053,11950,15858,4666,392,53,783,2044,72,0,0,25247,4832,45,2628,166,342,1454,372,1177,1025,8223,550,105,415,4793,1991,1978
3485,35200,340,6722,1081,12596,16632,4328,165,141,840,2392,88,0,0,26884,6297,39,2785,172,252,1560,404,1181,1443,9781,561,17,63,5309,2597,1979
2893,32702,377,5606,1035,11939,16752,4086,185,128,808,2416,127,0,0,22379,8568,44,1831,122,144,1743,397,1072,1145,9026,442,20,127,4799,2577,1980
3973,44214,472,6963,1740,14261,25809,6299,463,194,1182,3159,56,0,0,26719,10042,47,2122,198,281,1730,371,1168,1725,10535,543,72,172,5500,3037,1981
3739,51045,447,6545,2001,16276,29411,7487,436,216,1342,3010,38,0,0,28780,10320,39,2043,159,317,1445,435,1193,1835,11579,624,55,224,5787,3711,1982
4058,52555,330,6147,1847,16947,29718,6620,490,167,1129,3286,120,0,0,30520,12929,38,1913,161,311,1934,415,1084,2335,12125,624,18,68,6047,3851,1983
4184,63935,406,5164,2037,16741,31875,7048,18,202,1224,3404,111,0,0,31286,12976,23,2187,194,323,1763,442,969,2649,13118,514,10,511,6204,3726,1984
4348,65494,377,5974,2466,17955,37665,7539,2,203,1391,3436,107,0,0,32732,12712,30,2327,163,451,1701,435,1031,2501,16374,632,3,1146,6681,3795,1985
4764,66048,431,5531,2943,18413,33917,7287,2,285,1571,3654,68,0,0,31714,14455,37,2515,200,501,1814,429,1067,2417,17704,642,0,1656,7130,3848,1986
4449,70400,372,5360,3662,16332,35567,7450,0,261,1788,3944,114,0,0,32390,13628,23,2494,165,715,1477,447,1018,2568,18845,662,0,1436,6919,3266,1987
5167,65508,369,4894,3722,15999,34238,8906,0,348,1389,3561,141,0,0,31811,10978,25,2553,161,884,1467,523,885,2603,18796,606,9,1420,6656,3213,1988
6419,64271,346,4893,4152,17109,34348,9199,3,340,1286,3953,54,0,0,30521,12331,36,3112,168,1147,1467,517,914,2597,20462,699,1,2046,7008,3364,1989
7424,64563,345,4588,4490,19805,38841,7505,5,285,1132,3969,94,0,0,31904,14578,32,2608,154,1203,1087,633,877,2497,23195,739,0,1735,7768,3533,1990
7343,65816,483,4498,4774,18403,37348,7516,72,326,1345,4161,98,0,0,32742,17740,32,2499,196,1404,954,571,1012,2420,23805,789,9,1561,7820,3666,1991
7152,67665,368,4177,3897,18150,30834,8391,512,299,1246,3765,48,0,0,32406,16385,38,2313,210,1788,1247,550,1059,2353,24781,825,24,1022,7244,4060,1992
7362,67357,364,4247,4447,20331,31825,10761,496,324,1400,5149,80,0,0,32069,16739,31,2669,226,1943,1491,570,1047,2073,24904,743,7,1320,7519,4453,1993
7323,72520,463,4309,4357,20895,30911,14644,1351,351,1879,4992,58,0,0,34332,16605,21,2278,178,1895,1449,528,1153,2017,26341,775,16,2771,9799,4628,1994
4886,41898,279,3283,4829,14606,16268,11244,537,242,1281,3067,27,0,0,29681,11494,12,1892,173,1109,1134,436,747,1405,22694,646,15,1651,7974,3500,1995
4282,70233,331,2714,3325,16749,30886,13685,882,199,1257,3248,17,0,0,22557,18687,26,1494,136,1794,1184,484,633,1261,20161,528,1,1890,6395,2670,1996
4712,87621,260,3011,6935,18619,25940,16514,2022,131,1253,3621,15,0,0,29874,19060,14,2228,141,2060,1393,625,696,1324,24259,749,2,1359,7792,3235,1997
4991,86220,337,3046,5911,16864,27874,14564,724,150,1194,2693,20,0,0,26467,20122,12,2347,146,2248,1114,815,749,1412,22021,605,2,1024,7376,3008,1998
4874,85832,292,2872,5433,17951,36353,17833,636,112,1189,2554,26,0,0,27199,22929,15,2266,137,2513,1366,622,815,1481,22694,667,4,757,7642,3122,1999
4652,83426,355,2896,4531,17229,27204,17973,478,104,1486,2235,20,0,0,24556,21961,16,2449,125,2877,1253,478,725,1501,22073,750,2,712,7201,2761,2000
4359,78325,309,2896,3498,16834,25459,16805,472,123,1356,2022,17,0,0,22511,19750,26,2447,139,2839,1331,423,857,1396,22545,810,11,693,6839,2363,2001
4878,75177,349,3070,2875,14782,24676,16286,373,146,1380,1736,12,0,0,22662,18931,20,2977,129,2766,1362,458,858,1489,21369,913,15,825,6728,2219,2002
4613,74391,354,2990,2845,14502,23738,17340,249,121,1589,1713,3,0,0,23916,17762,16,2793,116,2918,1155,466,878,1278,20372,896,5,891,6672,2256,2003
5026,90906,229,3008,2975,14024,23511,18534,227,111,2041,1903,21,0,0,25287,16414,12,2801,153,3116,889,466,827,1332,19578,1183,2,968,6580,2508,2004
5479,102007,317,3219,3300,18096,25058,20055,263,127,2087,2223,30,0,0,24616,14859,8,2086,104,3306,869,467,862,1170,15408,1573,11,568,6170,2419,2005
5528,97989,282,3123,2601,12204,31596,19726,394,192,1718,2595,5,0,0,19316,17341,5,1928,112,3054,499,490,1057,1034,16034,1235,27,191,6472,2422,2006
4993,91403,329,2798,2414,12804,29386,19250,314,234,1321,2654,8,0,0,20117,17256,10,1587,113,2955,669,453,879,900,15458,1065,9,184,6132,2420,2007
5408,88460,276,3305,2322,12619,29842,18827,204,250,1095,2594,12,0,0,22400,16075,6,1386,172,3272,624,490,963,967,15708,795,10,212,6595,2238,2008
5462,85167,255,2988,1958,11238,28071,17170,234,179,1033,2581,11,0,0,22120,13783,9,1260,165,3010,652,455,1117,971,14887,686,10,169,6039,1933,2009
5226,92882,231,2683,1671,11019,29686,16185,1754,114,826,2073,13,0,0,20637,12940,8,1039,127,3440,429,497,951,908,14650,698,31,385,5594,1803,2010
4611,94459,251,2607,1410,10239,28869,16018,1742,125,753,1828,2,0,0,20841,12518,5,1166,126,3352,322,422,969,870,14990,685,21,193,5370,1807,2011
4223,95988,238,2293,1488,9738,27259,16383,1387,116,704,1667,0,0,0,20981,12409,4,1041,117,3143,309,351,899,697,14367,804,0,309,5183,1803,2012
4211,100047,197,2440,1236,10366,28835,12222,244,90,650,1773,3,0,0,24874,13377,5,1347,116,3193,324,433,1008,591,15500,646,0,367,5147,1846,2013
4431,104749,226,2697,1607,9881,28098,13359,272,92,590,1956,13,0,0,27990,12679,8,1576,131,3271,349,466,931,525,16978,320,0,561,5335,2173,2014
4825,100636,186,2458,1334,9134,26623,14673,649,105,594,2200,1,0,0,27096,11661,3,2176,106,3348,642,479,1007,497,18042,434,0,325,5464,2270,2015
