Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
430,2472,0,1096,0,7067,982,0,13862,0,98,686,1207,0,0,1808,373,34,576,22,636,78,47,103,1389,1757,104,247,991,0,268,1960
379,3144,0,1226,0,8276,993,0,14517,0,123,692,953,0,0,2039,370,34,623,14,536,51,42,102,1313,1362,73,191,858,0,286,1961
431,4809,0,1474,0,9063,1124,0,14830,0,135,829,968,0,0,2657,385,45,889,21,662,36,43,105,1268,1487,124,67,643,0,369,1962
495,4418,0,1832,0,9728,1142,0,14541,0,149,887,1089,0,0,3033,562,36,1019,29,821,62,65,197,1444,1481,151,82,594,0,387,1963
783,4268,56,2222,187,11832,1416,157,16617,107,173,1042,1598,0,0,4037,649,41,1446,32,1293,179,79,229,1784,2622,166,109,997,776,626,1964
865,5200,92,2448,93,11893,1364,199,15682,77,248,984,1386,0,0,4528,633,44,1479,39,1387,191,95,305,1742,2387,191,71,802,1079,654,1965
852,5218,103,2495,118,12022,1357,336,15322,58,132,852,1403,0,0,4290,606,64,1451,33,1133,137,99,242,1461,2182,116,30,682,1123,566,1966
1191,6950,112,3245,234,15459,1564,652,16269,76,319,1040,1164,0,0,5373,620,71,2060,51,1314,111,117,466,1244,2759,261,68,800,1777,806,1967
1603,7749,220,4119,381,17494,1794,1687,15794,74,416,1298,1078,0,0,6043,599,68,2185,58,1768,205,133,563,1124,3380,519,96,891,1745,988,1968
1708,7407,185,5311,235,18062,1656,2826,14096,126,529,1412,1145,0,0,7550,451,41,2470,88,1580,305,138,711,1084,4073,754,11,759,1881,1087,1969
2098,8713,215,6139,238,19685,1770,5182,14018,69,620,1997,1273,0,0,8672,581,81,2481,102,1709,369,188,844,1064,5134,900,2,782,2086,1209,1970
2123,10641,336,6931,195,19055,2082,6118,12162,106,764,2328,1621,0,0,10564,796,65,2475,97,1692,463,237,1300,984,5385,1086,10,507,2514,1255,1971
1746,10669,191,5600,242,17569,1998,5440,9509,30,658,1642,1453,0,0,12213,759,50,1690,70,1410,416,186,1141,880,4965,492,4,111,2371,1126,1972
1786,14347,366,8217,262,22974,2780,6758,10323,22,591,1605,1202,0,0,17089,757,35,3458,82,789,434,179,1803,918,6725,546,22,686,4279,1526,1973
1753,11660,258,6492,242,18918,2413,5593,6918,24,860,1832,775,0,0,14427,555,36,2122,79,567,525,206,1360,738,4868,493,91,42,2705,1425,1974
1133,11589,148,6028,276,15454,2398,3513,5089,20,870,1503,485,0,0,13443,615,30,1296,75,310,504,120,1181,567,5245,286,40,52,2363,1156,1975
1677,12119,263,6072,229,17637,2416,3696,2036,23,1040,1770,692,0,0,14767,441,28,1408,83,357,942,112,1394,740,6703,480,84,102,2500,1323,1976
1104,12749,253,5045,297,15731,2231,3380,129,20,660,1279,285,0,0,14247,496,32,1374,62,237,590,97,987,611,5049,305,88,53,2787,1153,1977
1589,17504,328,6097,490,18962,2624,4543,195,8,781,1620,221,0,0,17142,566,29,1615,67,286,328,115,1102,725,5929,311,55,94,4329,1556,1978
1908,17991,300,5725,460,20369,2434,4178,214,23,711,1508,193,0,0,17689,771,30,1420,87,256,340,161,1168,808,6667,243,26,239,4849,1875,1979
2163,16889,242,6155,300,19252,2787,3980,82,19,964,1459,83,0,0,19197,847,20,1305,52,217,453,156,1318,724,5078,188,0,118,4213,1832,1980
2220,17620,233,6294,250,18978,2918,4671,46,22,1041,1796,156,0,0,20003,751,14,1222,83,278,432,238,1531,740,5110,201,0,155,4058,1850,1981
3342,22770,266,6635,250,23695,5179,5713,133,47,1004,2628,220,0,0,22181,954,28,1581,148,434,669,306,1991,854,8074,343,91,216,4878,2370,1982
2838,25167,304,6366,407,21316,9820,6431,85,26,728,2410,125,0,0,20146,1250,34,1173,102,332,709,300,1596,852,5652,184,28,154,5097,2146,1983
3590,27765,408,6218,386,24921,15038,7076,162,21,721,3421,142,0,0,21056,1916,32,1102,129,649,633,391,1992,979,8949,230,1,90,5400,2628,1984
3648,30426,455,6464,300,27620,17723,7935,4,28,791,3791,386,0,0,22282,3950,34,1334,131,750,737,412,1912,1300,9979,224,0,163,5666,2751,1985
4607,34906,266,5984,279,30705,15870,10392,4,48,809,3768,149,0,0,24031,4187,31,1366,130,793,717,421,2033,1161,13665,174,4,212,6017,3015,1986
5448,39192,262,6155,247,35406,16014,14084,14,30,1067,3836,183,0,0,26667,5125,38,1699,177,1063,874,401,1767,1023,19156,206,3,126,5662,3033,1987
6418,48820,312,6398,232,36208,15624,19372,0,71,967,3492,165,0,0,26580,4397,35,2055,182,1183,1010,437,1900,847,20927,335,9,195,5367,3312,1988
6140,48502,240,6521,193,33945,15907,17014,8,79,932,3160,159,0,0,26602,4225,40,2368,156,1126,514,391,1708,877,14849,369,4,374,5375,3149,1989
7407,46423,278,6577,127,36134,15641,18753,26,46,926,3158,145,0,0,28376,3789,42,2684,162,1424,1296,488,2287,879,21244,532,62,122,5557,2966,1990
6441,40581,262,5583,103,30047,13261,11817,38,44,904,2645,124,0,0,25262,2368,36,2521,170,1415,844,490,1974,850,14219,340,5,147,4880,2759,1991
7315,42615,261,6559,151,28690,10869,15577,29,46,1048,2971,196,0,0,24940,2146,30,2568,145,1675,1042,468,2022,979,17374,468,7,198,4838,2985,1992
6209,49130,287,5548,139,27163,10503,18058,8,66,1021,2773,125,0,0,22588,1704,21,2475,153,2072,879,438,2003,967,18224,440,5,506,4838,3208,1993
5911,49682,284,5294,182,25982,9417,19834,51,97,971,2833,103,0,0,22245,1808,22,2615,193,2386,846,380,2181,843,18433,428,6,495,5248,2978,1994
5777,51911,288,5306,216,26322,9393,21331,40,106,1194,3237,107,0,0,23445,1629,23,2319,170,1987,1020,416,2135,865,19222,455,41,163,5544,2509,1995
5214,51412,233,4811,170,25400,9980,20265,16,107,896,3339,56,0,0,20611,1947,17,1908,173,2306,834,387,1979,788,17250,461,7,121,4575,2146,1996
5007,52543,200,4049,116,26154,10617,20508,24,112,1000,2827,51,0,0,19753,2230,20,1757,143,2432,991,376,1937,826,18148,493,3,1211,4468,2169,1997
4753,52099,134,3803,103,25038,10204,20499,26,142,918,2218,204,0,0,18062,2670,20,1592,153,2523,918,352,1697,774,17595,538,9,419,4362,2165,1998
4536,49979,148,2865,122,23624,10158,18893,20,126,909,1841,45,0,0,15811,2392,24,1297,89,2393,671,300,1419,651,16515,366,3,43,3788,1736,1999
4602,43325,188,2569,150,20051,10305,17328,13,133,823,1741,53,0,0,14544,2062,18,1199,94,1830,691,292,1263,701,17902,332,1,62,3454,1541,2000
4782,41724,168,2833,128,21781,10857,14730,25,186,964,2007,52,0,0,14992,1884,15,1256,130,1754,565,308,1453,739,20059,475,1,329,3537,1470,2001
4083,42415,183,2779,174,19874,10008,13869,7,177,997,2026,37,0,0,14235,1822,13,1320,78,1671,656,311,1498,821,20026,508,1,47,3276,1507,2002
3617,35072,146,2421,127,17706,7525,13797,28,216,784,1572,27,0,0,13462,1453,10,1030,120,1427,483,258,1491,589,21380,610,7,63,2918,1408,2003
4067,33797,372,2803,123,17682,10367,16965,7,155,908,1658,29,0,0,13768,1417,5,979,104,1500,502,282,1582,707,23535,804,0,50,2923,1503,2004
4003,32950,320,2782,174,16815,9708,15154,10,197,907,1691,81,0,0,12801,1283,10,991,109,1336,515,270,1355,749,22466,795,0,97,2981,1597,2005
3865,34418,382,2660,151,15834,9025,15658,12,213,888,1515,16,0,0,12156,1378,24,881,109,1460,543,285,1237,576,19773,680,0,59,2658,1579,2006
4382,34988,252,2814,46,16690,9261,15812,3,230,874,1570,27,0,0,13009,1258,9,929,73,1432,490,237,1422,614,21491,504,0,61,2810,1531,2007
4952,34371,130,3217,50,17222,9303,18040,3,216,872,1684,39,0,0,14940,1515,12,826,124,1330,628,268,1519,627,24108,511,0,51,3380,1600,2008
5019,34300,102,2953,52,16322,10307,17527,1,224,819,1597,73,0,0,15388,1512,7,650,120,1531,346,247,1483,617,23499,431,0,45,2724,1493,2009
3710,32525,154,2950,32,15093,10241,17208,1,184,788,1413,31,0,0,14233,1144,11,656,106,1546,439,240,1487,613,24364,466,0,29,2631,1435,2010
3143,30344,171,2889,21,13287,8841,13663,3,167,918,1319,61,0,0,14383,1009,5,623,130,1461,385,268,1450,597,23620,445,0,41,2354,1299,2011
3049,29632,392,2935,8,13400,9151,10044,22,180,667,1237,71,0,0,14520,645,7,614,139,1677,381,223,1397,650,22603,472,0,56,2274,1299,2012
2637,28547,412,2299,11,11652,8576,9965,6,184,613,1085,14,0,0,13444,412,10,620,97,1398,330,245,1304,445,19644,334,0,16,2054,1196,2013
2575,29729,284,2407,7,12150,8940,9774,2,165,686,977,14,0,0,13910,368,12,581,94,1403,351,243,1169,392,18729,286,0,26,2049,1136,2014
2149,27753,78,1953,1,11259,8729,8758,9,163,619,857,12,0,0,12645,238,12,628,93,1385,264,201,1121,419,17287,238,0,31,1864,1060,2015
2472,27077,98,1968,4,11701,8688,9276,8,167,565,930,19,0,0,12262,231,14,872,66,1485,215,229,1031,357,18429,373,0,36,2091,1210,2016
2497,28502,75,1964,3,10715,8350,9065,5,140,622,915,7,5,1,11070,159,14,917,83,1526,182,192,1062,354,18760,697,0,24,2207,1262,2017
2270,30209,76,1620,1,10808,7681,8211,13,140,561,933,10,1,0,9979,98,9,793,72,1474,186,208,896,369,17932,694,0,41,1693,1128,2018
1970,29644,63,1389,9,10612,7613,7103,11,123,433,831,12,1,0,9666,86,7,615,79,1513,118,202,763,316,16278,345,0,44,1703,1077,2019
1766,17972,68,1152,1,8848,5180,4344,0,77,296,567,7,1,0,6951,60,19,663,105,1714,44,191,605,293,15063,332,0,43,1543,1039,2020
1636,21379,49,999,1,8682,6205,3495,0,66,214,449,10,3,0,5686,81,14,691,108,2155,32,132,523,271,15111,245,0,154,1622,1205,2021
1581,24111,71,912,4,8901,6263,3076,0,67,226,438,17,0,0,6380,31,18,701,77,1759,32,171,576,295,15072,237,0,13,1556,1476,2022
