Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
2773,8500,0,2368,0,18977,375,0,40608,0,235,744,1138,0,0,3599,1381,27,713,91,69,146,81,1373,755,1871,69,7107,586,0,712,1960
2369,8132,0,2392,0,17312,427,0,43542,0,258,744,842,0,0,3394,1420,20,784,87,27,195,108,1484,748,1675,78,4166,489,0,793,1961
2520,9772,0,2052,0,17997,518,0,47167,0,372,524,1084,0,0,3485,1725,23,832,102,20,192,94,1659,672,1970,94,2134,708,0,1061,1962
2204,8103,0,1761,0,14960,364,0,45081,0,213,495,738,0,0,3043,961,27,1002,122,69,195,81,1287,685,2255,128,1524,510,0,880,1963
2056,7138,21,2223,23,14497,328,527,44124,71,188,285,859,0,0,3112,929,22,1280,134,43,246,114,1431,664,2072,113,1018,445,812,940,1964
2249,7766,29,1963,5,17390,372,374,47995,61,157,298,901,0,0,3049,839,17,1053,148,21,164,190,1544,302,1496,162,0,454,720,904,1965
1892,4328,33,2262,0,11900,167,458,29294,44,192,298,819,0,0,2900,645,15,1040,142,72,144,117,1598,252,1443,196,0,293,714,949,1966
1372,2390,23,1868,11,5816,148,401,19882,34,135,246,502,0,0,2208,432,18,752,121,50,125,67,1485,220,872,197,455,249,534,713,1967
1865,3249,94,4162,0,12406,150,947,16621,55,225,320,710,0,0,3345,474,35,1608,190,82,246,120,2163,247,1248,485,977,257,1051,1365,1968
3269,3396,91,3773,0,6671,194,1550,333,83,550,424,906,0,0,3931,838,53,1243,314,51,1211,172,3462,360,1612,852,836,148,1225,2280,1969
1885,2329,49,2754,0,4971,43,2309,3476,55,270,271,916,0,0,3076,425,21,912,179,28,878,103,2470,234,1109,590,767,118,815,1597,1970
2340,5763,49,2755,0,17959,575,2823,11,60,299,350,1786,0,0,3430,304,13,1106,227,49,856,311,2712,499,1246,708,1271,129,873,1834,1971
2766,3864,91,2818,0,8162,630,3131,1,122,458,373,1645,0,0,3574,422,67,1088,259,24,935,455,2631,439,1543,554,0,24,938,2231,1972
2736,3152,112,3439,0,7265,908,3350,4,76,312,264,1315,0,0,4470,117,8,1551,251,50,952,386,3334,564,1753,742,0,21,951,1767,1973
2107,2350,49,3527,0,7544,1246,3258,0,88,427,310,1396,0,0,4223,136,12,870,311,37,1354,323,2890,425,1190,1013,0,22,946,1650,1974
1967,2706,85,3063,0,6396,1,3280,4,45,451,338,1099,0,0,4359,98,8,819,326,53,1153,280,3063,298,1250,752,0,9,1015,1620,1975
1961,3587,77,2310,0,6917,0,3350,2,76,352,404,1024,0,0,4306,212,7,867,238,13,2312,228,2785,428,1159,717,0,47,841,1465,1976
1693,3302,104,1987,0,5769,0,2361,2,90,328,319,863,0,0,3858,274,1,802,196,11,1530,211,2018,306,1121,575,0,7,717,1259,1977
1525,3787,115,2000,0,5464,0,2593,0,98,307,294,730,0,0,4123,402,0,1029,165,25,1276,182,1728,264,1027,420,0,6,730,1059,1978
751,2050,31,1108,0,3260,0,2151,12,80,204,151,405,0,0,2170,213,0,560,85,28,546,104,945,135,561,181,0,15,363,565,1979
1554,3632,61,1711,0,6434,0,3237,1,108,345,340,873,0,0,3929,171,5,1052,150,29,1163,150,1634,264,859,354,3393,35,650,1070,1980
1612,3921,43,2060,0,7059,0,5011,5,140,305,316,712,0,0,4517,229,4,1165,189,18,1067,136,1905,208,1024,366,3221,20,794,1145,1981
1395,3982,50,1593,0,6023,0,5759,15,81,173,203,690,0,0,3557,115,1,1048,133,3,951,123,1367,225,804,330,3369,54,599,983,1982
1692,4600,68,1832,6,9188,0,8053,63,38,215,110,1084,0,0,4148,61,3,1309,176,5,1679,144,1583,223,1082,384,3542,11,729,1036,1983
1833,4760,60,1614,0,8284,0,8448,8,15,254,93,902,0,0,4119,42,3,1531,140,3,1890,160,1410,323,1071,307,4116,7,755,973,1984
2050,6498,49,1720,0,7969,0,9085,6,2,239,51,727,0,0,3384,35,0,1670,113,6,1570,146,1238,370,1200,284,4176,9,675,954,1985
2072,5517,38,1211,0,7298,0,13228,803,6,282,111,546,0,0,3992,25,1,2495,133,4,1472,143,1231,335,1048,322,4726,1,710,985,1986
2026,6032,45,1054,71,9210,1,12963,29,3,289,170,420,0,0,3717,282,3,2480,131,31,1398,111,990,269,1325,302,4265,2,741,865,1987
1764,4668,54,947,0,5594,0,10415,2,4,371,167,148,0,0,3566,163,0,2711,186,1,1235,69,894,191,1157,272,5482,4,700,937,1988
1889,5765,46,1089,0,8955,2695,10489,40,1,351,326,266,0,0,3269,0,0,3008,291,12,1106,98,1239,232,1287,408,4759,0,454,1282,1989
2475,7469,35,1064,0,10916,2833,9998,0,0,375,332,312,0,0,3236,0,2,2844,295,15,1379,129,1416,221,1891,585,5351,0,577,1301,1990
2865,6489,38,1198,0,9508,2729,10536,0,0,376,430,330,0,0,3281,125,7,2626,311,10,1516,122,1409,306,2780,658,5037,0,801,1641,1991
3586,5743,50,1073,0,7618,3162,7753,0,2,295,271,234,0,0,3142,94,2,2105,254,27,1257,115,1304,163,4903,546,3955,0,801,1495,1992
3793,6067,32,1038,0,7272,3560,8234,0,1,267,122,213,0,0,3152,46,0,1969,283,16,1352,134,1275,134,5461,489,3811,0,802,1737,1993
3513,5820,27,1090,0,7351,3355,7173,0,0,226,153,218,0,0,2860,28,3,1623,277,12,1286,95,1173,116,5083,374,3765,0,762,1657,1994
2917,5599,15,985,0,6982,2717,6123,0,4,260,117,251,0,0,2587,53,4,1944,200,20,793,88,1095,103,4306,443,3287,0,676,1541,1995
40,2050,0,1,1,137,32,59,63,0,1,1,0,0,0,47,1562,0,38,1,0,0,0,21,0,89,10,0,75,20,23,2001
34,2204,0,2,0,180,28,96,49,1,0,1,0,0,0,40,1390,0,49,1,0,0,0,26,2,78,13,0,104,18,35,2002
47,2709,0,0,4,213,29,111,56,0,1,0,0,0,0,36,1716,0,40,1,0,0,1,20,1,140,17,0,254,21,25,2003
51,3039,0,0,0,175,35,75,45,2,7,1,0,0,0,37,1682,0,48,0,0,0,2,33,0,129,18,0,354,16,33,2004
38,2569,0,1,2,132,16,68,60,1,1,2,0,0,0,58,1108,0,23,0,0,0,0,42,3,122,10,0,198,22,30,2005
41,3258,1,1,2,248,17,94,78,1,3,1,0,0,0,42,1398,0,15,0,0,0,0,53,2,178,12,0,182,29,29,2006
45,3450,0,1,0,204,23,80,80,0,0,1,0,0,0,64,1477,0,30,1,0,0,0,83,0,201,17,0,135,34,29,2007
35,4202,0,0,1,240,32,78,54,0,3,4,1,0,0,73,2083,0,31,0,0,1,0,39,0,200,19,0,147,21,33,2008
44,5331,0,0,3,287,49,120,81,0,2,2,2,0,0,123,1713,0,22,0,0,0,0,96,0,278,12,0,167,51,41,2009
66,5605,1,0,1,313,33,226,63,0,5,18,0,0,0,102,1559,0,30,0,0,1,0,95,2,269,10,0,147,42,43,2010
40,6017,0,0,0,159,43,207,70,0,2,17,2,0,0,169,1455,0,10,0,0,0,0,118,0,226,11,0,103,29,60,2011
46,3411,0,0,0,71,18,138,40,0,2,4,0,0,0,218,825,0,9,0,0,0,0,79,0,183,14,0,36,27,29,2012
35,4266,0,0,1,59,10,331,67,1,13,2,0,0,0,101,860,0,6,0,0,3,0,82,0,240,8,0,33,28,71,2013
46,3946,1,0,2,76,10,389,64,0,12,3,0,0,0,119,532,0,8,0,0,0,1,65,0,202,14,0,92,38,92,2014
