Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
123,5539,0,1487,0,2447,287,0,2771,0,177,527,472,0,0,1244,267,5,216,24,294,38,30,123,241,2091,50,0,499,0,316,1960
62,5275,0,1367,0,2408,137,0,2476,0,116,595,278,0,0,1222,267,6,188,12,232,52,16,66,420,1910,27,0,508,0,243,1961
93,6494,0,1465,0,2122,189,0,2122,0,201,512,298,0,0,1392,373,10,303,15,276,31,25,109,374,1990,66,0,398,0,190,1962
86,7100,0,1656,0,2476,838,0,2510,0,140,600,246,0,0,1437,488,4,458,25,283,52,19,105,543,2123,78,0,394,0,276,1963
87,5781,0,553,3,2205,236,1,2432,177,52,2,182,0,0,747,488,8,174,6,330,35,5,97,172,1711,49,20,306,83,200,1964
140,7106,4,1331,3,2779,931,12,2705,233,242,370,316,0,0,1693,992,5,404,27,415,36,18,131,319,2505,66,0,324,243,218,1965
127,7346,1,1196,5,2770,956,2,2739,215,185,306,308,0,0,1596,943,10,335,35,408,22,26,143,226,2666,61,0,293,205,383,1966
327,7814,1,1099,11,2787,965,0,2853,662,194,29,217,0,0,1406,944,6,430,37,267,19,29,147,244,2433,41,0,260,306,393,1967
240,8795,1,1075,9,2761,234,6,2784,259,240,312,196,0,0,1546,864,12,474,34,252,17,29,181,223,2257,77,0,292,64,470,1968
257,8833,10,1014,19,1897,1209,46,2778,216,247,230,252,0,0,1630,764,59,463,40,284,29,45,285,226,2018,83,0,311,199,470,1969
344,7105,4,1165,65,1862,1340,177,1004,217,253,317,227,0,0,2096,671,12,533,38,179,15,40,263,238,2047,126,0,233,225,488,1970
475,6207,14,1479,47,1850,1473,693,739,245,442,390,341,0,0,1934,629,14,460,32,324,32,59,350,200,2317,232,0,169,265,503,1971
455,6312,9,1386,43,1634,972,861,822,89,389,338,427,0,0,2103,677,6,433,35,180,55,26,327,160,2978,236,10,138,244,497,1972
420,3567,27,1614,44,953,625,1232,429,13,216,417,21,0,0,2931,427,6,408,33,112,11,46,157,163,1937,118,0,51,607,285,1973
547,5982,28,2260,55,1826,1091,839,429,21,489,1077,139,0,0,4049,466,12,495,43,198,145,79,519,211,2797,299,7,78,451,523,1974
477,6474,53,2766,66,1919,656,1088,337,8,388,1050,91,0,0,4466,621,11,427,41,230,102,52,698,187,2651,373,1,85,628,665,1975
309,5261,27,1207,18,1328,99,671,296,8,172,697,68,0,0,3514,631,6,266,32,131,76,28,252,156,1770,286,6,181,402,358,1976
390,6392,29,1099,0,1314,0,783,229,2,170,854,77,0,0,3381,847,7,291,25,146,75,51,302,177,2248,216,0,181,589,328,1977
556,6532,58,1282,0,1477,145,496,326,4,177,995,44,0,0,3825,622,12,385,35,119,60,51,259,122,2268,227,0,223,696,315,1978
778,5059,52,1388,0,1468,357,585,210,2,200,1042,86,0,0,3608,964,4,381,30,108,58,69,260,171,2165,279,0,181,716,309,1979
674,4907,103,1350,0,1548,219,428,14,0,193,1317,49,0,0,3578,1222,12,269,33,98,84,65,289,154,2474,308,0,155,769,259,1980
832,5296,109,1465,0,1548,239,649,38,0,188,1501,50,0,0,4147,1090,9,321,50,134,98,74,276,193,2480,319,0,333,801,318,1981
1009,6005,66,1422,0,1873,124,629,9,6,244,1655,21,0,0,4298,1787,15,275,47,143,68,110,280,258,2386,275,0,256,824,407,1982
755,6712,45,1240,0,1732,263,808,27,1,238,1463,26,0,0,3760,1383,8,255,32,114,285,103,290,254,2592,263,0,111,727,414,1983
851,6825,39,1268,18,1738,502,1397,114,3,295,2095,13,0,0,3933,1873,15,161,11,142,577,164,304,318,3574,306,0,0,893,436,1984
816,7207,31,1114,14,1581,487,1325,158,10,277,1998,32,0,0,3845,1571,13,172,15,141,88,138,330,295,3787,308,0,0,838,419,1985
730,8326,17,1177,22,1888,432,1205,192,6,317,1916,61,0,0,4243,1952,5,182,29,174,64,185,409,305,4054,262,0,0,954,431,1986
679,6658,25,880,10,1472,200,1005,232,1,296,1584,8,0,0,4118,2055,7,155,24,115,65,171,270,230,3735,303,0,0,827,396,1987
822,8775,39,1101,25,1785,213,1505,258,3,346,1797,10,0,0,4186,2940,11,185,25,74,45,211,281,276,4664,374,0,0,891,454,1988
1126,11437,31,1080,21,2129,220,2216,474,15,381,2026,10,0,0,4205,3697,8,285,24,134,77,227,315,288,5818,431,0,0,1058,589,1989
1334,12516,29,1127,35,2178,191,2212,709,12,482,2135,13,0,0,4554,4228,3,302,31,122,129,231,396,273,6297,480,0,0,1094,601,1990
1323,12321,102,1295,36,1737,306,2390,747,4,564,2093,40,0,0,4723,3488,11,250,35,124,155,244,457,291,6433,509,7,197,1070,530,1991
999,6995,73,860,24,1220,146,1507,491,1,315,1266,30,0,0,3327,1632,6,131,19,93,53,174,271,151,4751,294,0,113,670,319,1992
611,2405,13,488,19,501,0,631,203,0,130,558,9,0,0,1935,414,5,111,3,51,131,106,140,104,3295,137,0,111,382,139,1993
532,1841,15,401,9,390,1,619,117,1,91,432,8,0,0,1099,265,1,104,6,63,11,102,98,86,2782,179,0,58,285,101,1994
564,3567,13,374,32,685,0,1021,175,0,248,744,5,0,0,2183,464,0,78,8,51,37,81,210,96,2139,181,0,95,314,182,1995
1326,5093,10,884,38,1682,146,1858,406,1,562,1684,16,0,0,4555,1658,11,204,19,118,147,162,413,229,5208,423,0,203,710,370,1996
1728,5513,21,1067,68,1817,201,2365,469,2,507,1906,16,0,0,4767,1892,20,242,14,185,90,239,450,268,7890,522,0,294,857,400,1997
2060,5961,17,1171,110,2077,205,3054,407,4,556,2347,42,0,0,4823,2088,13,253,21,240,107,295,545,377,8724,502,0,571,1084,476,1998
1987,5629,65,1080,114,2454,223,3290,417,154,639,2265,18,0,0,4370,2168,10,218,23,267,131,312,574,427,8630,545,0,832,922,458,1999
2118,5826,99,1481,127,2485,215,3945,397,242,824,2587,13,0,0,4460,2682,14,263,32,250,142,311,571,447,8573,646,0,650,1592,533,2000
1163,6541,60,1213,107,2121,212,2774,279,287,418,2032,0,0,0,3947,1830,0,225,23,235,175,176,375,59,7046,287,0,376,1315,1193,2001
1326,6850,53,952,94,2200,198,3199,330,241,409,1944,13,0,0,3556,2127,0,219,27,246,151,148,420,46,6773,411,0,501,1019,912,2002
1926,5221,63,930,103,2217,225,4473,386,198,518,2038,2,0,0,3798,1899,1,181,14,235,157,121,500,80,7256,371,0,519,973,382,2003
1740,6304,57,1004,109,2716,177,4254,484,189,549,1898,8,0,0,3994,2464,2,150,18,235,128,110,399,66,7441,424,0,569,1047,394,2004
1884,6157,87,990,98,2863,204,5428,447,250,512,2144,12,0,0,3963,2553,7,167,23,203,160,151,509,193,7728,422,0,703,1067,411,2005
1953,6747,94,1182,126,2877,244,5796,500,238,661,2213,13,0,0,4262,2428,12,179,26,231,108,144,609,186,8182,461,0,763,1202,494,2006
2134,6360,65,1070,195,2587,231,5906,621,288,658,2136,4,0,0,4938,2713,5,156,27,252,191,133,699,169,8727,479,0,792,1210,445,2007
2115,6143,71,1152,104,2253,219,5932,772,283,621,2124,10,0,0,5477,2471,0,178,39,244,132,144,763,209,8689,550,0,924,1195,483,2008
1987,5810,62,1227,188,2060,231,5756,677,237,605,1921,15,0,0,6066,2308,2,129,31,229,67,105,728,173,8630,426,0,1261,1191,413,2009
1786,5038,46,1178,108,2354,212,5422,614,185,489,1700,12,0,0,5851,1839,0,121,32,197,26,87,620,160,7882,460,0,892,959,397,2010
