Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
751,9619,0,2981,0,11048,4580,0,35464,0,504,500,1946,0,0,6150,1457,49,843,126,443,175,100,494,803,3457,198,1318,7801,0,1459,1960
1386,15041,0,4768,0,13000,6101,0,45980,0,742,1706,2687,0,0,8734,2253,60,1276,232,1047,242,159,954,994,4777,314,1222,10906,0,1969,1961
1624,18156,0,5302,0,15323,6382,0,50348,0,875,1836,2966,0,0,10177,2623,31,1671,211,1147,435,217,897,1325,5469,299,861,10480,0,2187,1962
2220,22309,0,7041,0,18877,8592,0,63958,0,1026,2125,2525,0,0,14434,3393,51,2257,316,1068,420,258,1300,1492,8081,547,876,11792,0,2941,1963
2813,18173,140,6666,854,17119,8983,230,67697,278,795,1755,2299,0,0,15578,4166,41,2449,321,689,555,263,1397,1817,7886,507,1279,12173,2342,3298,1964
3379,23320,122,7044,882,18742,10363,263,75227,114,849,1980,3458,0,0,17072,5087,31,2819,328,756,553,360,1432,2096,8600,680,707,13020,2638,3627,1965
2907,20737,114,6951,1295,20281,10928,372,75704,54,865,2043,3824,0,0,18899,7339,25,2793,377,878,593,268,1319,2057,8608,815,485,13266,2873,3866,1966
3136,22863,244,8297,1593,22116,11134,781,78202,54,1031,2632,3363,0,0,20042,7994,22,3254,393,1061,546,366,1736,2013,9073,1203,577,15249,3022,4563,1967
3080,19553,211,7428,1701,22305,11458,2029,67779,37,1329,2226,1804,0,0,19901,6604,29,2899,407,773,424,278,1743,1785,9046,1306,430,13857,2716,4333,1968
3461,23946,208,9588,2315,23096,15697,3860,78692,50,910,3110,2120,0,0,22611,8012,46,3322,425,702,582,374,2097,2292,9356,1765,248,10328,2659,4357,1969
4432,31428,273,11151,2179,21707,17129,7007,79818,59,1390,3463,2202,0,0,28425,7585,64,3356,489,988,823,451,2636,1971,10335,2753,218,6971,3077,5259,1970
8952,48644,442,17171,2887,27648,28677,15011,102936,130,2009,8666,3139,0,0,38745,10356,98,4686,867,2220,906,859,3899,2658,16310,4443,0,10007,4685,7315,1971
9894,47955,390,17084,2122,31020,37286,22337,91771,131,2054,10833,3698,0,0,38626,9307,108,4441,850,2391,1092,899,4104,2854,16022,4503,0,5771,4466,7977,1972
11004,61872,707,29354,4115,30603,43753,32238,81205,122,2281,7360,3181,0,0,59349,8425,144,8430,1088,1545,1577,1075,6375,3087,15982,6591,0,6048,7186,9053,1973
10494,75178,473,23731,2741,23378,39804,28657,69855,120,2290,8680,3179,0,0,48686,5759,113,5361,980,1621,1825,1065,5921,3034,13502,6907,0,6007,4469,8979,1974
12862,83235,562,27245,3250,19112,45941,23818,28273,170,2576,10216,2671,0,0,57614,6409,110,4927,915,1573,2741,1109,6044,4128,15161,8461,0,4971,5069,8677,1975
14139,98254,505,24707,2487,16708,51238,26010,26882,91,2466,8141,18493,0,0,56161,22326,140,3646,787,7442,3228,1112,5042,5120,12783,6557,0,3259,4941,7168,1976
14203,90186,591,24069,1968,9946,46865,25469,19840,73,2519,8308,2311,0,0,52536,6396,127,3497,731,967,2881,1117,4762,4356,9013,6152,0,2232,4977,5629,1977
17175,93065,570,28126,2167,10645,43228,28651,19205,102,2652,9337,2069,0,0,56219,7738,112,4984,779,1287,3318,1220,5471,4306,10848,4673,0,924,5692,5819,1978
18737,92290,600,31149,2494,12215,43258,27650,21466,117,2920,9713,1892,0,0,61258,11330,180,5487,845,1413,3924,1500,6728,4781,11759,4301,0,811,5935,6411,1979
20406,104171,731,34853,1834,13069,46893,31141,23038,343,3074,11203,1528,0,0,66727,11328,230,5837,1043,1524,4850,1621,7831,4865,11740,4276,0,1327,5070,7337,1980
21025,121794,832,33365,1720,16514,48136,33932,21930,156,3699,13541,1423,0,0,67872,13680,246,5600,1182,1467,3966,1549,8533,4533,11707,4745,0,1416,4086,9821,1981
22961,145163,642,31965,1687,18565,58520,34666,24923,209,3466,15128,1533,0,0,72296,17072,238,5391,1121,1727,5596,1838,7772,4160,13499,4520,0,2377,3373,9940,1982
