Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
1026,7823,0,2119,0,25096,8086,0,72613,0,296,803,2448,0,0,3022,3349,68,954,132,1096,227,108,374,622,3144,84,1605,756,0,991,1960
1369,7302,0,2549,0,30370,9959,0,72269,0,414,364,2716,0,0,3792,4404,69,1178,166,1040,278,156,414,792,2630,118,1989,907,0,1147,1961
1303,7233,0,2522,0,32050,9464,0,79523,0,301,314,2141,0,0,3766,4121,62,1248,196,797,275,156,447,723,2629,167,2778,1317,0,1135,1962
1296,8808,0,2542,0,28976,10899,0,76114,0,362,376,2782,0,0,4579,4226,66,1302,167,994,334,134,425,727,2650,134,2434,1342,0,1244,1963
1828,6967,27,2897,399,26786,10809,382,73672,19,326,472,2768,0,0,5628,3720,72,1615,195,849,337,148,616,548,2075,284,3287,1300,1227,1570,1964
2208,6131,53,3189,446,31100,11538,374,83261,38,424,345,1641,0,0,6779,2939,86,1566,208,882,262,224,660,601,2421,226,2502,1120,1323,2199,1965
2211,6158,59,3161,357,27923,11704,485,78906,9,328,299,1339,0,0,6362,2230,105,1444,221,688,295,220,588,580,2110,226,2097,849,1235,2102,1966
1663,4960,42,3226,273,28618,10760,737,63817,89,430,277,1554,0,0,6037,2179,109,1512,207,528,273,201,606,660,2210,208,1138,693,897,1884,1967
1779,5367,78,3067,339,30981,12872,813,64107,64,445,207,1182,0,0,6156,3085,104,1884,267,496,230,197,750,648,2410,291,1309,386,799,2493,1968
1751,6284,35,2992,316,27401,16798,1573,64312,56,476,210,1112,0,0,6266,2188,117,1915,285,404,262,245,827,513,2475,383,902,74,684,2565,1969
