Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
26,4103,0,1093,0,1409,82,0,2057,0,53,127,3603,0,0,1776,395,26,582,20,61,175,21,90,394,1118,64,0,1222,0,92,1960
55,4144,0,1160,0,1519,111,0,2180,0,48,180,3893,0,0,2011,637,31,697,14,63,132,18,64,534,1153,83,0,1115,0,149,1961
58,3571,0,1067,0,904,158,0,1600,0,66,189,2758,0,0,1723,245,22,511,13,68,112,22,58,514,929,43,2,652,0,176,1963
41,2207,6,961,553,1080,91,40,1478,2,52,170,2335,0,0,1928,301,18,478,12,50,93,9,58,471,1063,38,0,761,230,165,1964
40,2318,12,1031,1526,1241,74,68,1361,1,54,158,2271,0,0,2184,684,8,928,15,43,103,3,86,409,1001,71,0,933,381,211,1965
59,2387,9,1318,1343,1204,104,116,1421,3,59,174,2951,0,0,2416,329,19,684,23,27,95,26,82,379,1014,63,0,818,375,247,1966
64,2680,24,1316,1753,1067,106,367,1316,8,53,177,3774,0,0,2603,615,28,903,12,7,47,28,69,489,939,54,0,962,356,317,1967
113,5090,32,1652,1863,937,171,706,1183,11,67,157,3963,0,0,3297,143,17,1367,23,8,16,45,97,455,1207,52,0,890,393,311,1968
121,3447,22,1277,1411,875,393,834,0,11,60,137,2015,0,0,3304,168,26,1502,22,4,33,55,229,329,1009,63,0,580,305,285,1969
227,4383,18,1285,1421,1117,502,1597,0,11,84,189,2241,0,0,3879,332,10,1085,47,1,18,49,385,554,1145,62,0,524,264,526,1970
314,4951,15,1403,1179,1068,842,1646,0,12,65,215,1696,0,0,4043,392,50,1068,52,3,21,33,438,497,884,80,0,165,283,478,1971
248,3738,25,1193,940,677,1024,1688,0,7,52,145,992,0,0,4039,415,28,708,64,1,54,36,317,522,903,62,0,11,222,527,1972
192,5005,35,1741,927,829,2923,1334,0,9,92,158,1350,0,0,5168,318,18,906,36,1,390,95,431,143,1241,53,0,5,368,539,1973
