Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
212,4515,0,1087,0,1988,1793,0,15163,0,534,936,165,0,0,2874,1165,22,880,20,572,73,52,123,374,1236,309,7467,698,0,292,1960
180,4514,0,1109,0,2148,1964,0,14224,0,580,1032,163,0,0,2790,1381,25,586,21,708,37,65,147,427,1187,223,6407,774,0,243,1961
173,4964,0,1168,0,2224,1738,0,15522,0,577,1018,114,0,0,3139,1438,27,674,18,681,40,82,149,323,1151,217,6012,615,0,216,1962
146,5399,0,1234,0,1861,1698,0,14527,0,526,981,119,0,0,3256,1678,18,580,26,594,43,77,116,276,998,102,1961,698,0,212,1963
390,4575,50,1392,760,1975,1653,37,14694,308,656,703,111,0,0,4053,1777,12,848,32,690,78,83,159,312,1289,355,4496,670,1025,407,1964
307,5326,54,1360,580,1938,1528,48,13379,297,498,845,70,0,0,3624,2604,6,828,23,430,36,78,170,257,1103,185,4149,474,917,252,1965
398,5458,54,1422,627,2088,1434,10,14089,227,627,897,63,0,0,4383,3693,19,1048,26,397,56,75,187,209,1211,246,3735,554,1048,334,1966
498,6184,56,1673,984,2650,1225,109,14967,67,507,971,82,0,0,4738,5457,9,1193,25,442,29,100,151,232,1237,274,1455,460,950,334,1967
559,5937,59,1899,838,2963,1388,238,15906,74,485,919,38,0,0,5491,6263,8,1123,37,427,18,92,225,235,1571,250,848,417,1040,434,1968
514,5942,61,1776,822,2971,1764,465,16657,67,404,872,93,0,0,5195,6338,12,962,36,527,51,92,221,310,1717,261,805,393,1007,358,1969
558,5772,93,1929,738,3180,2256,1021,16345,111,469,965,65,0,0,7235,6394,14,1103,47,546,36,94,241,261,1971,509,752,364,983,483,1970
690,6824,91,1863,736,3270,2420,1719,15843,80,491,956,63,0,0,7585,6016,10,1036,39,471,41,99,326,278,1946,443,753,363,1090,454,1971
726,6491,87,1881,539,2528,2796,1725,14398,64,499,963,30,0,0,7809,4198,9,1036,38,373,36,113,280,266,1659,536,629,199,1245,456,1972
805,8992,182,3326,1412,3100,3474,4159,14486,75,671,894,73,0,0,12159,5633,7,1913,27,338,63,155,417,352,2185,881,393,211,2351,711,1973
865,8033,143,2743,1011,2964,4035,3850,13077,129,663,960,31,0,0,9564,2862,16,1416,41,321,74,175,500,276,2185,921,331,176,1880,817,1974
1059,10757,192,3633,1262,3117,5709,4241,14711,170,872,1310,60,0,0,11488,3708,17,1535,57,377,86,174,582,324,2670,1089,195,159,2376,863,1975
1087,11635,171,3288,1300,3238,8797,3890,14516,148,796,1248,52,0,0,10732,4647,14,1522,63,251,100,147,483,349,2833,1083,227,91,2287,868,1976
931,10670,141,2569,1025,2575,9788,3834,11724,93,617,1149,23,0,0,8506,3871,9,1331,25,147,30,139,360,223,2339,911,0,103,1962,736,1977
1065,11902,158,3492,807,3389,13754,5094,13203,42,997,1331,49,0,0,11702,7204,13,1559,60,82,112,90,520,371,3173,464,0,103,2561,1221,1978
1264,11993,210,3381,971,3924,11501,4191,12728,26,648,1238,22,0,0,13116,6706,15,1460,53,3,168,90,516,354,3508,354,0,151,2907,1002,1979
1374,12318,224,3747,1046,4186,11783,3901,14343,52,673,1220,210,0,0,14275,7151,16,1280,74,1,170,124,547,409,3804,291,0,108,2926,947,1980
1314,10951,237,3755,934,4146,12594,3673,13416,32,641,1270,104,0,0,15067,7198,14,1126,75,0,218,132,522,401,3748,301,0,38,2695,1076,1981
1239,10255,160,3411,781,3339,12424,3424,12425,20,583,1028,26,0,0,12753,6232,7,956,54,0,179,99,379,365,3257,292,0,63,2288,866,1982
1192,10875,199,3476,769,3019,14644,2854,12749,48,615,1176,31,0,0,12815,5444,13,861,56,0,318,114,404,416,3462,275,0,91,2773,787,1983
1400,10877,171,3282,789,3448,15091,2599,13691,31,574,1127,48,0,0,13732,6066,19,802,43,1,330,133,341,625,3796,208,0,23,2741,859,1984
1359,11388,175,3265,647,3414,15402,2727,13416,35,579,1078,48,0,0,14217,5833,14,757,41,0,340,116,433,603,3598,208,0,34,2867,804,1985
