Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
62,2139,0,439,0,881,952,0,4939,0,266,237,0,0,0,1054,523,9,194,8,132,3,20,27,115,267,28,176,610,0,31,1960
73,2575,0,476,0,1222,1071,0,5376,0,255,275,5,0,0,1211,596,8,171,7,146,7,23,33,93,339,58,151,967,0,38,1961
78,2831,0,542,0,1296,1072,0,5703,0,171,316,4,0,0,1502,943,7,272,12,159,6,12,22,122,395,65,187,886,0,51,1962
124,2895,0,575,0,970,915,0,4928,0,201,459,6,0,0,1502,1098,17,256,12,140,6,32,58,111,324,69,190,712,0,51,1963
173,2787,18,581,315,1261,1093,6,5080,49,213,422,3,0,0,1593,1633,3,216,21,134,6,26,48,125,405,37,181,666,328,48,1964
185,2478,9,494,367,1295,1044,4,4716,86,178,387,5,0,0,1430,1681,9,179,12,107,4,21,30,112,468,51,118,556,249,58,1965
152,2440,13,507,309,1093,1213,3,4447,40,136,343,7,0,0,1331,1439,11,175,13,127,7,28,22,89,415,40,163,434,219,55,1966
108,2929,11,473,342,1351,978,48,5019,41,130,426,17,0,0,1406,1880,17,186,18,143,12,21,42,48,412,74,115,358,173,70,1967
175,3690,28,651,537,1319,1294,159,5248,43,157,385,25,0,0,1809,2291,9,188,14,90,7,18,58,129,558,84,122,417,254,64,1968
213,3686,28,778,815,1482,1398,206,5736,35,140,521,10,0,0,2467,2473,12,214,15,103,7,21,42,135,669,54,67,382,526,72,1969
237,3538,17,894,805,1331,1574,397,5317,59,182,517,21,0,0,2757,1853,11,227,19,87,9,40,80,112,643,197,48,312,476,117,1970
364,3493,18,970,660,1185,1640,371,4283,75,180,512,2,0,0,3033,1561,7,262,25,97,4,26,78,108,635,230,27,161,494,110,1971
329,3554,43,833,1031,943,2160,810,3720,50,161,419,35,0,0,2974,1804,20,277,13,122,8,42,70,87,597,235,69,61,559,125,1972
313,4344,62,1450,1771,976,2142,1309,3436,45,198,429,0,0,0,4196,2180,9,407,10,43,13,33,95,121,450,236,43,32,603,122,1973
523,5828,81,1775,1446,1358,3697,2470,4423,114,248,665,6,0,0,5041,2440,14,463,50,101,33,64,166,178,805,294,232,99,968,175,1974
627,6342,54,1982,1438,1414,3852,2403,4118,127,318,779,0,0,0,4833,2752,15,430,40,111,11,51,175,221,982,288,74,77,875,184,1975
606,6072,52,1714,1480,1894,4243,2197,4042,124,268,771,28,0,0,4700,2777,15,505,37,90,15,65,189,177,1025,274,87,90,887,211,1976
