Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.",data_year
4772,35816,0,5462,0,63111,10418,0,68157,0,513,3066,10050,0,0,14140,4094,119,3676,354,2843,4207,402,3185,4534,7795,835,4664,14757,0,2790,1960
834,12918,0,2511,0,15880,6780,0,13424,0,473,1788,508,0,0,5110,3048,41,1365,66,1513,176,161,384,817,4427,235,4947,1605,0,702,1961
4330,31101,0,7165,0,53035,11477,0,87343,0,981,2847,6357,0,0,13524,4886,94,3808,462,3343,2201,522,3917,3227,15980,632,5279,6653,0,3360,1962
4332,45883,0,9268,0,74186,13208,0,79166,0,840,3502,6244,0,0,18511,5519,83,5031,541,3644,2641,560,4701,3706,18693,687,3931,10328,0,4236,1963
4267,24809,313,5595,5565,74556,14459,2856,86410,78,586,4687,11818,0,0,29657,7832,109,6860,603,4769,7597,1171,5759,3810,19020,832,5135,1834,7637,4595,1964
5021,32793,392,11094,5077,105127,16709,3736,50356,42,622,3128,13174,0,0,24572,9068,74,6051,602,5491,4625,809,5662,3795,16341,814,5702,1837,7879,5519,1965
5550,43874,502,11699,5740,103787,16209,4484,41525,16,615,2889,10355,0,0,27475,10046,83,6502,747,4343,4370,862,6057,3721,15329,909,3780,1916,8323,6349,1966
6323,65991,516,14084,6836,112221,15068,6613,14274,36,705,3083,8448,0,0,31671,11687,98,5993,849,3892,5388,1040,6843,3754,15641,1175,3989,1811,9291,7596,1967
6815,34230,575,15103,6451,132429,16745,8409,23764,27,587,2967,8636,0,0,33823,11384,84,5808,1031,3166,4203,1028,6687,3309,16441,1375,3830,1385,9216,8615,1968
7421,28442,505,14275,6534,131637,19167,9891,35142,24,593,3014,8423,0,0,38474,12449,102,6058,1188,2967,4157,1092,7401,3857,17714,1286,4280,1301,9643,9118,1969
7664,34285,577,14345,7488,117666,18647,14170,38360,19,681,3179,8312,0,0,44149,11559,92,6516,1335,3234,4537,1173,8202,3265,17739,1411,5168,1859,9580,10743,1970
8301,37339,680,16678,7787,133479,20958,14891,25394,62,832,4149,9484,0,0,46071,13373,89,6299,1341,2743,4123,1168,9812,3381,20521,1885,5098,1078,11073,10929,1971
11088,54906,707,18146,10033,128540,24980,18560,28653,13,1113,4347,8447,0,0,52322,15196,90,6269,1252,3005,5573,1467,10610,3632,25513,2013,9942,3009,13399,11861,1972
11184,43656,959,25068,15609,132887,17279,25334,27606,17,806,5685,8286,0,0,65670,14948,113,7360,1340,2579,7676,1176,12256,2984,28457,2620,4284,4444,19261,14040,1973
12022,43502,743,22459,9780,102454,20234,28316,35553,14,1212,3974,8409,0,0,61034,17851,159,5904,1659,3534,11038,1237,11203,3089,28891,2507,2813,6293,17760,16511,1974
6403,33834,578,12105,8902,104212,15782,14136,25110,9,1326,508,761,0,0,48109,18069,90,2316,306,1947,534,440,2665,1600,18627,1541,2690,23929,11327,4745,1975
7765,41555,835,21225,3049,153829,18875,11816,7397,11,1347,3288,6685,0,0,67403,20963,92,6927,1448,3349,9056,1207,6787,2746,35232,2495,2247,101,17851,14153,1976
4652,51088,521,16613,3605,109518,14996,24021,1359,15,875,1930,6602,0,0,57436,15903,71,6027,1163,2755,10598,987,8286,2150,33144,1937,1572,102,15334,11900,1977
6815,47721,675,19492,4027,140282,18859,25989,2102,23,1514,2055,7275,0,0,70540,24754,72,7061,1207,3354,12555,1125,8593,2961,41266,2233,1162,112,19511,12993,1978
8053,50489,903,19541,4476,152175,19850,25163,2127,24,1411,1663,9187,0,0,72435,32312,77,6861,1261,2576,11199,1352,8519,2938,43562,2298,1406,107,22031,13802,1979
7297,54729,824,21442,4859,163402,23964,26962,2265,24,1542,1518,9712,0,0,75870,40427,111,5893,1232,2699,8749,1584,9373,3019,47113,2025,986,135,21970,14674,1980
7530,54472,825,19614,4473,183041,25449,11914,1973,16,1557,1783,7231,0,0,75357,41798,79,5532,1315,2833,9830,1299,8670,3150,46817,1878,657,87,21103,14268,1981
8096,63589,730,17728,3758,237632,35139,9458,1858,23,1626,2104,6045,0,0,75617,38603,88,5129,1230,2143,11564,1131,7743,3385,53002,2240,494,113,20854,12316,1982
7274,56986,706,18190,3945,135324,47559,8056,1883,25,1710,1955,5102,0,0,77355,36696,73,5187,1148,2062,13042,1084,7059,3629,58817,1894,458,192,21734,10237,1983
6863,55917,715,15369,4255,87706,49695,8886,1894,21,1609,2029,4688,0,0,76615,33242,71,4977,1131,1950,15114,1068,6359,4318,63211,2053,486,128,21891,10588,1984
6976,60673,701,15039,4612,74440,52703,9858,1581,6,1950,1774,3969,0,0,77823,34384,73,5125,995,1785,13683,1706,5600,4305,65816,2475,450,67,21521,10343,1985
7659,68390,708,14937,5502,62556,48543,9353,1608,6,1818,1402,3256,0,0,77487,36867,65,5871,1001,1509,7985,1804,5570,4074,69497,2470,386,256,21136,10752,1986
7090,69603,700,14745,5645,58465,43539,9962,1419,7,1990,1167,2978,0,0,79219,37515,70,6212,1111,1457,5358,1758,5888,4387,73199,2298,273,101,21699,10685,1987
15203,82311,770,14865,5580,58007,40947,11277,1461,15,2136,1215,2548,0,0,83640,40162,65,9827,1103,1601,6248,1507,5842,4402,73036,2288,356,110,21017,12870,1988
17547,92354,637,16319,5716,66993,40720,48673,1439,10,2418,1417,1907,0,0,87252,40193,83,10903,1119,1714,5998,1733,6946,4487,75800,2445,390,57,22176,13942,1989
8266,50849,451,7866,6270,21709,37671,11546,1640,14,1822,695,260,0,0,48970,36715,64,1901,304,1154,1216,1055,1844,1978,45058,1975,225,113,15881,4857,1990
8428,52774,474,7958,6647,20775,35127,12408,1514,10,1874,814,319,0,0,50242,32197,53,1928,318,1109,1103,1120,2048,2039,46955,1974,215,137,15639,5142,1991
20308,103928,777,16199,5687,83274,34599,15078,1318,30,2517,2460,2393,0,0,85635,30209,100,10562,1404,2019,7131,1306,7557,5020,88769,2635,180,143,26629,17393,1992
9653,77861,395,8050,2176,63259,11494,4405,582,3,958,1079,2477,0,0,50289,8007,61,8640,1017,908,6473,1058,4809,3087,55547,1277,24,45,16011,12237,1993
1565,29396,115,1475,1856,4842,7895,5385,638,2,581,207,118,0,0,11294,2923,16,275,113,252,543,226,568,440,13155,708,0,207,3515,1819,1994
7279,59015,186,4479,0,53820,2431,0,0,5,282,779,2203,0,0,32354,3999,13,7939,872,536,7768,546,3796,2097,44642,458,0,0,11555,7196,1995
8182,38793,174,4350,0,66909,2894,0,0,4,363,703,2647,0,0,33548,3331,20,8566,767,541,7780,457,3279,2137,45539,634,0,0,11129,6240,1996
7001,35378,215,4173,0,62258,5244,0,0,2,319,633,2354,0,0,32648,3753,27,8112,754,496,7745,431,3058,1966,43198,472,0,0,11093,5501,1997
6511,58629,161,3743,0,37300,2926,0,0,1,417,4601,1464,0,0,28187,2607,27,8878,753,269,4791,500,2779,1622,36340,247,0,0,10808,4002,1998
6835,46807,208,4174,0,28584,0,0,0,0,637,13208,1216,0,0,17921,281,31,12233,637,34,6662,700,3173,1415,35550,0,0,0,6490,7417,1999
6164,41418,221,4119,0,38268,0,0,0,0,22,5730,1845,0,0,25309,804,29,11301,531,710,7090,627,2995,2472,33794,0,0,0,6483,5367,2000
6175,35211,222,3570,0,17032,6820,0,0,0,72,3010,2086,0,0,23939,987,56,10687,558,551,6097,703,3168,2134,32866,0,0,0,5815,5533,2001
5740,23662,181,3395,0,19215,5910,0,0,0,233,2146,2317,0,0,18487,1050,19,9542,520,434,5584,630,2995,2108,30809,0,0,0,5225,5046,2002
5586,25195,140,3325,0,20126,5967,0,0,0,258,1962,2662,0,0,17244,1018,28,8402,472,397,5522,603,2909,2118,29059,0,0,0,4401,4824,2003
5617,27539,138,2988,0,18626,5994,0,0,0,222,1702,2828,0,0,16080,970,15,7409,433,336,6060,561,2914,2144,29516,0,0,0,4499,4817,2004
5687,28818,133,2809,0,19223,6045,0,0,0,213,1663,3069,0,0,14896,880,20,7011,383,358,4931,543,3081,1552,27858,0,0,0,5130,4502,2005
5250,30431,105,2981,706,21512,5961,1073,0,0,321,1295,3882,0,0,14567,1536,26,5785,320,424,4732,14,3317,944,27823,87,0,179,5732,4095,2006
5002,26208,110,2934,861,22272,5614,1085,0,1,490,1318,4194,0,0,13881,1672,14,5129,373,433,4047,517,2889,1188,27535,80,0,76,5456,3735,2007
4968,24915,75,2885,552,17942,4904,712,0,2,342,332,3604,0,0,15865,1317,13,4514,364,363,3612,452,2922,965,26393,56,0,11,5174,4117,2008
4584,21904,71,3025,488,14961,4237,748,0,2,318,323,3046,0,0,15222,1288,14,3832,382,343,3471,464,2877,831,22906,53,0,105,4635,4171,2009
4270,19784,59,2719,285,13992,3952,662,0,1,246,283,3059,0,0,13171,1253,9,3118,266,377,2525,434,2600,700,21390,47,0,141,4039,3932,2010
3734,18430,61,2565,228,11050,3621,619,0,0,222,235,2429,0,0,13668,1062,5,2610,291,350,2431,409,2527,609,19718,83,0,110,3901,3944,2011
3567,17177,67,2336,148,10611,4188,596,0,1,174,221,2467,0,0,13578,913,16,2387,323,319,2148,383,2457,549,18273,91,0,54,3506,3995,2012
3151,17647,58,1928,162,11626,3861,559,0,1,188,200,2019,0,0,12287,613,11,2487,363,307,1417,358,2539,562,17525,73,0,44,3090,3434,2013
1908,18653,74,1673,96,9636,3641,541,0,0,214,267,1356,0,0,10656,462,7,2545,330,309,924,348,2058,534,16503,74,0,47,2885,3337,2014
1803,15587,65,1318,129,6753,3651,405,0,0,173,225,914,0,0,8831,292,9,2986,272,278,304,280,1729,414,14953,75,0,14,2332,3487,2015
1826,11098,67,987,79,3744,2921,369,0,0,127,182,456,0,0,8041,166,9,3505,287,252,184,276,1629,302,13329,88,0,4,2065,3232,2016
1804,11818,58,876,51,2976,2338,342,0,1,106,227,457,0,1,7581,131,9,3113,278,265,141,261,1459,236,12998,63,0,18,2068,4289,2017
2269,14037,63,1008,50,3980,2815,467,0,0,124,247,706,0,0,9497,183,15,4267,416,350,115,438,2415,349,16678,86,0,29,2684,6795,2018
370,3019,16,74,24,639,392,536,0,0,16,33,0,0,0,453,73,2,12,17,211,63,19,72,10,1490,90,0,21,312,136,2019
359,2298,18,67,24,480,348,419,0,0,6,39,0,0,0,533,41,1,19,16,140,1,18,58,15,1185,59,0,3,383,182,2020
2822,24392,82,1033,160,2594,11312,9599,0,39,163,1277,0,0,0,5907,1308,18,354,149,271,72,111,487,55,15478,218,0,1,2870,2796,2021
4584,38948,100,1600,224,3768,14339,12522,0,80,272,1931,3,0,1,9686,1616,23,739,282,450,83,181,881,117,25587,313,0,4,4125,4408,2022
